machine,app,ranks,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_INS,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,FP_ARITH:SCALAR_SINGLE,FP_ARITH:SCALAR_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,PAPI_MEM_WCY,rp_ruby_quartz
ruby,kripke.exe,1,6714285.714,44428571.43,10678571.43,94821428.57,1767857.143,1178571.429,35714.28571,53571.42857,6.705357143,25069336.71,20350157.53,938.7232143,19688.72321,2517857.143,1.250750751
ruby,kripke.exe,1,11964285.71,71196428.57,17160714.29,159517857.1,1803571.429,1160714.286,53571.42857,53571.42857,10.20535714,36910106.03,20380266.94,938.7321429,19688.72321,2535714.286,1.250750751
ruby,kripke.exe,1,20750000,115875000,27982142.86,267464285.7,2428571.429,1178571.429,53571.42857,53571.42857,3.303571429,56635166.82,20386751.46,938.7232143,19688.72321,2785714.286,1.200480192
ruby,kripke.exe,1,32982142.86,178303571.4,43089285.71,418285714.3,2964285.714,1178571.429,53571.42857,53571.42857,6.366071429,84306659.96,20367684.68,938.7232143,19688.73214,2910714.286,1.2864494
ruby,kripke.exe,1,48857142.86,258750000,62553571.43,612750000,3678571.429,1196428.571,53571.42857,53571.42857,10.94642857,119875421,20437198.36,938.7142857,19688.71429,3428571.429,1.375093773
ruby,kripke.exe,1,14910714.29,95357142.86,22178571.43,203821428.6,3535714.286,2357142.857,160714.2857,89285.71429,6.794642857,51207083.4,40852180.68,938.7142857,19688.71429,4803571.429,1.333
ruby,kripke.exe,1,30714285.71,169464285.7,37750000,378750000,3660714.286,2321428.571,160714.2857,89285.71429,2.928571429,78378952.18,40741297.85,938.7142857,19688.71429,5142857.143,1.375093773
ruby,kripke.exe,1,56928571.43,292821428.6,63678571.43,669928571.4,4678571.429,2339285.714,178571.4286,107142.8571,4.883928571,123735978,40690142.66,938.7321429,19688.72321,5696428.571,1.300120048
ruby,kripke.exe,1,93857142.86,465732142.9,100035714.3,1078017857,5875000,2375000,196428.5714,107142.8571,6.651785714,187145684.2,40809266.86,938.7142857,19688.71429,6196428.571,1.2
ruby,kripke.exe,1,141142857.1,687857142.9,146732142.9,1602285714,7107142.857,2375000,232142.8571,107142.8571,6.178571429,268655535.1,40710046.86,938.7232143,19688.72321,6946428.571,1.200120012
ruby,kripke.exe,1,3196428.571,21428571.43,5250000,45732142.86,839285.7143,589285.7143,17857.14286,17857.14286,3.410714286,12407284.79,10216640.2,938.7321429,19688.72321,1035714.286,1.501501502
ruby,kripke.exe,1,5250000,32357142.86,8178571.429,72678571.43,910714.2857,589285.7143,17857.14286,17857.14286,10.78571429,17888597.16,10260410.02,938.7232143,19688.72321,1107142.857,1.501501502
ruby,kripke.exe,1,8517857.143,50392857.14,13035714.29,117107142.9,1035714.286,589285.7143,17857.14286,17857.14286,3.955357143,27070715.35,10198407.6,938.7142857,19688.71429,1178571.429,1.332
ruby,kripke.exe,1,13160714.29,75714285.71,19857142.86,179500000,1232142.857,589285.7143,17857.14286,17857.14286,3.116071429,39882382.94,10315654.86,938.7142857,19688.71429,1410714.286,1.666
ruby,kripke.exe,1,19125000,108232142.9,28607142.86,259660714.3,1571428.571,589285.7143,17857.14286,17857.14286,11.16071429,56339020.04,10339276.97,938.7232143,19688.73214,1482142.857,1.399759904
ruby,kripke.exe,1,4125000,41839285.71,8125000,77000000,1767857.143,892857.1429,35714.28571,35714.28571,6.392857143,25082920.34,20441652.88,938.7232143,19688.73214,2482142.857,1.332
ruby,kripke.exe,1,9357142.857,68571428.57,14607142.86,141625000,1785714.286,892857.1429,53571.42857,35714.28571,11.22321429,36936145.95,20322288.33,938.7321429,19688.72321,2678571.429,1.666
ruby,kripke.exe,1,18125000,113232142.9,25410714.29,249500000,2267857.143,892857.1429,53571.42857,35714.28571,4.919642857,56664712.42,20315495.25,938.7232143,19688.72321,2732142.857,1.399759904
ruby,kripke.exe,1,30464285.71,175803571.4,40535714.29,400750000,3160714.286,910714.2857,53571.42857,35714.28571,4.294642857,84316698.94,20400835.08,938.7232143,19688.72321,3053571.429,1.5
ruby,kripke.exe,1,46339285.71,256267857.1,60017857.14,595196428.6,3642857.143,910714.2857,53571.42857,35714.28571,5.214285714,119858231.6,20303229.35,938.7232143,19688.72321,3392857.143,1.500375094
ruby,kripke.exe,1,9839285.714,90321428.57,17089285.71,168571428.6,3535714.286,1803571.429,160714.2857,71428.57143,5.303571429,51232922.21,40755416.37,938.7142857,19688.71429,5017857.143,1.399759904
ruby,kripke.exe,1,25553571.43,164303571.4,32660714.29,343196428.6,3678571.429,1767857.143,160714.2857,71428.57143,4.973214286,78430877.58,40686295.4,938.7232143,19688.72321,5375000,1.1432247
ruby,kripke.exe,1,51875000,287803571.4,58589285.71,634732142.9,4535714.286,1785714.286,178571.4286,71428.57143,3.991071429,123720429.8,40770199.68,938.7321429,19688.72321,5875000,1.400360144
ruby,kripke.exe,1,88660714.29,460553571.4,94910714.29,1042428571,5875000,1821428.571,196428.5714,71428.57143,3.116071429,187123854.6,40796800.92,938.7142857,19688.70536,5857142.857,1.307940905
ruby,kripke.exe,1,135946428.6,682696428.6,141607142.9,1566785714,7178571.429,1821428.571,232142.8571,71428.57143,11.25892857,268661226.5,40751056.82,938.7142857,19688.71429,6839285.714,1.31585597
ruby,kripke.exe,1,1964285.714,20232142.86,3982142.857,37053571.43,839285.7143,446428.5714,17857.14286,17857.14286,11.60714286,12435917.65,10225832.73,938.7142857,19688.70536,1160714.286,1
ruby,kripke.exe,1,4000000,31125000,6910714.286,63910714.29,910714.2857,446428.5714,17857.14286,17857.14286,4.178571429,17893017.93,10232736.6,938.7142857,19688.71429,1142857.143,1.501501502
ruby,kripke.exe,1,7375000,49303571.43,11767857.14,108750000,1035714.286,446428.5714,17857.14286,17857.14286,7.446428571,27071546.38,10276397.02,938.7232143,19688.72321,1303571.429,1.332
ruby,kripke.exe,1,11910714.29,74464285.71,18571428.57,170696428.6,1214285.714,446428.5714,17857.14286,17857.14286,9.464285714,39876800.61,10306549.67,938.7232143,19688.72321,1446428.571,1.666
ruby,kripke.exe,1,17892857.14,107017857.1,27339285.71,250946428.6,1571428.571,446428.5714,17857.14286,17857.14286,10.54464286,56320652.22,10258023.8,938.7232143,19688.72321,1571428.571,1.399759904
ruby,kripke.exe,1,10750000,111267857.1,21553571.43,204285714.3,4714285.714,2428571.429,142857.1429,107142.8571,4.321428571,66738341.66,54451570.92,938.7232143,19688.73214,6982142.857,1.666
ruby,kripke.exe,1,24678571.43,182553571.4,38821428.57,376535714.3,4803571.429,2375000,142857.1429,107142.8571,10.58035714,98328798.48,54410753.71,938.7321429,19688.72321,7321428.571,1.572041166
ruby,kripke.exe,1,48125000,301660714.3,67642857.14,664392857.1,5928571.429,2392857.143,142857.1429,107142.8571,6.178571429,150988553.8,54356943.77,938.7142857,19688.71429,7553571.429,1.600240096
ruby,kripke.exe,1,80875000,468303571.4,107982142.9,1067107143,7910714.286,2428571.429,160714.2857,107142.8571,11.4375,224724403.4,54479372.46,938.7232143,19688.72321,8517857.143,1.357051007
ruby,kripke.exe,1,123000000,682625000,159839285.7,1585053571,10642857.14,2482142.857,178571.4286,107142.8571,4.973214286,319506255.1,54440756.58,938.7232143,19688.72321,8910714.286,1.368603917
ruby,kripke.exe,1,25696428.57,240142857.1,45321428.57,447250000,9446428.571,4821428.571,428571.4286,214285.7143,7.473214286,136585993.9,108950281.9,938.7142857,19688.70536,12339285.71,1.50060024
