machine,app,ranks,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_INS,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,FP_ARITH:SCALAR_SINGLE,FP_ARITH:SCALAR_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,PAPI_MEM_WCY,rp_quartz_Ruby
quartz,kripke.exe,1,141027777.8,708527777.8,147583333.3,1625055556,6444444.444,15138888.89,305555.5556,166666.6667,20.83333333,278622658,53198950.07,525.0555556,30141.90278,26722222.22,0.764560537
quartz,kripke.exe,1,2027777.778,20972222.22,4166666.667,38416666.67,861111.1111,666666.6667,27777.77778,27777.77778,14.5,12872818.07,13456811,525.0555556,30141.91667,4305555.556,0.666
quartz,kripke.exe,1,4250000,32444444.44,7222222.222,66666666.67,916666.6667,1000000,0,27777.77778,9.111111111,18580790.97,13372209.97,525.0555556,30141.90278,4500000,0.666
quartz,kripke.exe,1,7472222.222,50944444.44,12250000,112222222.2,1027777.778,1583333.333,27777.77778,27777.77778,15.69444444,28047422.92,13349763.82,525.0555556,30141.90278,5138888.889,1
quartz,kripke.exe,1,12333333.33,77250000,19333333.33,177027777.8,1166666.667,2388888.889,55555.55556,27777.77778,16.44444444,41322060.11,13547837.53,525.0555556,30141.90278,5555555.556,0.750750751
quartz,kripke.exe,1,18472222.22,110972222.2,28444444.44,260111111.1,1194444.444,3416666.667,55555.55556,27777.77778,18.73611111,58414166.5,13376750.07,525.0555556,30141.90278,6444444.444,1
quartz,kripke.exe,1,10333333.33,69027777.78,16666666.67,147111111.1,2611111.111,2500000,138888.8889,166666.6667,15.44444444,38982378.61,40003114.43,525.0555556,30141.91667,17583333.33,0.799519808
quartz,kripke.exe,1,18527777.78,110722222.2,26805555.56,247805555.6,2611111.111,3611111.111,138888.8889,166666.6667,8.263888889,57388885.83,40122774.61,525.0555556,30141.91667,18388888.89,0.799519808
quartz,kripke.exe,1,32194444.44,180277777.8,43666666.67,415750000,3361111.111,5416666.667,194444.4444,166666.6667,23.97222222,88105967.56,40015440.9,525.0555556,30141.91667,18333333.33,0.833
quartz,kripke.exe,1,51388888.89,277638888.9,67305555.56,650916666.7,4111111.111,7888888.889,222222.2222,166666.6667,15.09722222,131111380.2,39967596.39,525.0555556,30141.91667,18944444.44,0.777333333
quartz,kripke.exe,1,75916666.67,402750000,97666666.67,952972222.2,5027777.778,11166666.67,277777.7778,166666.6667,13.70833333,186412936.2,40095916.82,525.0555556,30141.91667,19388888.89,0.727223131
quartz,kripke.exe,1,23111111.11,148333333.3,34638888.89,316750000,5222222.222,5083333.333,277777.7778,333333.3333,11.77777778,79680088.82,80107011.89,525.0555556,30141.91667,34972222.22,0.750187547
quartz,kripke.exe,1,47666666.67,263638888.9,58972222.22,588750000,5333333.333,7444444.444,277777.7778,333333.3333,6.736111111,121952639.6,80311984.07,525.0555556,30141.91667,36000000,0.727223131
quartz,kripke.exe,1,88555555.56,455777777.8,99500000,1041861111,7027777.778,11333333.33,388888.8889,333333.3333,16.13888889,192423212.9,79811776.69,525.0555556,30141.91667,37416666.67,0.769159741
quartz,kripke.exe,1,145638888.9,724666666.7,156194444.4,1676166667,8500000,16694444.44,444444.4444,361111.1111,14.04166667,291037652.9,80022450.79,525.0555556,30141.91667,36500000,0.833333333
quartz,kripke.exe,1,219416666.7,1070722222,229194444.4,2492388889,12027777.78,23722222.22,694444.4444,333333.3333,5.652777778,417839570.5,79813875.29,525.0555556,30141.91667,39555555.56,0.83325
quartz,kripke.exe,1,4916666.667,33333333.33,8194444.444,71000000,1277777.778,1250000,55555.55556,55555.55556,7.722222222,19257774.39,20128755.43,525.0555556,30141.91667,6861111.111,0.666
quartz,kripke.exe,1,8222222.222,50444444.44,12777777.78,113222222.2,1388888.889,1750000,55555.55556,83333.33333,15.04166667,27799334.6,20108859.17,525.0555556,30141.91667,6666666.667,0.666
quartz,kripke.exe,1,13138888.89,78305555.56,20333333.33,181833333.3,1555555.556,2611111.111,55555.55556,83333.33333,13.27777778,42028188.75,20049906.07,525.0555556,30141.91667,8305555.556,0.750750751
quartz,kripke.exe,1,20388888.89,117750000,30972222.22,278944444.4,1777777.778,3833333.333,83333.33333,83333.33333,22.94444444,61953500.93,20109043.28,525.0555556,30141.91667,8277777.778,0.600240096
quartz,kripke.exe,1,29527777.78,168222222.2,44611111.11,403250000,1805555.556,5388888.889,83333.33333,83333.33333,7.069444444,87584204.64,20097952.42,525.0555556,30141.91667,9583333.333,0.714408233
quartz,kripke.exe,1,6416666.667,65138888.89,12694444.44,119833333.3,2611111.111,2027777.778,111111.1111,111111.1111,13.05555556,38967764.56,40080400.28,525.0555556,30141.91667,18055555.56,0.750750751
quartz,kripke.exe,1,14527777.78,106750000,22805555.56,220277777.8,2611111.111,3111111.111,138888.8889,111111.1111,10.65277778,57371496.08,40294292.21,525.0555556,30141.91667,18555555.56,0.600240096
quartz,kripke.exe,1,28194444.44,176250000,39694444.44,388111111.1,3333333.333,4916666.667,166666.6667,111111.1111,25.23611111,88161573.97,39799769.22,525.0555556,30141.90278,18277777.78,0.714408233
quartz,kripke.exe,1,47388888.89,273638888.9,63333333.33,623277777.8,4055555.556,7388888.889,222222.2222,111111.1111,9.194444444,131130710.2,40031733.97,525.0555556,30141.91667,18916666.67,0.666666667
quartz,kripke.exe,1,71916666.67,398694444.4,93694444.44,925305555.6,4611111.111,10694444.44,250000,138888.8889,23.06944444,186440206.9,39972555.1,525.0555556,30141.90278,19694444.44,0.6665
quartz,kripke.exe,1,15138888.89,140388888.9,26694444.44,261750000,5222222.222,4111111.111,277777.7778,222222.2222,17.26388889,79659434.43,80065413.61,525.0555556,30141.91667,35638888.89,0.714408233
quartz,kripke.exe,1,39694444.44,255694444.4,51027777.78,533694444.4,5277777.778,6472222.222,277777.7778,222222.2222,13.58333333,121944646.3,80191592.35,525.0555556,30141.91667,36166666.67,0.87471868
quartz,kripke.exe,1,80500000,447722222.2,91527777.78,986583333.3,6833333.333,10333333.33,388888.8889,222222.2222,19.77777778,192379540,79726488.4,525.0555556,30141.90278,37777777.78,0.714102015
quartz,kripke.exe,1,137777777.8,716750000,148277777.8,1621111111,8777777.778,15694444.44,472222.2222,250000,13.41666667,291034622,79841346.47,525.0555556,30141.91667,37638888.89,0.764560537
quartz,kripke.exe,1,211388888.9,1062611111,221250000,2436805556,10055555.56,22750000,500000,250000,6.569444444,417823476.7,80370393.15,525.0555556,30141.91667,38861111.11,0.759961594
quartz,kripke.exe,1,2972222.222,31388888.89,6194444.444,57388888.89,1277777.778,1000000,55555.55556,27777.77778,11.48611111,19273593.67,20051317.79,525.0555556,30141.91667,6611111.111,1
quartz,kripke.exe,1,6055555.556,48250000,10750000,98916666.67,1388888.889,1500000,55555.55556,55555.55556,15.52777778,27840316.25,20041662.1,525.0555556,30141.91667,6611111.111,0.666
