"tf.Tensor(2.0, shape=(), dtype=float64)"
"tf.Tensor(6.0, shape=(), dtype=float64)"
"tf.Tensor(5.0, shape=(), dtype=float64)"
"tf.Tensor(9.0, shape=(), dtype=float64)"
"tf.Tensor(9.0, shape=(), dtype=float64)"
