machine,Kernel,Kernel,Basic_ARRAY_OF_PTRS,Basic_COPY8,Basic_DAXPY,Basic_DAXPY_ATOMIC,Basic_EMPTY,Basic_IF_QUAD,Basic_INDEXLIST,Basic_INDEXLIST_3LOOP,Basic_INIT3,Basic_INIT_VIEW1D,Basic_INIT_VIEW1D_OFFSET,Basic_MAT_MAT_SHARED,Basic_MULADDSUB,Basic_NESTED_INIT,Basic_PI_ATOMIC,Basic_PI_REDUCE,Basic_REDUCE3_INT,Basic_REDUCE_STRUCT,Basic_TRAP_INT,Basic_MULTI_REDUCE,Lcals_DIFF_PREDICT,Lcals_EOS,Lcals_FIRST_DIFF,Lcals_FIRST_MIN,Lcals_FIRST_SUM,Lcals_GEN_LIN_RECUR,Lcals_HYDRO_1D,Lcals_HYDRO_2D,Lcals_INT_PREDICT,Lcals_PLANCKIAN,Lcals_TRIDIAG_ELIM,Polybench_2MM,Polybench_3MM,Polybench_ADI,Polybench_ATAX,Polybench_FDTD_2D,Polybench_FLOYD_WARSHALL,Polybench_GEMM,Polybench_GEMVER,Polybench_GESUMMV,Polybench_HEAT_3D,Polybench_JACOBI_1D,Polybench_JACOBI_2D,Polybench_MVT,Stream_ADD,Stream_COPY,Stream_DOT,Stream_MUL,Stream_TRIAD,Apps_CONVECTION3DPA,Apps_DEL_DOT_VEC_2D,Apps_DIFFUSION3DPA,Apps_EDGE3D,Apps_ENERGY,Apps_FEMSWEEP,Apps_FIR,Apps_LTIMES,Apps_LTIMES_NOVIEW,Apps_MASS3DEA,Apps_MASS3DPA,Apps_MATVEC_3D_STENCIL,Apps_NODAL_ACCUMULATION_3D,Apps_PRESSURE,Apps_VOL3D,Apps_ZONAL_ACCUMULATION_3D,Algorithm_SCAN,Algorithm_SORT,Algorithm_SORTPAIRS,Algorithm_REDUCE_SUM,Algorithm_MEMSET,Algorithm_MEMCPY,Algorithm_ATOMIC,Algorithm_HISTOGRAM,Comm_HALO_PACKING,Comm_HALO_PACKING_FUSED
corona,Base_HIP,block_256,0.018153,0.012531,0.016935,0.020158,Not run,0.015234,0.009610,0.012874,0.031129,0.033814,0.034017,0.017331,0.024179,0.018729,0.328322,Not run,Not run,Not run,Not run,Not run,0.047848,0.026156,0.044622,Not run,0.044641,0.059605,0.033916,0.031776,0.052964,0.005717,0.046336,0.035766,0.051914,0.047375,0.055740,0.039950,0.254747,0.039551,0.013852,0.046489,0.033560,0.069826,0.103683,0.050048,0.034617,0.039910,Not run,0.040169,0.034726,Not run,0.011449,Not run,0.185629,0.043728,Not run,0.012850,0.026864,0.026798,Not run,Not run,0.029070,0.029785,0.049640,0.013901,0.007093,0.004225,Not run,Not run,Not run,0.004199,0.005604,Not run,Not run,0.136773,Not run
corona,Base_HIP,block_256,0.017313,0.011391,0.016584,0.020644,Not run,0.014704,0.014261,0.019966,0.029728,0.034045,0.034704,0.015414,0.023887,0.018481,0.334065,Not run,Not run,Not run,Not run,Not run,0.045803,0.025716,0.043872,Not run,0.044007,0.057887,0.033103,0.031202,0.050050,0.005307,0.045145,0.035619,0.052042,0.047281,0.055046,0.039246,0.247056,0.039355,0.013722,0.046019,0.034025,0.067206,0.103930,0.049411,0.034432,0.038715,Not run,0.039575,0.033814,Not run,0.010946,Not run,0.192446,0.042166,Not run,0.012697,0.026792,0.026814,Not run,Not run,0.028236,0.029592,0.048612,0.013978,0.007476,0.004045,Not run,Not run,Not run,0.004156,0.005612,Not run,Not run,0.145653,Not run
corona,Base_HIP,block_256,0.017333,0.012148,0.016881,0.020783,Not run,0.015443,0.022686,0.020337,0.031600,0.034211,0.034247,0.015122,0.024534,0.018699,0.329525,Not run,Not run,Not run,Not run,Not run,0.047669,0.026109,0.044147,Not run,0.044062,0.058383,0.034453,0.032011,0.053270,0.005769,0.046944,0.035872,0.052119,0.047091,0.055230,0.040282,0.254808,0.039938,0.013885,0.046638,0.034141,0.069157,0.103708,0.050078,0.034971,0.040446,Not run,0.042464,0.034655,Not run,0.010783,Not run,0.185369,0.043893,Not run,0.012729,0.026983,0.026924,Not run,Not run,0.029229,0.029651,0.049965,0.014015,0.007585,0.004378,Not run,Not run,Not run,0.004611,0.005690,Not run,Not run,0.134266,Not run
matrix,Base_CUDA,block_256,0.003965,0.002557,0.002462,0.002515,Not run,0.002968,0.001837,0.001922,0.007844,0.008490,0.008485,0.003035,0.005635,0.003682,0.092325,Not run,Not run,Not run,Not run,Not run,0.037847,0.006175,0.008399,Not run,0.008423,0.011095,0.009101,0.006490,0.012321,0.001030,0.011980,0.004894,0.007499,0.026427,0.013238,0.009554,0.051786,0.005944,0.003327,0.019671,0.006717,0.014819,0.021744,0.008264,0.009160,0.007731,Not run,0.007690,0.009174,Not run,0.002170,Not run,0.089141,0.010438,Not run,0.001159,0.006297,0.005632,Not run,Not run,0.005940,0.003775,0.012703,0.002033,0.001325,0.001200,Not run,Not run,Not run,0.000612,0.000702,Not run,Not run,0.073352,Not run
matrix,Base_CUDA,block_256,0.003901,0.002475,0.002519,0.002509,Not run,0.002931,0.001744,0.001934,0.007827,0.008393,0.008403,0.003009,0.005545,0.003670,0.092322,Not run,Not run,Not run,Not run,Not run,0.038139,0.006221,0.008647,Not run,0.008667,0.011120,0.009149,0.006484,0.012337,0.001031,0.012041,0.004878,0.007467,0.026375,0.013274,0.009594,0.053015,0.005947,0.003373,0.019726,0.006781,0.015109,0.022117,0.008316,0.009022,0.007914,Not run,0.007899,0.009214,Not run,0.002170,Not run,0.089441,0.010514,Not run,0.001157,0.006318,0.005654,Not run,Not run,0.005936,0.003770,0.012771,0.002030,0.001339,0.001209,Not run,Not run,Not run,0.000609,0.000702,Not run,Not run,0.078857,Not run
matrix,Base_CUDA,block_256,0.003914,0.002506,0.002495,0.002513,Not run,0.002943,0.001751,0.001933,0.007826,0.008499,0.008518,0.003008,0.005557,0.003679,0.092561,Not run,Not run,Not run,Not run,Not run,0.037792,0.006174,0.008547,Not run,0.008611,0.011215,0.009136,0.006515,0.012306,0.001020,0.012037,0.004888,0.007472,0.026332,0.013030,0.009612,0.052762,0.005934,0.003278,0.019451,0.006788,0.015130,0.022156,0.008220,0.009027,0.007859,Not run,0.007826,0.009201,Not run,0.002161,Not run,0.089143,0.010458,Not run,0.001168,0.006283,0.005632,Not run,Not run,0.005947,0.003750,0.012774,0.002031,0.001326,0.001194,Not run,Not run,Not run,0.000611,0.000698,Not run,Not run,0.080805,Not run
tioga,Base_HIP,block_256,0.008628,0.005283,0.009699,0.010648,Not run,0.007604,0.003474,0.004652,0.016456,0.016377,0.019251,0.007665,0.012154,0.007258,0.275878,Not run,Not run,Not run,Not run,Not run,0.026010,0.014400,0.026567,Not run,0.026381,0.031903,0.020216,0.018352,0.030813,0.001998,0.027561,0.019729,0.029527,0.064054,0.059419,0.024118,0.161026,0.022282,0.012334,0.066699,0.021662,0.043247,0.060997,0.054380,0.020007,0.023804,Not run,0.023595,0.019997,Not run,0.006019,Not run,0.012754,0.024930,Not run,0.005495,0.014161,0.014138,Not run,Not run,0.017677,0.011302,0.029170,0.006801,0.003194,0.001977,Not run,Not run,Not run,0.001116,0.001755,Not run,Not run,0.078518,Not run
tioga,Base_HIP,block_256,0.008639,0.005578,0.009735,0.010748,Not run,0.007818,0.003506,0.004591,0.016358,0.016392,0.019321,0.007692,0.012004,0.007302,0.273624,Not run,Not run,Not run,Not run,Not run,0.025821,0.014533,0.026549,Not run,0.026361,0.031429,0.020319,0.018409,0.030479,0.002059,0.027584,0.019646,0.029302,0.064391,0.059387,0.024165,0.160911,0.022279,0.012381,0.066384,0.022154,0.043509,0.060598,0.054363,0.020127,0.023790,Not run,0.023774,0.020155,Not run,0.006076,Not run,0.012796,0.024801,Not run,0.005503,0.014168,0.014154,Not run,Not run,0.018832,0.011313,0.029200,0.012980,0.003231,0.001991,Not run,Not run,Not run,0.001203,0.001762,Not run,Not run,0.084634,Not run
tioga,Base_HIP,block_256,0.008649,0.005302,0.009715,0.010665,Not run,0.007637,0.003467,0.017487,0.016396,0.016368,0.022404,0.007666,0.012139,0.007272,0.276782,Not run,Not run,Not run,Not run,Not run,0.026009,0.014423,0.026590,Not run,0.026608,0.031880,0.020216,0.018367,0.030861,0.002092,0.027555,0.019927,0.029531,0.065385,0.059317,0.024034,0.160986,0.022307,0.012341,0.066793,0.021675,0.043243,0.060942,0.054425,0.020023,0.023647,Not run,0.023782,0.020110,Not run,0.006056,Not run,0.012778,0.024881,Not run,0.005486,0.014160,0.014155,Not run,Not run,0.017775,0.011308,0.029233,0.006790,0.003185,0.001982,Not run,Not run,Not run,0.001128,0.001759,Not run,Not run,0.078614,Not run
tuolumne,Base_HIP,block_256,0.004557,0.002663,0.004497,0.003578,Not run,0.003263,0.005739,0.002987,0.006288,0.012134,0.012052,0.003529,0.004973,0.005911,0.007440,Not run,Not run,Not run,Not run,Not run,0.010742,0.005641,0.010337,Not run,0.010602,0.013536,0.007965,0.007823,0.009367,0.001446,0.009822,0.009191,0.013513,0.026233,0.031974,0.014202,0.085567,0.010687,0.007656,0.030790,0.011615,0.022640,0.036142,0.030393,0.008038,0.009432,Not run,0.009469,0.008145,Not run,0.003398,Not run,0.006955,0.009281,Not run,0.002266,0.006128,0.006085,Not run,Not run,0.008266,0.005193,0.011652,0.003490,0.002132,0.004480,Not run,Not run,Not run,0.001246,0.001330,Not run,Not run,0.048253,Not run
