machine,Kernel,Kernel,Basic_ARRAY_OF_PTRS,Basic_COPY8,Basic_DAXPY,Basic_DAXPY_ATOMIC,Basic_EMPTY,Basic_IF_QUAD,Basic_INDEXLIST,Basic_INDEXLIST_3LOOP,Basic_INIT3,Basic_INIT_VIEW1D,Basic_INIT_VIEW1D_OFFSET,Basic_MAT_MAT_SHARED,Basic_MULADDSUB,Basic_NESTED_INIT,Basic_PI_ATOMIC,Basic_PI_REDUCE,Basic_REDUCE3_INT,Basic_REDUCE_STRUCT,Basic_TRAP_INT,Basic_MULTI_REDUCE,Lcals_DIFF_PREDICT,Lcals_EOS,Lcals_FIRST_DIFF,Lcals_FIRST_MIN,Lcals_FIRST_SUM,Lcals_GEN_LIN_RECUR,Lcals_HYDRO_1D,Lcals_HYDRO_2D,Lcals_INT_PREDICT,Lcals_PLANCKIAN,Lcals_TRIDIAG_ELIM,Polybench_2MM,Polybench_3MM,Polybench_ADI,Polybench_ATAX,Polybench_FDTD_2D,Polybench_FLOYD_WARSHALL,Polybench_GEMM,Polybench_GEMVER,Polybench_GESUMMV,Polybench_HEAT_3D,Polybench_JACOBI_1D,Polybench_JACOBI_2D,Polybench_MVT,Stream_ADD,Stream_COPY,Stream_DOT,Stream_MUL,Stream_TRIAD,Apps_CONVECTION3DPA,Apps_DEL_DOT_VEC_2D,Apps_DIFFUSION3DPA,Apps_EDGE3D,Apps_ENERGY,Apps_FEMSWEEP,Apps_FIR,Apps_LTIMES,Apps_LTIMES_NOVIEW,Apps_MASS3DEA,Apps_MASS3DPA,Apps_MATVEC_3D_STENCIL,Apps_NODAL_ACCUMULATION_3D,Apps_PRESSURE,Apps_VOL3D,Apps_ZONAL_ACCUMULATION_3D,Algorithm_SCAN,Algorithm_SORT,Algorithm_SORTPAIRS,Algorithm_REDUCE_SUM,Algorithm_MEMSET,Algorithm_MEMCPY,Algorithm_ATOMIC,Algorithm_HISTOGRAM,Comm_HALO_PACKING,Comm_HALO_PACKING_FUSED
borax,Base_Seq,default,0.231526,0.144342,0.079979,0.079989,0.038172,0.206569,0.112718,0.127196,0.224051,0.336359,0.381221,0.124737,0.157162,0.163631,0.017123,0.017618,0.001833,0.006437,0.046956,0.034295,0.305586,0.137983,0.324926,0.028817,0.325634,0.351071,0.215132,0.267597,0.333139,0.036871,0.267585,0.707754,1.066815,0.100558,0.032480,0.173411,0.926234,0.832882,0.008798,0.013901,0.235223,0.525955,0.679346,0.031586,0.213568,0.280875,0.219801,0.290620,0.213467,0.039242,0.226476,0.147456,5.245835,0.485622,0.000000,0.104770,0.343276,0.342216,0.000000,0.031924,0.488328,0.147582,0.300680,0.336010,0.054125,0.022886,0.341191,0.389880,0.003108,0.010161,0.015615,Not run,0.023178,0.039112,Not run
borax,Base_Seq,default,0.232501,0.144890,0.079948,0.079960,0.038047,0.206632,0.112700,0.127011,0.225915,0.337663,0.382668,0.125562,0.155998,0.163694,0.017118,0.018122,0.001829,0.006450,0.046969,0.034283,0.277846,0.137923,0.325031,0.028376,0.327122,0.351995,0.215182,0.267944,0.333786,0.036902,0.267738,0.708279,1.065563,0.100539,0.032467,0.175122,0.926194,0.831511,0.010429,0.013963,0.235234,0.526673,0.679453,0.031599,0.213504,0.280780,0.219745,0.290582,0.213627,0.039200,0.226687,0.147531,5.243358,0.477523,0.000000,0.104691,0.343245,0.342217,0.000000,0.031918,0.487894,0.147618,0.300283,0.335690,0.054185,0.022889,0.341702,0.389487,0.003112,0.010164,0.015599,Not run,0.023225,0.039270,Not run
borax,Base_Seq,default,0.232745,0.143742,0.079926,0.079928,0.038144,0.206578,0.112643,0.126687,0.227389,0.336274,0.381277,0.124540,0.157897,0.163669,0.017130,0.017395,0.001861,0.007399,0.047166,0.034347,0.298147,0.139945,0.323348,0.028423,0.323611,0.344415,0.215158,0.267226,0.315638,0.036939,0.267122,0.709034,1.066127,0.102187,0.032511,0.173483,0.939261,0.833376,0.008826,0.013932,0.235241,0.526034,0.686206,0.031660,0.213857,0.280888,0.225569,0.289066,0.213565,0.039416,0.226441,0.148891,5.246785,0.476709,0.000000,0.104786,0.341921,0.343871,0.000000,0.032042,0.495730,0.147605,0.300390,0.339136,0.054134,0.022938,0.341075,0.389974,0.003121,0.010114,0.015604,Not run,0.023060,0.039018,Not run
borax,Base_Seq,default,0.231391,0.157840,0.079655,0.079674,0.038047,0.206473,0.112699,0.126943,0.223956,0.336143,0.381082,0.123881,0.156804,0.163713,0.017118,0.018385,0.001838,0.006603,0.047010,0.034294,0.283703,0.139033,0.325952,0.028437,0.324879,0.342555,0.215279,0.266003,0.324984,0.038961,0.267034,0.706892,1.063830,0.100513,0.032419,0.173565,0.930224,0.831408,0.008822,0.014105,0.238273,0.524924,0.686401,0.031572,0.213347,0.279909,0.219509,0.289660,0.213837,0.034566,0.226402,0.147492,5.243756,0.491547,0.000000,0.104860,0.343279,0.342190,0.000000,0.032347,0.495963,0.147758,0.301925,0.335963,0.054142,0.022891,0.341299,0.390401,0.003100,0.010117,0.015547,Not run,0.023220,0.039665,Not run
borax,Base_Seq,default,0.232503,0.144024,0.079987,0.080013,0.038091,0.206499,0.112752,0.126861,0.224273,0.336308,0.381138,0.124780,0.156518,0.163731,0.017119,0.017574,0.001835,0.006510,0.046784,0.034293,0.294682,0.137875,0.324897,0.028316,0.326153,0.350937,0.215177,0.263387,0.321311,0.036916,0.267416,0.707200,1.065351,0.100619,0.032536,0.173321,0.926781,0.831111,0.008818,0.013840,0.235365,0.525664,0.679534,0.031590,0.213447,0.280830,0.219539,0.290622,0.213444,0.039811,0.226343,0.147557,5.243514,0.478142,0.000000,0.104757,0.332728,0.342103,0.000000,0.032154,0.488392,0.147598,0.300521,0.339267,0.054150,0.022889,0.341186,0.389964,0.003119,0.010160,0.015611,Not run,0.023174,0.039438,Not run
boraxo,Base_Seq,default,0.228468,0.116892,0.087339,0.087275,0.109225,0.135375,0.163078,0.056815,0.247128,0.229882,0.233337,0.141322,0.169209,0.097301,0.010938,0.010941,0.002032,0.008739,0.027336,0.049292,0.394031,0.177083,0.350317,0.043734,0.352087,0.356551,0.263874,0.409441,0.496360,0.086183,0.353700,0.750056,1.098640,0.132514,0.033903,0.202513,1.003505,0.860952,0.009181,0.021099,0.270547,0.560100,0.765205,0.033714,0.262485,0.315014,0.348660,0.315285,0.262364,0.039522,0.317455,0.187964,6.074113,0.580130,0.000000,0.140001,0.371999,0.404904,0.000000,0.035868,0.610183,0.211056,0.379888,0.450840,0.076583,0.043830,0.526287,0.589896,0.005499,0.009428,0.017663,Not run,0.029832,0.050430,Not run
boraxo,Base_Seq,default,0.230692,0.116689,0.087258,0.087169,0.109221,0.135433,0.163191,0.056879,0.243614,0.229324,0.242177,0.135704,0.168766,0.097541,0.010930,0.010953,0.002281,0.008744,0.027357,0.049851,0.399292,0.176491,0.349877,0.043730,0.351478,0.356610,0.262396,0.409899,0.497081,0.086162,0.354012,0.749948,1.098951,0.132461,0.033953,0.202611,1.009889,0.861070,0.009172,0.021280,0.272916,0.560202,0.765494,0.034030,0.262494,0.314805,0.348537,0.315069,0.261797,0.039595,0.317598,0.187654,6.064296,0.579954,0.000000,0.139980,0.367771,0.407312,0.000000,0.035647,0.616015,0.211046,0.379748,0.449024,0.077953,0.043806,0.526406,0.590515,0.005502,0.009136,0.017503,Not run,0.029704,0.048070,Not run
boraxo,Base_Seq,default,0.229086,0.117097,0.087430,0.087184,0.109253,0.135476,0.163065,0.056436,0.242001,0.229636,0.229234,0.133044,0.170359,0.097624,0.010932,0.010932,0.002010,0.008742,0.027309,0.049293,0.390104,0.176507,0.349163,0.043739,0.350102,0.354207,0.262269,0.404518,0.492206,0.085927,0.354568,0.750470,1.099976,0.132598,0.034106,0.203720,1.032466,0.860464,0.009166,0.021279,0.270948,0.560051,0.765150,0.033761,0.262381,0.314364,0.348504,0.314189,0.261971,0.040415,0.317532,0.189810,6.065313,0.577734,0.000000,0.140022,0.372051,0.404861,0.000000,0.035862,0.611890,0.211093,0.381082,0.450698,0.076401,0.043839,0.526405,0.589865,0.005507,0.009235,0.017479,Not run,0.029790,0.050572,Not run
boraxo,Base_Seq,default,0.236869,0.127594,0.087500,0.087184,0.109241,0.135654,0.163154,0.056846,0.246524,0.235517,0.235862,0.133419,0.169275,0.100099,0.010931,0.010986,0.002277,0.008764,0.027379,0.049863,0.401698,0.179244,0.351276,0.043757,0.354113,0.363836,0.262816,0.405689,0.510903,0.087113,0.354593,0.760318,1.111414,0.133713,0.034446,0.204943,1.011686,0.876364,0.009373,0.021039,0.273532,0.560404,0.771702,0.033882,0.262082,0.315508,0.348312,0.316637,0.262439,0.040234,0.318436,0.188847,6.075717,0.592789,0.000000,0.140071,0.372187,0.406978,0.000000,0.035526,0.625958,0.211122,0.388048,0.449061,0.077856,0.043807,0.526594,0.590582,0.005539,0.010438,0.017561,Not run,0.029735,0.050874,Not run
boraxo,Base_Seq,default,0.227924,0.116726,0.087285,0.087123,0.109222,0.135503,0.163047,0.056575,0.245533,0.229126,0.229181,0.135781,0.170789,0.097570,0.010935,0.010933,0.002204,0.008753,0.027315,0.049296,0.397926,0.177578,0.349984,0.043734,0.351368,0.357100,0.263080,0.401639,0.492854,0.086053,0.356616,0.749097,1.098965,0.132665,0.033861,0.202979,1.023603,0.860481,0.009152,0.021437,0.270786,0.559939,0.764804,0.033740,0.262623,0.315162,0.348325,0.314999,0.262103,0.039895,0.317523,0.189377,6.070970,0.578238,0.000000,0.139976,0.367472,0.404960,0.000000,0.035277,0.617398,0.211084,0.381290,0.450636,0.076561,0.043786,0.526377,0.590385,0.005489,0.009181,0.017508,Not run,0.029793,0.049802,Not run
