machine,Kernel,Kernel,Basic_ARRAY_OF_PTRS,Basic_COPY8,Basic_DAXPY,Basic_DAXPY_ATOMIC,Basic_EMPTY,Basic_IF_QUAD,Basic_INDEXLIST,Basic_INDEXLIST_3LOOP,Basic_INIT3,Basic_INIT_VIEW1D,Basic_INIT_VIEW1D_OFFSET,Basic_MAT_MAT_SHARED,Basic_MULADDSUB,Basic_NESTED_INIT,Basic_PI_ATOMIC,Basic_PI_REDUCE,Basic_REDUCE3_INT,Basic_REDUCE_STRUCT,Basic_TRAP_INT,Basic_MULTI_REDUCE,Lcals_DIFF_PREDICT,Lcals_EOS,Lcals_FIRST_DIFF,Lcals_FIRST_MIN,Lcals_FIRST_SUM,Lcals_GEN_LIN_RECUR,Lcals_HYDRO_1D,Lcals_HYDRO_2D,Lcals_INT_PREDICT,Lcals_PLANCKIAN,Lcals_TRIDIAG_ELIM,Polybench_2MM,Polybench_3MM,Polybench_ADI,Polybench_ATAX,Polybench_FDTD_2D,Polybench_FLOYD_WARSHALL,Polybench_GEMM,Polybench_GEMVER,Polybench_GESUMMV,Polybench_HEAT_3D,Polybench_JACOBI_1D,Polybench_JACOBI_2D,Polybench_MVT,Stream_ADD,Stream_COPY,Stream_DOT,Stream_MUL,Stream_TRIAD,Apps_CONVECTION3DPA,Apps_DEL_DOT_VEC_2D,Apps_DIFFUSION3DPA,Apps_EDGE3D,Apps_ENERGY,Apps_FEMSWEEP,Apps_FIR,Apps_LTIMES,Apps_LTIMES_NOVIEW,Apps_MASS3DEA,Apps_MASS3DPA,Apps_MATVEC_3D_STENCIL,Apps_NODAL_ACCUMULATION_3D,Apps_PRESSURE,Apps_VOL3D,Apps_ZONAL_ACCUMULATION_3D,Algorithm_SCAN,Algorithm_SORT,Algorithm_SORTPAIRS,Algorithm_REDUCE_SUM,Algorithm_MEMSET,Algorithm_MEMCPY,Algorithm_ATOMIC,Algorithm_HISTOGRAM,Comm_HALO_PACKING,Comm_HALO_PACKING_FUSED
corona,Base_Seq,default,1.079292,0.271091,0.373356,0.393647,0.306155,1.774780,0.536703,0.585552,0.814720,1.510947,1.361274,1.694387,0.559056,0.739528,0.076970,0.076926,0.019588,0.070531,0.210894,0.168991,0.764667,0.766762,1.543519,0.080057,1.594278,1.109715,1.011819,0.768529,1.274788,0.682427,1.200461,10.942758,19.326632,0.297781,0.186521,1.143537,11.202553,16.156245,0.046275,0.159249,1.114985,2.742884,4.285806,0.187231,0.956143,1.383850,2.156656,1.369881,1.008996,0.409076,0.872249,1.203588,24.636657,1.299257,0.000000,0.981128,0.892174,0.890321,0.000000,0.285545,1.512835,0.679165,1.608227,0.626496,0.217277,0.108184,1.871620,2.017923,0.046443,0.020745,0.074577,Not run,0.106508,0.167104,Not run
corona,Base_Seq,default,1.078715,0.281161,0.359625,0.373005,0.308469,1.777743,0.543844,0.586706,0.813959,1.521791,1.374805,1.695537,0.561035,0.744761,0.076948,0.076779,0.019572,0.073834,0.211258,0.170008,0.763427,0.826036,1.505270,0.072972,1.525783,1.140333,1.065465,0.774653,1.300199,0.688478,1.194127,8.915226,14.358602,0.327299,0.267177,1.466155,16.028299,21.301808,0.055949,0.171162,1.490277,3.872607,4.706238,0.220656,1.013160,1.455684,2.224326,1.348789,1.221993,0.409808,0.879096,1.201518,24.870901,1.464808,0.000000,0.986044,0.898651,0.899894,0.000000,0.302232,1.519508,0.692342,1.908490,0.640016,0.241850,0.141156,1.905710,2.091025,0.050860,0.045876,0.074336,Not run,0.108283,0.205059,Not run
corona,Base_Seq,default,1.074216,0.269684,0.376041,0.395457,0.306018,1.779567,0.541106,0.583110,0.819418,1.508621,1.374835,1.717471,0.553616,0.760709,0.076036,0.075470,0.019645,0.070842,0.208050,0.168188,0.763733,0.837153,1.508962,0.088393,1.633178,1.124707,0.961321,0.737879,1.288976,0.687768,1.190657,10.186323,18.143868,0.322718,0.232090,1.080230,11.709084,14.314552,0.058719,0.172544,1.112192,2.405128,3.463862,0.239931,0.982403,1.423629,2.134527,1.424621,1.001890,0.409869,0.872115,1.226994,24.731227,1.312878,0.000000,0.969334,0.891837,0.888033,0.000000,0.297969,1.507317,0.680154,1.590264,0.631734,0.219260,0.108450,1.891622,2.036337,0.049580,0.034591,0.075171,Not run,0.106665,0.195607,Not run
matrix,Base_Seq,default,0.835288,0.302940,0.298297,0.241733,0.132035,1.157385,0.405796,0.463915,1.070886,1.102276,0.950282,1.249887,0.767508,0.574608,0.053747,0.052809,0.014866,0.059152,0.135318,0.120652,1.186630,0.698870,1.343168,0.106230,1.015477,1.364351,1.000410,0.730555,1.356507,0.334136,1.199042,4.366023,6.675034,0.335324,0.120260,0.829826,7.591342,5.733840,0.043223,0.088444,0.750755,2.353363,2.927550,0.117877,1.027782,1.286825,1.398524,1.295990,0.994541,0.205513,0.530145,0.546183,14.169198,1.081156,0.000000,0.561198,0.580519,0.390616,0.000000,0.145422,1.047848,0.590841,1.433119,0.719890,0.128336,0.078482,1.355481,1.539832,0.027374,0.025429,0.064975,Not run,0.094683,0.249489,Not run
matrix,Base_Seq,default,0.869978,0.371087,0.312940,0.235507,0.132063,1.127014,0.406721,0.464625,1.115652,1.093169,0.919209,1.241638,0.860140,0.575503,0.053807,0.052819,0.015759,0.066620,0.134468,0.109208,0.891899,0.622854,1.364884,0.106287,0.998672,1.366270,1.029482,0.722853,1.385461,0.320660,1.212469,4.489954,6.732846,0.332986,0.122410,0.872584,7.798420,6.158217,0.032777,0.112668,0.751452,2.106849,2.960107,0.118793,1.005465,1.301657,1.402966,1.289875,0.988583,0.206819,0.503307,0.551081,14.074422,1.111053,0.000000,0.561506,0.550467,0.390723,0.000000,0.131887,1.024591,0.577687,1.471626,0.717876,0.130886,0.077494,1.343243,1.538752,0.027226,0.022670,0.066056,Not run,0.093013,0.191829,Not run
matrix,Base_Seq,default,0.864291,0.305238,0.315211,0.254141,0.132082,1.129148,0.406156,0.467901,1.080237,1.079840,0.922022,1.248466,0.778195,0.590079,0.053730,0.052813,0.014775,0.058733,0.134542,0.107186,0.927815,0.698215,1.375111,0.106226,1.101767,1.354145,1.000784,0.719380,1.326754,0.344099,1.200658,4.484518,7.164929,0.333840,0.121211,0.845618,7.830615,6.096825,0.031484,0.089820,0.743890,2.192133,3.003949,0.117439,1.003574,1.247038,1.362081,1.238989,0.979286,0.215224,0.503676,0.552717,14.225165,1.090812,0.000000,0.561121,0.578899,0.390950,0.000000,0.132106,1.064650,0.593294,1.478180,0.718815,0.130599,0.079070,1.368647,1.530552,0.027281,0.025187,0.065164,Not run,0.092903,0.202421,Not run
tioga,Base_Seq,default,1.674049,0.251781,0.176297,0.193670,0.324316,1.823657,0.518345,0.478092,0.618853,1.413655,1.326032,1.556373,0.446563,0.626723,0.073172,0.073739,0.016733,0.052023,0.218677,0.200012,0.846286,0.687765,0.767256,0.047318,0.824823,1.015060,0.641342,0.623015,1.057619,0.644005,0.802312,6.035162,9.061821,0.301581,0.195552,0.590226,4.541902,7.246201,0.048431,0.125340,1.032458,1.301397,2.425039,0.194658,0.577753,0.650406,2.013642,0.658064,0.588949,0.327558,0.907990,0.945075,21.460794,1.029510,0.000000,1.024999,0.772300,0.771208,0.000000,0.262511,1.486354,0.785992,1.165061,0.613162,0.163357,0.101901,2.082951,2.236141,0.049139,0.017301,0.034709,Not run,0.026168,0.083726,Not run
tioga,Base_Seq,default,1.691936,0.279827,0.179550,0.198270,0.324359,1.829228,0.518261,0.483381,0.648396,1.411407,1.325162,1.560431,0.466478,0.624457,0.073220,0.073923,0.017706,0.052159,0.218247,0.199710,0.841984,0.691993,0.775038,0.047670,0.847192,1.020520,0.683370,0.646739,1.048320,0.642095,0.802854,6.121321,9.251673,0.303977,0.195098,0.634822,4.633120,7.151777,0.047311,0.131141,0.932905,1.410881,2.460378,0.194795,0.577563,0.676367,2.014110,0.674369,0.594061,0.330811,0.910843,0.952981,21.615259,1.026925,0.000000,1.024045,0.772162,0.772412,0.000000,0.263369,1.469773,0.787164,1.177352,0.617470,0.163209,0.102194,2.084179,2.239230,0.049141,0.017237,0.037195,Not run,0.028126,0.097818,Not run
tioga,Base_Seq,default,1.699539,0.282391,0.173782,0.189983,0.324234,1.823064,0.518038,0.482670,0.626083,1.412740,1.326346,1.574850,0.463143,0.627412,0.073129,0.073807,0.016729,0.052194,0.219142,0.199838,0.830908,0.693798,0.750085,0.048643,0.852823,0.879260,0.618499,0.654047,1.047863,0.643217,0.776526,6.071963,9.020899,0.304303,0.195330,0.597761,4.687193,7.035811,0.048133,0.126094,0.933728,1.328061,2.419756,0.195297,0.558201,0.636261,2.008468,0.640564,0.593071,0.281160,0.908698,0.960176,21.484431,1.021481,0.000000,1.025460,0.771468,0.771954,0.000000,0.262378,1.463659,0.786951,1.210322,0.622018,0.163477,0.102280,2.083469,2.239893,0.049123,0.017465,0.035191,Not run,0.026263,0.087875,Not run
tuolumne,Base_Seq,default,1.436536,0.226120,0.177550,0.177740,0.272649,1.521556,0.454259,0.399722,0.682000,1.154278,1.076943,1.231945,0.466201,0.518324,0.061470,0.068814,0.012665,0.042431,0.185560,0.165125,0.678245,0.618051,0.780335,0.081745,0.815823,1.053878,0.802559,0.936306,1.238366,0.479739,1.009647,5.104881,7.440636,0.298046,0.163061,0.760909,6.506326,7.447813,0.041025,0.112735,1.011618,1.915827,4.269818,0.164449,1.154895,1.181178,1.771397,1.122670,1.229658,0.337933,0.758782,0.913062,17.077286,1.305031,0.000001,0.800157,0.628916,0.627414,0.000000,0.190216,1.728939,0.719718,1.323596,0.597319,0.278600,0.082981,1.695293,1.839134,0.041352,0.013910,0.049163,Not run,0.018566,0.075829,Not run
