machine,core,Kernel,Kernel,Basic_ARRAY_OF_PTRS,Basic_COPY8,Basic_DAXPY,Basic_DAXPY_ATOMIC,Basic_EMPTY,Basic_IF_QUAD,Basic_INDEXLIST,Basic_INDEXLIST_3LOOP,Basic_INIT3,Basic_INIT_VIEW1D,Basic_INIT_VIEW1D_OFFSET,Basic_MAT_MAT_SHARED,Basic_MULADDSUB,Basic_NESTED_INIT,Basic_PI_ATOMIC,Basic_PI_REDUCE,Basic_REDUCE3_INT,Basic_REDUCE_STRUCT,Basic_TRAP_INT,Basic_MULTI_REDUCE,Lcals_DIFF_PREDICT,Lcals_EOS,Lcals_FIRST_DIFF,Lcals_FIRST_MIN,Lcals_FIRST_SUM,Lcals_GEN_LIN_RECUR,Lcals_HYDRO_1D,Lcals_HYDRO_2D,Lcals_INT_PREDICT,Lcals_PLANCKIAN,Lcals_TRIDIAG_ELIM,Polybench_2MM,Polybench_3MM,Polybench_ADI,Polybench_ATAX,Polybench_FDTD_2D,Polybench_FLOYD_WARSHALL,Polybench_GEMM,Polybench_GEMVER,Polybench_GESUMMV,Polybench_HEAT_3D,Polybench_JACOBI_1D,Polybench_JACOBI_2D,Polybench_MVT,Stream_ADD,Stream_COPY,Stream_DOT,Stream_MUL,Stream_TRIAD,Apps_CONVECTION3DPA,Apps_DEL_DOT_VEC_2D,Apps_DIFFUSION3DPA,Apps_EDGE3D,Apps_ENERGY,Apps_FEMSWEEP,Apps_FIR,Apps_LTIMES,Apps_LTIMES_NOVIEW,Apps_MASS3DEA,Apps_MASS3DPA,Apps_MATVEC_3D_STENCIL,Apps_NODAL_ACCUMULATION_3D,Apps_PRESSURE,Apps_VOL3D,Apps_ZONAL_ACCUMULATION_3D,Algorithm_SCAN,Algorithm_SORT,Algorithm_SORTPAIRS,Algorithm_REDUCE_SUM,Algorithm_MEMSET,Algorithm_MEMCPY,Algorithm_ATOMIC,Algorithm_HISTOGRAM,Comm_HALO_PACKING,Comm_HALO_PACKING_FUSED
borax,72,Base_OpenMP,default,0.020928,0.005383,0.009226,0.038609,0.016586,0.010569,0.004767,0.008417,0.026681,0.047375,0.047433,0.009823,0.019407,0.020557,0.937143,0.001605,0.003017,0.003431,0.002954,0.673623,0.015678,0.013939,0.034840,0.007036,0.035005,0.108063,0.027022,0.012521,0.020228,0.003523,0.026455,0.031375,0.046684,0.004303,0.005731,0.022918,0.100421,0.038489,0.004694,0.002617,0.027503,0.058263,0.076731,0.002226,0.020043,0.030776,0.035189,0.033322,0.026611,0.002557,0.009673,0.006359,0.178576,0.019716,0.000000,0.006306,0.010429,0.010267,0.000001,0.002079,0.024859,0.047770,0.023442,0.012496,0.004668,0.003004,Not run,Not run,0.001184,0.001876,0.002087,Not run,0.224305,0.378469,Not run
borax,32,Base_OpenMP,default,0.030959,0.007047,0.012806,0.070576,0.009112,0.018347,0.007665,0.010771,0.027064,0.039736,0.039827,0.015045,0.019696,0.018367,1.069555,0.002018,0.001217,0.001388,0.004382,1.143113,0.020817,0.014939,0.046602,0.003195,0.046576,0.066764,0.031307,0.022054,0.024718,0.003710,0.027913,0.068295,0.103736,0.006632,0.007846,0.029404,0.107295,0.078472,0.003608,0.003030,0.043177,0.064548,0.098352,0.003542,0.031178,0.041130,0.038369,0.042347,0.031472,0.003473,0.018512,0.011392,0.399673,0.029645,0.000000,0.009563,0.019752,0.019505,0.000000,0.002891,0.047450,0.104012,0.039561,0.024859,0.005310,0.003750,Not run,Not run,0.000747,0.001331,0.002720,Not run,0.370827,0.182756,Not run
borax,16,Base_OpenMP,default,0.026408,0.007179,0.012289,0.062827,0.006573,0.018369,0.010560,0.013505,0.031774,0.034865,0.036694,0.015342,0.022985,0.016048,0.614289,0.001853,0.000699,0.001421,0.004072,0.524860,0.025888,0.018233,0.044450,0.003372,0.044341,0.090897,0.030096,0.022805,0.024808,0.004617,0.026370,0.056785,0.085623,0.010318,0.005134,0.026431,0.099555,0.066854,0.003613,0.003763,0.032961,0.060565,0.076858,0.003370,0.029873,0.039508,0.035947,0.040656,0.029907,0.003887,0.018258,0.013209,0.438014,0.033462,0.000000,0.010609,0.029427,0.029122,0.000000,0.003039,0.039647,0.097068,0.042494,0.026835,0.005989,0.004219,Not run,Not run,0.000634,0.001037,0.002598,Not run,0.156915,0.112012,Not run
borax,8,Base_OpenMP,default,0.058910,0.031666,0.012903,0.122018,0.007265,0.033590,0.018234,0.021998,0.035427,0.054678,0.058603,0.021093,0.024317,0.025920,0.807123,0.002854,0.000483,0.001172,0.007590,0.313366,0.057502,0.022605,0.052175,0.004737,0.052181,0.058773,0.034004,0.045313,0.055436,0.006549,0.041980,0.112330,0.169796,0.016158,0.005739,0.028303,0.148454,0.132184,0.002106,0.002334,0.043564,0.083868,0.110227,0.005285,0.033701,0.044274,0.035688,0.046702,0.033782,0.005802,0.034973,0.023095,0.873666,0.084744,0.000000,0.019913,0.056605,0.055069,0.000000,0.005031,0.103493,0.192431,0.046692,0.052413,0.009706,0.005604,Not run,Not run,0.000578,0.001669,0.002469,Not run,0.170422,0.039544,Not run
borax,4,Base_OpenMP,default,0.100303,0.043825,0.022784,0.220136,0.011607,0.059568,0.032891,0.039737,0.062966,0.095764,0.102888,0.037339,0.044470,0.045458,0.678948,0.005048,0.000623,0.002044,0.013477,0.318737,0.104261,0.040927,0.090770,0.008356,0.092057,0.103201,0.059926,0.082324,0.102534,0.011699,0.075545,0.203641,0.307387,0.029129,0.009700,0.049514,0.263107,0.239074,0.003272,0.004040,0.075120,0.148850,0.193955,0.009326,0.059997,0.079518,0.064658,0.081778,0.060473,0.010254,0.063187,0.041443,1.570093,0.149279,0.000000,0.035782,0.101069,0.098095,0.000000,0.009080,0.187404,0.347943,0.083079,0.094780,0.017441,0.010221,Not run,Not run,0.000961,0.002925,0.004405,Not run,0.122671,0.030824,Not run
borax,72,Base_OpenMP,default,0.020339,0.005390,0.009555,0.039285,0.017284,0.010486,0.004739,0.008666,0.018497,0.048488,0.048917,0.009953,0.013029,0.021060,1.062177,0.001585,0.003084,0.003465,0.002946,0.690737,0.015481,0.019413,0.036238,0.007309,0.038330,0.108749,0.021163,0.012271,0.021299,0.002652,0.036271,0.031259,0.048935,0.004279,0.005682,0.023588,0.103775,0.041542,0.004600,0.002736,0.028302,0.059951,0.082995,0.002186,0.024092,0.033647,0.036238,0.032885,0.021112,0.002139,0.009587,0.005995,0.178590,0.020563,0.000000,0.006335,0.010424,0.010267,0.000000,0.002069,0.024548,0.047848,0.033160,0.012395,0.004518,0.003084,Not run,Not run,0.001237,0.001899,0.002071,Not run,0.213869,0.390681,Not run
borax,32,Base_OpenMP,default,0.030507,0.007035,0.012979,0.070643,0.009066,0.018223,0.007710,0.010704,0.023762,0.039843,0.039895,0.015035,0.019322,0.018394,1.069176,0.001982,0.001165,0.001358,0.004333,1.121925,0.021668,0.015005,0.046908,0.003145,0.046788,0.066572,0.031796,0.021962,0.025440,0.003564,0.033320,0.061260,0.100104,0.006528,0.007817,0.029737,0.107522,0.080966,0.003680,0.003125,0.034690,0.071253,0.098303,0.003565,0.031712,0.041900,0.040253,0.042782,0.032004,0.003385,0.018434,0.011180,0.399642,0.029721,0.000000,0.009508,0.019767,0.019498,0.000000,0.002839,0.048385,0.103974,0.029682,0.024731,0.005240,0.003737,Not run,Not run,0.000727,0.001331,0.002685,Not run,0.375035,0.185607,Not run
borax,16,Base_OpenMP,default,0.026195,0.007098,0.011860,0.062765,0.006276,0.018155,0.010444,0.013438,0.031477,0.035174,0.036941,0.015385,0.022829,0.015844,0.684560,0.001650,0.000651,0.001355,0.004075,0.551418,0.025506,0.014922,0.043742,0.003340,0.043768,0.090520,0.029382,0.022680,0.024460,0.004601,0.025940,0.056717,0.088421,0.010169,0.005341,0.026136,0.105628,0.066786,0.003703,0.003713,0.030407,0.065505,0.083119,0.003288,0.029387,0.038694,0.035565,0.039324,0.029437,0.003760,0.018169,0.012061,0.438712,0.033101,0.000000,0.010539,0.029435,0.028634,0.000000,0.002971,0.039818,0.096967,0.041343,0.027085,0.005811,0.004057,Not run,Not run,0.000613,0.001014,0.002488,Not run,0.155912,0.112164,Not run
borax,8,Base_OpenMP,default,0.058300,0.030518,0.012906,0.122027,0.007179,0.033603,0.018274,0.022069,0.035413,0.054700,0.058637,0.020919,0.024049,0.025902,0.739257,0.002857,0.000463,0.001176,0.007510,0.299438,0.056308,0.022587,0.052251,0.004737,0.052255,0.059083,0.033913,0.045729,0.053086,0.006545,0.041975,0.112382,0.169755,0.016141,0.005787,0.028292,0.148763,0.132195,0.002044,0.002328,0.043798,0.083799,0.111175,0.005284,0.033717,0.044341,0.035646,0.046707,0.033809,0.005803,0.034971,0.023064,0.875023,0.083059,0.000001,0.019977,0.056603,0.055077,0.000000,0.005058,0.104307,0.192432,0.046726,0.053249,0.009740,0.005615,Not run,Not run,0.000583,0.001680,0.002460,Not run,0.160645,0.039947,Not run
borax,4,Base_OpenMP,default,0.100895,0.043041,0.022729,0.220017,0.011592,0.060496,0.032899,0.039760,0.063740,0.095665,0.102726,0.037306,0.044277,0.045392,0.636622,0.005003,0.000623,0.002038,0.013504,0.310120,0.102355,0.041083,0.090870,0.008311,0.091919,0.103448,0.060048,0.085098,0.095981,0.011704,0.075292,0.203843,0.307546,0.029297,0.009691,0.049588,0.262866,0.239111,0.003258,0.004031,0.075296,0.148253,0.194841,0.009363,0.060251,0.079332,0.064554,0.081903,0.060346,0.010266,0.063213,0.041470,1.570306,0.147622,0.000000,0.035873,0.100719,0.098085,0.000000,0.009065,0.188025,0.347776,0.083017,0.096537,0.017433,0.010220,Not run,Not run,0.000947,0.002842,0.004391,Not run,0.127139,0.031384,Not run
