machine, rep, sz, n_threads, Basic_ARRAY_OF_PTRS, Basic_COPY8, Basic_DAXPY, Basic_DAXPY_ATOMIC, Basic_EMPTY, Basic_IF_QUAD, Basic_INDEXLIST, Basic_INDEXLIST_3LOOP, Basic_INIT3, Basic_INIT_VIEW1D, Basic_INIT_VIEW1D_OFFSET, Basic_MAT_MAT_SHARED, Basic_MULADDSUB, Basic_NESTED_INIT, Basic_PI_ATOMIC, Basic_PI_REDUCE, Basic_REDUCE3_INT, Basic_REDUCE_STRUCT, Basic_TRAP_INT, Basic_MULTI_REDUCE, Lcals_DIFF_PREDICT, Lcals_EOS, Lcals_FIRST_DIFF, Lcals_FIRST_MIN, Lcals_FIRST_SUM, Lcals_GEN_LIN_RECUR, Lcals_HYDRO_1D, Lcals_HYDRO_2D, Lcals_INT_PREDICT, Lcals_PLANCKIAN, Lcals_TRIDIAG_ELIM, Polybench_2MM, Polybench_3MM, Polybench_ADI, Polybench_ATAX, Polybench_FDTD_2D, Polybench_FLOYD_WARSHALL, Polybench_GEMM, Polybench_GEMVER, Polybench_GESUMMV, Polybench_HEAT_3D, Polybench_JACOBI_1D, Polybench_JACOBI_2D, Polybench_MVT, Stream_ADD, Stream_COPY, Stream_DOT, Stream_MUL, Stream_TRIAD, Apps_CONVECTION3DPA, Apps_DEL_DOT_VEC_2D, Apps_DIFFUSION3DPA, Apps_EDGE3D, Apps_ENERGY, Apps_FEMSWEEP, Apps_FIR, Apps_LTIMES, Apps_LTIMES_NOVIEW, Apps_MASS3DEA, Apps_MASS3DPA, Apps_MATVEC_3D_STENCIL, Apps_NODAL_ACCUMULATION_3D, Apps_PRESSURE, Apps_VOL3D, Apps_ZONAL_ACCUMULATION_3D, Algorithm_SCAN, Algorithm_SORT, Algorithm_SORTPAIRS, Algorithm_REDUCE_SUM, Algorithm_MEMSET, Algorithm_MEMCPY, Algorithm_ATOMIC, Algorithm_HISTOGRAM, Comm_HALO_PACKING, Comm_HALO_PACKING_FUSED
tuolumne-cpu, 0.5, 0.5, 96, 0.003950, 0.001730, 0.004115, 0.008223, 0.007173, 0.004370, 0.002063, 0.004010, 0.005286, 0.026084, 0.025895, 0.018585, 0.004165, 0.010767, 0.837748, 0.001006, 0.000733, 0.001448, 0.001588, 0.256148, 0.005980, 0.006533, 0.015247, 0.001476, 0.015314, 0.048655, 0.008482, 0.006609, 0.005550, 0.002990, 0.007831, 0.012800, 0.017890, 0.003758, 0.002301, 0.018434, 0.044331, 0.013711, 0.003235, 0.001517, 0.063151, 0.027151, 0.075285, 0.001246, 0.007476, 0.013284, 0.027979, 0.013200, 0.007199, 0.001780, 0.004658, 0.004045, 0.088976, 0.005531, 0.000000, 0.006008, 0.005501, 0.004106, 0.000001, 0.001583, 0.007294, 0.014065, 0.010754, 0.003698, 0.001548, 0.002023, , , 0.001060, 0.000841, 0.000936, , 0.092059, 0.181401, 
tuolumne-cpu, 0.5, 0.5, 48, 0.004362, 0.001602, 0.004003, 0.011255, 0.006467, 0.004568, 0.002002, 0.003926, 0.005195, 0.024628, 0.024762, 0.012002, 0.004157, 0.010442, 0.383570, 0.000922, 0.000640, 0.001143, 0.001521, 0.191640, 0.004826, 0.005920, 0.014436, 0.001443, 0.014175, 0.047362, 0.007564, 0.005348, 0.005425, 0.003654, 0.007748, 0.015927, 0.022803, 0.003911, 0.002579, 0.013029, 0.043228, 0.016648, 0.002870, 0.001643, 0.047047, 0.025615, 0.058485, 0.001631, 0.007054, 0.011544, 0.029830, 0.011845, 0.006922, 0.001663, 0.004626, 0.004389, 0.094145, 0.005311, 0.000000, 0.006255, 0.005809, 0.005158, 0.000000, 0.001514, 0.007539, 0.012487, 0.010146, 0.003900, 0.001564, 0.002076, , , 0.000906, 0.000788, 0.001054, , 0.087595, 0.165570, 
tuolumne-cpu, 0.5, 0.5, 32, 0.007491, 0.001675, 0.003537, 0.013658, 0.006145, 0.005583, 0.002011, 0.003748, 0.005408, 0.024745, 0.025917, 0.014594, 0.004288, 0.010023, 0.365331, 0.000963, 0.000530, 0.001244, 0.001863, 0.163571, 0.006031, 0.006205, 0.012650, 0.001484, 0.012353, 0.047991, 0.006878, 0.006648, 0.006415, 0.004434, 0.007384, 0.024351, 0.034692, 0.005443, 0.002684, 0.012717, 0.037147, 0.025518, 0.003603, 0.001461, 0.050734, 0.022085, 0.060780, 0.002175, 0.006154, 0.010172, 0.030543, 0.010143, 0.006033, 0.002210, 0.007119, 0.006688, 0.140850, 0.006997, 0.000000, 0.007864, 0.007701, 0.006811, 0.000000, 0.001914, 0.010745, 0.016615, 0.012166, 0.005121, 0.001545, 0.002079, , , 0.000879, 0.000761, 0.000945, , 0.083132, 0.128011, 
tuolumne-cpu, 0.5, 0.5, 16, 0.016628, 0.002209, 0.003345, 0.021965, 0.007005, 0.010052, 0.002743, 0.004841, 0.006540, 0.031383, 0.031562, 0.017167, 0.005316, 0.012849, 0.324498, 0.001286, 0.000413, 0.001852, 0.003104, 0.167385, 0.007982, 0.009519, 0.013256, 0.001233, 0.013180, 0.049481, 0.007721, 0.009194, 0.009547, 0.008554, 0.009042, 0.040512, 0.060326, 0.008750, 0.003661, 0.011468, 0.037086, 0.045616, 0.004722, 0.002335, 0.042756, 0.025127, 0.055643, 0.003128, 0.006891, 0.009687, 0.037020, 0.009715, 0.006827, 0.004250, 0.012119, 0.013640, 0.280949, 0.012614, 0.000000, 0.014352, 0.013199, 0.011475, 0.000000, 0.003267, 0.021583, 0.030050, 0.020184, 0.009058, 0.002548, 0.002423, , , 0.001040, 0.000625, 0.000740, , 0.071432, 0.085618, 
tuolumne-cpu, 0.5, 0.5, 8, 0.047507, 0.006142, 0.004573, 0.041630, 0.010481, 0.033722, 0.010693, 0.011361, 0.008893, 0.048801, 0.048787, 0.025028, 0.007072, 0.018180, 0.270070, 0.002252, 0.000471, 0.002737, 0.005915, 0.093088, 0.014310, 0.016399, 0.019099, 0.001721, 0.019852, 0.054940, 0.012552, 0.015326, 0.022913, 0.015789, 0.013929, 0.076938, 0.114938, 0.010242, 0.005507, 0.014470, 0.051593, 0.087261, 0.003905, 0.003366, 0.038514, 0.034855, 0.066601, 0.005193, 0.010348, 0.014784, 0.058170, 0.014441, 0.010544, 0.008550, 0.023466, 0.027329, 0.560269, 0.024277, 0.000001, 0.025224, 0.023248, 0.020137, 0.000000, 0.005933, 0.063465, 0.056320, 0.035240, 0.016041, 0.004052, 0.003464, , , 0.001452, 0.000701, 0.000904, , 0.054811, 0.064914, 
tuolumne-cpu, 0.5, 0.5, 4, 0.096820, 0.020900, 0.007049, 0.078395, 0.017145, 0.090507, 0.023287, 0.026993, 0.016141, 0.088042, 0.088044, 0.045597, 0.012362, 0.032412, 0.278081, 0.004173, 0.000586, 0.005123, 0.011516, 0.061809, 0.043668, 0.030942, 0.025978, 0.002617, 0.028388, 0.024635, 0.019290, 0.046802, 0.076796, 0.031681, 0.023201, 0.151227, 0.227604, 0.015203, 0.009849, 0.020341, 0.081634, 0.172939, 0.002654, 0.006113, 0.048059, 0.053384, 0.106668, 0.009811, 0.017686, 0.021482, 0.103057, 0.021589, 0.017687, 0.015255, 0.046743, 0.059075, 1.120158, 0.060025, 0.000000, 0.049895, 0.045717, 0.039373, 0.000001, 0.011757, 0.187613, 0.111867, 0.065045, 0.031843, 0.007426, 0.006114, , , 0.002572, 0.000923, 0.001170, , 0.057699, 0.011602, 
borax, 0.5, 0.5, any min, 0.019473, 0.005409, 0.009605, 0.038975, 0.006384, 0.010524, 0.004745, 0.008678, 0.021138, 0.035137, 0.036979, 0.009878, 0.015213, 0.015960, 0.642930, 0.001607, 0.000478, 0.001175, 0.002901, 0.301762, 0.015580, 0.014973, 0.035720, 0.003189, 0.036645, 0.058995, 0.025130, 0.012441, 0.020582, 0.002966, 0.026166, 0.031262, 0.047391, 0.004270, 0.005269, 0.023346, 0.102650, 0.040473, 0.002062, 0.002333, 0.028146, 0.059514, 0.081052, 0.002209, 0.021567, 0.031337, 0.035575, 0.033054, 0.024908, 0.002408, 0.009681, 0.006161, 0.178614, 0.019978, , 0.006329, 0.010433, 0.010274, , 0.002075, 0.024658, 0.047824, 0.026681, 0.012457, 0.004522, 0.003046, , , 0.000583, 0.001024, 0.002087, , 0.127177, 0.030901, 
boraxo, 0.5, 0.5, any min, 0.014073, 0.004464, 0.004872, 0.039313, 0.006785, 0.006423, 0.004408, 0.004914, 0.010578, 0.018706, 0.018536, 0.010144, 0.007482, 0.007886, 0.922343, 0.001173, 0.000340, 0.000897, 0.002022, 0.421649, 0.011648, 0.009406, 0.019306, 0.003599, 0.019324, 0.053394, 0.011811, 0.011492, 0.016878, 0.002178, 0.015059, 0.046901, 0.060775, 0.004329, 0.005961, 0.012192, 0.050670, 0.053419, 0.002433, 0.002226, 0.018275, 0.034477, 0.052609, 0.002422, 0.010929, 0.015350, 0.021972, 0.015705, 0.010732, 0.001826, 0.009183, 0.005289, 0.156245, 0.015001, , 0.006956, 0.009139, 0.009756, , 0.001649, 0.030725, 0.052021, 0.013500, 0.012734, 0.003526, 0.002652, , , 0.000663, 0.000785, 0.000951, , 0.169827, 0.040353, 
corona-cpu, 0.5, 0.5, any min, 0.004832, 0.003834, 0.004041, 0.018607, 0.005758, 0.006667, 0.004207, 0.007805, 0.008477, 0.033320, 0.021299, 0.007780, 0.007907, 0.015988, 0.298792, 0.001693, 0.000542, 0.001302, 0.002407, 0.085240, 0.008865, 0.007839, 0.014897, 0.002115, 0.017317, 0.061256, 0.012061, 0.008316, 0.010548, 0.002457, 0.013855, 0.015028, 0.021332, 0.005610, 0.002681, 0.011182, 0.047046, 0.017986, 0.003377, 0.001672, 0.025968, 0.025629, 0.050014, 0.002039, 0.012295, 0.014253, 0.019821, 0.017537, 0.012329, 0.002491, 0.006520, 0.003978, 0.086685, 0.008416, , 0.005958, 0.004756, 0.004750, , 0.002043, 0.011295, 0.014781, 0.012366, 0.008228, 0.003893, 0.002483, , , 0.000592, 0.000800, 0.001125, , 0.070259, 0.044043, 
dane, 0.5, 0.5, any min, 0.002733, 0.001484, 0.002494, 0.014849, 0.003885, 0.002614, 0.002280, 0.002303, 0.005601, 0.009544, 0.009540, 0.003300, 0.004001, 0.003901, 0.463578, 0.000624, 0.000204, 0.000445, 0.000910, 0.180548, 0.004753, 0.004080, 0.008798, 0.001986, 0.008894, 0.024520, 0.006212, 0.004011, 0.004140, 0.000914, 0.006048, 0.005775, 0.008000, 0.002005, 0.001288, 0.006303, 0.028148, 0.007146, 0.001052, 0.000677, 0.011579, 0.014425, 0.025729, 0.000889, 0.004584, 0.007319, 0.008968, 0.007456, 0.004573, 0.000857, 0.002907, 0.002007, 0.032819, 0.004175, , 0.002161, 0.002796, 0.002702, , 0.000712, 0.005575, 0.016509, 0.006602, 0.003888, 0.001413, 0.001055, , , 0.000245, 0.000418, 0.000481, , 0.100088, 0.020582, 
mammoth, 0.5, 0.5, any min, 0.004403, 0.002997, 0.004352, 0.016748, 0.004903, 0.004732, 0.003364, 0.005939, 0.007049, 0.023080, 0.017085, 0.007516, 0.005803, 0.011454, 0.540802, 0.001082, 0.000565, 0.001354, 0.001696, 0.121278, 0.007454, 0.008041, 0.014810, 0.002102, 0.014981, 0.050615, 0.009313, 0.007236, 0.009915, 0.002161, 0.010315, 0.012081, 0.014469, 0.004752, 0.002315, 0.011277, 0.043259, 0.012432, 0.002282, 0.001347, 0.019121, 0.024946, 0.042307, 0.001604, 0.008463, 0.012423, 0.016159, 0.012812, 0.008600, 0.002352, 0.004898, 0.004173, 0.056892, 0.007951, , 0.004410, 0.004581, 0.004564, , 0.001845, 0.010163, 0.013946, 0.010265, 0.008089, 0.002734, 0.002004, , , 0.000544, 0.000710, 0.001064, , 0.077479, 0.038318, 
matrix-cpu, 0.5, 0.5, any min, 0.002373, 0.001389, 0.002180, 0.012720, 0.003472, 0.002660, 0.002229, 0.002122, 0.006762, 0.008443, 0.008421, 0.002518, 0.004809, 0.004264, 0.471090, 0.000606, 0.000246, 0.000445, 0.000945, 0.181985, 0.004473, 0.004323, 0.008322, 0.002043, 0.008539, 0.026486, 0.005442, 0.004138, 0.004138, 0.000796, 0.005337, 0.006762, 0.008095, 0.002265, 0.001269, 0.006012, 0.027862, 0.008610, 0.001051, 0.000652, 0.011429, 0.013502, 0.024596, 0.000881, 0.004469, 0.006877, 0.008622, 0.006991, 0.004440, 0.000827, 0.002561, 0.001754, 0.031308, 0.003692, , 0.002111, 0.002284, 0.002279, , 0.000683, 0.004501, 0.016092, 0.006563, 0.003187, 0.001595, 0.001047, , , 0.000240, 0.000410, 0.000453, , 0.099918, 0.020084, 
tioga-cpu, 0.5, 0.5, any min, 0.008663, 0.005279, 0.002432, 0.005976, 0.004070, 0.003553, 0.001369, 0.002353, 0.003798, 0.013047, 0.012222, 0.010165, 0.004485, 0.006553, 0.661204, 0.000519, 0.000311, 0.000861, 0.001389, 0.171003, 0.010107, 0.005513, 0.008000, 0.000740, 0.009452, 0.037587, 0.006161, 0.008095, 0.019617, 0.003997, 0.005906, 0.018346, 0.028413, 0.003312, 0.001312, 0.006391, 0.023615, 0.022908, 0.001672, 0.000990, 0.014798, 0.014793, 0.025486, 0.001055, 0.004920, 0.007988, 0.014185, 0.007572, 0.005044, 0.002509, 0.004680, 0.006211, 0.130844, 0.008614, , 0.006402, 0.007804, 0.006646, , 0.001860, 0.016399, 0.006751, 0.011022, 0.004308, 0.001717, 0.001131, , , 0.000478, 0.000438, 0.000623, , 0.106704, 0.021066, 
tuolumne-cpu, 0.5, 0.5, any min, 0.002167, 0.001240, 0.003345, 0.006370, 0.006145, 0.002804, 0.001762, 0.003289, 0.004438, 0.021555, 0.023163, 0.012002, 0.004157, 0.010023, 0.270070, 0.000799, 0.000413, 0.001143, 0.001118, 0.061809, 0.003767, 0.005306, 0.012650, 0.001233, 0.012353, 0.024635, 0.006878, 0.004940, 0.004395, 0.001988, 0.007384, 0.008134, 0.009684, 0.002511, 0.002183, 0.011468, 0.037086, 0.007711, 0.002654, 0.001353, 0.037332, 0.022085, 0.053951, 0.001246, 0.006154, 0.009687, 0.025103, 0.009715, 0.006033, 0.001212, 0.002997, 0.003455, 0.046076, 0.003288, 0.000001, 0.004485, 0.004474, 0.003548, 0.000001, 0.001290, 0.004321, 0.012487, 0.008166, 0.002644, 0.001347, 0.001711, , , 0.000879, 0.000625, 0.000740, , 0.054811, 0.011602, 
borax, 0.5, 0.5, any max, 0.100908, 0.043496, 0.022743, 0.220089, 0.016609, 0.060133, 0.032915, 0.039736, 0.063172, 0.095761, 0.102834, 0.037449, 0.044383, 0.045410, 1.097182, 0.005019, 0.003045, 0.003432, 0.013481, 1.149255, 0.100525, 0.040849, 0.091232, 0.008335, 0.091572, 0.108865, 0.060233, 0.082958, 0.096824, 0.011708, 0.074996, 0.203733, 0.307086, 0.029195, 0.009687, 0.049640, 0.262560, 0.239250, 0.004681, 0.004058, 0.075451, 0.148094, 0.194521, 0.009345, 0.060228, 0.079412, 0.064887, 0.082005, 0.060283, 0.010303, 0.063203, 0.041559, 1.571350, 0.147937, , 0.035839, 0.100840, 0.098101, , 0.009077, 0.187915, 0.347874, 0.083053, 0.095844, 0.017417, 0.010225, , , 0.001207, 0.002896, 0.004407, , 0.377053, 0.386409, 
boraxo, 0.5, 0.5, any max, 0.065419, 0.032742, 0.022138, 0.264283, 0.014716, 0.034571, 0.041180, 0.017615, 0.062383, 0.047123, 0.046385, 0.034259, 0.043863, 0.022584, 2.979364, 0.002860, 0.003072, 0.003332, 0.006953, 1.248733, 0.092363, 0.045911, 0.088970, 0.011105, 0.089239, 0.099439, 0.068750, 0.105133, 0.130547, 0.021660, 0.092003, 0.182809, 0.269750, 0.033343, 0.014070, 0.053282, 0.212699, 0.219743, 0.005153, 0.011273, 0.072066, 0.145759, 0.199158, 0.008443, 0.068349, 0.080191, 0.088349, 0.080222, 0.068290, 0.010354, 0.078623, 0.045637, 1.504871, 0.151947, , 0.031406, 0.095101, 0.093342, , 0.009104, 0.166839, 0.416987, 0.098905, 0.115803, 0.019694, 0.013116, , , 0.001441, 0.001778, 0.004436, , 0.373383, 0.384350, 
corona-cpu, 0.5, 0.5, any max, 0.060112, 0.031911, 0.011717, 0.169928, 0.018035, 0.024628, 0.031364, 0.035966, 0.019530, 0.101937, 0.054868, 0.021013, 0.013814, 0.051720, 0.714348, 0.004917, 0.002271, 0.003242, 0.013662, 0.346418, 0.068915, 0.019448, 0.045786, 0.004931, 0.045973, 0.191989, 0.024510, 0.051639, 0.094518, 0.007374, 0.029390, 0.122931, 0.187293, 0.027918, 0.006101, 0.031069, 0.135141, 0.148962, 0.005953, 0.003736, 0.067211, 0.071935, 0.143624, 0.005375, 0.022027, 0.040580, 0.051394, 0.041916, 0.031098, 0.007754, 0.042615, 0.034177, 1.114237, 0.116941, , 0.024932, 0.057019, 0.056999, , 0.007606, 0.112293, 0.268639, 0.033814, 0.064857, 0.012305, 0.007591, , , 0.001423, 0.002356, 0.002564, , 0.100927, 0.504287, 
dane, 0.5, 0.5, any max, 0.050491, 0.038890, 0.010939, 0.160803, 0.020951, 0.020482, 0.024294, 0.008998, 0.039003, 0.051056, 0.051463, 0.014985, 0.027433, 0.021274, 9.861194, 0.002717, 0.015210, 0.015494, 0.004282, 1.166859, 0.103001, 0.028755, 0.042753, 0.029982, 0.042680, 0.074628, 0.037351, 0.061603, 0.101839, 0.005200, 0.056616, 0.082459, 0.122992, 0.019504, 0.006544, 0.033669, 0.125586, 0.099094, 0.003477, 0.002688, 0.028676, 0.083668, 0.105936, 0.003187, 0.036728, 0.038407, 0.096827, 0.038958, 0.036792, 0.005968, 0.029685, 0.020826, 0.652906, 0.121901, , 0.014211, 0.028754, 0.028517, , 0.004577, 0.088905, 0.254057, 0.058029, 0.040507, 0.009292, 0.004565, , , 0.002382, 0.002215, 0.002290, , 0.356993, 0.652838, 
mammoth, 0.5, 0.5, any max, 0.072198, 0.049568, 0.030254, 0.169720, 0.047408, 0.024330, 0.031303, 0.036432, 0.030800, 0.126221, 0.128129, 0.022692, 0.022364, 0.051322, 0.808925, 0.005286, 0.005947, 0.006816, 0.013598, 0.449955, 0.123233, 0.032872, 0.113691, 0.013341, 0.116761, 0.182981, 0.060966, 0.058803, 0.169940, 0.007329, 0.061977, 0.123312, 0.187658, 0.027056, 0.012524, 0.076746, 0.355333, 0.149225, 0.007457, 0.007355, 0.071441, 0.181464, 0.285849, 0.006364, 0.060832, 0.102598, 0.128860, 0.104570, 0.060935, 0.008604, 0.042371, 0.034490, 1.115332, 0.162959, , 0.025239, 0.057113, 0.056906, , 0.008213, 0.115468, 0.269086, 0.044201, 0.065029, 0.012177, 0.007843, , , 0.003269, 0.005341, 0.006086, , 0.110515, 1.239423, 
matrix-cpu, 0.5, 0.5, any max, 0.047615, 0.033432, 0.114627, 0.162312, 0.230144, 0.041863, 0.035548, 0.080818, 0.113783, 0.547555, 0.568885, 0.015035, 0.079645, 0.228057, 1.051335, 0.011930, 0.012246, 0.012347, 0.011991, 0.476994, 0.088523, 0.116175, 0.450334, 0.035046, 0.449073, 0.242591, 0.226230, 0.058729, 0.094831, 0.011611, 0.227804, 0.087538, 0.123843, 0.024110, 0.045963, 0.290200, 1.267063, 0.099363, 0.018498, 0.027506, 0.194041, 0.723415, 0.902874, 0.021766, 0.223287, 0.403036, 0.457971, 0.404020, 0.228188, 0.011903, 0.028927, 0.021111, 0.661537, 0.118671, , 0.038249, 0.028570, 0.028321, , 0.011603, 0.086907, 0.258155, 0.156440, 0.040427, 0.023320, 0.034676, , , 0.011368, 0.023203, 0.023314, , 0.178445, 6.427265, 
tioga-cpu, 0.5, 0.5, any max, 0.064905, 0.038037, 0.015622, 0.119337, 0.020831, 0.110506, 0.033717, 0.038691, 0.026975, 0.112765, 0.112740, 0.058475, 0.022436, 0.039715, 3.180332, 0.004600, 0.000781, 0.006203, 0.014044, 1.084753, 0.077644, 0.048120, 0.043210, 0.003084, 0.044954, 0.118625, 0.032256, 0.040480, 0.087914, 0.040704, 0.039812, 0.183484, 0.276214, 0.018329, 0.012355, 0.032759, 0.118928, 0.209607, 0.003406, 0.008882, 0.066359, 0.078681, 0.146333, 0.012059, 0.030911, 0.033985, 0.127877, 0.037219, 0.026339, 0.018732, 0.066189, 0.057752, 1.444208, 0.075665, , 0.065403, 0.059728, 0.048657, , 0.014923, 0.120019, 0.134918, 0.094772, 0.040120, 0.011799, 0.009676, , , 0.003237, 0.003193, 0.004500, , 0.146068, 0.059603, 
tuolumne-cpu, 0.5, 0.5, any max, 0.096820, 0.020900, 0.007049, 0.078395, 0.017145, 0.090507, 0.023287, 0.026993, 0.016141, 0.088042, 0.088044, 0.045597, 0.012362, 0.032412, 0.942124, 0.004173, 0.000733, 0.005123, 0.011516, 0.477622, 0.043668, 0.030942, 0.025978, 0.002617, 0.028388, 0.054940, 0.019290, 0.046802, 0.076796, 0.031681, 0.023201, 0.151227, 0.227604, 0.015203, 0.009849, 0.020341, 0.081634, 0.172939, 0.004722, 0.006113, 0.063151, 0.053384, 0.106668, 0.009811, 0.017686, 0.021482, 0.103057, 0.021589, 0.017687, 0.015255, 0.046743, 0.059075, 1.120158, 0.060025, 0.000001, 0.049895, 0.045717, 0.039373, 0.000001, 0.011757, 0.187613, 0.111867, 0.065045, 0.031843, 0.007426, 0.006114, , , 0.002572, 0.000923, 0.001170, , 0.117821, 0.190321, 
borax, 0.5, 0.5, 72 (full), 0.019473, 0.005409, 0.009605, 0.038975, 0.016609, 0.010524, 0.004745, 0.008678, 0.021138, 0.048134, 0.047547, 0.009878, 0.015213, 0.020835, 0.977974, 0.001607, 0.003045, 0.003432, 0.002901, 0.674960, 0.015580, 0.015717, 0.035720, 0.007221, 0.036645, 0.108865, 0.025130, 0.012441, 0.020582, 0.002966, 0.029738, 0.031262, 0.047391, 0.004270, 0.005695, 0.023346, 0.102650, 0.040473, 0.004681, 0.002697, 0.028146, 0.059514, 0.081052, 0.002209, 0.021567, 0.031337, 0.036829, 0.033054, 0.024908, 0.002408, 0.009681, 0.006161, 0.178614, 0.019978, 0.000000, 0.006329, 0.010433, 0.010274, 0.000000, 0.002075, 0.024658, 0.047824, 0.026681, 0.012457, 0.004522, 0.003046, 0.000000, 0.000000, 0.001207, 0.001899, 0.002087, 0.000000, 0.215783, 0.386409, 0.000000
boraxo, 0.5, 0.5, 72 (full), 0.014073, 0.004464, 0.007514, 0.039313, 0.013930, 0.006423, 0.004408, 0.005805, 0.010578, 0.035595, 0.035304, 0.010144, 0.007482, 0.014493, 2.979364, 0.001450, 0.003072, 0.003332, 0.002022, 0.784127, 0.011648, 0.009406, 0.028965, 0.006902, 0.029088, 0.097232, 0.015799, 0.011492, 0.016878, 0.002178, 0.015810, 0.046901, 0.060775, 0.004329, 0.014070, 0.019244, 0.084868, 0.065686, 0.005153, 0.002639, 0.018275, 0.049541, 0.067551, 0.002422, 0.015296, 0.025676, 0.037138, 0.025582, 0.015005, 0.001826, 0.009183, 0.005289, 0.156245, 0.015001, 0.000000, 0.006956, 0.009139, 0.009756, 0.000000, 0.001649, 0.030725, 0.052021, 0.013500, 0.012734, 0.003526, 0.002652, 0.000000, 0.000000, 0.001116, 0.001509, 0.001644, 0.000000, 0.318773, 0.384350, 0.000000
corona-cpu, 0.5, 0.5, 96 (full), 0.004832, 0.003834, 0.011717, 0.018607, 0.018035, 0.006667, 0.004207, 0.008750, 0.014290, 0.057443, 0.053461, 0.007780, 0.010137, 0.023029, 0.714348, 0.001693, 0.002271, 0.002869, 0.002407, 0.346418, 0.008865, 0.013781, 0.045786, 0.004931, 0.045973, 0.100995, 0.024510, 0.008316, 0.013035, 0.002457, 0.022825, 0.015028, 0.021332, 0.005610, 0.005586, 0.031069, 0.135141, 0.017986, 0.005953, 0.002801, 0.067211, 0.071935, 0.143624, 0.002979, 0.022027, 0.040580, 0.051394, 0.041916, 0.021961, 0.002491, 0.006520, 0.003978, 0.086685, 0.008416, 0.000000, 0.005958, 0.004756, 0.004750, 0.000000, 0.002043, 0.011295, 0.014781, 0.018153, 0.008228, 0.003992, 0.003378, 0.000000, 0.000000, 0.001423, 0.002356, 0.002564, 0.000000, 0.083781, 0.504287, 0.000000
dane, 0.5, 0.5, 224 (full), 0.002733, 0.001945, 0.010939, 0.018345, 0.020951, 0.004863, 0.003625, 0.008546, 0.011444, 0.051056, 0.051463, 0.004082, 0.008160, 0.021274, 9.861194, 0.002717, 0.015210, 0.015494, 0.003229, 1.166859, 0.006470, 0.011110, 0.042753, 0.029982, 0.042680, 0.051700, 0.021414, 0.004011, 0.009379, 0.001412, 0.021444, 0.005775, 0.008000, 0.002243, 0.006544, 0.033669, 0.125586, 0.007146, 0.002670, 0.002688, 0.027454, 0.083668, 0.105936, 0.002596, 0.023082, 0.038407, 0.096827, 0.038958, 0.021311, 0.001522, 0.003695, 0.002765, 0.032819, 0.004835, 0.000000, 0.004600, 0.003205, 0.003194, 0.000000, 0.001387, 0.005575, 0.016509, 0.015698, 0.004188, 0.002489, 0.003146, 0.000000, 0.000000, 0.002382, 0.002215, 0.002290, 0.000000, 0.302533, 0.652838, 0.000000
mammoth, 0.5, 0.5, 256 (full), 0.006202, 0.004461, 0.030254, 0.031826, 0.047408, 0.012806, 0.007355, 0.019777, 0.030800, 0.126221, 0.128129, 0.012402, 0.022364, 0.049269, 0.808925, 0.003193, 0.005947, 0.006816, 0.003511, 0.449955, 0.013690, 0.032872, 0.113691, 0.013341, 0.116761, 0.105072, 0.060966, 0.011243, 0.024206, 0.004539, 0.061977, 0.012081, 0.014469, 0.006005, 0.012524, 0.076746, 0.355333, 0.012432, 0.007457, 0.007355, 0.070487, 0.181464, 0.285849, 0.006364, 0.060832, 0.102598, 0.128860, 0.104570, 0.060935, 0.004864, 0.009521, 0.006158, 0.056892, 0.011891, 0.000000, 0.011536, 0.006024, 0.005859, 0.000000, 0.003707, 0.014156, 0.014152, 0.044201, 0.012358, 0.007567, 0.007032, 0.000000, 0.000000, 0.003269, 0.005341, 0.006086, 0.000000, 0.086272, 1.239423, 0.000000
matrix-cpu, 0.5, 0.5, 224 (full), 0.013531, 0.011931, 0.114627, 0.121763, 0.230144, 0.041863, 0.035548, 0.080818, 0.113783, 0.547555, 0.568885, 0.005800, 0.079645, 0.228057, 1.051335, 0.011930, 0.012246, 0.012347, 0.011991, 0.443091, 0.041299, 0.116175, 0.450334, 0.035046, 0.449073, 0.242591, 0.226230, 0.025273, 0.092993, 0.011611, 0.227804, 0.007384, 0.009189, 0.008461, 0.045963, 0.290200, 1.267063, 0.009565, 0.018498, 0.027506, 0.194041, 0.723415, 0.902874, 0.021766, 0.223287, 0.403036, 0.457971, 0.404020, 0.228188, 0.011903, 0.024195, 0.012510, 0.033870, 0.031862, 0.000000, 0.038249, 0.013869, 0.013822, 0.000000, 0.011603, 0.025928, 0.043470, 0.156440, 0.024879, 0.023320, 0.034676, 0.000000, 0.000000, 0.011368, 0.023203, 0.023314, 0.000000, 0.178445, 6.427265, 0.000000
