machine, rep, sz, n_threads, Basic_ARRAY_OF_PTRS, Basic_COPY8, Basic_DAXPY, Basic_DAXPY_ATOMIC, Basic_EMPTY, Basic_IF_QUAD, Basic_INDEXLIST, Basic_INDEXLIST_3LOOP, Basic_INIT3, Basic_INIT_VIEW1D, Basic_INIT_VIEW1D_OFFSET, Basic_MAT_MAT_SHARED, Basic_MULADDSUB, Basic_NESTED_INIT, Basic_PI_ATOMIC, Basic_PI_REDUCE, Basic_REDUCE3_INT, Basic_REDUCE_STRUCT, Basic_TRAP_INT, Basic_MULTI_REDUCE, Lcals_DIFF_PREDICT, Lcals_EOS, Lcals_FIRST_DIFF, Lcals_FIRST_MIN, Lcals_FIRST_SUM, Lcals_GEN_LIN_RECUR, Lcals_HYDRO_1D, Lcals_HYDRO_2D, Lcals_INT_PREDICT, Lcals_PLANCKIAN, Lcals_TRIDIAG_ELIM, Polybench_2MM, Polybench_3MM, Polybench_ADI, Polybench_ATAX, Polybench_FDTD_2D, Polybench_FLOYD_WARSHALL, Polybench_GEMM, Polybench_GEMVER, Polybench_GESUMMV, Polybench_HEAT_3D, Polybench_JACOBI_1D, Polybench_JACOBI_2D, Polybench_MVT, Stream_ADD, Stream_COPY, Stream_DOT, Stream_MUL, Stream_TRIAD, Apps_CONVECTION3DPA, Apps_DEL_DOT_VEC_2D, Apps_DIFFUSION3DPA, Apps_EDGE3D, Apps_ENERGY, Apps_FEMSWEEP, Apps_FIR, Apps_LTIMES, Apps_LTIMES_NOVIEW, Apps_MASS3DEA, Apps_MASS3DPA, Apps_MATVEC_3D_STENCIL, Apps_NODAL_ACCUMULATION_3D, Apps_PRESSURE, Apps_VOL3D, Apps_ZONAL_ACCUMULATION_3D, Algorithm_SCAN, Algorithm_SORT, Algorithm_SORTPAIRS, Algorithm_REDUCE_SUM, Algorithm_MEMSET, Algorithm_MEMCPY, Algorithm_ATOMIC, Algorithm_HISTOGRAM, Comm_HALO_PACKING, Comm_HALO_PACKING_FUSED
corona-cpu, 0.5, 1.0, 1, 0.296835, 0.139753, 0.112776, 0.125865, 0.076719, 0.253344, 0.267789, 0.279330, 0.419547, 0.780698, 0.780805, 0.217207, 0.374035, 0.247371, 0.040920, 0.040643, 0.002010, 0.017890, 0.105100, 0.085363, 0.450265, 0.356570, 0.549091, 0.035833, 0.584406, 0.513155, 0.498787, 0.441850, 0.632885, 0.060745, 0.670789, 1.544640, 2.374911, 0.236889, 0.049817, 0.584552, 2.451062, 1.824221, 0.011267, 0.042659, 0.350053, 0.843151, 1.297515, 0.042986, 0.595643, 0.498394, 0.563148, 0.489593, 0.538929, 0.124836, 0.360601, 0.433020, 8.822026, 0.991022, 0.000000, 0.130062, 0.457866, 0.455188, 0.000000, 0.063582, 0.876869, 0.329226, 0.673179, 0.527648, 0.113566, 0.054166, 0.866361, 0.973845, 0.005855, 0.006515, 0.023723, , 0.053898, 0.037851, 
corona-cpu, 0.5, 2.0, 1, 0.635822, 0.277848, 0.377791, 0.378802, 0.153196, 0.509681, 0.536606, 0.609599, 0.835185, 1.742202, 1.855661, 1.329322, 0.568982, 0.573518, 0.082151, 0.081437, 0.003883, 0.040798, 0.210181, 0.170191, 0.883750, 0.616421, 1.611765, 0.094231, 1.609459, 1.158067, 1.001385, 0.940707, 1.258218, 0.119708, 1.267390, 8.727206, 14.033669, 0.459748, 0.164362, 1.026987, 12.082130, 10.592634, 0.041657, 0.102259, 0.817022, 2.580397, 3.161242, 0.172017, 1.118450, 1.479232, 1.576823, 1.535143, 1.107667, 0.241428, 0.720160, 0.823942, 17.288620, 1.933007, 0.000000, 0.276837, 0.915310, 0.909905, 0.000000, 0.129895, 1.742720, 0.681758, 1.430021, 1.027538, 0.228611, 0.113070, 1.803043, 2.030568, 0.018000, 0.034959, 0.078568, , 0.110330, 0.200875, 
dane, 0.5, 0.5, 1, 0.105279, 0.073383, 0.053227, 0.053200, 0.066135, 0.081445, 0.101385, 0.030300, 0.158798, 0.137655, 0.137770, 0.059034, 0.113303, 0.060752, 0.006611, 0.006990, 0.000924, 0.005127, 0.016859, 0.026805, 0.220595, 0.104163, 0.211835, 0.026472, 0.216275, 0.239257, 0.155492, 0.197860, 0.283957, 0.015893, 0.211396, 0.344697, 0.516337, 0.081850, 0.015592, 0.119481, 0.657424, 0.413636, 0.004486, 0.012355, 0.109516, 0.368414, 0.432302, 0.014904, 0.155566, 0.190470, 0.196441, 0.190681, 0.155286, 0.021230, 0.106778, 0.085132, 2.622873, 0.337410, 0.000000, 0.044609, 0.112959, 0.113549, 0.000000, 0.017902, 0.257513, 0.142897, 0.225614, 0.157878, 0.027439, 0.013280, 0.307119, 0.336144, 0.002433, 0.005424, 0.010581, , 0.023868, 0.022904, 
dane, 0.5, 1.0, 1, 0.201893, 0.158128, 0.106746, 0.106664, 0.132249, 0.165808, 0.203206, 0.060818, 0.449576, 0.286120, 0.286243, 0.143656, 0.331969, 0.114018, 0.013223, 0.013669, 0.002641, 0.010188, 0.033390, 0.053555, 0.586556, 0.272886, 0.431207, 0.053008, 0.439320, 0.665479, 0.345912, 0.464504, 0.627719, 0.041615, 0.549247, 1.351830, 2.105002, 0.165142, 0.040339, 0.260143, 1.720424, 1.857126, 0.010499, 0.023933, 0.219722, 0.722750, 0.886450, 0.038435, 0.349328, 0.385801, 0.394096, 0.384552, 0.350662, 0.055401, 0.213997, 0.194023, 5.187803, 0.694438, 0.000000, 0.089404, 0.226049, 0.227165, 0.000000, 0.035896, 0.529826, 0.290436, 0.634791, 0.312569, 0.058758, 0.027175, 0.648741, 0.708883, 0.004969, 0.011362, 0.021466, , 0.047203, 0.044439, 
dane, 0.5, 2.0, 1, 0.414028, 0.328352, 0.259469, 0.259156, 0.264428, 0.337285, 0.406423, 0.137629, 1.190810, 0.578631, 0.578554, 0.455035, 0.880239, 0.238821, 0.026436, 0.026983, 0.005767, 0.030659, 0.066466, 0.110342, 1.137539, 0.660418, 1.305959, 0.106063, 1.330980, 2.085127, 0.967780, 0.866748, 1.273596, 0.091469, 1.255960, 4.096583, 6.645870, 0.357990, 0.089882, 0.734204, 7.455237, 6.112398, 0.022802, 0.065754, 0.624344, 2.172299, 2.560442, 0.085754, 0.983355, 1.148100, 1.033413, 1.167475, 0.976940, 0.126355, 0.429186, 0.410599, 10.173409, 1.463810, 0.000000, 0.191251, 0.452282, 0.454321, 0.000000, 0.077834, 1.052956, 0.582060, 1.397988, 0.614213, 0.139189, 0.072791, 1.352132, 1.499128, 0.010337, 0.022998, 0.063329, , 0.093289, 0.198864, 
mammoth, 0.5, 0.5, 1, 0.140720, 0.065492, 0.027814, 0.029246, 0.038334, 0.114412, 0.134595, 0.131786, 0.143209, 0.392132, 0.392331, 0.078373, 0.092178, 0.132643, 0.020225, 0.020209, 0.001112, 0.003878, 0.052811, 0.042776, 0.214521, 0.097587, 0.120395, 0.017847, 0.119929, 0.182962, 0.108567, 0.223637, 0.296136, 0.029746, 0.170846, 0.492366, 0.754213, 0.115227, 0.021377, 0.090173, 0.396112, 0.596248, 0.005589, 0.011983, 0.130278, 0.223742, 0.416542, 0.019997, 0.126785, 0.101414, 0.124612, 0.108883, 0.128883, 0.048893, 0.179065, 0.264829, 4.467471, 0.465489, 0.000000, 0.061157, 0.229321, 0.227829, 0.000000, 0.031776, 0.429802, 0.166791, 0.232923, 0.262978, 0.048832, 0.024118, 0.410420, 0.459326, 0.002903, 0.003404, 0.005890, , 0.026890, 0.021266, 
mammoth, 0.5, 1.0, 1, 0.284330, 0.129373, 0.101886, 0.120705, 0.076805, 0.238265, 0.268720, 0.277406, 0.379727, 0.783848, 0.785094, 0.219800, 0.285021, 0.249098, 0.040269, 0.040541, 0.002046, 0.015806, 0.105600, 0.085062, 0.435362, 0.303688, 0.484166, 0.036058, 0.523252, 0.465368, 0.443177, 0.435336, 0.594799, 0.059015, 0.605664, 1.535910, 2.350608, 0.238297, 0.049020, 0.443703, 2.239419, 1.868733, 0.012226, 0.036142, 0.321086, 0.738550, 1.193904, 0.045108, 0.494725, 0.456731, 0.536672, 0.467811, 0.485216, 0.128199, 0.357310, 0.442032, 8.828466, 0.921216, 0.000000, 0.128423, 0.458495, 0.455340, 0.000000, 0.063787, 0.873925, 0.329030, 0.609485, 0.526598, 0.110242, 0.054066, 0.867871, 0.971469, 0.005851, 0.006658, 0.022508, , 0.054161, 0.040426, 
mammoth, 0.5, 2.0, 1, 0.603720, 0.259252, 0.332786, 0.337001, 0.154092, 0.476398, 0.537459, 0.593904, 0.741910, 1.693859, 1.808623, 1.277590, 0.503612, 0.548305, 0.080853, 0.081440, 0.004056, 0.035727, 0.210590, 0.169542, 0.882507, 0.555785, 1.399505, 0.090532, 1.416255, 1.034337, 0.891653, 0.896837, 1.173884, 0.118590, 1.121577, 8.266427, 13.479947, 0.460990, 0.158599, 0.838902, 10.007600, 10.547757, 0.041934, 0.087395, 0.711197, 2.210817, 2.895909, 0.171117, 0.986039, 1.318112, 1.413952, 1.374628, 0.994258, 0.232875, 0.711154, 0.838370, 17.304898, 1.802172, 0.000000, 0.270098, 0.916354, 0.910396, 0.000000, 0.129369, 1.727178, 0.684520, 1.267751, 1.026356, 0.218058, 0.109278, 1.805934, 2.025125, 0.016758, 0.031613, 0.069346, , 0.109768, 0.186985, 
matrix, 0.5, 0.5, 1, 0.003766, 0.000831, 0.000944, 0.004118, , 0.000826, 0.001122, 0.001088, 0.001518, 0.004063, 0.004071, 0.000585, 0.001133, 0.001944, 0.026461, , , , , , 0.009547, 0.001222, 0.003559, , 0.003570, 0.002758, 0.002016, 0.004798, 0.003291, 0.000366, 0.002090, 0.004072, 0.001192, 0.015519, 0.006739, 0.002632, 0.011240, 0.000857, 0.007134, 0.005898, 0.002201, 0.006403, 0.008687, 0.005240, 0.002046, 0.003343, , 0.003361, 0.002011, , 0.000638, , 0.029804, 0.002557, , 0.000477, 0.005018, 0.004624, , , 0.001932, 0.001134, 0.006301, 0.003536, 0.000465, 0.000634, , , , 0.000373, 0.000386, , , 0.070245, 
matrix, 0.5, 1.0, 1, 0.002143, 0.001424, 0.001289, 0.001577, , 0.001595, 0.001345, 0.001312, 0.003413, 0.005503, 0.005512, 0.001259, 0.002466, 0.002788, 0.048690, , , , , , 0.019071, 0.001961, 0.004750, , 0.004752, 0.004925, 0.002682, 0.003549, 0.006607, 0.000568, 0.003584, 0.002013, 0.002983, 0.015185, 0.009401, 0.003517, 0.019315, 0.001944, 0.002513, 0.011369, 0.003339, 0.008718, 0.012272, 0.007856, 0.002704, 0.004387, , 0.004386, 0.002709, , 0.001301, , 0.046138, 0.005297, , 0.000681, 0.003320, 0.002949, , , 0.003342, 0.001932, 0.006633, 0.001143, 0.000593, 0.000823, , , , 0.000453, 0.000481, , , 0.073189, 
matrix, 0.5, 2.0, 1, 0.003927, 0.002513, 0.002492, 0.002512, , 0.002947, 0.001777, 0.001930, 0.007832, 0.008461, 0.008469, 0.003017, 0.005579, 0.003677, 0.092403, , , , , , 0.037926, 0.006190, 0.008531, , 0.008567, 0.011143, 0.009129, 0.006496, 0.012321, 0.001027, 0.012019, 0.004887, 0.007479, 0.026378, 0.013181, 0.009587, 0.052521, 0.005942, 0.003326, 0.019616, 0.006762, 0.015019, 0.022006, 0.008267, 0.009070, 0.007835, , 0.007805, 0.009196, , 0.002167, , 0.089242, 0.010470, , 0.001161, 0.006299, 0.005639, , , 0.005941, 0.003765, 0.012749, 0.002031, 0.001330, 0.001201, , , , 0.000611, 0.000701, , , 0.077671, 
matrix-cpu, 0.5, 0.5, 1, 0.101548, 0.069229, 0.053641, 0.055545, 0.066178, 0.082112, 0.100995, 0.030723, 0.162019, 0.143248, 0.143569, 0.060909, 0.114997, 0.064715, 0.006640, 0.007135, 0.001020, 0.005246, 0.017372, 0.026754, 0.224931, 0.106963, 0.213857, 0.027334, 0.220261, 0.241295, 0.158267, 0.195851, 0.289464, 0.016388, 0.214982, 0.355415, 0.527768, 0.081838, 0.016661, 0.120749, 0.692084, 0.415911, 0.004728, 0.012969, 0.111191, 0.372358, 0.441301, 0.015984, 0.158675, 0.191920, 0.200673, 0.194196, 0.158570, 0.021611, 0.108504, 0.086103, 2.642097, 0.344893, 0.000000, 0.044394, 0.112911, 0.114860, 0.000000, 0.018050, 0.263880, 0.142816, 0.232758, 0.158245, 0.028146, 0.013462, 0.309396, 0.337216, 0.002536, 0.005620, 0.010668, , 0.024083, 0.023935, 
matrix-cpu, 0.5, 1.0, 1, 0.202000, 0.150974, 0.107938, 0.107847, 0.132632, 0.166849, 0.204561, 0.062293, 0.447849, 0.289429, 0.292127, 0.145996, 0.340207, 0.116244, 0.013566, 0.013764, 0.002862, 0.010628, 0.033552, 0.054204, 0.523831, 0.271169, 0.441880, 0.053778, 0.452836, 0.692816, 0.360541, 0.447105, 0.622652, 0.040718, 0.565990, 1.367250, 2.116967, 0.165756, 0.041099, 0.269107, 1.777793, 1.823311, 0.010741, 0.024685, 0.230338, 0.748305, 0.929168, 0.039676, 0.359746, 0.395311, 0.404863, 0.395871, 0.359055, 0.058145, 0.218691, 0.201496, 5.214045, 0.714801, 0.000000, 0.090307, 0.226187, 0.227620, 0.000000, 0.036872, 0.525194, 0.292514, 0.643560, 0.316838, 0.062516, 0.028035, 0.651949, 0.715949, 0.005087, 0.011470, 0.021773, , 0.047388, 0.044408, 
matrix-cpu, 0.5, 2.0, 1, 0.418721, 0.317239, 0.257275, 0.257927, 0.265888, 0.342024, 0.408629, 0.137940, 1.149599, 0.602307, 0.602062, 0.472024, 0.845739, 0.251705, 0.026412, 0.027014, 0.006310, 0.030522, 0.066562, 0.109061, 0.970550, 0.643263, 1.332620, 0.106194, 1.349621, 2.034679, 0.965851, 0.851012, 1.279285, 0.091675, 1.251512, 4.237487, 6.813053, 0.358084, 0.092717, 0.706369, 7.565005, 6.232169, 0.023558, 0.064460, 0.657816, 2.224020, 2.635216, 0.089063, 0.982644, 1.157398, 1.025263, 1.187122, 0.978315, 0.132968, 0.427305, 0.419336, 10.237007, 1.490943, 0.000000, 0.190914, 0.453943, 0.456650, 0.000000, 0.078745, 1.047652, 0.584096, 1.399265, 0.616110, 0.143293, 0.077857, 1.358331, 1.504109, 0.010791, 0.024067, 0.063335, , 0.093764, 0.193739, 
tioga, 0.5, 0.5, 1, 0.002838, 0.001801, 0.001857, 0.002592, , 0.002530, 0.009723, 0.001763, 0.005928, 0.005248, 0.009033, 0.005406, 0.007242, 0.002739, 0.101219, , , , , , 0.006972, 0.010415, 0.010788, , 0.009553, 0.007605, 0.006055, 0.008777, 0.010950, 0.000997, 0.008057, 0.003491, 0.004966, 0.025803, 0.015250, 0.010369, 0.027741, 0.003695, 0.003944, 0.035191, 0.005609, 0.011209, 0.019635, 0.015633, 0.009346, 0.009214, , 0.009202, 0.006055, , 0.002058, , 0.003884, 0.007766, , 0.001666, 0.007289, 0.004397, , , 0.005494, 0.003639, 0.012774, 0.002217, 0.001408, 0.000824, , , , 0.006133, 0.000809, , , 0.087192, 
tioga, 0.5, 1.0, 1, 0.004675, 0.002989, 0.005165, 0.005958, , 0.004278, 0.002810, 0.002763, 0.008772, 0.010065, 0.011473, 0.003129, 0.006672, 0.004864, 0.159570, , , , , , 0.013000, 0.007766, 0.014721, , 0.014741, 0.015614, 0.013328, 0.009826, 0.023639, 0.001385, 0.014662, 0.007822, 0.011281, 0.033229, 0.032405, 0.013110, 0.062105, 0.009973, 0.007179, 0.042315, 0.010814, 0.024081, 0.033467, 0.029868, 0.011358, 0.013286, , 0.013264, 0.010929, , 0.003415, , 0.011429, 0.013365, , 0.003118, 0.007488, 0.007482, , , 0.009803, 0.006294, 0.015781, 0.009654, 0.008801, 0.005051, , , , 0.000895, 0.001229, , , 0.069732, 
tioga, 0.5, 2.0, 1, 0.008639, 0.005388, 0.009716, 0.010687, , 0.007686, 0.003482, 0.008910, 0.016403, 0.016379, 0.020325, 0.007674, 0.012099, 0.007277, 0.275428, , , , , , 0.025947, 0.014452, 0.026569, , 0.026450, 0.031737, 0.020250, 0.018376, 0.030718, 0.002050, 0.027567, 0.019767, 0.029453, 0.064610, 0.059374, 0.024106, 0.160974, 0.022289, 0.012352, 0.066625, 0.021830, 0.043333, 0.060846, 0.054389, 0.020052, 0.023747, , 0.023717, 0.020087, , 0.006050, , 0.012776, 0.024871, , 0.005495, 0.014163, 0.014149, , , 0.018095, 0.011308, 0.029201, 0.008857, 0.003203, 0.001983, , , , 0.001149, 0.001759, , , 0.080589, 
