machine,core,Kernel,Kernel,Basic_ARRAY_OF_PTRS,Basic_COPY8,Basic_DAXPY,Basic_DAXPY_ATOMIC,Basic_EMPTY,Basic_IF_QUAD,Basic_INDEXLIST,Basic_INDEXLIST_3LOOP,Basic_INIT3,Basic_INIT_VIEW1D,Basic_INIT_VIEW1D_OFFSET,Basic_MAT_MAT_SHARED,Basic_MULADDSUB,Basic_NESTED_INIT,Basic_PI_ATOMIC,Basic_PI_REDUCE,Basic_REDUCE3_INT,Basic_REDUCE_STRUCT,Basic_TRAP_INT,Basic_MULTI_REDUCE,Lcals_DIFF_PREDICT,Lcals_EOS,Lcals_FIRST_DIFF,Lcals_FIRST_MIN,Lcals_FIRST_SUM,Lcals_GEN_LIN_RECUR,Lcals_HYDRO_1D,Lcals_HYDRO_2D,Lcals_INT_PREDICT,Lcals_PLANCKIAN,Lcals_TRIDIAG_ELIM,Polybench_2MM,Polybench_3MM,Polybench_ADI,Polybench_ATAX,Polybench_FDTD_2D,Polybench_FLOYD_WARSHALL,Polybench_GEMM,Polybench_GEMVER,Polybench_GESUMMV,Polybench_HEAT_3D,Polybench_JACOBI_1D,Polybench_JACOBI_2D,Polybench_MVT,Stream_ADD,Stream_COPY,Stream_DOT,Stream_MUL,Stream_TRIAD,Apps_CONVECTION3DPA,Apps_DEL_DOT_VEC_2D,Apps_DIFFUSION3DPA,Apps_EDGE3D,Apps_ENERGY,Apps_FEMSWEEP,Apps_FIR,Apps_LTIMES,Apps_LTIMES_NOVIEW,Apps_MASS3DEA,Apps_MASS3DPA,Apps_MATVEC_3D_STENCIL,Apps_NODAL_ACCUMULATION_3D,Apps_PRESSURE,Apps_VOL3D,Apps_ZONAL_ACCUMULATION_3D,Algorithm_SCAN,Algorithm_SORT,Algorithm_SORTPAIRS,Algorithm_REDUCE_SUM,Algorithm_MEMSET,Algorithm_MEMCPY,Algorithm_ATOMIC,Algorithm_HISTOGRAM,Comm_HALO_PACKING,Comm_HALO_PACKING_FUSED
borax,72,Base_OpenMP,default,0.107035,0.079638,0.024401,0.125903,0.021368,0.034105,0.014539,0.027190,0.056758,0.094339,0.094283,0.056214,0.041453,0.036569,4.061232,0.003643,0.003709,0.004421,0.008119,2.849666,0.507212,0.035458,0.081851,0.008155,0.082217,0.472549,0.055012,0.214202,0.396250,0.007005,0.064535,0.876730,1.351649,0.015865,0.019374,0.050879,0.428345,1.104783,0.011557,0.005824,0.060803,0.128484,0.187891,0.016216,0.054425,0.075082,0.070661,0.074785,0.054831,0.006799,0.034516,0.023486,0.687771,0.270923,0.000000,0.017782,0.035101,0.034552,0.000000,0.005917,0.214423,0.187728,0.088896,0.045273,0.010938,0.008553,Not run,Not run,0.002442,0.005368,0.005872,Not run,0.628240,0.382425,Not run
borax,32,Base_OpenMP,default,0.173931,0.104602,0.030447,0.268415,0.018951,0.069529,0.027128,0.036861,0.087950,0.116470,0.117651,0.090202,0.065654,0.052370,4.305918,0.006112,0.001508,0.003802,0.015615,3.269586,0.497121,0.050199,0.130458,0.007463,0.130347,0.289180,0.074451,0.190817,0.405390,0.012752,0.093126,1.882618,2.963517,0.026864,0.039906,0.067445,0.631515,2.444082,0.011841,0.007469,0.111658,0.186195,0.276921,0.032975,0.074171,0.097334,0.100267,0.118930,0.074345,0.011386,0.071580,0.047627,1.538324,0.339124,0.000000,0.034913,0.075752,0.074905,0.000000,0.010225,0.380723,0.421810,0.121785,0.094466,0.018830,0.010951,Not run,Not run,0.002397,0.006194,0.009430,Not run,2.195125,0.197913,Not run
borax,16,Base_OpenMP,default,0.126833,0.092402,0.030062,0.245059,0.015565,0.069255,0.040413,0.046535,0.095866,0.117991,0.123319,0.094793,0.062475,0.053498,2.409273,0.005840,0.001557,0.005052,0.015235,1.468584,0.475363,0.051535,0.110609,0.010487,0.130040,0.410566,0.074029,0.194346,0.395387,0.014891,0.091800,0.555718,0.881262,0.036432,0.014976,0.063977,0.636040,0.765618,0.008636,0.007165,0.101517,0.175927,0.289812,0.014988,0.073807,0.096225,0.079691,0.118709,0.073916,0.013644,0.075270,0.062333,1.696123,0.337352,0.000000,0.040678,0.111812,0.108888,0.000000,0.010777,0.248641,0.391569,0.121650,0.104301,0.021403,0.016563,Not run,Not run,0.002453,0.006198,0.009620,Not run,0.621837,0.130108,Not run
borax,8,Base_OpenMP,default,0.212493,0.164292,0.050687,0.486405,0.025276,0.169783,0.073847,0.088667,0.538649,0.209617,0.225349,0.171453,0.375748,0.097332,3.093364,0.010990,0.001223,0.004869,0.029774,1.259515,0.593112,0.243115,0.219929,0.018295,0.218781,0.432752,0.188189,0.340078,0.621448,0.046270,0.500070,1.107104,1.717379,0.071820,0.025021,0.169003,1.228010,1.512434,0.007840,0.009663,0.188315,0.328248,0.539196,0.023849,0.189886,0.176380,0.142382,0.184777,0.186843,0.034828,0.156322,0.134157,3.388791,0.719271,0.000000,0.079135,0.222609,0.216659,0.000000,0.020149,0.469017,0.784963,0.552060,0.210522,0.044144,0.022788,Not run,Not run,0.002120,0.006389,0.009766,Not run,0.809754,0.050558,Not run
borax,4,Base_OpenMP,default,0.360394,0.213077,0.094617,0.880470,0.044538,0.261942,0.134046,0.160986,0.683332,0.376194,0.404462,0.302983,0.481447,0.175252,2.897712,0.019762,0.002121,0.008651,0.053900,1.195359,0.719853,0.368616,0.383687,0.032945,0.384191,0.666533,0.379302,0.509709,0.860229,0.068014,0.759242,1.999048,3.108575,0.130231,0.044569,0.292689,2.320117,2.700419,0.013610,0.018351,0.326811,0.596921,0.987602,0.043182,0.375188,0.330315,0.262027,0.343016,0.375476,0.062616,0.282959,0.240668,6.091831,1.033970,0.000000,0.141965,0.403209,0.392694,0.000000,0.036390,0.827695,1.422983,0.795191,0.382171,0.080388,0.041502,Not run,Not run,0.003692,0.011588,0.018450,Not run,0.498200,0.057173,Not run
borax,72,Base_OpenMP,default,0.106931,0.079803,0.023907,0.125902,0.020974,0.033809,0.014365,0.021119,0.053336,0.088405,0.077200,0.056607,0.039872,0.037042,4.109863,0.003752,0.003503,0.003845,0.007712,2.787940,0.503052,0.036593,0.081491,0.007972,0.083201,0.482117,0.053921,0.216460,0.397945,0.006761,0.066345,0.857010,1.328941,0.015175,0.019693,0.051204,0.428285,1.085607,0.011513,0.006086,0.070664,0.128308,0.166575,0.016207,0.055532,0.075537,0.073218,0.073726,0.055765,0.006524,0.034404,0.023523,0.687526,0.270580,0.000000,0.017680,0.034964,0.034609,0.000000,0.005644,0.217077,0.187803,0.076308,0.044297,0.010388,0.008492,Not run,Not run,0.002426,0.004844,0.005792,Not run,0.629861,0.378826,Not run
borax,32,Base_OpenMP,default,0.172649,0.104296,0.039689,0.268712,0.018785,0.069314,0.025664,0.036376,0.084765,0.115312,0.116710,0.091378,0.059380,0.051505,4.195839,0.005991,0.001486,0.004489,0.015482,3.601606,0.492257,0.048760,0.111798,0.007245,0.111994,0.284983,0.074760,0.192107,0.407593,0.012453,0.092197,1.921866,2.963228,0.026777,0.039165,0.067309,0.631144,2.432163,0.011373,0.007428,0.112514,0.186927,0.282452,0.032229,0.074347,0.097020,0.104103,0.119450,0.090939,0.011357,0.071421,0.047712,1.538114,0.342384,0.000000,0.034471,0.075815,0.074656,0.000000,0.010045,0.378069,0.421809,0.114904,0.094483,0.018845,0.010797,Not run,Not run,0.002356,0.004381,0.006522,Not run,2.143571,0.196422,Not run
borax,16,Base_OpenMP,default,0.125373,0.090384,0.029248,0.244732,0.015655,0.069345,0.038786,0.046028,0.094943,0.117214,0.122702,0.094667,0.062965,0.053059,2.440589,0.005826,0.001482,0.004747,0.015292,1.627624,0.470448,0.050038,0.109318,0.010501,0.127297,0.406173,0.073588,0.192378,0.395703,0.014935,0.092610,0.554971,0.878020,0.036454,0.014949,0.062872,0.623336,0.771478,0.008506,0.007051,0.101439,0.174523,0.289052,0.013185,0.072974,0.114649,0.078891,0.098288,0.072779,0.012906,0.074697,0.062243,1.695710,0.336148,0.000000,0.040441,0.111940,0.109014,0.000000,0.010550,0.242782,0.391570,0.116607,0.104390,0.021299,0.015878,Not run,Not run,0.002314,0.005928,0.006397,Not run,0.616192,0.128853,Not run
borax,8,Base_OpenMP,default,0.212360,0.165035,0.051042,0.486723,0.025329,0.168994,0.073436,0.088241,0.536698,0.209621,0.225404,0.171161,0.374610,0.097320,3.210442,0.011016,0.001245,0.004627,0.029762,1.246861,0.608787,0.238970,0.201715,0.018300,0.201983,0.436545,0.185328,0.341978,0.632460,0.046462,0.493672,1.102700,1.713025,0.071956,0.024949,0.156072,1.186805,1.507162,0.007818,0.009127,0.188255,0.355945,0.546644,0.023821,0.189817,0.175429,0.142099,0.183880,0.187765,0.035498,0.156577,0.133175,3.390188,0.712260,0.000000,0.079129,0.222673,0.216720,0.000001,0.019973,0.472337,0.784182,0.539128,0.211495,0.044291,0.022710,Not run,Not run,0.002132,0.006393,0.009863,Not run,0.787823,0.050257,Not run
borax,4,Base_OpenMP,default,0.361852,0.213340,0.098526,0.882066,0.044458,0.267471,0.133945,0.161309,0.680513,0.376711,0.404374,0.303931,0.481158,0.174737,2.709552,0.019760,0.002123,0.009206,0.053950,1.302397,0.692947,0.354920,0.399877,0.032932,0.400206,0.669073,0.380334,0.506783,0.870484,0.067534,0.740309,2.004163,3.122385,0.131073,0.044853,0.308753,2.409926,2.747000,0.013820,0.018821,0.322152,0.598482,0.971098,0.042667,0.362042,0.341559,0.270132,0.354155,0.368036,0.062721,0.282209,0.238274,6.093869,1.044991,0.000000,0.141636,0.403251,0.392432,0.000000,0.036399,0.829396,1.424108,0.783746,0.383521,0.080839,0.042549,Not run,Not run,0.003655,0.011584,0.020574,Not run,0.473407,0.058424,Not run
