machine,core,Kernel,Kernel,Basic_ARRAY_OF_PTRS,Basic_COPY8,Basic_DAXPY,Basic_DAXPY_ATOMIC,Basic_EMPTY,Basic_IF_QUAD,Basic_INDEXLIST,Basic_INDEXLIST_3LOOP,Basic_INIT3,Basic_INIT_VIEW1D,Basic_INIT_VIEW1D_OFFSET,Basic_MAT_MAT_SHARED,Basic_MULADDSUB,Basic_NESTED_INIT,Basic_PI_ATOMIC,Basic_PI_REDUCE,Basic_REDUCE3_INT,Basic_REDUCE_STRUCT,Basic_TRAP_INT,Basic_MULTI_REDUCE,Lcals_DIFF_PREDICT,Lcals_EOS,Lcals_FIRST_DIFF,Lcals_FIRST_MIN,Lcals_FIRST_SUM,Lcals_GEN_LIN_RECUR,Lcals_HYDRO_1D,Lcals_HYDRO_2D,Lcals_INT_PREDICT,Lcals_PLANCKIAN,Lcals_TRIDIAG_ELIM,Polybench_2MM,Polybench_3MM,Polybench_ADI,Polybench_ATAX,Polybench_FDTD_2D,Polybench_FLOYD_WARSHALL,Polybench_GEMM,Polybench_GEMVER,Polybench_GESUMMV,Polybench_HEAT_3D,Polybench_JACOBI_1D,Polybench_JACOBI_2D,Polybench_MVT,Stream_ADD,Stream_COPY,Stream_DOT,Stream_MUL,Stream_TRIAD,Apps_CONVECTION3DPA,Apps_DEL_DOT_VEC_2D,Apps_DIFFUSION3DPA,Apps_EDGE3D,Apps_ENERGY,Apps_FEMSWEEP,Apps_FIR,Apps_LTIMES,Apps_LTIMES_NOVIEW,Apps_MASS3DEA,Apps_MASS3DPA,Apps_MATVEC_3D_STENCIL,Apps_NODAL_ACCUMULATION_3D,Apps_PRESSURE,Apps_VOL3D,Apps_ZONAL_ACCUMULATION_3D,Algorithm_SCAN,Algorithm_SORT,Algorithm_SORTPAIRS,Algorithm_REDUCE_SUM,Algorithm_MEMSET,Algorithm_MEMCPY,Algorithm_ATOMIC,Algorithm_HISTOGRAM,Comm_HALO_PACKING,Comm_HALO_PACKING_FUSED
borax,72,Base_OpenMP,default,0.055280,0.028666,0.014875,0.066613,0.017896,0.018517,0.008128,0.013190,0.030715,0.055259,0.055481,0.019411,0.022089,0.025845,2.523163,0.002336,0.003294,0.002934,0.004572,1.443101,0.071471,0.021332,0.054007,0.006813,0.053757,0.203812,0.034770,0.022905,0.044257,0.004443,0.039763,0.111406,0.168704,0.008317,0.008991,0.034213,0.211352,0.141524,0.005414,0.004431,0.044878,0.104039,0.118003,0.005471,0.034476,0.048308,0.048883,0.048413,0.034450,0.003893,0.017781,0.011444,0.352639,0.060335,0.000000,0.010210,0.017753,0.017497,0.000000,0.003420,0.081170,0.094449,0.040090,0.023419,0.006104,0.004613,Not run,Not run,0.001401,0.002273,0.003437,Not run,0.439818,0.371225,Not run
borax,32,Base_OpenMP,default,0.086356,0.044916,0.022532,0.137037,0.012691,0.035390,0.014703,0.020862,0.042277,0.067256,0.067164,0.033183,0.030579,0.030859,2.295990,0.003345,0.001341,0.002531,0.008161,2.166244,0.082053,0.026186,0.077412,0.004705,0.077234,0.127299,0.040865,0.044988,0.077655,0.006987,0.048921,0.241506,0.359909,0.013872,0.011118,0.037978,0.260262,0.307701,0.006134,0.005740,0.059451,0.106553,0.158590,0.009924,0.040850,0.069630,0.061380,0.070670,0.040771,0.006226,0.036167,0.022307,0.786700,0.097532,0.000000,0.018058,0.039117,0.038551,0.000000,0.005337,0.163351,0.212577,0.053497,0.048675,0.009956,0.007879,Not run,Not run,0.001289,0.003232,0.004992,Not run,0.729937,0.180803,Not run
borax,16,Base_OpenMP,default,0.068809,0.039818,0.022283,0.123321,0.009552,0.034751,0.020625,0.026948,0.040778,0.066713,0.068431,0.033939,0.029250,0.031042,1.295078,0.003146,0.000877,0.002799,0.007832,0.732065,0.076013,0.027432,0.076140,0.005897,0.076205,0.174604,0.039999,0.050807,0.078861,0.007601,0.048644,0.174270,0.263945,0.021159,0.009268,0.034214,0.249643,0.197450,0.005389,0.005021,0.056649,0.106280,0.146212,0.006407,0.040301,0.068562,0.061433,0.069299,0.039783,0.006769,0.036008,0.024597,0.865245,0.101924,0.000000,0.020692,0.056912,0.055408,0.000000,0.005915,0.110493,0.195911,0.053508,0.053166,0.012358,0.008750,Not run,Not run,0.001360,0.003233,0.004934,Not run,0.323789,0.110125,Not run
borax,8,Base_OpenMP,default,0.116039,0.083058,0.025328,0.243494,0.013274,0.068509,0.036408,0.044024,0.089251,0.106399,0.114250,0.052272,0.062968,0.052138,1.504897,0.005577,0.000693,0.002372,0.014909,0.619261,0.295460,0.052296,0.101491,0.009254,0.101542,0.128928,0.067133,0.147617,0.305061,0.013844,0.097481,0.344663,0.524555,0.033807,0.011730,0.056932,0.405362,0.391172,0.003710,0.004331,0.086797,0.166863,0.249342,0.011166,0.068807,0.086269,0.071070,0.090868,0.068384,0.012451,0.072587,0.058971,1.729723,0.293002,0.000000,0.039611,0.111382,0.108444,0.000000,0.010090,0.215761,0.390232,0.109757,0.105768,0.020264,0.011256,Not run,Not run,0.001084,0.003244,0.004831,Not run,0.294888,0.042778,Not run
borax,4,Base_OpenMP,default,0.200068,0.107826,0.045109,0.439975,0.022668,0.124105,0.065735,0.079442,0.161036,0.190553,0.203505,0.094129,0.121184,0.089403,1.272284,0.009885,0.001123,0.004173,0.027368,0.407810,0.345211,0.090478,0.181764,0.016519,0.183826,0.219826,0.123580,0.228996,0.425165,0.024995,0.159659,0.630527,0.955830,0.061074,0.020614,0.097592,0.726550,0.715795,0.006509,0.007611,0.148276,0.296850,0.448827,0.019955,0.123187,0.157294,0.124432,0.162923,0.121302,0.022361,0.131934,0.103297,3.107171,0.454708,0.000000,0.071004,0.201445,0.196274,0.000000,0.017959,0.387547,0.706853,0.207951,0.190998,0.036387,0.020149,Not run,Not run,0.001845,0.005838,0.008755,Not run,0.330316,0.037762,Not run
borax,72,Base_OpenMP,default,0.054609,0.028145,0.015204,0.066018,0.018048,0.018214,0.008657,0.012084,0.030667,0.057076,0.055037,0.022601,0.022047,0.025902,2.251902,0.002327,0.003429,0.003196,0.004568,1.439056,0.065193,0.021918,0.053926,0.007090,0.053487,0.204002,0.035173,0.023194,0.045717,0.004183,0.040583,0.105987,0.169326,0.008236,0.008990,0.034191,0.200723,0.149086,0.005403,0.004481,0.034722,0.096788,0.127374,0.006108,0.034825,0.048509,0.050510,0.048568,0.034637,0.003834,0.017671,0.011469,0.352651,0.060340,0.000000,0.009895,0.017765,0.017508,0.000000,0.003168,0.080412,0.094499,0.040834,0.023118,0.008344,0.004539,Not run,Not run,0.001282,0.002177,0.003310,Not run,0.432962,0.372418,Not run
borax,32,Base_OpenMP,default,0.083453,0.043775,0.022611,0.137012,0.012425,0.035242,0.014614,0.020729,0.042164,0.067096,0.067037,0.031375,0.030234,0.030705,2.509651,0.003511,0.001264,0.002494,0.008158,2.150362,0.078999,0.026440,0.077806,0.004543,0.077502,0.127033,0.040880,0.044559,0.074615,0.006697,0.049420,0.231490,0.362428,0.013922,0.012646,0.037994,0.260537,0.307454,0.005967,0.005621,0.065739,0.114174,0.157939,0.009968,0.040956,0.054201,0.063958,0.070881,0.040991,0.005944,0.036188,0.022126,0.786768,0.095832,0.000000,0.017863,0.039052,0.038506,0.000000,0.005193,0.161453,0.212375,0.053724,0.048420,0.009723,0.007732,Not run,Not run,0.001254,0.003157,0.004872,Not run,0.738507,0.180197,Not run
borax,16,Base_OpenMP,default,0.067230,0.039457,0.021502,0.123343,0.009845,0.034611,0.020394,0.026482,0.039686,0.065651,0.067546,0.033377,0.028560,0.030949,1.206394,0.003057,0.000864,0.002647,0.007688,0.724204,0.075839,0.026728,0.074619,0.005763,0.074730,0.173786,0.039575,0.049915,0.079038,0.007376,0.047685,0.174003,0.265686,0.021136,0.010220,0.034194,0.247588,0.197802,0.005278,0.005235,0.051414,0.103931,0.147758,0.007178,0.039463,0.067310,0.044817,0.068041,0.039129,0.006526,0.035930,0.024177,0.866860,0.100158,0.000000,0.020719,0.056844,0.055325,0.000000,0.005751,0.109493,0.195858,0.051933,0.053023,0.010769,0.008400,Not run,Not run,0.001254,0.003084,0.004696,Not run,0.311294,0.111447,Not run
borax,8,Base_OpenMP,default,0.115840,0.081973,0.025322,0.243464,0.013226,0.068010,0.036474,0.043914,0.074694,0.106394,0.114280,0.051811,0.053384,0.052138,1.545419,0.005559,0.000701,0.002380,0.014933,0.588410,0.301303,0.046129,0.101553,0.009246,0.101599,0.123673,0.067044,0.146900,0.301344,0.013526,0.085575,0.344746,0.523698,0.034062,0.011699,0.054784,0.407407,0.391289,0.003683,0.004338,0.085513,0.166904,0.251341,0.011175,0.067111,0.086975,0.070917,0.090930,0.066681,0.011725,0.072193,0.056342,1.730487,0.284566,0.000000,0.039640,0.111417,0.108470,0.000000,0.010072,0.216394,0.390022,0.103812,0.105745,0.020066,0.011256,Not run,Not run,0.001086,0.003249,0.004832,Not run,0.295591,0.042212,Not run
borax,4,Base_OpenMP,default,0.198571,0.108561,0.045199,0.439891,0.022571,0.122247,0.066052,0.079365,0.156678,0.189230,0.203931,0.095381,0.116899,0.089422,1.350067,0.009906,0.001128,0.004165,0.026939,0.446959,0.363497,0.089386,0.182771,0.016582,0.182642,0.220941,0.123046,0.228791,0.429277,0.024516,0.160286,0.629805,0.955386,0.061448,0.020924,0.098014,0.725496,0.714734,0.006419,0.007569,0.142847,0.298257,0.447024,0.019982,0.120327,0.157605,0.126401,0.161752,0.119808,0.021389,0.132095,0.104514,3.108346,0.458943,0.000000,0.071288,0.202035,0.196198,0.000000,0.018094,0.386407,0.705549,0.189716,0.191241,0.036330,0.020500,Not run,Not run,0.001829,0.005819,0.008764,Not run,0.340576,0.037644,Not run
