machine,Kernel,Kernel,Basic_ARRAY_OF_PTRS,Basic_COPY8,Basic_DAXPY,Basic_DAXPY_ATOMIC,Basic_EMPTY,Basic_IF_QUAD,Basic_INDEXLIST,Basic_INDEXLIST_3LOOP,Basic_INIT3,Basic_INIT_VIEW1D,Basic_INIT_VIEW1D_OFFSET,Basic_MAT_MAT_SHARED,Basic_MULADDSUB,Basic_NESTED_INIT,Basic_PI_ATOMIC,Basic_PI_REDUCE,Basic_REDUCE3_INT,Basic_REDUCE_STRUCT,Basic_TRAP_INT,Basic_MULTI_REDUCE,Lcals_DIFF_PREDICT,Lcals_EOS,Lcals_FIRST_DIFF,Lcals_FIRST_MIN,Lcals_FIRST_SUM,Lcals_GEN_LIN_RECUR,Lcals_HYDRO_1D,Lcals_HYDRO_2D,Lcals_INT_PREDICT,Lcals_PLANCKIAN,Lcals_TRIDIAG_ELIM,Polybench_2MM,Polybench_3MM,Polybench_ADI,Polybench_ATAX,Polybench_FDTD_2D,Polybench_FLOYD_WARSHALL,Polybench_GEMM,Polybench_GEMVER,Polybench_GESUMMV,Polybench_HEAT_3D,Polybench_JACOBI_1D,Polybench_JACOBI_2D,Polybench_MVT,Stream_ADD,Stream_COPY,Stream_DOT,Stream_MUL,Stream_TRIAD,Apps_CONVECTION3DPA,Apps_DEL_DOT_VEC_2D,Apps_DIFFUSION3DPA,Apps_EDGE3D,Apps_ENERGY,Apps_FEMSWEEP,Apps_FIR,Apps_LTIMES,Apps_LTIMES_NOVIEW,Apps_MASS3DEA,Apps_MASS3DPA,Apps_MATVEC_3D_STENCIL,Apps_NODAL_ACCUMULATION_3D,Apps_PRESSURE,Apps_VOL3D,Apps_ZONAL_ACCUMULATION_3D,Algorithm_SCAN,Algorithm_SORT,Algorithm_SORTPAIRS,Algorithm_REDUCE_SUM,Algorithm_MEMSET,Algorithm_MEMCPY,Algorithm_ATOMIC,Algorithm_HISTOGRAM,Comm_HALO_PACKING,Comm_HALO_PACKING_FUSED
corona,Base_Seq,default,0.273705,0.068762,0.033119,0.032832,0.083792,0.434069,0.133902,0.132196,0.146997,0.372836,0.345448,0.198049,0.107503,0.179259,0.019012,0.018847,0.004909,0.015637,0.052606,0.041770,0.192558,0.197985,0.141867,0.016049,0.148707,0.194533,0.140663,0.203240,0.327717,0.174805,0.228596,0.684264,1.031218,0.084701,0.044965,0.124832,0.423750,0.783566,0.011014,0.027465,0.242207,0.271418,0.509579,0.044347,0.101913,0.103123,0.463092,0.103557,0.095166,0.090235,0.234757,0.311936,6.394311,0.298548,0.000000,0.244420,0.230253,0.226117,0.000000,0.099470,0.397454,0.166099,0.388986,0.160937,0.044699,0.023711,0.428094,0.459231,0.011409,0.004158,0.007305,Not run,0.026618,0.018431,Not run
corona,Base_Seq,default,0.269781,0.068334,0.033437,0.036867,0.082221,0.437843,0.135817,0.131959,0.141364,0.378010,0.347349,0.200499,0.111028,0.181018,0.019123,0.019254,0.004995,0.015590,0.052824,0.041848,0.192107,0.199771,0.139823,0.030102,0.151384,0.210250,0.122602,0.184746,0.328930,0.174026,0.175193,0.684210,1.041302,0.085995,0.044998,0.111460,0.431129,0.787841,0.011004,0.027651,0.241111,0.288044,0.524376,0.044969,0.085319,0.102379,0.463840,0.106931,0.145886,0.089562,0.235074,0.303243,6.440169,0.309205,0.000001,0.246343,0.230412,0.225558,0.000000,0.092810,0.388717,0.167458,0.432398,0.164651,0.051096,0.023296,0.432105,0.464961,0.011640,0.004722,0.005741,Not run,0.026577,0.018465,Not run
corona,Base_Seq,default,0.268451,0.071577,0.032574,0.038995,0.085252,0.434823,0.133834,0.131265,0.152949,0.369844,0.334247,0.193680,0.120375,0.179026,0.019032,0.019240,0.004905,0.015393,0.052690,0.041832,0.192271,0.188112,0.141012,0.020819,0.151471,0.213447,0.107923,0.208066,0.331144,0.169746,0.237120,0.681443,1.032489,0.085464,0.044521,0.104903,0.413620,0.782813,0.011074,0.027668,0.238297,0.287010,0.517026,0.044244,0.088004,0.101384,0.461404,0.102993,0.096482,0.090627,0.234598,0.296996,6.396476,0.311502,0.000000,0.241398,0.230119,0.225548,0.000000,0.099322,0.402076,0.165057,0.419121,0.162785,0.050039,0.023236,0.428172,0.459169,0.011495,0.004065,0.005909,Not run,0.026637,0.020300,Not run
matrix,Base_Seq,default,0.224013,0.066138,0.054140,0.058700,0.033040,0.276520,0.100729,0.109735,0.147825,0.297696,0.230159,0.160706,0.105024,0.148063,0.013448,0.013210,0.003607,0.013490,0.033829,0.027008,0.280202,0.126693,0.213926,0.027335,0.228746,0.274031,0.156159,0.190822,0.351121,0.081845,0.214415,0.529275,0.730765,0.075093,0.026505,0.126143,0.613772,0.513279,0.007118,0.015821,0.140836,0.345389,0.463402,0.026780,0.164869,0.222998,0.264884,0.206343,0.164341,0.043419,0.125711,0.122717,3.622985,0.219056,0.000000,0.141155,0.147809,0.097870,0.000000,0.031832,0.255085,0.142108,0.252576,0.184443,0.024313,0.013453,0.305207,0.337664,0.006786,0.005658,0.011473,Not run,0.023889,0.024228,Not run
matrix,Base_Seq,default,0.228253,0.066043,0.053816,0.058576,0.033048,0.272310,0.100753,0.109877,0.154695,0.299462,0.230018,0.159461,0.107047,0.149394,0.013426,0.013206,0.003598,0.013230,0.034007,0.026975,0.204670,0.110954,0.213397,0.027663,0.228615,0.236091,0.156611,0.166257,0.306365,0.077495,0.207961,0.530418,0.729005,0.075277,0.026383,0.126275,0.612657,0.509892,0.007167,0.015963,0.140978,0.344751,0.462378,0.026686,0.164673,0.222227,0.264924,0.214694,0.164201,0.043490,0.125737,0.126659,3.622667,0.207579,0.000000,0.141128,0.139311,0.097818,0.000000,0.031818,0.254783,0.142021,0.252549,0.184453,0.024342,0.013490,0.304607,0.337993,0.007177,0.005852,0.012353,Not run,0.023902,0.024120,Not run
matrix,Base_Seq,default,0.231062,0.068427,0.055729,0.058924,0.033029,0.269989,0.102738,0.111434,0.157555,0.319203,0.229543,0.159258,0.110521,0.148764,0.013458,0.013205,0.003602,0.013232,0.033583,0.026996,0.279140,0.114156,0.230769,0.027746,0.232309,0.273120,0.188993,0.168422,0.350906,0.078273,0.223649,0.541854,0.728625,0.088048,0.026390,0.147739,0.683209,0.518884,0.007258,0.016187,0.146627,0.445344,0.557900,0.026642,0.183950,0.240773,0.265295,0.210006,0.168913,0.042625,0.125801,0.122271,3.675318,0.191379,0.000000,0.140821,0.145385,0.110788,0.000000,0.031994,0.256056,0.142145,0.262154,0.184443,0.024357,0.013433,0.304488,0.336644,0.006690,0.005562,0.011994,Not run,0.024749,0.027988,Not run
tioga,Base_Seq,default,0.200183,0.057439,0.032283,0.045952,0.117897,0.452502,0.129368,0.130090,0.077380,0.353442,0.338255,0.196141,0.065022,0.155161,0.019920,0.018479,0.004180,0.017965,0.054845,0.051058,0.116968,0.167202,0.152400,0.017835,0.174566,0.140421,0.118961,0.146355,0.175572,0.160318,0.122716,0.731220,1.099374,0.073285,0.047815,0.132695,0.438930,0.832429,0.011606,0.030805,0.249272,0.272176,0.564651,0.047648,0.093498,0.108226,0.493295,0.113906,0.098377,0.068869,0.241456,0.205678,5.564499,0.215574,0.000000,0.255741,0.219951,0.218523,0.000000,0.093771,0.386994,0.193178,0.273709,0.160981,0.045286,0.034839,0.472871,0.502577,0.012289,0.004714,0.006620,Not run,0.006468,0.025082,Not run
tioga,Base_Seq,default,0.200667,0.052583,0.032872,0.048371,0.115638,0.462343,0.129535,0.129436,0.084624,0.354477,0.333262,0.201799,0.060243,0.155244,0.021037,0.018291,0.004419,0.021704,0.054632,0.053875,0.117101,0.163795,0.168831,0.018884,0.189673,0.153879,0.118765,0.146621,0.176567,0.160140,0.128871,0.735939,1.110030,0.072706,0.047896,0.140879,0.456745,0.831282,0.011573,0.032483,0.258713,0.273970,0.545594,0.047861,0.098606,0.110089,0.498490,0.117327,0.100434,0.067637,0.259747,0.214674,5.593269,0.213292,0.000000,0.256168,0.209060,0.202892,0.000000,0.087214,0.389186,0.193656,0.256430,0.157135,0.049482,0.034372,0.473030,0.503033,0.012291,0.004912,0.007573,Not run,0.006816,0.027167,Not run
tioga,Base_Seq,default,0.198159,0.059872,0.032393,0.046118,0.089231,0.452254,0.129511,0.126935,0.078015,0.353162,0.352311,0.200993,0.060071,0.155542,0.019949,0.018430,0.004194,0.018060,0.055045,0.051080,0.115270,0.163049,0.151650,0.017799,0.174935,0.144055,0.120634,0.150316,0.175960,0.160811,0.122510,0.729378,1.100088,0.074060,0.047799,0.132275,0.441244,0.834605,0.012687,0.030801,0.250291,0.271661,0.562382,0.047690,0.093532,0.109368,0.493834,0.115551,0.092604,0.086119,0.255554,0.214032,5.591569,0.215827,0.000000,0.255974,0.219519,0.221272,0.000000,0.098982,0.385848,0.196209,0.272400,0.159573,0.048343,0.035173,0.473332,0.502396,0.012368,0.004633,0.008535,Not run,0.006437,0.025959,Not run
tuolumne,Base_Seq,default,0.253584,0.058407,0.022937,0.026870,0.102923,0.365661,0.112503,0.100365,0.088993,0.285718,0.279452,0.179102,0.066279,0.126339,0.016854,0.017005,0.003154,0.013856,0.046489,0.040678,0.146512,0.123802,0.115895,0.018015,0.123250,0.103922,0.075881,0.162784,0.265658,0.119963,0.094866,0.601659,0.920045,0.063631,0.039033,0.078295,0.302829,0.690424,0.009460,0.025058,0.171109,0.199035,0.409323,0.039008,0.061308,0.085437,0.407156,0.078526,0.062031,0.056916,0.163784,0.219367,4.356199,0.235368,0.000001,0.199134,0.156814,0.156891,0.000000,0.046674,0.694519,0.164593,0.182050,0.124415,0.029243,0.020348,0.381045,0.399983,0.010636,0.003644,0.004128,Not run,0.003665,0.014772,Not run
