machine,Kernel,Kernel,Basic_ARRAY_OF_PTRS,Basic_COPY8,Basic_DAXPY,Basic_DAXPY_ATOMIC,Basic_EMPTY,Basic_IF_QUAD,Basic_INDEXLIST,Basic_INDEXLIST_3LOOP,Basic_INIT3,Basic_INIT_VIEW1D,Basic_INIT_VIEW1D_OFFSET,Basic_MAT_MAT_SHARED,Basic_MULADDSUB,Basic_NESTED_INIT,Basic_PI_ATOMIC,Basic_PI_REDUCE,Basic_REDUCE3_INT,Basic_REDUCE_STRUCT,Basic_TRAP_INT,Basic_MULTI_REDUCE,Lcals_DIFF_PREDICT,Lcals_EOS,Lcals_FIRST_DIFF,Lcals_FIRST_MIN,Lcals_FIRST_SUM,Lcals_GEN_LIN_RECUR,Lcals_HYDRO_1D,Lcals_HYDRO_2D,Lcals_INT_PREDICT,Lcals_PLANCKIAN,Lcals_TRIDIAG_ELIM,Polybench_2MM,Polybench_3MM,Polybench_ADI,Polybench_ATAX,Polybench_FDTD_2D,Polybench_FLOYD_WARSHALL,Polybench_GEMM,Polybench_GEMVER,Polybench_GESUMMV,Polybench_HEAT_3D,Polybench_JACOBI_1D,Polybench_JACOBI_2D,Polybench_MVT,Stream_ADD,Stream_COPY,Stream_DOT,Stream_MUL,Stream_TRIAD,Apps_CONVECTION3DPA,Apps_DEL_DOT_VEC_2D,Apps_DIFFUSION3DPA,Apps_EDGE3D,Apps_ENERGY,Apps_FEMSWEEP,Apps_FIR,Apps_LTIMES,Apps_LTIMES_NOVIEW,Apps_MASS3DEA,Apps_MASS3DPA,Apps_MATVEC_3D_STENCIL,Apps_NODAL_ACCUMULATION_3D,Apps_PRESSURE,Apps_VOL3D,Apps_ZONAL_ACCUMULATION_3D,Algorithm_SCAN,Algorithm_SORT,Algorithm_SORTPAIRS,Algorithm_REDUCE_SUM,Algorithm_MEMSET,Algorithm_MEMCPY,Algorithm_ATOMIC,Algorithm_HISTOGRAM,Comm_HALO_PACKING,Comm_HALO_PACKING_FUSED
corona,Base_HIP,block_256,0.009944,0.007635,0.009413,0.013107,Not run,0.009107,0.020042,0.004729,0.017865,0.020217,0.020212,0.007203,0.014799,0.013368,0.177623,Not run,Not run,Not run,Not run,Not run,0.026557,0.015288,0.025320,Not run,0.024662,0.032335,0.020515,0.019647,0.030174,0.005013,0.026896,0.014691,0.020716,0.033570,0.037598,0.024053,0.097115,0.016415,0.014573,0.024798,0.018285,0.037869,0.056921,0.033872,0.020055,0.022805,Not run,0.023191,0.019721,Not run,0.007342,Not run,0.097179,0.025343,Not run,0.007415,0.015403,0.015901,Not run,Not run,0.016748,0.017247,0.028492,0.008550,0.005449,0.003070,Not run,Not run,Not run,0.003415,0.004316,Not run,Not run,0.109160,Not run
corona,Base_HIP,block_256,0.009814,0.007272,0.009284,0.012801,Not run,0.009059,0.006429,0.004936,0.017613,0.020191,0.019499,0.007189,0.014804,0.013321,0.192355,Not run,Not run,Not run,Not run,Not run,0.025506,0.015096,0.024985,Not run,0.025026,0.032073,0.019852,0.019808,0.028698,0.004718,0.026923,0.014742,0.020732,0.032904,0.036338,0.024132,0.095144,0.016472,0.010168,0.024411,0.018566,0.036992,0.057926,0.032565,0.019140,0.021977,Not run,0.022563,0.019143,Not run,0.007205,Not run,0.100716,0.024691,Not run,0.007416,0.015099,0.015145,Not run,Not run,0.016230,0.017243,0.027593,0.012338,0.005271,0.020549,Not run,Not run,Not run,0.003237,0.004228,Not run,Not run,0.104505,Not run
corona,Base_HIP,block_256,0.010187,0.007746,0.009409,0.013045,Not run,0.009808,0.006937,0.005168,0.018794,0.019953,0.020242,0.007180,0.014775,0.013404,0.197320,Not run,Not run,Not run,Not run,Not run,0.026648,0.015647,0.025137,Not run,0.025603,0.032259,0.020708,0.019898,0.030143,0.005149,0.025717,0.014857,0.020927,0.033112,0.037153,0.023723,0.096737,0.016324,0.010175,0.024886,0.018290,0.038101,0.056314,0.033901,0.020237,0.023527,Not run,0.023290,0.020257,Not run,0.007951,Not run,0.096933,0.024651,Not run,0.007489,0.015399,0.015324,Not run,Not run,0.016891,0.017514,0.029036,0.008970,0.005701,0.002863,Not run,Not run,Not run,0.003050,0.004646,Not run,Not run,0.101753,Not run
matrix,Base_CUDA,block_256,0.002140,0.001413,0.001260,0.001548,Not run,0.001592,0.001360,0.001293,0.003389,0.005339,0.005344,0.001259,0.002447,0.002732,0.048367,Not run,Not run,Not run,Not run,Not run,0.019060,0.001938,0.004637,Not run,0.004627,0.004876,0.002628,0.003541,0.006589,0.000570,0.003527,0.002012,0.002983,0.015127,0.009441,0.003440,0.018815,0.001942,0.002498,0.011349,0.003299,0.008532,0.012034,0.007850,0.002648,0.004282,Not run,0.004280,0.002651,Not run,0.001303,Not run,0.046171,0.005271,Not run,0.000669,0.003319,0.002948,Not run,Not run,0.003338,0.001925,0.006566,0.001144,0.000601,0.000809,Not run,Not run,Not run,0.000444,0.000469,Not run,Not run,0.069352,Not run
matrix,Base_CUDA,block_256,0.002132,0.001422,0.001302,0.001596,Not run,0.001599,0.001330,0.001328,0.003429,0.005567,0.005582,0.001255,0.002483,0.002826,0.048351,Not run,Not run,Not run,Not run,Not run,0.019064,0.001980,0.004819,Not run,0.004826,0.004962,0.002714,0.003553,0.006612,0.000571,0.003613,0.002021,0.002988,0.015249,0.009454,0.003570,0.019595,0.001951,0.002513,0.011403,0.003360,0.008814,0.012429,0.007883,0.002739,0.004457,Not run,0.004451,0.002745,Not run,0.001303,Not run,0.046149,0.005312,Not run,0.000682,0.003322,0.002948,Not run,Not run,0.003343,0.001938,0.006664,0.001140,0.000593,0.000827,Not run,Not run,Not run,0.000461,0.000491,Not run,Not run,0.075566,Not run
matrix,Base_CUDA,block_256,0.002158,0.001438,0.001305,0.001588,Not run,0.001595,0.001344,0.001315,0.003422,0.005604,0.005610,0.001263,0.002469,0.002807,0.049351,Not run,Not run,Not run,Not run,Not run,0.019090,0.001964,0.004793,Not run,0.004803,0.004936,0.002705,0.003553,0.006619,0.000564,0.003612,0.002007,0.002979,0.015178,0.009307,0.003540,0.019536,0.001940,0.002527,0.011355,0.003358,0.008808,0.012352,0.007834,0.002726,0.004421,Not run,0.004427,0.002730,Not run,0.001297,Not run,0.046094,0.005307,Not run,0.000692,0.003319,0.002950,Not run,Not run,0.003346,0.001933,0.006668,0.001144,0.000584,0.000833,Not run,Not run,Not run,0.000454,0.000484,Not run,Not run,0.074650,Not run
tioga,Base_HIP,block_256,0.004684,0.002950,0.005152,0.005942,Not run,0.004109,0.002619,0.002715,0.008861,0.008567,0.017123,0.003108,0.006749,0.004835,0.153039,Not run,Not run,Not run,Not run,Not run,0.012849,0.007788,0.014787,Not run,0.014600,0.015547,0.010941,0.009769,0.023286,0.001350,0.014647,0.007791,0.011260,0.033385,0.032413,0.013082,0.062189,0.012935,0.007262,0.042372,0.010897,0.024059,0.033380,0.029816,0.012303,0.013279,Not run,0.013315,0.010875,Not run,0.003374,Not run,0.013534,0.013449,Not run,0.003130,0.007476,0.007465,Not run,Not run,0.009625,0.006291,0.015770,0.008991,0.002186,0.001362,Not run,Not run,Not run,0.000879,0.001216,Not run,Not run,0.069829,Not run
tioga,Base_HIP,block_256,0.004702,0.003064,0.005171,0.005993,Not run,0.004410,0.002710,0.002737,0.008627,0.012348,0.008642,0.003148,0.006554,0.004918,0.146052,Not run,Not run,Not run,Not run,Not run,0.013340,0.007792,0.014804,Not run,0.014828,0.015559,0.014578,0.009877,0.023399,0.001435,0.014734,0.007843,0.011280,0.033105,0.032336,0.013204,0.062050,0.008496,0.007010,0.042365,0.010902,0.024125,0.033514,0.029947,0.010887,0.013343,Not run,0.013349,0.010930,Not run,0.003450,Not run,0.006984,0.013243,Not run,0.003099,0.007523,0.007521,Not run,Not run,0.010185,0.006304,0.015751,0.003784,0.002187,0.001365,Not run,Not run,Not run,0.000918,0.001297,Not run,Not run,0.069667,Not run
tioga,Base_HIP,block_256,0.004640,0.002952,0.005172,0.005939,Not run,0.004315,0.003101,0.002836,0.008827,0.009281,0.008653,0.003130,0.006713,0.004840,0.179618,Not run,Not run,Not run,Not run,Not run,0.012811,0.007717,0.014572,Not run,0.014795,0.015737,0.014465,0.009832,0.024232,0.001369,0.014606,0.007833,0.011302,0.033196,0.032467,0.013043,0.062075,0.008488,0.007264,0.042207,0.010644,0.024058,0.033508,0.029842,0.010883,0.013236,Not run,0.013129,0.010982,Not run,0.003422,Not run,0.013769,0.013403,Not run,0.003125,0.007466,0.007460,Not run,Not run,0.009600,0.006286,0.015821,0.016187,0.022031,0.012426,Not run,Not run,Not run,0.000887,0.001175,Not run,Not run,0.069700,Not run
tuolumne,Base_HIP,block_256,0.002201,0.001607,0.002290,0.002073,Not run,0.002189,0.003243,0.002135,0.003862,0.007129,0.007308,0.001553,0.003115,0.003779,0.016106,Not run,Not run,Not run,Not run,Not run,0.005959,0.003085,0.005509,Not run,0.005831,0.007775,0.003936,0.004620,0.008444,0.001203,0.005107,0.004296,0.006294,0.019173,0.018547,0.007651,0.026759,0.005341,0.004798,0.016828,0.007653,0.015669,0.025908,0.015921,0.014710,0.005103,Not run,0.005337,0.003772,Not run,0.002373,Not run,0.003834,0.005548,Not run,0.001208,0.003391,0.003332,Not run,Not run,0.004308,0.003076,0.006866,0.013511,0.001517,0.002386,Not run,Not run,Not run,0.000877,0.000893,Not run,Not run,0.132821,Not run
