corona-cpu,kripke.exe,"--niter 10 --pmethod bj --groups 16 --legendre 0",1,0.0666,444000000.0,665884542.0,375056450.0,2046000000.0,63538758.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,538330.0,3059100.0,707388823.0,1.406057,,,,2.5899430000000008
corona-cpu,kripke.exe,"--niter 10 --pmethod bj --groups 16 --legendre 1",1,0.05,438000000.0,672294542.0,378443244.0,2014000000.0,64233891.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,541418.0,3059100.0,739324398.0,1.433762,,,,1.566238
corona-cpu,kripke.exe,"--niter 10 --pmethod bj --groups 16 --legendre 2",1,0.0666,466000000.0,704273892.0,384205894.0,2116000000.0,63245599.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,547488.0,3059100.0,785951358.0,1.5043090000000001,,,,2.4916910000000003
corona-cpu,kripke.exe,"--niter 10 --pmethod bj --groups 16 --legendre 3",1,0.0666,484000000.0,739254312.0,392609055.0,2180000000.0,64570242.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,541370.0,3059100.0,858222348.0,1.6000949999999998,,,,2.395905000000001
corona-cpu,kripke.exe,"--niter 10 --pmethod bj --groups 16 --legendre 4",1,0.0666,506000000.0,781914153.0,404183330.0,2260000000.0,65716949.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,539850.0,3059100.0,1002288569.0,1.595156,,,,2.400844
corona-cpu,kripke.exe,"--niter 10 --pmethod bj --groups 32 --legendre 0",1,0.0666,554000000.0,938036122.0,548642070.0,2680000000.0,105503469.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,544448.0,3059100.0,1537226777.0,1.829793,,,,2.1662070000000004
corona-cpu,kripke.exe,"--niter 10 --pmethod bj --groups 32 --legendre 1",1,0.0666,576000000.0,983959488.0,553777841.0,2746000000.0,103830226.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,545932.0,3059100.0,1620043345.0,1.9931009999999998,,,,2.0028990000000007
corona-cpu,kripke.exe,"--niter 10 --pmethod bj --groups 32 --legendre 2",1,0.0666,604000000.0,1027157002.0,566777656.0,2844000000.0,106456554.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,547486.0,3059100.0,1703781747.0,1.9624759999999999,,,,2.0335240000000008
corona-cpu,kripke.exe,"--niter 10 --pmethod bj --groups 32 --legendre 3",1,0.0666,664000000.0,1139542314.0,590994639.0,3054000000.0,107565856.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,542902.0,3059100.0,1968857960.0,2.3235050000000004,,,,1.672495
corona-cpu,kripke.exe,"--niter 10 --pmethod bj --groups 32 --legendre 4",1,0.0666,726000000.0,1278044265.0,616531918.0,3258000000.0,111589558.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,541382.0,3059100.0,2223578627.0,2.2229740000000002,,,,1.7730260000000002
corona-cpu,kripke.exe,"--niter 10 --pmethod bj --groups 8 --legendre 0",1,0.0666,386000000.0,557190150.0,295929811.0,1692000000.0,41545976.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,547500.0,3059100.0,470860035.0,1.2690130000000002,,,,2.7269870000000003
corona-cpu,kripke.exe,"--niter 10 --pmethod bj --groups 8 --legendre 1",1,0.0666,388000000.0,563992642.0,1.0,1700000000.0,42840737.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,545583.0,3059100.0,476832030.0,1.2641459999999998,,,,2.7318540000000007
corona-cpu,kripke.exe,"--niter 10 --pmethod bj --groups 8 --legendre 2",1,0.05,390000000.0,570824621.0,299990666.0,1710000000.0,41545149.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,547522.0,3059100.0,478080838.0,1.2742440000000002,,,,1.7257559999999998
corona-cpu,kripke.exe,"--niter 10 --pmethod bj --groups 8 --legendre 3",1,0.05,404000000.0,592116476.0,304283194.0,1754000000.0,41212375.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,544434.0,3059100.0,544645787.0,1.295589,,,,1.704411
corona-cpu,kripke.exe,"--niter 10 --pmethod bj --groups 8 --legendre 4",1,0.0666,412000000.0,606995847.0,309486113.0,1782000000.0,43379362.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,541370.0,3059100.0,560660927.0,1.3568959999999999,,,,2.6391040000000006
corona-cpu,kripke.exe,"--niter 10 --pmethod sweep --groups 16 --legendre 0",1,0.05,414000000.0,557038158.0,281476304.0,1714000000.0,36352043.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,539850.0,3059100.0,576783658.0,1.331931,,,,1.668069
corona-cpu,kripke.exe,"--niter 10 --pmethod sweep --groups 16 --legendre 1",1,0.05,420000000.0,571774491.0,287103284.0,1736000000.0,38568899.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,539850.0,3059100.0,601541613.0,1.350175,,,,1.649825
