machine,app,ranks,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,rp
ruby,TestDfft,1,2096000000,2438000000,1322000000,12104000000,86000000,120000000,52000000,56000000,2060,229350628,6306913,105137,2208120,924000000,1
ruby,TestDfft,1,406062500,980562500,444562500,3187625000,2000000,2125000,0,0,1144.96875,104723349.6,40674402.84,105841.7813,2107371.406,20500000,1.200480192
ruby,TestDfft,1,2474000000,2902000000,1640000000,14612000000,204000000,210000000,80000000,80000000,2055,166003146,2307648,105137,2208120,3044000000,0.799519808
ruby,TestDfft,1,385437500,659000000,298625000,2238562500,4000000,6000000,0,0,1166.59375,33401603.06,46080081.03,105873.7813,2107372.406,45312500,1
ruby,TestDfft,1,4654000000,4340000000,2454000000,24166000000,272000000,330000000,130000000,134000000,2046,354784438,4881012,105137,2208121,3488000000,0.624906227
ruby,TestDfft,1,801125000,1328312500,598875000,4537125000,6000000,8000000,1875000,2000000,1044.4375,88487713.44,92502659.44,105841.7813,2107371.406,109687500,1.200480192
ruby,TestDfft,1,8934000000,7916000000,4508000000,45514000000,450000000,546000000,280000000,264000000,2048,585003115,5284654,105137,2208120,3888000000,0.7332
ruby,TestDfft,1,1524750000,2133812500,949375000,7472125000,11812500,16000000,3812500,4000000,1050.8125,98345446.69,176891187.3,105841.7813,2107371.406,265312500,1.333
ruby,TestDfft,1,15458000000,13818000000,7902000000,79258000000,944000000,1102000000,484000000,458000000,2038,1045874302,10486772,105138,2208131,9072000000,0.480076812
ruby,TestDfft,1,2735562500,3926250000,1771750000,13742875000,20000000,29562500,6000000,8000000,1055.65625,207008423.5,320639436.1,105873.8125,2107372.75,471375000,2
ruby,TestDfft,1,18512000000,15280000000,8836000000,91278000000,1766000000,1346000000,700000000,664000000,2036,1065501958,3383707,105137,2208131,14652000000,0.216185534
ruby,TestDfft,1,3473750000,4248812500,1870625000,15051812500,31875000,48000000,15625000,18000000,1069.71875,80723613.75,510971839.8,105841.7813,2107371.75,864562500,2.858490566
