machine,core,Kernel                      ,Kernel                      ,Basic_DAXPY                 ,Basic_DAXPY_ATOMIC          ,Basic_IF_QUAD               ,Basic_INDEXLIST             ,Basic_INDEXLIST_3LOOP       ,Basic_INIT3                 ,Basic_INIT_VIEW1D           ,Basic_INIT_VIEW1D_OFFSET    ,Basic_MAT_MAT_SHARED        ,Basic_MULADDSUB             ,Basic_NESTED_INIT           ,Basic_PI_ATOMIC             ,Basic_PI_REDUCE             ,Basic_REDUCE3_INT           ,Basic_REDUCE_STRUCT         ,Basic_TRAP_INT              ,Lcals_DIFF_PREDICT          ,Lcals_EOS                   ,Lcals_FIRST_DIFF            ,Lcals_FIRST_MIN             ,Lcals_FIRST_SUM             ,Lcals_GEN_LIN_RECUR         ,Lcals_HYDRO_1D              ,Lcals_HYDRO_2D              ,Lcals_INT_PREDICT           ,Lcals_PLANCKIAN             ,Lcals_TRIDIAG_ELIM          ,Polybench_2MM               ,Polybench_3MM               ,Polybench_ADI               ,Polybench_ATAX              ,Polybench_FDTD_2D           ,Polybench_FLOYD_WARSHALL    ,Polybench_GEMM              ,Polybench_GEMVER            ,Polybench_GESUMMV           ,Polybench_HEAT_3D           ,Polybench_JACOBI_1D         ,Polybench_JACOBI_2D         ,Polybench_MVT               ,Stream_ADD                  ,Stream_COPY                 ,Stream_DOT                  ,Stream_MUL                  ,Stream_TRIAD                ,Apps_CONVECTION3DPA         ,Apps_DEL_DOT_VEC_2D         ,Apps_DIFFUSION3DPA          ,Apps_ENERGY                 ,Apps_FIR                    ,Apps_HALOEXCHANGE           ,Apps_HALOEXCHANGE_FUSED     ,Apps_LTIMES                 ,Apps_LTIMES_NOVIEW          ,Apps_MASS3DPA               ,Apps_NODAL_ACCUMULATION_3D  ,Apps_PRESSURE               ,Apps_VOL3D                  ,Algorithm_SCAN              ,Algorithm_SORT              ,Algorithm_SORTPAIRS         ,Algorithm_REDUCE_SUM        ,Algorithm_MEMSET            ,Algorithm_MEMCPY            
boraxo,72, Base_OpenMP , default     ,    0.012474 ,    0.140366 ,    0.023587 ,    0.013061 ,    0.009812 ,    0.069620 ,    0.051652 ,    0.045259 ,    0.062669 ,    0.049211 ,    0.018974 ,   10.381516 ,    0.002586 ,    0.003245 ,    0.003602 ,    0.004350 ,    0.273027 ,    0.038801 ,    0.047539 ,    0.008235 ,    0.048442 ,    0.372166 ,    0.048812 ,    0.135274 ,    0.255758 ,    0.006759 ,    0.076172 ,    0.922213 ,    1.311224 ,    0.013956 ,    0.027945 ,    0.040505 ,    0.271788 ,    0.874111 ,    0.010251 ,    0.006150 ,    0.039782 ,    0.087559 ,    0.129554 ,    0.021413 ,    0.048136 ,    0.042077 ,    0.048386 ,    0.041765 ,    0.047296 ,    0.006142 ,    0.032869 ,    0.020855 ,    0.158872 ,    0.019716 ,    0.084654 ,    0.203683 ,    0.029203 ,    0.032234 ,    0.005382 ,    0.198743 ,    0.088186 ,    0.044992 ,    0.005197 ,     Not run ,     Not run ,    0.001451 ,    0.002114 ,    0.002949 
boraxo,36, Base_OpenMP , default     ,    0.022882 ,    0.271859 ,    0.035405 ,    0.025542 ,    0.015436 ,    0.086382 ,    0.064788 ,    0.052618 ,    0.091090 ,    0.061297 ,    0.021987 ,    9.453748 ,    0.003224 ,    0.001879 ,    0.003222 ,    0.006823 ,    0.256520 ,    0.054095 ,    0.092655 ,    0.007587 ,    0.092326 ,    0.395464 ,    0.072696 ,    0.135746 ,    0.244443 ,    0.008933 ,    0.107949 ,    1.854383 ,    2.641088 ,    0.023819 ,    0.045209 ,    0.060300 ,    0.451863 ,    1.751319 ,    0.012504 ,    0.006121 ,    0.075054 ,    0.147391 ,    0.220673 ,    0.040992 ,    0.073561 ,    0.081131 ,    0.089936 ,    0.080753 ,    0.073029 ,    0.010324 ,    0.060825 ,    0.038007 ,    0.178133 ,    0.036217 ,    0.057900 ,    0.077073 ,    0.057464 ,    0.063423 ,    0.008988 ,    0.395039 ,    0.118999 ,    0.101468 ,    0.008138 ,     Not run ,     Not run ,    0.001415 ,    0.002449 ,    0.005037 
boraxo,32, Base_OpenMP , default     ,    0.026069 ,    0.304214 ,    0.039646 ,    0.028170 ,    0.017156 ,    0.106351 ,    0.066608 ,    0.055022 ,    0.086681 ,    0.075065 ,    0.023207 ,    8.409180 ,    0.003297 ,    0.001564 ,    0.003120 ,    0.007468 ,    0.249560 ,    0.061197 ,    0.104885 ,    0.007507 ,    0.105048 ,    0.294258 ,    0.082150 ,    0.135711 ,    0.271248 ,    0.009980 ,    0.121264 ,    2.052712 ,    2.913755 ,    0.026979 ,    0.052330 ,    0.067677 ,    0.516075 ,    1.951674 ,    0.013750 ,    0.007952 ,    0.083384 ,    0.169172 ,    0.240455 ,    0.045814 ,    0.081037 ,    0.091204 ,    0.100935 ,    0.091395 ,    0.080849 ,    0.011744 ,    0.068055 ,    0.042577 ,    0.204042 ,    0.040416 ,    0.045422 ,    0.068000 ,    0.063625 ,    0.070262 ,    0.009788 ,    0.443633 ,    0.139233 ,    0.105251 ,    0.008765 ,     Not run ,     Not run ,    0.001391 ,    0.002451 ,    0.005560 
boraxo,18, Base_OpenMP , default     ,    0.021807 ,    0.260131 ,    0.034541 ,    0.037796 ,    0.015955 ,    0.099220 ,    0.056860 ,    0.055312 ,    0.088261 ,    0.064055 ,    0.021306 ,    4.479817 ,    0.003084 ,    0.001239 ,    0.002766 ,    0.007028 ,    0.282208 ,    0.054859 ,    0.086966 ,    0.011021 ,    0.087054 ,    0.399337 ,    0.073417 ,    0.136890 ,    0.258445 ,    0.009994 ,    0.104794 ,    0.516561 ,    0.682214 ,    0.038308 ,    0.021929 ,    0.060931 ,    0.442676 ,    0.333625 ,    0.010045 ,    0.005838 ,    0.063014 ,    0.142403 ,    0.210066 ,    0.016514 ,    0.072586 ,    0.078644 ,    0.084346 ,    0.077591 ,    0.072035 ,    0.011905 ,    0.065516 ,    0.042262 ,    0.180367 ,    0.036070 ,    0.029298 ,    0.029045 ,    0.083867 ,    0.083853 ,    0.009546 ,    0.349130 ,    0.122772 ,    0.097709 ,    0.012557 ,     Not run ,     Not run ,    0.001704 ,    0.002460 ,    0.004849 
boraxo,16, Base_OpenMP , default     ,    0.024879 ,    0.291773 ,    0.039498 ,    0.042410 ,    0.017798 ,    0.110532 ,    0.060545 ,    0.049864 ,    0.113205 ,    0.078184 ,    0.025216 ,    4.635863 ,    0.003215 ,    0.001329 ,    0.003003 ,    0.007648 ,    0.258398 ,    0.062226 ,    0.100215 ,    0.011981 ,    0.100580 ,    0.394468 ,    0.082365 ,    0.138644 ,    0.268152 ,    0.011046 ,    0.119029 ,    0.550186 ,    0.746011 ,    0.043022 ,    0.024525 ,    0.066682 ,    0.511491 ,    0.359558 ,    0.009849 ,    0.009008 ,    0.070399 ,    0.163018 ,    0.242372 ,    0.017328 ,    0.080868 ,    0.091356 ,    0.099180 ,    0.089992 ,    0.079366 ,    0.013718 ,    0.076057 ,    0.047490 ,    0.205335 ,    0.040342 ,    0.027027 ,    0.023596 ,    0.092831 ,    0.093041 ,    0.010545 ,    0.392460 ,    0.139972 ,    0.103152 ,    0.013951 ,     Not run ,     Not run ,    0.001782 ,    0.002244 ,    0.005445 
boraxo,8, Base_OpenMP , default     ,    0.067724 ,    0.566382 ,    0.085800 ,    0.085780 ,    0.038278 ,    0.300121 ,    0.137787 ,    0.133408 ,    0.184762 ,    0.206461 ,    0.054989 ,    3.649234 ,    0.005667 ,    0.001311 ,    0.006733 ,    0.013999 ,    0.338622 ,    0.169844 ,    0.293865 ,    0.022530 ,    0.297775 ,    0.387870 ,    0.234327 ,    0.233053 ,    0.415432 ,    0.025417 ,    0.327891 ,    1.169576 ,    1.555572 ,    0.079682 ,    0.035839 ,    0.183940 ,    1.683703 ,    0.766278 ,    0.008911 ,    0.015951 ,    0.131607 ,    0.428568 ,    0.612679 ,    0.032596 ,    0.228183 ,    0.262276 ,    0.246311 ,    0.258560 ,    0.229574 ,    0.029996 ,    0.151835 ,    0.096298 ,    0.435222 ,    0.080581 ,    0.017028 ,    0.009371 ,    0.184936 ,    0.185036 ,    0.020875 ,    0.783529 ,    0.364512 ,    0.205937 ,    0.029056 ,     Not run ,     Not run ,    0.003038 ,    0.005431 ,    0.014454 
boraxo,4, Base_OpenMP , default     ,    0.122150 ,    1.125150 ,    0.145300 ,    0.170537 ,    0.076434 ,    0.447266 ,    0.301713 ,    0.301873 ,    0.353502 ,    0.302824 ,    0.111368 ,    3.911458 ,    0.011155 ,    0.002442 ,    0.013169 ,    0.027934 ,    0.464311 ,    0.281394 ,    0.534198 ,    0.044618 ,    0.544462 ,    0.632416 ,    0.390702 ,    0.408357 ,    0.673221 ,    0.041137 ,    0.537255 ,    2.367797 ,    3.140501 ,    0.158563 ,    0.075050 ,    0.307770 ,    3.088506 ,    1.557532 ,    0.017087 ,    0.030708 ,    0.251039 ,    0.833986 ,    1.184638 ,    0.068241 ,    0.391415 ,    0.489025 ,    0.472236 ,    0.473119 ,    0.387006 ,    0.057707 ,    0.288665 ,    0.191786 ,    0.739829 ,    0.159780 ,    0.022986 ,    0.012807 ,    0.369746 ,    0.373449 ,    0.041256 ,    1.565226 ,    0.601100 ,    0.418178 ,    0.057152 ,     Not run ,     Not run ,    0.006100 ,    0.012040 ,    0.027186 
boraxo,72, Base_OpenMP , default     ,    0.011825 ,    0.140411 ,    0.020589 ,    0.013069 ,    0.009471 ,    0.055231 ,    0.051548 ,    0.044448 ,    0.061786 ,    0.039030 ,    0.018866 ,   10.338054 ,    0.002359 ,    0.003200 ,    0.003617 ,    0.004323 ,    0.273237 ,    0.039234 ,    0.045355 ,    0.008322 ,    0.046367 ,    0.369110 ,    0.048056 ,    0.135343 ,    0.256071 ,    0.005984 ,    0.075527 ,    0.921649 ,    1.309136 ,    0.014003 ,    0.027657 ,    0.038825 ,    0.267083 ,    0.873062 ,    0.010041 ,    0.006003 ,    0.038756 ,    0.079441 ,    0.124284 ,    0.021385 ,    0.047369 ,    0.041212 ,    0.047955 ,    0.040770 ,    0.046905 ,    0.005522 ,    0.032715 ,    0.020953 ,    0.155679 ,    0.019689 ,    0.084583 ,    0.203300 ,    0.029202 ,    0.032231 ,    0.005517 ,    0.198714 ,    0.078351 ,    0.044605 ,    0.005142 ,     Not run ,     Not run ,    0.001503 ,    0.002090 ,    0.002777 
boraxo,36, Base_OpenMP , default     ,    0.023683 ,    0.272592 ,    0.035569 ,    0.025241 ,    0.015446 ,    0.084152 ,    0.064911 ,    0.052034 ,    0.089076 ,    0.059626 ,    0.021823 ,    9.871520 ,    0.003154 ,    0.001947 ,    0.003439 ,    0.006775 ,    0.259238 ,    0.051468 ,    0.095068 ,    0.007711 ,    0.094637 ,    0.396184 ,    0.072345 ,    0.135490 ,    0.244000 ,    0.008802 ,    0.100534 ,    1.857327 ,    2.634572 ,    0.023889 ,    0.050249 ,    0.060324 ,    0.455546 ,    1.751541 ,    0.013661 ,    0.008370 ,    0.074135 ,    0.149906 ,    0.221017 ,    0.040576 ,    0.071659 ,    0.083780 ,    0.092908 ,    0.083802 ,    0.071959 ,    0.010323 ,    0.060827 ,    0.037867 ,    0.175487 ,    0.036379 ,    0.058750 ,    0.076685 ,    0.057450 ,    0.063451 ,    0.009013 ,    0.395028 ,    0.115743 ,    0.101492 ,    0.008160 ,     Not run ,     Not run ,    0.001416 ,    0.002374 ,    0.005255 
boraxo,32, Base_OpenMP , default     ,    0.026309 ,    0.305108 ,    0.039766 ,    0.028131 ,    0.016597 ,    0.106786 ,    0.066613 ,    0.050931 ,    0.086058 ,    0.074669 ,    0.022429 ,    8.625726 ,    0.003672 ,    0.001618 ,    0.003256 ,    0.007400 ,    0.251050 ,    0.060000 ,    0.104667 ,    0.007511 ,    0.104590 ,    0.293653 ,    0.080207 ,    0.136807 ,    0.271027 ,    0.010036 ,    0.119013 ,    2.056548 ,    2.916140 ,    0.027044 ,    0.052409 ,    0.066659 ,    0.499607 ,    1.950785 ,    0.013659 ,    0.007782 ,    0.081885 ,    0.168652 ,    0.239206 ,    0.045111 ,    0.079444 ,    0.094331 ,    0.104705 ,    0.094071 ,    0.080586 ,    0.011752 ,    0.068237 ,    0.042652 ,    0.201320 ,    0.040446 ,    0.045950 ,    0.063760 ,    0.063648 ,    0.070241 ,    0.009882 ,    0.443707 ,    0.137960 ,    0.105337 ,    0.008724 ,     Not run ,     Not run ,    0.001348 ,    0.002333 ,    0.005573 
