machine,Kernel                      ,Kernel                      ,Basic_DAXPY                 ,Basic_DAXPY_ATOMIC          ,Basic_IF_QUAD               ,Basic_INDEXLIST             ,Basic_INDEXLIST_3LOOP       ,Basic_INIT3                 ,Basic_INIT_VIEW1D           ,Basic_INIT_VIEW1D_OFFSET    ,Basic_MAT_MAT_SHARED        ,Basic_MULADDSUB             ,Basic_NESTED_INIT           ,Basic_PI_ATOMIC             ,Basic_PI_REDUCE             ,Basic_REDUCE3_INT           ,Basic_REDUCE_STRUCT         ,Basic_TRAP_INT              ,Lcals_DIFF_PREDICT          ,Lcals_EOS                   ,Lcals_FIRST_DIFF            ,Lcals_FIRST_MIN             ,Lcals_FIRST_SUM             ,Lcals_GEN_LIN_RECUR         ,Lcals_HYDRO_1D              ,Lcals_HYDRO_2D              ,Lcals_INT_PREDICT           ,Lcals_PLANCKIAN             ,Lcals_TRIDIAG_ELIM          ,Polybench_2MM               ,Polybench_3MM               ,Polybench_ADI               ,Polybench_ATAX              ,Polybench_FDTD_2D           ,Polybench_FLOYD_WARSHALL    ,Polybench_GEMM              ,Polybench_GEMVER            ,Polybench_GESUMMV           ,Polybench_HEAT_3D           ,Polybench_JACOBI_1D         ,Polybench_JACOBI_2D         ,Polybench_MVT               ,Stream_ADD                  ,Stream_COPY                 ,Stream_DOT                  ,Stream_MUL                  ,Stream_TRIAD                ,Apps_CONVECTION3DPA         ,Apps_DEL_DOT_VEC_2D         ,Apps_DIFFUSION3DPA          ,Apps_ENERGY                 ,Apps_FIR                    ,Apps_HALOEXCHANGE           ,Apps_HALOEXCHANGE_FUSED     ,Apps_LTIMES                 ,Apps_LTIMES_NOVIEW          ,Apps_MASS3DPA               ,Apps_NODAL_ACCUMULATION_3D  ,Apps_PRESSURE               ,Apps_VOL3D                  ,Algorithm_SCAN              ,Algorithm_SORT              ,Algorithm_SORTPAIRS         ,Algorithm_REDUCE_SUM        ,Algorithm_MEMSET            ,Algorithm_MEMCPY            
pascal, Base_CUDA , block_256 ,  0.011421 ,  0.012194 ,  0.008284 ,  0.002572 ,  0.004903 ,  0.019568 ,  0.019359 ,  0.019379 ,  0.004014 ,  0.013706 ,  0.011114 ,  0.065295 ,  0.001706 ,  0.001571 ,  0.004598 ,  0.001740 ,  0.039805 ,  0.017144 ,  0.031892 ,  0.004157 ,  0.032016 ,  0.035484 ,  0.023095 ,  0.016752 ,  0.032575 ,  0.001941 ,  0.030515 ,  0.014778 ,  0.024848 ,  0.048966 ,  0.027435 ,  0.025740 ,  0.131081 ,  0.016678 ,  0.005999 ,  0.052022 ,  0.020824 ,  0.051779 ,  0.070009 ,  0.019740 ,  0.022859 ,  0.028536 ,  0.055932 ,  0.028509 ,  0.022860 ,   Not run ,  0.005463 ,   Not run ,  0.026540 ,  0.005875 ,  0.010026 ,   Not run ,  0.012405 ,  0.012401 ,   Not run ,  0.014390 ,  0.032340 ,  0.006120 ,   Not run ,   Not run ,   Not run ,  0.001414 ,  0.000781 ,  0.001597 
pascal, Base_CUDA , block_256 ,  0.011422 ,  0.012193 ,  0.008272 ,  0.002570 ,  0.004897 ,  0.019556 ,  0.019379 ,  0.019404 ,  0.004002 ,  0.013706 ,  0.010849 ,  0.064912 ,  0.001719 ,  0.001568 ,  0.004609 ,  0.001715 ,  0.039808 ,  0.017139 ,  0.031864 ,  0.004149 ,  0.031926 ,  0.035468 ,  0.023097 ,  0.016812 ,  0.032492 ,  0.001939 ,  0.030486 ,  0.015490 ,  0.024751 ,  0.048791 ,  0.027437 ,  0.025758 ,  0.131057 ,  0.016636 ,  0.006000 ,  0.052024 ,  0.020834 ,  0.051755 ,  0.069965 ,  0.019700 ,  0.022865 ,  0.028524 ,  0.061798 ,  0.028413 ,  0.022825 ,   Not run ,  0.005380 ,   Not run ,  0.026557 ,  0.005557 ,  0.009286 ,   Not run ,  0.011165 ,  0.011144 ,   Not run ,  0.013465 ,  0.032335 ,  0.006125 ,   Not run ,   Not run ,   Not run ,  0.001411 ,  0.000779 ,  0.001600 
pascal, Base_CUDA , block_256 ,  0.011415 ,  0.012182 ,  0.008290 ,  0.002596 ,  0.004900 ,  0.019559 ,  0.019345 ,  0.019344 ,  0.004026 ,  0.013703 ,  0.010935 ,  0.064742 ,  0.001730 ,  0.001582 ,  0.004547 ,  0.001751 ,  0.039724 ,  0.017148 ,  0.031859 ,  0.004170 ,  0.032008 ,  0.035586 ,  0.023129 ,  0.016853 ,  0.032466 ,  0.001947 ,  0.030495 ,  0.015808 ,  0.024679 ,  0.048634 ,  0.027452 ,  0.025759 ,  0.131132 ,  0.016633 ,  0.006001 ,  0.052027 ,  0.020840 ,  0.051788 ,  0.069997 ,  0.019699 ,  0.022880 ,  0.028566 ,  0.056687 ,  0.028435 ,  0.022840 ,   Not run ,  0.005382 ,   Not run ,  0.026545 ,  0.005868 ,  0.010045 ,   Not run ,  0.012292 ,  0.012356 ,   Not run ,  0.014303 ,  0.032368 ,  0.006123 ,   Not run ,   Not run ,   Not run ,  0.001429 ,  0.000802 ,  0.001604 
lassen, Base_CUDA , block_256 ,  0.008119 ,  0.008137 ,  0.006085 ,  0.002453 ,  0.003961 ,  0.013655 ,  0.015147 ,  0.015165 ,  0.002601 ,  0.009521 ,  0.006085 ,  0.060782 ,  0.001335 ,  0.001044 ,  0.004092 ,  0.001303 ,  0.029546 ,  0.010928 ,  0.023876 ,  0.002446 ,  0.023926 ,  0.023569 ,  0.016395 ,  0.010943 ,  0.022473 ,  0.001353 ,  0.021433 ,  0.005279 ,  0.007870 ,  0.026473 ,  0.029154 ,  0.017817 ,  0.099963 ,  0.003347 ,  0.004348 ,  0.020027 ,  0.010044 ,  0.037679 ,  0.050104 ,  0.020118 ,  0.016316 ,  0.021329 ,  0.053859 ,  0.021374 ,  0.016335 ,   Not run ,  0.003437 ,   Not run ,  0.018751 ,  0.002087 ,  0.017561 ,   Not run ,  0.006797 ,  0.006785 ,   Not run ,  0.004149 ,  0.023245 ,  0.003006 ,   Not run ,   Not run ,   Not run ,  0.001267 ,  0.000642 ,  0.001209 
lassen, Base_CUDA , block_256 ,  0.008184 ,  0.008262 ,  0.006091 ,  0.002430 ,  0.003925 ,  0.014079 ,  0.015188 ,  0.015149 ,  0.002511 ,  0.009515 ,  0.006074 ,  0.060721 ,  0.001327 ,  0.001114 ,  0.003952 ,  0.001333 ,  0.029877 ,  0.010908 ,  0.023825 ,  0.002245 ,  0.023903 ,  0.023473 ,  0.016429 ,  0.010842 ,  0.022417 ,  0.001395 ,  0.021411 ,  0.005262 ,  0.007862 ,  0.026692 ,  0.029152 ,  0.017793 ,  0.100286 ,  0.003341 ,  0.004350 ,  0.020064 ,  0.010031 ,  0.037658 ,  0.050164 ,  0.020110 ,  0.016368 ,  0.021347 ,  0.051992 ,  0.021296 ,  0.016323 ,   Not run ,  0.003440 ,   Not run ,  0.018831 ,  0.002083 ,  0.015767 ,   Not run ,  0.006801 ,  0.006792 ,   Not run ,  0.004199 ,  0.023250 ,  0.003010 ,   Not run ,   Not run ,   Not run ,  0.001256 ,  0.000633 ,  0.001204 
lassen, Base_CUDA , block_256 ,  0.008175 ,  0.008145 ,  0.005977 ,  0.002388 ,  0.003917 ,  0.013401 ,  0.015214 ,  0.015271 ,  0.002550 ,  0.009431 ,  0.006119 ,  0.060752 ,  0.001334 ,  0.001140 ,  0.004043 ,  0.001348 ,  0.029707 ,  0.010937 ,  0.023875 ,  0.002185 ,  0.023957 ,  0.023513 ,  0.016463 ,  0.010889 ,  0.022397 ,  0.001357 ,  0.021448 ,  0.005264 ,  0.007858 ,  0.026686 ,  0.029139 ,  0.017904 ,  0.100350 ,  0.003764 ,  0.004730 ,  0.021827 ,  0.010220 ,  0.038296 ,  0.050203 ,  0.020132 ,  0.016332 ,  0.021427 ,  0.053910 ,  0.021412 ,  0.016392 ,   Not run ,  0.003387 ,   Not run ,  0.018914 ,  0.002082 ,  0.018893 ,   Not run ,  0.006789 ,  0.006788 ,   Not run ,  0.004140 ,  0.023283 ,  0.003081 ,   Not run ,   Not run ,   Not run ,  0.001263 ,  0.000639 ,  0.001220 
corona, Base_HIP  , block_256 ,  0.009587 ,  0.013276 ,  0.009840 ,  0.003820 ,  0.005118 ,  0.017529 ,  0.019247 ,  0.019112 ,  0.006725 ,  0.013790 ,  0.011964 , 182.074358 ,  0.047616 ,  0.001782 ,  0.032010 ,  0.046324 ,  0.025963 ,  0.014614 ,  0.024824 ,  0.004217 ,  0.024603 ,  0.030090 ,  0.020605 ,  0.018763 ,  0.026980 ,  0.004479 ,  0.026623 ,  0.014264 ,  0.020265 ,  0.033728 ,  0.043480 ,  0.021376 ,  0.095533 ,  0.015729 ,  0.010138 ,  0.038107 ,  0.017555 ,  0.037262 ,  0.056177 ,  0.042271 ,  0.019372 ,  0.022178 ,  1.705194 ,  0.022439 ,  0.017757 ,   Not run ,  0.006435 ,   Not run ,  0.024187 ,  0.007211 ,  0.012690 ,   Not run ,  0.014460 ,  0.014452 ,   Not run ,  0.015729 ,  0.027641 ,  0.007220 ,   Not run ,   Not run ,   Not run ,  0.045003 ,  0.002159 ,  0.003353 
corona, Base_HIP  , block_256 ,  0.009212 ,  0.012362 ,  0.008689 ,  0.003934 ,  0.005433 ,  0.017465 ,  0.019120 ,  0.019276 ,  0.006744 ,  0.012389 ,  0.012718 , 175.563581 ,  0.047564 ,  0.001806 ,  0.031980 ,  0.046317 ,  0.025204 ,  0.014115 ,  0.022973 ,  0.004261 ,  0.024474 ,  0.030894 ,  0.018555 ,  0.018017 ,  0.025981 ,  0.003932 ,  0.025637 ,  0.014341 ,  0.020594 ,  0.034036 ,  0.042745 ,  0.022748 ,  0.095624 ,  0.015978 ,  0.010050 ,  0.037953 ,  0.017323 ,  0.037637 ,  0.056558 ,  0.042530 ,  0.019282 ,  0.021790 ,  1.704190 ,  0.022850 ,  0.018390 ,   Not run ,  0.006019 ,   Not run ,  0.024532 ,  0.007363 ,  0.013076 ,   Not run ,  0.014436 ,  0.014276 ,   Not run ,  0.016277 ,  0.026816 ,  0.008304 ,   Not run ,   Not run ,   Not run ,  0.044812 ,  0.002048 ,  0.003191 
corona, Base_HIP  , block_256 ,  0.009455 ,  0.012904 ,  0.009101 ,  0.004011 ,  0.005670 ,  0.016881 ,  0.018527 ,  0.018674 ,  0.006684 ,  0.013261 ,  0.011793 , 186.596457 ,  0.047486 ,  0.001789 ,  0.031947 ,  0.046384 ,  0.025666 ,  0.014514 ,  0.024129 ,  0.004069 ,  0.024835 ,  0.030695 ,  0.018103 ,  0.018460 ,  0.026219 ,  0.004163 ,  0.025990 ,  0.014381 ,  0.020092 ,  0.033712 ,  0.043529 ,  0.020987 ,  0.095030 ,  0.015558 ,  0.010045 ,  0.038135 ,  0.017048 ,  0.036998 ,  0.055826 ,  0.042197 ,  0.018894 ,  0.022539 ,  1.705506 ,  0.022067 ,  0.018228 ,   Not run ,  0.006402 ,   Not run ,  0.023692 ,  0.007312 ,  0.011991 ,   Not run ,  0.014403 ,  0.013697 ,   Not run ,  0.015670 ,  0.027509 ,  0.008218 ,   Not run ,   Not run ,   Not run ,  0.045161 ,  0.002271 ,  0.003382 
tioga, Base_HIP  , block_256 ,  0.005269 ,  0.006757 ,  0.005033 ,  0.002383 ,  0.002878 ,  0.009531 ,  0.009192 ,  0.010059 ,  0.003598 ,  0.006651 ,  0.005772 , 234.057805 ,  0.033518 ,  0.001012 ,  0.026211 ,  0.032978 ,  0.014235 ,  0.008276 ,  0.015487 ,  0.002570 ,  0.014771 ,  0.016934 ,  0.010979 ,  0.010724 ,  0.018544 ,  0.001315 ,  0.015074 ,  0.008275 ,  0.011816 ,  0.039670 ,  0.040312 ,  0.013429 ,  0.064320 ,  0.009046 ,  0.008991 ,  0.052075 ,  0.010685 ,  0.025082 ,  0.034849 ,  0.039470 ,  0.010721 ,  0.014015 ,  1.291766 ,  0.013962 ,  0.010756 ,   Not run ,  0.004005 ,   Not run ,  0.014325 ,  0.003113 ,  0.013239 ,   Not run ,  0.007904 ,  0.007332 ,   Not run ,  0.006792 ,  0.016228 ,  0.004435 ,   Not run ,   Not run ,   Not run ,  0.032101 ,  0.000802 ,  0.001996 
