machine,core,Kernel                      ,Kernel                      ,Basic_DAXPY                 ,Basic_DAXPY_ATOMIC          ,Basic_IF_QUAD               ,Basic_INDEXLIST             ,Basic_INDEXLIST_3LOOP       ,Basic_INIT3                 ,Basic_INIT_VIEW1D           ,Basic_INIT_VIEW1D_OFFSET    ,Basic_MAT_MAT_SHARED        ,Basic_MULADDSUB             ,Basic_NESTED_INIT           ,Basic_PI_ATOMIC             ,Basic_PI_REDUCE             ,Basic_REDUCE3_INT           ,Basic_REDUCE_STRUCT         ,Basic_TRAP_INT              ,Lcals_DIFF_PREDICT          ,Lcals_EOS                   ,Lcals_FIRST_DIFF            ,Lcals_FIRST_MIN             ,Lcals_FIRST_SUM             ,Lcals_GEN_LIN_RECUR         ,Lcals_HYDRO_1D              ,Lcals_HYDRO_2D              ,Lcals_INT_PREDICT           ,Lcals_PLANCKIAN             ,Lcals_TRIDIAG_ELIM          ,Polybench_2MM               ,Polybench_3MM               ,Polybench_ADI               ,Polybench_ATAX              ,Polybench_FDTD_2D           ,Polybench_FLOYD_WARSHALL    ,Polybench_GEMM              ,Polybench_GEMVER            ,Polybench_GESUMMV           ,Polybench_HEAT_3D           ,Polybench_JACOBI_1D         ,Polybench_JACOBI_2D         ,Polybench_MVT               ,Stream_ADD                  ,Stream_COPY                 ,Stream_DOT                  ,Stream_MUL                  ,Stream_TRIAD                ,Apps_CONVECTION3DPA         ,Apps_DEL_DOT_VEC_2D         ,Apps_DIFFUSION3DPA          ,Apps_ENERGY                 ,Apps_FIR                    ,Apps_HALOEXCHANGE           ,Apps_HALOEXCHANGE_FUSED     ,Apps_LTIMES                 ,Apps_LTIMES_NOVIEW          ,Apps_MASS3DPA               ,Apps_NODAL_ACCUMULATION_3D  ,Apps_PRESSURE               ,Apps_VOL3D                  ,Algorithm_SCAN              ,Algorithm_SORT              ,Algorithm_SORTPAIRS         ,Algorithm_REDUCE_SUM        ,Algorithm_MEMSET            ,Algorithm_MEMCPY            
boraxo,72, Base_OpenMP , default     ,    0.007175 ,    0.039634 ,    0.006112 ,    0.004188 ,    0.005139 ,    0.010045 ,    0.036020 ,    0.033851 ,    0.012363 ,    0.007191 ,    0.014518 ,    2.817070 ,    0.001533 ,    0.002824 ,    0.002960 ,    0.001899 ,    0.012549 ,    0.008829 ,    0.028109 ,    0.006323 ,    0.028151 ,    0.095916 ,    0.015169 ,    0.011426 ,    0.016673 ,    0.001478 ,    0.014828 ,    0.112057 ,    0.209474 ,    0.004364 ,    0.012664 ,    0.019670 ,    0.078086 ,    0.216793 ,    0.004376 ,    0.004693 ,    0.017914 ,    0.047488 ,    0.065643 ,    0.002200 ,    0.014568 ,    0.024713 ,    0.036763 ,    0.024750 ,    0.014325 ,    0.001844 ,    0.008775 ,    0.005213 ,    0.014877 ,    0.006266 ,    0.085102 ,    0.221291 ,    0.008715 ,    0.009808 ,    0.001958 ,    0.051213 ,    0.012950 ,    0.012495 ,    0.002362 ,     Not run ,     Not run ,    0.001046 ,    0.001464 ,    0.001540 
boraxo,36, Base_OpenMP , default     ,    0.006009 ,    0.070551 ,    0.009131 ,    0.006325 ,    0.004837 ,    0.014096 ,    0.028787 ,    0.025190 ,    0.014202 ,    0.009797 ,    0.011149 ,    2.223407 ,    0.001295 ,    0.001320 ,    0.001512 ,    0.002151 ,    0.019563 ,    0.010373 ,    0.022872 ,    0.003844 ,    0.023057 ,    0.090196 ,    0.013838 ,    0.022208 ,    0.026598 ,    0.002125 ,    0.017024 ,    0.218940 ,    0.412652 ,    0.006500 ,    0.009376 ,    0.016867 ,    0.064307 ,    0.426454 ,    0.004205 ,    0.001450 ,    0.022653 ,    0.041691 ,    0.068420 ,    0.002525 ,    0.012790 ,    0.019074 ,    0.024148 ,    0.019176 ,    0.012714 ,    0.002782 ,    0.015489 ,    0.009354 ,    0.027715 ,    0.009852 ,    0.057459 ,    0.079057 ,    0.014610 ,    0.016360 ,    0.002672 ,    0.100587 ,    0.017606 ,    0.023006 ,    0.002604 ,     Not run ,     Not run ,    0.000731 ,    0.001099 ,    0.001225 
boraxo,32, Base_OpenMP , default     ,    0.005814 ,    0.078304 ,    0.009808 ,    0.006868 ,    0.004755 ,    0.015347 ,    0.026502 ,    0.022666 ,    0.014593 ,    0.010815 ,    0.010202 ,    2.259672 ,    0.001493 ,    0.000971 ,    0.001212 ,    0.002540 ,    0.022284 ,    0.010807 ,    0.021663 ,    0.003478 ,    0.021896 ,    0.059557 ,    0.013913 ,    0.023770 ,    0.029448 ,    0.002250 ,    0.017849 ,    0.248661 ,    0.462987 ,    0.007110 ,    0.011303 ,    0.016797 ,    0.061069 ,    0.482294 ,    0.004672 ,    0.004972 ,    0.022051 ,    0.040134 ,    0.068689 ,    0.002644 ,    0.012425 ,    0.017469 ,    0.022610 ,    0.017641 ,    0.012479 ,    0.002943 ,    0.017174 ,    0.010280 ,    0.032089 ,    0.010726 ,    0.045674 ,    0.072053 ,    0.016604 ,    0.018365 ,    0.002821 ,    0.112779 ,    0.019438 ,    0.025618 ,    0.002579 ,     Not run ,     Not run ,    0.000648 ,    0.001018 ,    0.001119 
boraxo,18, Base_OpenMP , default     ,    0.004665 ,    0.066376 ,    0.008812 ,    0.009133 ,    0.004326 ,    0.016412 ,    0.021237 ,    0.018184 ,    0.012497 ,    0.010878 ,    0.008263 ,    1.126569 ,    0.001350 ,    0.000672 ,    0.000973 ,    0.002033 ,    0.020784 ,    0.009224 ,    0.018405 ,    0.003700 ,    0.018248 ,    0.089938 ,    0.011667 ,    0.020372 ,    0.026229 ,    0.002320 ,    0.013904 ,    0.053318 ,    0.088704 ,    0.009790 ,    0.017530 ,    0.012726 ,    0.052658 ,    0.068548 ,    0.005067 ,    0.005669 ,    0.018087 ,    0.033750 ,    0.057063 ,    0.002371 ,    0.010461 ,    0.014461 ,    0.021924 ,    0.014987 ,    0.010615 ,    0.002732 ,    0.016413 ,    0.009533 ,    0.027901 ,    0.009477 ,    0.033600 ,    0.038954 ,    0.021421 ,    0.021443 ,    0.002597 ,    0.088440 ,    0.017272 ,    0.024244 ,    0.003419 ,     Not run ,     Not run ,    0.000582 ,    0.000798 ,    0.000965 
boraxo,16, Base_OpenMP , default     ,    0.004873 ,    0.074321 ,    0.009760 ,    0.010149 ,    0.004534 ,    0.019122 ,    0.021624 ,    0.018344 ,    0.012644 ,    0.012770 ,    0.008117 ,    1.147366 ,    0.001044 ,    0.000580 ,    0.000905 ,    0.002423 ,    0.023485 ,    0.010749 ,    0.019540 ,    0.003823 ,    0.019493 ,    0.084274 ,    0.012961 ,    0.025340 ,    0.029579 ,    0.002585 ,    0.015861 ,    0.060212 ,    0.099403 ,    0.011030 ,    0.011382 ,    0.013947 ,    0.055370 ,    0.077132 ,    0.005631 ,    0.006465 ,    0.018890 ,    0.036842 ,    0.061523 ,    0.002657 ,    0.011917 ,    0.014484 ,    0.021604 ,    0.014803 ,    0.011752 ,    0.003029 ,    0.019323 ,    0.010983 ,    0.033004 ,    0.010500 ,    0.027631 ,    0.030388 ,    0.024639 ,    0.025089 ,    0.002876 ,    0.099347 ,    0.019756 ,    0.029952 ,    0.003649 ,     Not run ,     Not run ,    0.000591 ,    0.000868 ,    0.000956 
boraxo,8, Base_OpenMP , default     ,    0.007481 ,    0.146290 ,    0.018094 ,    0.019820 ,    0.007286 ,    0.032019 ,    0.030922 ,    0.022564 ,    0.020153 ,    0.022335 ,    0.011174 ,    0.929316 ,    0.001563 ,    0.000439 ,    0.000894 ,    0.003631 ,    0.053119 ,    0.024124 ,    0.032013 ,    0.005839 ,    0.033386 ,    0.053235 ,    0.031659 ,    0.048107 ,    0.069798 ,    0.004548 ,    0.048483 ,    0.118493 ,    0.197089 ,    0.017868 ,    0.004722 ,    0.023901 ,    0.088882 ,    0.152033 ,    0.002205 ,    0.001992 ,    0.027879 ,    0.060822 ,    0.104590 ,    0.004275 ,    0.030792 ,    0.024967 ,    0.032278 ,    0.025504 ,    0.030831 ,    0.005343 ,    0.036558 ,    0.021025 ,    0.080647 ,    0.020060 ,    0.014981 ,    0.005782 ,    0.047158 ,    0.047237 ,    0.005129 ,    0.197675 ,    0.048369 ,    0.053703 ,    0.006512 ,     Not run ,     Not run ,    0.000813 ,    0.000853 ,    0.001525 
boraxo,4, Base_OpenMP , default     ,    0.022518 ,    0.289654 ,    0.035386 ,    0.041172 ,    0.016322 ,    0.061017 ,    0.056573 ,    0.044958 ,    0.039002 ,    0.042712 ,    0.022200 ,    0.955425 ,    0.002925 ,    0.000651 ,    0.002310 ,    0.007053 ,    0.094475 ,    0.045783 ,    0.092337 ,    0.011247 ,    0.092448 ,    0.102054 ,    0.068757 ,    0.102043 ,    0.129735 ,    0.009022 ,    0.091923 ,    0.236128 ,    0.392331 ,    0.035314 ,    0.009521 ,    0.052584 ,    0.223437 ,    0.303497 ,    0.003031 ,    0.005521 ,    0.058426 ,    0.147818 ,    0.210294 ,    0.008904 ,    0.068584 ,    0.081935 ,    0.090969 ,    0.082244 ,    0.068670 ,    0.010453 ,    0.072422 ,    0.042481 ,    0.151134 ,    0.039837 ,    0.017437 ,    0.006761 ,    0.092376 ,    0.092509 ,    0.010132 ,    0.394824 ,    0.098024 ,    0.112705 ,    0.013351 ,     Not run ,     Not run ,    0.001483 ,    0.001847 ,    0.004576 
boraxo,72, Base_OpenMP , default     ,    0.006649 ,    0.039299 ,    0.006008 ,    0.004151 ,    0.004998 ,    0.009871 ,    0.034019 ,    0.032642 ,    0.012173 ,    0.006968 ,    0.013681 ,    2.889601 ,    0.001598 ,    0.002823 ,    0.003005 ,    0.002089 ,    0.011476 ,    0.008677 ,    0.026362 ,    0.006419 ,    0.026640 ,    0.096289 ,    0.014597 ,    0.011416 ,    0.016770 ,    0.001687 ,    0.014477 ,    0.111300 ,    0.207371 ,    0.004317 ,    0.013980 ,    0.020065 ,    0.075861 ,    0.215551 ,    0.004196 ,    0.004073 ,    0.019313 ,    0.045323 ,    0.063755 ,    0.002126 ,    0.013889 ,    0.023271 ,    0.034956 ,    0.023166 ,    0.013588 ,    0.002337 ,    0.008864 ,    0.005550 ,    0.014929 ,    0.006193 ,    0.084351 ,    0.210322 ,    0.008840 ,    0.009600 ,    0.002366 ,    0.051193 ,    0.012974 ,    0.012399 ,    0.002356 ,     Not run ,     Not run ,    0.001000 ,    0.001419 ,    0.001489 
boraxo,36, Base_OpenMP , default     ,    0.006042 ,    0.070526 ,    0.009211 ,    0.006313 ,    0.004871 ,    0.014164 ,    0.028785 ,    0.025297 ,    0.014645 ,    0.010145 ,    0.011072 ,    2.420001 ,    0.001469 ,    0.001275 ,    0.001525 ,    0.002325 ,    0.019759 ,    0.010597 ,    0.022966 ,    0.003812 ,    0.023251 ,    0.090349 ,    0.014134 ,    0.022249 ,    0.026623 ,    0.002130 ,    0.015813 ,    0.219699 ,    0.409990 ,    0.006485 ,    0.011517 ,    0.017497 ,    0.065577 ,    0.427242 ,    0.004091 ,    0.005156 ,    0.022794 ,    0.041882 ,    0.069204 ,    0.002637 ,    0.013198 ,    0.019077 ,    0.024630 ,    0.019297 ,    0.013249 ,    0.002766 ,    0.015564 ,    0.009344 ,    0.027708 ,    0.009883 ,    0.058028 ,    0.079065 ,    0.014605 ,    0.016134 ,    0.002742 ,    0.100614 ,    0.017934 ,    0.022998 ,    0.002594 ,     Not run ,     Not run ,    0.000715 ,    0.001113 ,    0.001234 
boraxo,32, Base_OpenMP , default     ,    0.005799 ,    0.078223 ,    0.009803 ,    0.006840 ,    0.004748 ,    0.015631 ,    0.026506 ,    0.022611 ,    0.014517 ,    0.010665 ,    0.010041 ,    2.344386 ,    0.001589 ,    0.000940 ,    0.001133 ,    0.002464 ,    0.021725 ,    0.010657 ,    0.021065 ,    0.003365 ,    0.021618 ,    0.059420 ,    0.013388 ,    0.023401 ,    0.029421 ,    0.002238 ,    0.017902 ,    0.248626 ,    0.464282 ,    0.007148 ,    0.011916 ,    0.016895 ,    0.061408 ,    0.482367 ,    0.004675 ,    0.003811 ,    0.022073 ,    0.039867 ,    0.068505 ,    0.002637 ,    0.012763 ,    0.017414 ,    0.022561 ,    0.017450 ,    0.012821 ,    0.002875 ,    0.017198 ,    0.010285 ,    0.031742 ,    0.010744 ,    0.044063 ,    0.067498 ,    0.016627 ,    0.018368 ,    0.002889 ,    0.112828 ,    0.019487 ,    0.025584 ,    0.002553 ,     Not run ,     Not run ,    0.000630 ,    0.001127 ,    0.001129 
