machine,Kernel                      ,Kernel                      ,Basic_DAXPY                 ,Basic_DAXPY_ATOMIC          ,Basic_IF_QUAD               ,Basic_INDEXLIST             ,Basic_INDEXLIST_3LOOP       ,Basic_INIT3                 ,Basic_INIT_VIEW1D           ,Basic_INIT_VIEW1D_OFFSET    ,Basic_MAT_MAT_SHARED        ,Basic_MULADDSUB             ,Basic_NESTED_INIT           ,Basic_PI_ATOMIC             ,Basic_PI_REDUCE             ,Basic_REDUCE3_INT           ,Basic_REDUCE_STRUCT         ,Basic_TRAP_INT              ,Lcals_DIFF_PREDICT          ,Lcals_EOS                   ,Lcals_FIRST_DIFF            ,Lcals_FIRST_MIN             ,Lcals_FIRST_SUM             ,Lcals_GEN_LIN_RECUR         ,Lcals_HYDRO_1D              ,Lcals_HYDRO_2D              ,Lcals_INT_PREDICT           ,Lcals_PLANCKIAN             ,Lcals_TRIDIAG_ELIM          ,Polybench_2MM               ,Polybench_3MM               ,Polybench_ADI               ,Polybench_ATAX              ,Polybench_FDTD_2D           ,Polybench_FLOYD_WARSHALL    ,Polybench_GEMM              ,Polybench_GEMVER            ,Polybench_GESUMMV           ,Polybench_HEAT_3D           ,Polybench_JACOBI_1D         ,Polybench_JACOBI_2D         ,Polybench_MVT               ,Stream_ADD                  ,Stream_COPY                 ,Stream_DOT                  ,Stream_MUL                  ,Stream_TRIAD                ,Apps_CONVECTION3DPA         ,Apps_DEL_DOT_VEC_2D         ,Apps_DIFFUSION3DPA          ,Apps_ENERGY                 ,Apps_FIR                    ,Apps_HALOEXCHANGE           ,Apps_HALOEXCHANGE_FUSED     ,Apps_LTIMES                 ,Apps_LTIMES_NOVIEW          ,Apps_MASS3DPA               ,Apps_NODAL_ACCUMULATION_3D  ,Apps_PRESSURE               ,Apps_VOL3D                  ,Algorithm_SCAN              ,Algorithm_SORT              ,Algorithm_SORTPAIRS         ,Algorithm_REDUCE_SUM        ,Algorithm_MEMSET            ,Algorithm_MEMCPY            
tioga, Base_Seq , default  , 0.064445 , 0.065020 , 0.870464 , 0.263399 , 0.220925 , 0.198905 , 0.857537 , 0.849929 , 0.599637 , 0.157504 , 0.396610 , 0.036545 , 0.036522 , 0.004878 , 0.025057 , 0.103635 , 0.359933 , 0.327931 , 0.271850 , 0.024708 , 0.285236 , 0.299099 , 0.230248 , 0.304564 , 0.449873 , 0.314923 , 0.273290 , 2.090018 , 3.137378 , 0.207927 , 0.096305 , 0.217502 , 1.263297 , 2.401067 , 0.023309 , 0.058996 , 0.427639 , 0.551456 , 1.212590 , 0.096291 , 0.183542 , 0.212050 , 0.982982 , 0.212741 , 0.187941 , 0.160128 , 0.424475 , 0.501131 , 0.465032 , 0.524550 , 0.008459 , 0.008808 , 0.388006 , 0.388490 , 0.126624 , 0.398136 , 0.540163 , 0.339806 , 0.049199 , 0.945829 , 1.049302 , 0.024658 , 0.008533 , 0.012044 
tioga, Base_Seq , default  , 0.064070 , 0.063192 , 0.870466 , 0.263492 , 0.221306 , 0.199344 , 0.857291 , 0.849182 , 0.604164 , 0.156456 , 0.396931 , 0.036552 , 0.036550 , 0.004878 , 0.025014 , 0.103665 , 0.358517 , 0.328141 , 0.275624 , 0.024854 , 0.290515 , 0.310937 , 0.226954 , 0.305794 , 0.448860 , 0.314027 , 0.271359 , 2.081404 , 3.126957 , 0.208249 , 0.096227 , 0.212996 , 1.230341 , 2.393020 , 0.023259 , 0.058942 , 0.427401 , 0.532740 , 1.198287 , 0.096230 , 0.183879 , 0.210449 , 0.981391 , 0.210513 , 0.185541 , 0.157864 , 0.424812 , 0.492827 , 0.458670 , 0.524726 , 0.008512 , 0.009301 , 0.386072 , 0.385639 , 0.126425 , 0.399354 , 0.535744 , 0.345059 , 0.049096 , 0.945697 , 1.048581 , 0.024652 , 0.008375 , 0.011845 
ec2-p3, Base_Seq , default  , 0.191253 , 0.191225 , 0.746659 , 0.270455 , 0.321314 , 0.562299 , 0.829221 , 0.935312 , 0.918802 , 0.375708 , 0.511092 , 0.041770 , 0.041898 , 0.009360 , 0.056231 , 0.114270 , 1.062313 , 0.450441 , 0.715054 , 0.066193 , 0.716156 , 0.812353 , 0.466748 , 0.759101 , 1.547253 , 0.473677 , 0.584357 , 2.884343 , 4.348075 , 0.216561 , 0.122814 , 0.387863 , 2.917591 , 3.318717 , 0.031317 , 0.070251 , 0.743415 , 1.285553 , 1.815439 , 0.124206 , 0.499863 , 0.680341 , 1.118046 , 0.677956 , 0.498822 , 0.189058 , 0.636083 , 0.561682 , 1.142654 , 0.614122 , 0.020881 , 0.020856 , 0.606268 , 0.607422 , 0.152162 , 0.229782 , 0.916074 , 0.979605 , 0.055790 , 0.907350 , 1.040867 , 0.027936 , 0.022694 , 0.035098 
ec2-p3, Base_Seq , default  , 0.176384 , 0.176429 , 0.745079 , 0.269879 , 0.322193 , 0.532779 , 0.829386 , 0.935909 , 0.917591 , 0.378831 , 0.511046 , 0.041772 , 0.041778 , 0.009375 , 0.056100 , 0.114066 , 1.049773 , 0.450232 , 0.695902 , 0.066210 , 0.696677 , 0.794532 , 0.461596 , 0.769623 , 1.544543 , 0.476188 , 0.578065 , 2.807855 , 4.307473 , 0.217388 , 0.122078 , 0.390265 , 2.848934 , 3.406549 , 0.031880 , 0.069763 , 0.742418 , 1.276122 , 1.840058 , 0.122793 , 0.488077 , 0.659097 , 1.117532 , 0.623457 , 0.463333 , 0.182929 , 0.635431 , 0.560083 , 0.955943 , 0.613505 , 0.019206 , 0.019127 , 0.606048 , 0.606022 , 0.154759 , 0.228445 , 0.845098 , 0.979922 , 0.055958 , 0.908143 , 1.041907 , 0.027928 , 0.024547 , 0.037567 
ec2-p3, Base_Seq , default  , 0.177312 , 0.177307 , 0.749387 , 0.269927 , 0.314945 , 0.559855 , 0.830958 , 0.936619 , 0.905440 , 0.393863 , 0.520654 , 0.041765 , 0.041777 , 0.009368 , 0.056207 , 0.114297 , 1.052353 , 0.456010 , 0.708017 , 0.066222 , 0.708559 , 0.819004 , 0.473037 , 0.778702 , 1.557606 , 0.474401 , 0.629947 , 2.967613 , 4.478793 , 0.216767 , 0.124650 , 0.409837 , 3.029117 , 3.416777 , 0.031710 , 0.069655 , 0.743436 , 1.249222 , 1.789413 , 0.122750 , 0.485236 , 0.660605 , 1.118034 , 0.665763 , 0.487482 , 0.185382 , 0.636303 , 0.560441 , 0.914776 , 0.613566 , 0.020351 , 0.020371 , 0.607288 , 0.607186 , 0.156565 , 0.227606 , 0.836248 , 0.979082 , 0.055816 , 0.907550 , 1.041806 , 0.027982 , 0.023963 , 0.036546 
ec2-p4d, Base_Seq , default  , 0.149063 , 0.149130 , 0.681577 , 0.209772 , 0.246325 , 0.461972 , 0.700091 , 0.717179 , 0.754694 , 0.322234 , 0.353619 , 0.032539 , 0.031085 , 0.007187 , 0.038477 , 0.070151 , 0.696769 , 0.355108 , 0.599646 , 0.055834 , 0.599662 , 0.661037 , 0.456504 , 0.505572 , 1.055660 , 0.361133 , 0.649233 , 5.136068 , 8.188666 , 0.232218 , 0.171080 , 0.356664 , 2.424096 , 5.968995 , 0.038629 , 0.066618 , 0.433956 , 1.014383 , 1.233389 , 0.168333 , 0.464371 , 0.543861 , 1.117057 , 0.543799 , 0.462611 , 0.137359 , 0.438670 , 0.428622 , 0.712631 , 0.471694 , 0.017871 , 0.017563 , 0.494643 , 0.506589 , 0.112297 , 0.164382 , 0.780485 , 0.638447 , 0.056328 , 0.721848 , 0.860861 , 0.028001 , 0.015375 , 0.030197 
ec2-p4d, Base_Seq , default  , 0.151993 , 0.149980 , 0.670405 , 0.210044 , 0.250949 , 0.476583 , 0.700543 , 0.713445 , 0.752628 , 0.345055 , 0.352993 , 0.032540 , 0.031045 , 0.007125 , 0.037840 , 0.070602 , 0.696953 , 0.373302 , 0.600963 , 0.055841 , 0.601467 , 0.681023 , 0.463532 , 0.520679 , 1.049543 , 0.361389 , 0.662992 , 4.997835 , 7.373524 , 0.213462 , 0.184320 , 0.351709 , 2.443676 , 7.539980 , 0.040599 , 0.066789 , 0.423653 , 0.999547 , 1.239481 , 0.156786 , 0.491610 , 0.546478 , 1.123266 , 0.547451 , 0.498560 , 0.152447 , 0.439541 , 0.433101 , 0.854967 , 0.469740 , 0.018121 , 0.017837 , 0.495133 , 0.506979 , 0.111954 , 0.164792 , 0.875187 , 0.639020 , 0.056271 , 0.723388 , 0.862133 , 0.028088 , 0.015577 , 0.030206 
ec2-p4d, Base_Seq , default  , 0.151923 , 0.152651 , 0.682116 , 0.209846 , 0.246844 , 0.477854 , 0.699566 , 0.709066 , 0.753434 , 0.330960 , 0.352927 , 0.032554 , 0.031079 , 0.007123 , 0.037975 , 0.070565 , 0.693136 , 0.365178 , 0.595866 , 0.055834 , 0.596292 , 0.652007 , 0.458352 , 0.504300 , 1.002943 , 0.361455 , 0.636982 , 5.180070 , 8.418383 , 0.212601 , 0.174878 , 0.352796 , 2.489875 , 7.057876 , 0.038980 , 0.066588 , 0.441916 , 0.996922 , 1.443156 , 0.171807 , 0.457489 , 0.542634 , 1.116449 , 0.544827 , 0.463789 , 0.138232 , 0.438209 , 0.448614 , 0.711301 , 0.471697 , 0.017658 , 0.017454 , 0.494858 , 0.506555 , 0.111945 , 0.163687 , 0.759881 , 0.637685 , 0.056616 , 0.721533 , 0.871929 , 0.028001 , 0.015437 , 0.030210 
AVERAGE
pascal,,,0.152663,0.152734,0.631301,0.220235,0.264027,0.510355,0.691311,0.762160,0.748787,0.380597,0.396907,0.034204,0.034157,0.007844,0.046069,0.093469,0.947628,0.379654,0.624359,0.054655,0.626288,0.728229,0.414734,0.663937,1.395525,0.365625,0.546769,2.431236,3.660381,0.174224,0.102042,0.348295,2.584390,2.778516,0.025961,0.057411,0.605891,1.049547,1.623745,0.100406,0.408333,0.548110,0.914922,0.550604,0.407669,0.152079,0.520739,0.455962,0.784375,0.484206,0.016215,0.016209,0.494456,0.496237,0.123363,0.186782,0.716169,0.800108,0.045676,0.739786,0.851635,0.022884,0.019862,0.030449
lassen,,,0.152731,0.154950,0.993601,0.281992,0.324350,0.290013,0.959506,0.875676,0.819744,0.219000,0.485549,0.056472,0.056474,0.009930,0.054701,0.142460,0.507123,0.472908,0.607025,0.040173,0.604246,0.674581,0.465260,0.723180,0.589986,0.706647,0.483877,4.090710,6.231495,0.295276,0.193541,0.516097,3.459103,4.729928,0.047383,0.119232,0.923716,1.475456,2.816319,0.185440,0.361318,0.630894,1.946219,0.522938,0.336352,0.170187,0.673666,0.480420,0.696872,0.981885,0.016880,0.015989,0.944500,0.945382,0.132453,0.208714,0.919543,0.827764,0.094926,0.999293,1.069289,0.047660,0.023180,0.036009
corona,,,0.120723,0.121557,0.805401,0.258785,0.250881,0.386753,0.725947,0.709419,0.611365,0.271810,0.368370,0.038033,0.038286,0.007404,0.032715,0.104814,0.382405,0.407355,0.492111,0.030710,0.480911,0.449907,0.430611,0.335375,0.638902,0.340325,0.575976,1.953145,3.014815,0.191229,0.090971,0.383861,1.995674,2.285007,0.022232,0.062776,0.460810,0.829903,1.366312,0.090482,0.399979,0.403977,1.013670,0.398671,0.409709,0.224344,0.430580,0.652849,0.621106,0.488788,0.007850,0.007993,0.444143,0.444724,0.137495,0.328223,0.767458,0.338398,0.049766,0.910477,0.971565,0.023132,0.008325,0.022619
tioga,,,0.064530,0.064410,0.869755,0.263476,0.221150,0.198613,0.857590,0.849805,0.604041,0.155773,0.396843,0.036550,0.036538,0.004880,0.024977,0.103659,0.357896,0.327758,0.272897,0.024760,0.287181,0.302778,0.230186,0.306745,0.446774,0.314481,0.275541,2.083189,3.131888,0.208072,0.096254,0.214763,1.252124,2.387409,0.023298,0.059006,0.427158,0.541482,1.206324,0.096272,0.182384,0.212041,0.982210,0.212378,0.187431,0.159896,0.424995,0.489114,0.465310,0.524643,0.008548,0.008909,0.386725,0.386724,0.126535,0.398564,0.538585,0.343357,0.049143,0.945698,1.049106,0.024659,0.008440,0.011974
ec2-p3,,,0.181650,0.181654,0.747042,0.270087,0.319484,0.551644,0.829855,0.935947,0.913944,0.382801,0.514264,0.041769,0.041818,0.009368,0.056179,0.114211,1.054813,0.452228,0.706324,0.066208,0.707131,0.808630,0.467127,0.769142,1.549801,0.474755,0.597456,2.886604,4.378114,0.216905,0.123181,0.395988,2.931881,3.380681,0.031636,0.069890,0.743090,1.270299,1.814970,0.123250,0.491059,0.666681,1.117871,0.655725,0.483212,0.185790,0.635939,0.560735,1.004458,0.613731,0.020146,0.020118,0.606535,0.606877,0.154495,0.228611,0.865807,0.979536,0.055855,0.907681,1.041527,0.027949,0.023735,0.036404
ec2-p4d,,,0.150993,0.150587,0.678033,0.209887,0.248039,0.472136,0.700067,0.713230,0.753585,0.332750,0.353180,0.032544,0.031070,0.007145,0.038097,0.070439,0.695619,0.364529,0.598825,0.055836,0.599140,0.664689,0.459463,0.510184,1.036049,0.361326,0.649736,5.104658,7.993524,0.219427,0.176759,0.353723,2.452549,6.855617,0.039403,0.066665,0.433175,1.003617,1.305342,0.165642,0.471157,0.544324,1.118924,0.545359,0.474987,0.142679,0.438807,0.436779,0.759633,0.471044,0.017883,0.017618,0.494878,0.506708,0.112065,0.164287,0.805184,0.638384,0.056405,0.722256,0.864974,0.028030,0.015463,0.030204
