machine,Kernel                      ,Kernel                      ,Basic_DAXPY                 ,Basic_DAXPY_ATOMIC          ,Basic_IF_QUAD               ,Basic_INDEXLIST             ,Basic_INDEXLIST_3LOOP       ,Basic_INIT3                 ,Basic_INIT_VIEW1D           ,Basic_INIT_VIEW1D_OFFSET    ,Basic_MAT_MAT_SHARED        ,Basic_MULADDSUB             ,Basic_NESTED_INIT           ,Basic_PI_ATOMIC             ,Basic_PI_REDUCE             ,Basic_REDUCE3_INT           ,Basic_REDUCE_STRUCT         ,Basic_TRAP_INT              ,Lcals_DIFF_PREDICT          ,Lcals_EOS                   ,Lcals_FIRST_DIFF            ,Lcals_FIRST_MIN             ,Lcals_FIRST_SUM             ,Lcals_GEN_LIN_RECUR         ,Lcals_HYDRO_1D              ,Lcals_HYDRO_2D              ,Lcals_INT_PREDICT           ,Lcals_PLANCKIAN             ,Lcals_TRIDIAG_ELIM          ,Polybench_2MM               ,Polybench_3MM               ,Polybench_ADI               ,Polybench_ATAX              ,Polybench_FDTD_2D           ,Polybench_FLOYD_WARSHALL    ,Polybench_GEMM              ,Polybench_GEMVER            ,Polybench_GESUMMV           ,Polybench_HEAT_3D           ,Polybench_JACOBI_1D         ,Polybench_JACOBI_2D         ,Polybench_MVT               ,Stream_ADD                  ,Stream_COPY                 ,Stream_DOT                  ,Stream_MUL                  ,Stream_TRIAD                ,Apps_CONVECTION3DPA         ,Apps_DEL_DOT_VEC_2D         ,Apps_DIFFUSION3DPA          ,Apps_ENERGY                 ,Apps_FIR                    ,Apps_HALOEXCHANGE           ,Apps_HALOEXCHANGE_FUSED     ,Apps_LTIMES                 ,Apps_LTIMES_NOVIEW          ,Apps_MASS3DPA               ,Apps_NODAL_ACCUMULATION_3D  ,Apps_PRESSURE               ,Apps_VOL3D                  ,Algorithm_SCAN              ,Algorithm_SORT              ,Algorithm_SORTPAIRS         ,Algorithm_REDUCE_SUM        ,Algorithm_MEMSET            ,Algorithm_MEMCPY            
tioga, Base_HIP  , block_256 ,  0.009962 ,  0.011517 ,  0.008434 ,  0.003137 ,  0.004784 ,  0.017005 ,  0.017160 ,  0.017096 ,  0.008172 ,  0.012820 ,  0.007906 , 339.761802 ,  0.062419 ,  0.001338 ,  0.050806 ,  0.062363 ,  0.026785 ,  0.014709 ,  0.027138 ,  0.003434 ,  0.027143 ,  0.033118 ,  0.020820 ,  0.019682 ,  0.033646 ,  0.002652 ,  0.027802 ,  0.017433 ,  0.025265 ,  0.061598 ,  0.065596 ,  0.024926 ,  0.165316 ,  0.016976 ,  0.014020 ,  0.071736 ,  0.017543 ,  0.044728 ,  0.062913 ,  0.065027 ,  0.020529 ,  0.024316 ,  2.427571 ,  0.024161 ,  0.020817 ,   Not run ,  0.006565 ,   Not run ,  0.025827 ,  0.005541 ,  0.012948 ,   Not run ,  0.014628 ,  0.014659 ,   Not run ,  0.011780 ,  0.029518 ,  0.006926 ,   Not run ,   Not run ,   Not run ,  0.060246 ,  0.001761 ,  0.001816 
tioga, Base_HIP  , block_256 ,  0.009943 ,  0.011287 ,  0.008197 ,  0.003155 ,  0.004768 ,  0.016903 ,  0.017004 ,  0.016927 ,  0.008170 ,  0.012620 ,  0.007663 , 331.731035 ,  0.061737 ,  0.001342 ,  0.050907 ,  0.062346 ,  0.026739 ,  0.014658 ,  0.027046 ,  0.003539 ,  0.026993 ,  0.032765 ,  0.020826 ,  0.019462 ,  0.034130 ,  0.002507 ,  0.027942 ,  0.017375 ,  0.025173 ,  0.060546 ,  0.065667 ,  0.024803 ,  0.165347 ,  0.016990 ,  0.014067 ,  0.071780 ,  0.017574 ,  0.044657 ,  0.062663 ,  0.065002 ,  0.020457 ,  0.024423 ,  2.428545 ,  0.024177 ,  0.020562 ,   Not run ,  0.006599 ,   Not run ,  0.025761 ,  0.005513 ,  0.013555 ,   Not run ,  0.014629 ,  0.014539 ,   Not run ,  0.011454 ,  0.029510 ,  0.006633 ,   Not run ,   Not run ,   Not run ,  0.060931 ,  0.001143 ,  0.001766 
ec2-p3, Base_CUDA , block_256 ,  0.014945 ,  0.015044 ,  0.011429 ,  0.002605 ,  0.006113 ,  0.025531 ,  0.024691 ,  0.024692 ,  0.006026 ,  0.017874 ,  0.012417 ,  0.104364 ,  0.001045 ,  0.001131 ,  0.007169 ,  0.001066 ,  0.055870 ,  0.020363 ,  0.042133 ,  0.004478 ,  0.042164 ,  0.046993 ,  0.029873 ,  0.020597 ,  0.043761 ,  0.002496 ,  0.040464 ,  0.006468 ,  0.009294 ,  0.035127 ,  0.028490 ,  0.032339 ,  0.254075 ,  0.006206 ,  0.006298 ,  0.029092 ,  0.017995 ,  0.067603 ,  0.090029 ,  0.026651 ,  0.029867 ,  0.037619 ,  0.056196 ,  0.037680 ,  0.029929 ,   Not run ,  0.006353 ,   Not run ,  0.035395 ,  0.003540 ,  0.009220 ,   Not run ,  0.011396 ,  0.011368 ,   Not run ,  0.006726 ,  0.042853 ,  0.004987 ,   Not run ,   Not run ,   Not run ,  0.001016 ,  0.001004 ,  0.002108 
ec2-p3, Base_CUDA , block_256 ,  0.014958 ,  0.015057 ,  0.011439 ,  0.002622 ,  0.006110 ,  0.025525 ,  0.024680 ,  0.024684 ,  0.006003 ,  0.017884 ,  0.012462 ,  0.104149 ,  0.001054 ,  0.001162 ,  0.007138 ,  0.001151 ,  0.055843 ,  0.020357 ,  0.042094 ,  0.004056 ,  0.042109 ,  0.046982 ,  0.029841 ,  0.020599 ,  0.043755 ,  0.002495 ,  0.040485 ,  0.006437 ,  0.009194 ,  0.035216 ,  0.028460 ,  0.032388 ,  0.254786 ,  0.006227 ,  0.006294 ,  0.029138 ,  0.017988 ,  0.067666 ,  0.090197 ,  0.026689 ,  0.029890 ,  0.037697 ,  0.054441 ,  0.037683 ,  0.029951 ,   Not run ,  0.006351 ,   Not run ,  0.035424 ,  0.003539 ,  0.009583 ,   Not run ,  0.011362 ,  0.011367 ,   Not run ,  0.006729 ,  0.042925 ,  0.004985 ,   Not run ,   Not run ,   Not run ,  0.001066 ,  0.001005 ,  0.002117 
ec2-p3, Base_CUDA , block_256 ,  0.014939 ,  0.015041 ,  0.011431 ,  0.002547 ,  0.006088 ,  0.025516 ,  0.024635 ,  0.024643 ,  0.006010 ,  0.017864 ,  0.012398 ,  0.104138 ,  0.001038 ,  0.001116 ,  0.007043 ,  0.001116 ,  0.055833 ,  0.020366 ,  0.042085 ,  0.003771 ,  0.042111 ,  0.047002 ,  0.029847 ,  0.020582 ,  0.043760 ,  0.002501 ,  0.040483 ,  0.006445 ,  0.009249 ,  0.034777 ,  0.028465 ,  0.032338 ,  0.253991 ,  0.006229 ,  0.006288 ,  0.029134 ,  0.017969 ,  0.067558 ,  0.090077 ,  0.026679 ,  0.029904 ,  0.037589 ,  0.054890 ,  0.037680 ,  0.029938 ,   Not run ,  0.006351 ,   Not run ,  0.035396 ,  0.003540 ,  0.009545 ,   Not run ,  0.011388 ,  0.011354 ,   Not run ,  0.006731 ,  0.042864 ,  0.004989 ,   Not run ,   Not run ,   Not run ,  0.001065 ,  0.001008 ,  0.002112 
ec2-p4d, Base_CUDA , block_256 ,  0.007371 ,  0.003284 ,  0.005729 ,  0.001780 ,  0.003878 ,  0.016355 ,  0.010789 ,  0.010772 ,  0.004769 ,  0.011461 ,  0.004836 ,  0.111739 ,  0.001088 ,  0.001154 ,  0.024815 ,  0.001099 ,  0.056577 ,  0.012846 ,  0.023494 ,  0.003505 ,  0.023549 ,  0.022250 ,  0.019799 ,  0.012682 ,  0.025826 ,  0.001568 ,  0.025583 ,  0.004867 ,  0.006865 ,  0.033827 ,  0.014565 ,  0.021639 ,  0.142205 ,  0.004623 ,  0.004035 ,  0.034272 ,  0.009590 ,  0.023595 ,  0.044045 ,  0.013593 ,  0.019708 ,  0.020249 ,  0.044613 ,  0.019869 ,  0.019676 ,   Not run ,  0.003899 ,   Not run ,  0.021482 ,  0.002132 ,  0.010495 ,   Not run ,  0.009267 ,  0.009266 ,   Not run ,  0.004810 ,  0.026806 ,  0.003020 ,   Not run ,   Not run ,   Not run ,  0.001093 ,  0.000445 ,  0.001138 
ec2-p4d, Base_CUDA , block_256 ,  0.007199 ,  0.003268 ,  0.005716 ,  0.001761 ,  0.003388 ,  0.016373 ,  0.010863 ,  0.010854 ,  0.004761 ,  0.011435 ,  0.004868 ,  0.111710 ,  0.001057 ,  0.001091 ,  0.012431 ,  0.001054 ,  0.056567 ,  0.012833 ,  0.023083 ,  0.003423 ,  0.023080 ,  0.022216 ,  0.019787 ,  0.012663 ,  0.025840 ,  0.001571 ,  0.025590 ,  0.004873 ,  0.006878 ,  0.034125 ,  0.014682 ,  0.021655 ,  0.139861 ,  0.004624 ,  0.003957 ,  0.034457 ,  0.009503 ,  0.023777 ,  0.043628 ,  0.013584 ,  0.019652 ,  0.019539 ,  0.046082 ,  0.018948 ,  0.019671 ,   Not run ,  0.003908 ,   Not run ,  0.021480 ,  0.002129 ,  0.012952 ,   Not run ,  0.009270 ,  0.009265 ,   Not run ,  0.004813 ,  0.026806 ,  0.003027 ,   Not run ,   Not run ,   Not run ,  0.001155 ,  0.000451 ,  0.001097 
ec2-p4d, Base_CUDA , block_256 ,  0.007162 ,  0.003257 ,  0.005728 ,  0.001758 ,  0.003427 ,  0.016363 ,  0.010863 ,  0.010823 ,  0.004760 ,  0.011457 ,  0.004840 ,  0.111705 ,  0.001067 ,  0.001095 ,  0.011885 ,  0.001060 ,  0.056525 ,  0.012840 ,  0.023080 ,  0.003423 ,  0.023043 ,  0.022193 ,  0.019795 ,  0.012667 ,  0.025827 ,  0.001567 ,  0.025572 ,  0.004850 ,  0.006871 ,  0.033134 ,  0.014681 ,  0.021647 ,  0.139129 ,  0.004627 ,  0.003960 ,  0.034463 ,  0.009529 ,  0.023602 ,  0.043563 ,  0.013580 ,  0.019651 ,  0.019455 ,  0.045060 ,  0.018952 ,  0.019666 ,   Not run ,  0.003894 ,   Not run ,  0.021459 ,  0.002121 ,  0.011458 ,   Not run ,  0.009267 ,  0.009264 ,   Not run ,  0.004799 ,  0.026795 ,  0.002996 ,   Not run ,   Not run ,   Not run ,  0.001074 ,  0.000445 ,  0.001081 
AVERAGE
pascal,,,0.022186,0.023547,0.015902,0.004008,0.008797,0.037755,0.036113,0.036121,0.011195,0.026438,0.016279,0.127554,0.002725,0.002625,0.008411,0.002906,0.076913,0.032371,0.061652,0.007024,0.061720,0.071748,0.044458,0.032995,0.064168,0.003749,0.059032,0.037521,0.057680,0.064312,0.039603,0.049571,0.352960,0.036089,0.008920,0.076535,0.032223,0.099179,0.134775,0.028559,0.044489,0.055196,0.103835,0.055199,0.044331,,0.010341,,0.051746,0.010791,0.010457,,0.022843,0.023635,,0.024753,0.062764,0.011493,,,,0.002522,0.001452,0.003082
lassen,,,0.015249,0.015322,0.011705,0.003432,0.006585,0.026127,0.026591,0.026581,0.007062,0.018280,0.013202,0.120676,0.001577,0.001411,0.007213,0.001682,0.058322,0.020584,0.043656,0.003399,0.043721,0.048027,0.030563,0.020826,0.044080,0.002597,0.040627,0.011593,0.016450,0.039547,0.042199,0.033095,0.261477,0.007048,0.006887,0.031556,0.018576,0.070155,0.092786,0.027609,0.030403,0.038839,0.072088,0.039084,0.030480,,0.006436,,0.035870,0.003701,0.017543,,0.013331,0.013333,,0.007344,0.043596,0.005176,,,,0.001551,0.001113,0.002204
corona,,,0.016645,0.019877,0.024527,0.006581,0.007968,0.030293,0.033368,0.033437,0.014671,0.023515,0.017908,299.154290,0.088591,0.002123,0.058249,0.087846,0.046660,0.024956,0.043512,0.005047,0.043723,0.057832,0.034122,0.030034,0.049325,0.005318,0.045278,0.029901,0.041785,0.048773,0.059747,0.039036,0.253334,0.028440,0.013882,0.054099,0.028138,0.067885,0.102102,0.059450,0.033790,0.039229,3.230910,0.039371,0.033750,,0.010384,,0.043776,0.012722,0.012581,,0.026978,0.026637,,0.028184,0.049327,0.013608,,,,0.085109,0.002950,0.003451
tioga,,,0.009941,0.011423,0.008357,0.003344,0.004798,0.016983,0.017084,0.017010,0.008181,0.012710,0.007824,339.088812,0.062283,0.001339,0.050876,0.062256,0.026771,0.014703,0.027095,0.003457,0.027084,0.032864,0.020829,0.019592,0.033937,0.002641,0.027836,0.017439,0.025224,0.061171,0.065622,0.024919,0.165281,0.017019,0.014016,0.071809,0.017510,0.044704,0.062801,0.065047,0.020478,0.024379,2.430047,0.024253,0.020609,,0.006617,,0.025802,0.005523,0.013223,,0.014648,0.014603,,0.011564,0.029547,0.006782,,,,0.060542,0.001339,0.001797
ec2-p3,,,0.014947,0.015047,0.011433,0.002591,0.006104,0.025524,0.024669,0.024673,0.006013,0.017874,0.012426,0.104217,0.001046,0.001136,0.007117,0.001111,0.055849,0.020362,0.042104,0.004102,0.042128,0.046992,0.029854,0.020593,0.043759,0.002497,0.040477,0.006450,0.009246,0.035040,0.028472,0.032355,0.254284,0.006221,0.006293,0.029121,0.017984,0.067609,0.090101,0.026673,0.029887,0.037635,0.055176,0.037681,0.029939,,0.006352,,0.035405,0.003540,0.009449,,0.011382,0.011363,,0.006729,0.042881,0.004987,,,,0.001049,0.001006,0.002112
ec2-p4d,,,0.007244,0.003270,0.005724,0.001766,0.003564,0.016364,0.010838,0.010816,0.004763,0.011451,0.004848,0.111718,0.001071,0.001113,0.016377,0.001071,0.056556,0.012840,0.023219,0.003450,0.023224,0.022220,0.019794,0.012671,0.025831,0.001569,0.025582,0.004863,0.006871,0.033695,0.014643,0.021647,0.140398,0.004625,0.003984,0.034397,0.009541,0.023658,0.043745,0.013586,0.019670,0.019748,0.045252,0.019256,0.019671,,0.003900,,0.021474,0.002127,0.011635,,0.009268,0.009265,,0.004807,0.026802,0.003014,,,,0.001107,0.000447,0.001105
