machine, rep, sz, n_threads, Basic_DAXPY, Basic_DAXPY_ATOMIC, Basic_IF_QUAD, Basic_INDEXLIST, Basic_INDEXLIST_3LOOP, Basic_INIT3, Basic_INIT_VIEW1D, Basic_INIT_VIEW1D_OFFSET, Basic_MAT_MAT_SHARED, Basic_MULADDSUB, Basic_NESTED_INIT, Basic_PI_ATOMIC, Basic_PI_REDUCE, Basic_REDUCE3_INT, Basic_REDUCE_STRUCT, Basic_TRAP_INT, Lcals_DIFF_PREDICT, Lcals_EOS, Lcals_FIRST_DIFF, Lcals_FIRST_MIN, Lcals_FIRST_SUM, Lcals_GEN_LIN_RECUR, Lcals_HYDRO_1D, Lcals_HYDRO_2D, Lcals_INT_PREDICT, Lcals_PLANCKIAN, Lcals_TRIDIAG_ELIM, Polybench_2MM, Polybench_3MM, Polybench_ADI, Polybench_ATAX, Polybench_FDTD_2D, Polybench_FLOYD_WARSHALL, Polybench_GEMM, Polybench_GEMVER, Polybench_GESUMMV, Polybench_HEAT_3D, Polybench_JACOBI_1D, Polybench_JACOBI_2D, Polybench_MVT, Stream_ADD, Stream_COPY, Stream_DOT, Stream_MUL, Stream_TRIAD, Apps_CONVECTION3DPA, Apps_DEL_DOT_VEC_2D, Apps_DIFFUSION3DPA, Apps_ENERGY, Apps_FIR, Apps_HALOEXCHANGE, Apps_HALOEXCHANGE_FUSED, Apps_LTIMES, Apps_LTIMES_NOVIEW, Apps_MASS3DPA, Apps_NODAL_ACCUMULATION_3D, Apps_PRESSURE, Apps_VOL3D, Algorithm_SCAN, Algorithm_SORT, Algorithm_SORTPAIRS, Algorithm_REDUCE_SUM, Algorithm_MEMSET, Algorithm_MEMCPY
ec2-c6i, 0.5, 0.5, 128, 0.006431, 0.018845, 0.003860, 0.003174, 0.005500, 0.007808, 0.034338, 0.034360, 0.008500, 0.005517, 0.014932, 0.757165, 0.001854, 0.003134, 0.002842, 0.001948, 0.005506, 0.008414, 0.024961, 0.005934, 0.025636, 0.059403, 0.013232, 0.004510, 0.006988, 0.001341, 0.013243, 0.014088, 0.023703, 0.002330, 0.003854, 0.017054, 0.071282, 0.022261, 0.002106, 0.001727, 0.016674, 0.041508, 0.057470, 0.001715, 0.012639, 0.022476, 0.030957, 0.022638, 0.012697, 0.001517, 0.004313, 0.003037, 0.004268, 0.004473, 0.099794, 0.110358, 0.003674, 0.003759, 0.001394, 0.020376, 0.011175, 0.005931, 0.001852, , , 0.001090, 0.001378, 0.001300
ec2-c6i, 0.5, 0.5, 64, 0.004359, 0.028128, 0.004472, 0.003572, 0.005392, 0.007314, 0.026886, 0.026444, 0.008465, 0.005183, 0.011584, 0.669214, 0.001685, 0.001576, 0.001432, 0.002317, 0.007860, 0.007974, 0.016994, 0.003046, 0.017036, 0.054197, 0.009763, 0.006756, 0.011539, 0.001627, 0.009499, 0.024897, 0.042439, 0.002984, 0.002639, 0.012584, 0.047993, 0.041909, 0.001705, 0.001213, 0.018293, 0.030548, 0.047199, 0.001473, 0.008806, 0.015207, 0.019769, 0.015266, 0.008870, 0.002081, 0.006615, 0.005017, 0.006170, 0.005991, 0.054090, 0.064864, 0.006331, 0.006604, 0.001916, 0.038778, 0.009380, 0.010020, 0.001561, , , 0.000592, 0.000936, 0.000839
ec2-c6i, 0.5, 0.5, 32, 0.003063, 0.024223, 0.004083, 0.004759, 0.005487, 0.007357, 0.020405, 0.020411, 0.008455, 0.005076, 0.008294, 0.588259, 0.001257, 0.000888, 0.000873, 0.002048, 0.007795, 0.006661, 0.011913, 0.002094, 0.011811, 0.050804, 0.007188, 0.007134, 0.010682, 0.002192, 0.007369, 0.021163, 0.034009, 0.004266, 0.002013, 0.009673, 0.035827, 0.028195, 0.001449, 0.001023, 0.011887, 0.021336, 0.035759, 0.001264, 0.006283, 0.010769, 0.017134, 0.010131, 0.006230, 0.001872, 0.006388, 0.004315, 0.005419, 0.004441, 0.035684, 0.026247, 0.007248, 0.007250, 0.001542, 0.034697, 0.008015, 0.009808, 0.001600, , , 0.000733, 0.000731, 0.000587
ec2-c6i, 0.5, 0.5, 16, 0.002867, 0.045324, 0.006353, 0.007866, 0.008464, 0.009342, 0.025568, 0.025189, 0.012613, 0.006550, 0.009737, 0.551490, 0.001155, 0.000419, 0.000636, 0.002457, 0.022124, 0.009884, 0.011546, 0.002152, 0.011456, 0.027721, 0.007954, 0.014608, 0.037795, 0.002392, 0.008597, 0.042146, 0.067672, 0.006549, 0.002075, 0.009390, 0.036449, 0.056268, 0.000958, 0.001206, 0.011761, 0.023326, 0.039672, 0.001821, 0.006015, 0.010404, 0.020657, 0.009017, 0.006026, 0.003266, 0.011721, 0.008322, 0.020937, 0.007821, 0.012292, 0.011523, 0.014188, 0.014185, 0.002716, 0.068714, 0.011121, 0.018861, 0.002325, , , 0.000544, 0.000403, 0.000433
ec2-c6i, 0.5, 0.5, 8, 0.004971, 0.089792, 0.012394, 0.015463, 0.016408, 0.040507, 0.046680, 0.046498, 0.025084, 0.028368, 0.017740, 0.550448, 0.002031, 0.000583, 0.000985, 0.004655, 0.028744, 0.029237, 0.020062, 0.003759, 0.020155, 0.051187, 0.026677, 0.029183, 0.070399, 0.004736, 0.059797, 0.084061, 0.134898, 0.012445, 0.003608, 0.016171, 0.064051, 0.112311, 0.001367, 0.002178, 0.021356, 0.041979, 0.069548, 0.003444, 0.027107, 0.018517, 0.037415, 0.016545, 0.027101, 0.006674, 0.023299, 0.016644, 0.046667, 0.015389, 0.007918, 0.004003, 0.027415, 0.027414, 0.005357, 0.137347, 0.054959, 0.037575, 0.004412, , , 0.000944, 0.000593, 0.000775
ec2-c6i, 0.5, 0.5, 4, 0.015837, 0.180337, 0.024566, 0.031068, 0.032973, 0.044022, 0.090565, 0.090346, 0.050007, 0.030820, 0.034367, 0.596227, 0.003862, 0.001051, 0.001856, 0.009105, 0.054477, 0.037411, 0.065566, 0.007242, 0.066243, 0.073669, 0.049935, 0.050470, 0.082579, 0.009341, 0.066169, 0.159000, 0.257094, 0.024772, 0.007409, 0.038270, 0.181995, 0.215713, 0.002392, 0.004388, 0.041833, 0.107333, 0.145878, 0.007198, 0.049831, 0.057290, 0.072789, 0.057241, 0.049868, 0.013272, 0.046490, 0.033164, 0.054920, 0.030507, 0.005394, 0.004571, 0.053896, 0.053895, 0.010760, 0.274675, 0.069622, 0.075034, 0.008749, , , 0.001819, 0.001037, 0.003303
mammoth, 0.5, 0.5, 256, 0.028453, 0.030545, 0.012100, 0.008202, 0.018966, 0.030518, 0.122425, 0.126919, 0.011053, 0.022312, 0.046410, 0.859715, 0.003066, 0.005868, 0.006755, 0.003412, 0.012624, 0.031128, 0.112760, 0.012785, 0.120711, 0.104389, 0.059784, 0.010185, 0.023810, 0.004274, 0.061253, 0.017601, 0.023595, 0.006245, 0.012711, 0.074297, 0.341830, 0.024807, 0.006813, 0.007721, 0.077750, 0.177610, 0.269133, 0.006108, 0.058041, 0.099686, 0.127582, 0.112172, 0.059144, 0.008540, 0.008918, 0.009616, 0.011155, 0.010858, 0.324843, 0.196054, 0.005473, 0.005475, 0.007481, 0.014633, 0.043284, 0.011813, 0.007115, , , 0.003223, 0.005468, 0.006073
mammoth, 0.5, 0.5, 128, 0.016529, 0.021051, 0.008049, 0.005002, 0.011747, 0.018123, 0.073018, 0.072119, 0.010360, 0.013746, 0.027809, 0.749407, 0.001965, 0.003150, 0.003898, 0.002602, 0.010125, 0.018852, 0.063449, 0.006908, 0.062381, 0.082184, 0.032944, 0.009411, 0.016101, 0.003390, 0.034687, 0.024037, 0.033695, 0.005669, 0.007688, 0.043203, 0.187214, 0.038148, 0.004418, 0.004555, 0.050218, 0.099693, 0.163516, 0.003764, 0.032163, 0.055603, 0.069296, 0.056442, 0.033016, 0.005454, 0.007579, 0.006148, 0.010424, 0.008157, 0.174867, 0.096172, 0.005195, 0.005511, 0.002885, 0.013439, 0.025680, 0.011356, 0.004596, , , 0.001893, 0.003099, 0.003583
mammoth, 0.5, 0.5, 64, 0.006471, 0.016638, 0.004357, 0.003207, 0.005869, 0.008197, 0.033253, 0.030658, 0.009313, 0.006504, 0.011984, 0.548674, 0.001098, 0.001457, 0.001936, 0.001870, 0.006980, 0.009169, 0.024947, 0.003436, 0.024511, 0.070270, 0.013581, 0.006778, 0.009299, 0.002269, 0.014501, 0.021553, 0.022037, 0.004254, 0.003531, 0.018919, 0.077776, 0.022894, 0.004188, 0.001678, 0.027013, 0.039384, 0.068228, 0.001985, 0.013481, 0.023081, 0.028178, 0.023151, 0.013767, 0.002956, 0.004916, 0.004374, 0.008979, 0.004132, 0.084158, 0.046582, 0.004569, 0.004530, 0.001847, 0.019583, 0.010909, 0.007556, 0.002471, , , 0.000976, 0.001425, 0.001736
mammoth, 0.5, 0.5, 32, 0.004086, 0.023811, 0.004309, 0.004643, 0.006224, 0.007414, 0.023281, 0.017342, 0.006737, 0.005535, 0.007159, 0.552893, 0.001230, 0.000883, 0.001381, 0.002050, 0.008099, 0.007247, 0.014035, 0.002173, 0.014048, 0.050665, 0.009189, 0.009306, 0.010139, 0.002007, 0.010555, 0.023496, 0.036612, 0.005093, 0.002332, 0.011459, 0.041688, 0.029467, 0.002419, 0.001341, 0.023497, 0.024295, 0.042361, 0.001686, 0.008206, 0.011908, 0.015899, 0.011989, 0.008340, 0.002473, 0.006904, 0.005667, 0.011590, 0.004533, 0.035352, 0.017516, 0.007795, 0.007796, 0.002133, 0.034098, 0.013324, 0.010280, 0.001973, , , 0.000574, 0.000776, 0.001068
mammoth, 0.5, 0.5, 16, 0.004226, 0.044104, 0.006281, 0.008222, 0.010154, 0.008676, 0.031039, 0.019243, 0.008537, 0.006674, 0.007996, 0.508353, 0.001492, 0.000560, 0.001325, 0.003552, 0.013917, 0.009101, 0.013790, 0.002050, 0.013914, 0.060033, 0.010388, 0.014589, 0.011643, 0.002585, 0.012638, 0.042463, 0.067263, 0.007897, 0.002950, 0.011039, 0.040541, 0.054458, 0.002942, 0.001588, 0.015859, 0.024535, 0.041815, 0.002502, 0.009978, 0.011514, 0.015372, 0.013446, 0.012538, 0.003507, 0.011726, 0.008610, 0.015706, 0.006162, 0.021094, 0.010265, 0.015093, 0.015082, 0.003063, 0.066944, 0.016310, 0.017634, 0.002560, , , 0.000583, 0.000721, 0.001156
mammoth, 0.5, 0.5, 8, 0.005787, 0.085530, 0.010706, 0.016080, 0.019280, 0.011322, 0.053598, 0.029946, 0.012132, 0.008714, 0.012784, 0.501552, 0.002824, 0.000592, 0.003184, 0.006846, 0.026142, 0.011498, 0.019542, 0.002864, 0.019727, 0.090969, 0.013476, 0.026303, 0.019555, 0.003998, 0.016931, 0.082548, 0.132494, 0.014349, 0.004158, 0.013955, 0.059125, 0.107494, 0.003445, 0.002464, 0.020840, 0.033908, 0.062596, 0.004087, 0.013007, 0.017151, 0.020571, 0.016950, 0.014018, 0.004990, 0.022026, 0.015896, 0.033575, 0.010589, 0.014079, 0.006987, 0.029039, 0.028959, 0.004638, 0.133138, 0.018108, 0.033558, 0.004199, , , 0.000722, 0.000797, 0.002012
mammoth, 0.5, 0.5, 4, 0.008656, 0.170447, 0.020227, 0.031672, 0.038153, 0.020506, 0.101311, 0.054345, 0.020662, 0.014688, 0.023390, 0.487409, 0.005388, 0.000558, 0.001876, 0.013597, 0.124680, 0.020298, 0.033101, 0.004859, 0.031618, 0.181121, 0.022865, 0.059451, 0.168290, 0.006997, 0.029565, 0.164312, 0.264190, 0.028329, 0.007074, 0.022877, 0.099270, 0.215113, 0.004190, 0.003644, 0.035216, 0.059451, 0.113332, 0.007635, 0.021442, 0.028074, 0.034287, 0.027594, 0.021592, 0.008823, 0.043222, 0.034807, 0.160917, 0.019893, 0.010805, 0.007400, 0.057567, 0.057477, 0.008405, 0.267831, 0.035147, 0.066906, 0.007689, , , 0.001014, 0.001828, 0.002823
poodle, 0.5, 0.5, 224, 0.010257, 0.017697, 0.006205, 0.003269, 0.008430, 0.010723, 0.048630, 0.048700, 0.002840, 0.007566, 0.020019, 9.103798, 0.002746, 0.013252, 0.013133, 0.003436, 0.006612, 0.010428, 0.040332, 0.028691, 0.041669, 0.052926, 0.020160, 0.003817, 0.009600, 0.001318, 0.020088, 0.013996, 0.025646, 0.002901, 0.005263, 0.032817, 0.117705, 0.031526, 0.004147, 0.002508, 0.026409, 0.079464, 0.101196, 0.002464, 0.020137, 0.036680, 0.109702, 0.036654, 0.020018, 0.002126, 0.003850, 0.003163, 0.004635, 0.004772, 0.153928, 1.244189, 0.003487, 0.003623, 0.002677, 0.015153, 0.014850, 0.004351, 0.002960, , , 0.002884, 0.002050, 0.002174
poodle, 0.5, 0.5, 112, 0.004790, 0.020411, 0.004059, 0.002258, 0.004088, 0.005323, 0.024800, 0.024619, 0.002705, 0.003781, 0.009623, 2.982460, 0.001066, 0.003551, 0.003511, 0.001262, 0.006205, 0.005477, 0.018498, 0.007829, 0.018498, 0.042894, 0.009568, 0.004264, 0.005606, 0.000890, 0.009548, 0.024790, 0.048898, 0.002278, 0.002658, 0.015824, 0.055866, 0.058821, 0.003305, 0.001204, 0.019319, 0.036791, 0.055904, 0.001560, 0.009251, 0.016444, 0.027744, 0.016933, 0.009375, 0.001591, 0.003745, 0.003140, 0.004832, 0.003408, 0.065939, 0.338415, 0.004257, 0.004209, 0.001493, 0.027336, 0.008116, 0.004995, 0.001628, , , 0.000861, 0.001075, 0.001051
poodle, 0.5, 0.5, 56, 0.003265, 0.017078, 0.003317, 0.002380, 0.002657, 0.005354, 0.016308, 0.016148, 0.002330, 0.004460, 0.006334, 0.949907, 0.000540, 0.001956, 0.002037, 0.000774, 0.005306, 0.004059, 0.013081, 0.004840, 0.013219, 0.034767, 0.006951, 0.003973, 0.004188, 0.000833, 0.007042, 0.014498, 0.022862, 0.002961, 0.001869, 0.009749, 0.036517, 0.018997, 0.003072, 0.000909, 0.018848, 0.021881, 0.032979, 0.001067, 0.006623, 0.011834, 0.013997, 0.011614, 0.006798, 0.001245, 0.003264, 0.003040, 0.004464, 0.002647, 0.045595, 0.145944, 0.004323, 0.004319, 0.001193, 0.023297, 0.006650, 0.004642, 0.001270, , , 0.000473, 0.000718, 0.000757
poodle, 0.5, 0.5, 32, 0.002400, 0.026690, 0.004042, 0.003854, 0.001998, 0.006752, 0.011501, 0.011131, 0.003079, 0.006025, 0.004540, 0.832439, 0.000475, 0.000789, 0.000794, 0.000864, 0.008230, 0.004063, 0.009383, 0.002580, 0.009481, 0.030350, 0.005569, 0.006332, 0.004912, 0.000801, 0.005626, 0.025104, 0.040572, 0.005233, 0.001458, 0.007797, 0.027655, 0.033363, 0.001888, 0.000637, 0.016790, 0.015794, 0.029599, 0.001050, 0.004937, 0.008553, 0.009705, 0.008412, 0.005024, 0.001678, 0.004692, 0.004124, 0.007649, 0.003396, 0.024853, 0.049658, 0.006691, 0.006684, 0.001335, 0.040074, 0.008057, 0.007209, 0.001168, , , 0.000316, 0.000514, 0.000555
poodle, 0.5, 0.5, 16, 0.002548, 0.051083, 0.006934, 0.007602, 0.002342, 0.012498, 0.011929, 0.011305, 0.004205, 0.011721, 0.004788, 0.686708, 0.000624, 0.000323, 0.000514, 0.001410, 0.015899, 0.005979, 0.009893, 0.002562, 0.010128, 0.028700, 0.007110, 0.012098, 0.034512, 0.001275, 0.007046, 0.052279, 0.084347, 0.007426, 0.001574, 0.007279, 0.029307, 0.070181, 0.001229, 0.000664, 0.011890, 0.017092, 0.034345, 0.001381, 0.005431, 0.009162, 0.009674, 0.008862, 0.005617, 0.002800, 0.008954, 0.007730, 0.021213, 0.006134, 0.011185, 0.014464, 0.013137, 0.013137, 0.002009, 0.079400, 0.013998, 0.013974, 0.001582, , , 0.000266, 0.000490, 0.000572
poodle, 0.5, 0.5, 8, 0.004128, 0.101234, 0.013626, 0.015147, 0.004582, 0.029450, 0.019945, 0.017853, 0.007726, 0.025308, 0.007770, 0.661429, 0.001115, 0.000301, 0.000734, 0.002693, 0.033422, 0.012191, 0.017491, 0.004407, 0.017708, 0.052664, 0.014044, 0.028713, 0.042802, 0.002515, 0.019836, 0.089806, 0.146050, 0.013228, 0.002625, 0.011856, 0.048673, 0.121288, 0.001402, 0.000963, 0.021384, 0.029936, 0.057028, 0.002472, 0.010850, 0.015465, 0.015890, 0.015029, 0.011029, 0.005447, 0.017798, 0.014944, 0.060708, 0.011470, 0.007724, 0.003759, 0.025353, 0.025354, 0.003741, 0.158485, 0.035985, 0.027731, 0.003126, , , 0.000344, 0.000738, 0.000934
poodle, 0.5, 0.5, 4, 0.010945, 0.202898, 0.026861, 0.030584, 0.009358, 0.043900, 0.028166, 0.028205, 0.014712, 0.030866, 0.014344, 0.628938, 0.002152, 0.000400, 0.001142, 0.005290, 0.084821, 0.033882, 0.041650, 0.008505, 0.043735, 0.076276, 0.046885, 0.063666, 0.098941, 0.004959, 0.067519, 0.170964, 0.278255, 0.026221, 0.004991, 0.036470, 0.122160, 0.231371, 0.002459, 0.002197, 0.037537, 0.067811, 0.116709, 0.004804, 0.045000, 0.037063, 0.031680, 0.036313, 0.045005, 0.010671, 0.035372, 0.030190, 0.115482, 0.021401, 0.006887, 0.004771, 0.049836, 0.050717, 0.007425, 0.317188, 0.066242, 0.055064, 0.006040, , , 0.000542, 0.001173, 0.002127
quartz, 0.5, 0.5, 72, 0.009307, 0.036999, 0.010515, 0.004556, 0.008107, 0.019562, 0.044876, 0.044711, 0.009689, 0.013164, 0.020773, 1.278622, 0.001536, 0.002663, 0.003102, 0.002789, 0.015709, 0.015732, 0.036311, 0.006319, 0.036470, 0.108360, 0.024405, 0.012495, 0.020543, 0.002855, 0.029301, 0.055086, 0.099904, 0.004625, 0.006459, 0.022159, 0.096868, 0.099612, 0.004157, 0.003536, 0.026054, 0.052762, 0.074555, 0.002268, 0.027193, 0.031732, 0.036193, 0.031113, 0.028365, 0.002991, 0.009693, 0.006587, 0.019861, 0.006317, 0.096260, 0.105520, 0.010382, 0.010499, 0.002716, 0.047183, 0.026695, 0.012945, 0.002726, , , 0.001033, 0.001729, 0.002234
quartz, 0.5, 0.5, 36, 0.013307, 0.063639, 0.017127, 0.007245, 0.010815, 0.023453, 0.040927, 0.040621, 0.013683, 0.016825, 0.019113, 1.020764, 0.001806, 0.001234, 0.001517, 0.004022, 0.019694, 0.015551, 0.047426, 0.003479, 0.047411, 0.103683, 0.024424, 0.020567, 0.024376, 0.003483, 0.028994, 0.104221, 0.187411, 0.006524, 0.006982, 0.025305, 0.117261, 0.201695, 0.003768, 0.002525, 0.038301, 0.064401, 0.091288, 0.003677, 0.031380, 0.042460, 0.040012, 0.042997, 0.031356, 0.003693, 0.016719, 0.010802, 0.028048, 0.008907, 0.057875, 0.047260, 0.017219, 0.017212, 0.003279, 0.091852, 0.032329, 0.023475, 0.003793, , , 0.000801, 0.001413, 0.002816
quartz, 0.5, 0.5, 32, 0.012987, 0.069987, 0.018684, 0.007718, 0.011395, 0.024962, 0.041222, 0.039843, 0.014023, 0.017279, 0.018681, 1.272694, 0.001914, 0.001092, 0.001403, 0.004260, 0.021875, 0.016064, 0.047072, 0.002905, 0.047145, 0.067690, 0.027746, 0.021892, 0.026329, 0.004212, 0.028227, 0.100979, 0.198218, 0.007193, 0.007128, 0.024540, 0.118162, 0.231200, 0.003950, 0.003174, 0.044600, 0.067767, 0.093980, 0.003889, 0.031507, 0.041864, 0.039070, 0.042760, 0.031775, 0.003753, 0.018441, 0.011767, 0.030289, 0.009537, 0.050080, 0.044448, 0.019635, 0.019675, 0.003590, 0.103059, 0.033123, 0.025994, 0.003911, , , 0.000697, 0.001399, 0.002738
quartz, 0.5, 0.5, 18, 0.011758, 0.055075, 0.016750, 0.009785, 0.012780, 0.031223, 0.034695, 0.036294, 0.011495, 0.022103, 0.017190, 0.656037, 0.001606, 0.000725, 0.001402, 0.003746, 0.024421, 0.015615, 0.043021, 0.003398, 0.042655, 0.104023, 0.020845, 0.021767, 0.027017, 0.004465, 0.026668, 0.068419, 0.110323, 0.010044, 0.008393, 0.026110, 0.104950, 0.090569, 0.004052, 0.001917, 0.028579, 0.057702, 0.075166, 0.003390, 0.028673, 0.038521, 0.034176, 0.038934, 0.028775, 0.004101, 0.016824, 0.012473, 0.031332, 0.010166, 0.035750, 0.036345, 0.025961, 0.026033, 0.003330, 0.083128, 0.036814, 0.024600, 0.004024, , , 0.000677, 0.001114, 0.002564
quartz, 0.5, 0.5, 16, 0.012659, 0.061850, 0.018573, 0.010518, 0.014061, 0.033760, 0.037684, 0.039415, 0.014361, 0.025055, 0.017065, 0.640114, 0.001663, 0.000691, 0.001485, 0.004052, 0.027705, 0.016428, 0.045811, 0.003293, 0.045849, 0.093730, 0.024097, 0.023809, 0.025260, 0.004842, 0.030415, 0.075623, 0.122533, 0.011312, 0.005980, 0.022815, 0.112204, 0.100856, 0.003838, 0.002426, 0.030828, 0.063688, 0.086339, 0.003511, 0.030925, 0.040668, 0.037608, 0.041652, 0.030798, 0.004376, 0.018583, 0.013081, 0.033967, 0.011067, 0.032193, 0.029928, 0.029232, 0.029172, 0.003614, 0.093151, 0.039914, 0.027415, 0.004450, , , 0.000644, 0.001193, 0.002704
quartz, 0.5, 0.5, 8, 0.013135, 0.119171, 0.034414, 0.017918, 0.022592, 0.035569, 0.056807, 0.060762, 0.019676, 0.024680, 0.026757, 0.803376, 0.002869, 0.000505, 0.001209, 0.007527, 0.058141, 0.022911, 0.053092, 0.004794, 0.053113, 0.059968, 0.034605, 0.045725, 0.054142, 0.006659, 0.042534, 0.149713, 0.243162, 0.017773, 0.006183, 0.029089, 0.149780, 0.198090, 0.002103, 0.002360, 0.036780, 0.085699, 0.120666, 0.005677, 0.034192, 0.045125, 0.037039, 0.047465, 0.034256, 0.006364, 0.035407, 0.023935, 0.083288, 0.020143, 0.012331, 0.005028, 0.055729, 0.055910, 0.005829, 0.184357, 0.047026, 0.053619, 0.005782, , , 0.000616, 0.001729, 0.002516
quartz, 0.5, 0.5, 4, 0.024054, 0.226490, 0.064001, 0.034375, 0.043030, 0.066648, 0.104555, 0.111098, 0.037701, 0.045841, 0.049202, 0.722210, 0.005236, 0.000691, 0.002146, 0.014225, 0.113338, 0.042482, 0.097286, 0.008942, 0.096958, 0.109752, 0.063769, 0.085562, 0.106463, 0.012433, 0.078821, 0.282455, 0.457061, 0.033839, 0.011176, 0.052110, 0.274335, 0.376053, 0.003512, 0.004188, 0.067818, 0.157419, 0.221588, 0.010421, 0.063053, 0.084903, 0.066510, 0.086859, 0.063103, 0.011963, 0.067610, 0.044973, 0.152185, 0.037683, 0.011779, 0.005858, 0.104725, 0.105114, 0.010842, 0.352699, 0.088010, 0.101915, 0.010786, , , 0.001020, 0.003201, 0.004881
ruby, 0.5, 0.5, 112, 0.010810, 0.027656, 0.006339, 0.004783, 0.009001, 0.012101, 0.054581, 0.054237, 0.007975, 0.008794, 0.021967, 1.471980, 0.001786, 0.005901, 0.005799, 0.002189, 0.010496, 0.011783, 0.042064, 0.011860, 0.042189, 0.110337, 0.021848, 0.009197, 0.011564, 0.003755, 0.021563, 0.056986, 0.098426, 0.004441, 0.014394, 0.030344, 0.120059, 0.106932, 0.005001, 0.004586, 0.025577, 0.068976, 0.092258, 0.002646, 0.021563, 0.036153, 0.055621, 0.037790, 0.021395, 0.002794, 0.005957, 0.004660, 0.009602, 0.006015, 0.147222, 0.352569, 0.005764, 0.006116, 0.002730, 0.027304, 0.016693, 0.007750, 0.003402, , , 0.001486, 0.002190, 0.002222
ruby, 0.5, 0.5, 56, 0.005775, 0.031851, 0.005848, 0.004116, 0.006404, 0.009103, 0.026762, 0.026533, 0.009578, 0.006304, 0.011744, 0.918143, 0.001160, 0.002095, 0.002101, 0.001552, 0.011251, 0.007711, 0.022359, 0.004564, 0.022550, 0.091733, 0.012291, 0.011090, 0.020229, 0.004820, 0.012503, 0.088627, 0.164117, 0.003908, 0.013816, 0.016110, 0.064609, 0.175748, 0.003647, 0.004087, 0.020931, 0.037997, 0.056795, 0.001929, 0.011795, 0.018684, 0.027374, 0.019945, 0.011726, 0.001714, 0.007447, 0.005137, 0.017376, 0.005929, 0.068831, 0.094307, 0.007090, 0.007491, 0.001785, 0.041523, 0.011195, 0.011236, 0.002137, , , 0.000770, 0.001119, 0.001226
ruby, 0.5, 0.5, 32, 0.004786, 0.049289, 0.007541, 0.005395, 0.007140, 0.012034, 0.017636, 0.017404, 0.010730, 0.008430, 0.008938, 0.739010, 0.000964, 0.001129, 0.001180, 0.001809, 0.014563, 0.008384, 0.018488, 0.002881, 0.018560, 0.057798, 0.010473, 0.017420, 0.026808, 0.007449, 0.014175, 0.155427, 0.278564, 0.004918, 0.021218, 0.013190, 0.047263, 0.298526, 0.006367, 0.006938, 0.015359, 0.031699, 0.053008, 0.002093, 0.010036, 0.013145, 0.017308, 0.014114, 0.010026, 0.002106, 0.011206, 0.007663, 0.029484, 0.008588, 0.041808, 0.053189, 0.010451, 0.011479, 0.002290, 0.070735, 0.015430, 0.016017, 0.002004, , , 0.000524, 0.000739, 0.000878
ruby, 0.5, 0.5, 28, 0.003738, 0.028186, 0.004937, 0.005045, 0.006307, 0.008341, 0.015594, 0.015191, 0.007739, 0.005759, 0.006736, 0.705309, 0.000783, 0.000984, 0.001123, 0.001258, 0.010141, 0.005696, 0.014063, 0.002823, 0.014370, 0.087960, 0.008189, 0.009992, 0.018723, 0.005180, 0.007926, 0.026720, 0.041798, 0.004952, 0.024926, 0.009882, 0.039862, 0.035421, 0.006974, 0.006065, 0.013544, 0.024574, 0.037653, 0.001843, 0.007623, 0.011451, 0.016122, 0.012183, 0.007660, 0.001565, 0.007318, 0.004906, 0.017415, 0.004879, 0.035988, 0.055888, 0.008791, 0.008878, 0.001581, 0.037002, 0.009139, 0.010057, 0.002048, , , 0.000481, 0.000661, 0.000788
ruby, 0.5, 0.5, 16, 0.003664, 0.046335, 0.007029, 0.007530, 0.009288, 0.015232, 0.014386, 0.014248, 0.010665, 0.010361, 0.006824, 0.641691, 0.000911, 0.000551, 0.000585, 0.001615, 0.017083, 0.007858, 0.014875, 0.002259, 0.014508, 0.061628, 0.008626, 0.018347, 0.033311, 0.008650, 0.012391, 0.047383, 0.074995, 0.007924, 0.014751, 0.009654, 0.036752, 0.062264, 0.003583, 0.003242, 0.015486, 0.025503, 0.043207, 0.002566, 0.007811, 0.009862, 0.013983, 0.011456, 0.007796, 0.002102, 0.012334, 0.007773, 0.035364, 0.007513, 0.018994, 0.017781, 0.015429, 0.015500, 0.002202, 0.063795, 0.017456, 0.017920, 0.002606, , , 0.000410, 0.000577, 0.000648
ruby, 0.5, 0.5, 8, 0.005450, 0.090706, 0.012018, 0.013211, 0.015346, 0.026571, 0.015273, 0.014018, 0.014883, 0.018596, 0.008876, 0.590233, 0.001114, 0.000370, 0.000714, 0.002453, 0.031678, 0.021125, 0.023280, 0.003655, 0.024053, 0.045922, 0.027605, 0.032862, 0.053119, 0.016667, 0.041515, 0.084316, 0.134668, 0.011195, 0.003714, 0.019425, 0.062228, 0.111239, 0.001805, 0.001577, 0.018837, 0.041189, 0.066509, 0.004372, 0.027379, 0.020964, 0.024399, 0.021496, 0.027586, 0.003879, 0.022488, 0.013901, 0.066260, 0.013161, 0.008476, 0.004625, 0.029337, 0.029248, 0.003754, 0.126376, 0.040945, 0.033279, 0.004233, , , 0.000526, 0.000533, 0.001153
