machine, rep, sz, n_threads, Basic_DAXPY, Basic_DAXPY_ATOMIC, Basic_IF_QUAD, Basic_INDEXLIST, Basic_INDEXLIST_3LOOP, Basic_INIT3, Basic_INIT_VIEW1D, Basic_INIT_VIEW1D_OFFSET, Basic_MAT_MAT_SHARED, Basic_MULADDSUB, Basic_NESTED_INIT, Basic_PI_ATOMIC, Basic_PI_REDUCE, Basic_REDUCE3_INT, Basic_REDUCE_STRUCT, Basic_TRAP_INT, Lcals_DIFF_PREDICT, Lcals_EOS, Lcals_FIRST_DIFF, Lcals_FIRST_MIN, Lcals_FIRST_SUM, Lcals_GEN_LIN_RECUR, Lcals_HYDRO_1D, Lcals_HYDRO_2D, Lcals_INT_PREDICT, Lcals_PLANCKIAN, Lcals_TRIDIAG_ELIM, Polybench_2MM, Polybench_3MM, Polybench_ADI, Polybench_ATAX, Polybench_FDTD_2D, Polybench_FLOYD_WARSHALL, Polybench_GEMM, Polybench_GEMVER, Polybench_GESUMMV, Polybench_HEAT_3D, Polybench_JACOBI_1D, Polybench_JACOBI_2D, Polybench_MVT, Stream_ADD, Stream_COPY, Stream_DOT, Stream_MUL, Stream_TRIAD, Apps_CONVECTION3DPA, Apps_DEL_DOT_VEC_2D, Apps_DIFFUSION3DPA, Apps_ENERGY, Apps_FIR, Apps_HALOEXCHANGE, Apps_HALOEXCHANGE_FUSED, Apps_LTIMES, Apps_LTIMES_NOVIEW, Apps_MASS3DPA, Apps_NODAL_ACCUMULATION_3D, Apps_PRESSURE, Apps_VOL3D, Algorithm_SCAN, Algorithm_SORT, Algorithm_SORTPAIRS, Algorithm_REDUCE_SUM, Algorithm_MEMSET, Algorithm_MEMCPY
ec2-c5n, 0.5, 1.0, 1, 0.156574, 0.155407, 0.251639, 0.214752, 0.260811, 0.556781, 0.717027, 0.730875, 0.627581, 0.392386, 0.327938, 0.033436, 0.034150, 0.007355, 0.017152, 0.072233, 0.698307, 0.422185, 0.626978, 0.057277, 0.626136, 0.820456, 0.513920, 0.527248, 1.081244, 0.098805, 0.747776, 3.737234, 5.759156, 0.217653, 0.108524, 0.400710, 2.608451, 5.038218, 0.026065, 0.040268, 0.413825, 1.041172, 1.488898, 0.107710, 0.510085, 0.561239, 0.621011, 0.559194, 0.506112, 0.140628, 0.411650, 0.375614, 0.750068, 0.220129, 0.017678, 0.017631, 0.507951, 0.507581, 0.104994, 0.169067, 0.883550, 0.638614, 0.058023, 0.742454, 0.875554, 0.014571, 0.015674, 0.031348
ec2-c5n, 0.5, 2.0, 1, 0.421757, 0.411727, 0.536755, 0.431184, 0.554394, 1.379092, 1.476068, 1.493411, 1.848256, 0.969226, 0.666784, 0.067010, 0.065960, 0.014570, 0.046879, 0.143892, 1.380087, 1.000697, 1.680444, 0.115880, 1.679077, 2.269746, 1.369651, 1.172868, 2.389814, 0.201241, 1.902476, 5.790905, 7.462829, 0.438008, 0.208651, 1.252208, 10.006689, 4.353865, 0.052793, 0.108501, 0.966949, 2.860464, 3.939963, 0.192993, 1.368684, 1.518026, 1.651275, 1.494925, 1.360682, 0.298790, 0.819926, 0.764329, 1.703931, 0.445341, 0.029329, 0.029308, 1.015871, 1.016045, 0.216554, 0.333015, 2.168485, 1.231025, 0.127406, 1.552556, 1.852844, 0.030402, 0.034198, 0.085143
ec2-c6a, 0.5, 0.5, 1, 0.024967, 0.034812, 0.122335, 0.109209, 0.106892, 0.063518, 0.338543, 0.340783, 0.161928, 0.048922, 0.105873, 0.015579, 0.015691, 0.003266, 0.005190, 0.046524, 0.164846, 0.122201, 0.142186, 0.013923, 0.116312, 0.115778, 0.089880, 0.159288, 0.137752, 0.036555, 0.090175, 0.586895, 0.917748, 0.092038, 0.025809, 0.087801, 0.298739, 0.778513, 0.006877, 0.012882, 0.148635, 0.244529, 0.487481, 0.024156, 0.067286, 0.079194, 0.206311, 0.088415, 0.070228, 0.045707, 0.166026, 0.126271, 0.159932, 0.080685, 0.004275, 0.004574, 0.162699, 0.197639, 0.037850, 0.057801, 0.125331, 0.251894, 0.020706, 0.367218, 0.400419, 0.005245, 0.003433, 0.005255
ec2-c6a, 0.5, 1.0, 1, 0.049320, 0.069735, 0.242399, 0.215169, 0.210895, 0.170650, 0.674450, 0.677447, 0.439192, 0.155515, 0.231783, 0.031338, 0.031253, 0.006521, 0.010406, 0.093138, 0.337718, 0.251829, 0.276823, 0.027894, 0.227076, 0.293347, 0.194681, 0.334338, 0.418491, 0.072991, 0.286212, 1.384070, 2.057291, 0.186119, 0.052213, 0.182845, 0.963941, 1.608193, 0.014882, 0.025548, 0.305053, 0.484367, 0.964367, 0.049115, 0.151063, 0.159429, 0.409317, 0.174681, 0.157156, 0.100072, 0.328615, 0.306425, 0.367616, 0.159455, 0.006836, 0.007632, 0.320796, 0.392915, 0.075978, 0.116805, 0.387371, 0.496610, 0.041534, 0.771618, 0.845543, 0.010249, 0.006804, 0.009223
ec2-c6a, 0.5, 2.0, 1, 0.189927, 0.213625, 0.484394, 0.428106, 0.433123, 0.516092, 1.348183, 1.351995, 1.244167, 0.381497, 0.428879, 0.063269, 0.062311, 0.013075, 0.022738, 0.184959, 0.737909, 0.522157, 0.670182, 0.056577, 0.750799, 0.848362, 0.647114, 0.692998, 0.976256, 0.145063, 0.762069, 3.424274, 4.819329, 0.375668, 0.109489, 0.699703, 4.136650, 3.265318, 0.030262, 0.064903, 0.647048, 1.241868, 1.977398, 0.104822, 0.664593, 0.545186, 0.966257, 0.624198, 0.585629, 0.223690, 0.655927, 0.655243, 0.780573, 0.316118, 0.011193, 0.012121, 0.637977, 0.782901, 0.152388, 0.229072, 0.927767, 0.946530, 0.083823, 1.601694, 1.759791, 0.020393, 0.013626, 0.033077
ec2-c6i, 0.5, 0.5, 1, 0.063453, 0.063451, 0.096082, 0.110253, 0.123896, 0.168677, 0.357363, 0.358091, 0.189204, 0.118541, 0.134004, 0.014926, 0.015181, 0.003630, 0.007259, 0.035937, 0.215862, 0.146194, 0.254803, 0.028601, 0.256387, 0.253863, 0.189539, 0.202362, 0.319863, 0.036994, 0.249895, 0.650248, 1.053264, 0.093456, 0.029859, 0.143281, 0.735409, 0.884305, 0.007755, 0.016950, 0.155042, 0.413766, 0.562735, 0.029073, 0.189257, 0.230180, 0.285899, 0.229887, 0.189190, 0.054795, 0.186142, 0.137068, 0.212731, 0.093272, 0.007721, 0.007698, 0.215474, 0.215272, 0.043015, 0.064074, 0.264781, 0.299591, 0.028590, 0.356800, 0.390317, 0.007654, 0.006867, 0.012753
ec2-c6i, 0.5, 1.0, 1, 0.127455, 0.127350, 0.195066, 0.222234, 0.248896, 0.367864, 0.818621, 0.721414, 0.517092, 0.254743, 0.273571, 0.029865, 0.029912, 0.007448, 0.014547, 0.071691, 0.474522, 0.311108, 0.510776, 0.057174, 0.510788, 0.532465, 0.379672, 0.442466, 0.837731, 0.074738, 0.519711, 1.605250, 2.478553, 0.188487, 0.063282, 0.292350, 2.133435, 2.127524, 0.020321, 0.042576, 0.354672, 0.854669, 1.223060, 0.058350, 0.380305, 0.460488, 0.571892, 0.459365, 0.379746, 0.109456, 0.372463, 0.323628, 0.562161, 0.186600, 0.012613, 0.012600, 0.430921, 0.430520, 0.086257, 0.130138, 0.584094, 0.592667, 0.057196, 0.754951, 0.823452, 0.014840, 0.013762, 0.025580
ec2-c6i, 0.5, 2.0, 1, 0.266425, 0.262167, 0.419823, 0.445063, 0.506472, 1.026390, 1.430043, 1.434461, 1.473268, 0.725422, 0.537381, 0.059703, 0.059360, 0.014551, 0.030396, 0.143347, 1.068582, 0.761494, 1.054808, 0.114365, 1.047553, 1.527788, 0.922416, 0.951918, 1.875616, 0.157410, 1.411399, 3.676331, 5.207304, 0.385162, 0.129139, 0.723233, 5.969920, 3.428249, 0.032839, 0.070980, 0.629874, 1.774040, 2.353252, 0.119798, 0.903319, 0.951811, 1.164629, 0.943548, 0.903372, 0.238034, 0.745026, 0.671964, 1.325969, 0.374235, 0.019964, 0.020128, 0.861671, 0.860944, 0.173057, 0.271608, 1.668557, 1.143594, 0.115726, 1.578918, 1.726564, 0.028958, 0.027587, 0.052986
ec2-p3, 0.5, 0.5, 1, 0.003187, 0.003723, 0.003031, 0.000929, 0.001684, 0.006789, 0.005506, 0.005509, 0.000826, 0.004755, 0.002590, 0.026468, 0.000673, 0.000621, 0.001923, 0.000649, 0.014530, 0.005673, 0.010384, 0.001760, 0.010417, 0.010205, 0.008468, 0.005487, 0.011381, 0.000700, 0.011266, 0.001356, 0.002163, 0.015868, 0.008089, 0.008867, 0.031115, 0.001858, 0.001627, 0.013977, 0.004104, 0.010781, 0.018411, 0.007351, 0.008545, 0.009141, 0.029069, 0.009192, 0.008437, , 0.001747, , 0.009584, 0.001079, 0.008708, , 0.003031, 0.003026, , 0.002044, 0.011382, 0.001524, , , , 0.000661, 0.000234, 0.000525
ec2-p3, 0.5, 1.0, 1, 0.007820, 0.007795, 0.005865, 0.001807, 0.003398, 0.013116, 0.013340, 0.013344, 0.002161, 0.009180, 0.005256, 0.052289, 0.000692, 0.000810, 0.003634, 0.000769, 0.028791, 0.010589, 0.022417, 0.002458, 0.022439, 0.022506, 0.015703, 0.010589, 0.022176, 0.001299, 0.021160, 0.002879, 0.004335, 0.023848, 0.019183, 0.016989, 0.094416, 0.003293, 0.004262, 0.020098, 0.009615, 0.036001, 0.047287, 0.018185, 0.015691, 0.020040, 0.040084, 0.020017, 0.015651, , 0.003308, , 0.018278, 0.001925, 0.008949, , 0.005772, 0.005776, , 0.003732, 0.022313, 0.002700, , , , 0.000769, 0.000552, 0.001131
