machine,Kernel,Kernel,Basic_DAXPY,Basic_DAXPY_ATOMIC,Basic_IF_QUAD,Basic_INDEXLIST,Basic_INDEXLIST_3LOOP,Basic_INIT3,Basic_INIT_VIEW1D,Basic_INIT_VIEW1D_OFFSET,Basic_MAT_MAT_SHARED,Basic_MULADDSUB,Basic_NESTED_INIT,Basic_PI_ATOMIC,Basic_PI_REDUCE,Basic_REDUCE3_INT,Basic_REDUCE_STRUCT,Basic_TRAP_INT,Lcals_DIFF_PREDICT,Lcals_EOS,Lcals_FIRST_DIFF,Lcals_FIRST_MIN,Lcals_FIRST_SUM,Lcals_GEN_LIN_RECUR,Lcals_HYDRO_1D,Lcals_HYDRO_2D,Lcals_INT_PREDICT,Lcals_PLANCKIAN,Lcals_TRIDIAG_ELIM,Polybench_2MM,Polybench_3MM,Polybench_ADI,Polybench_ATAX,Polybench_FDTD_2D,Polybench_FLOYD_WARSHALL,Polybench_GEMM,Polybench_GEMVER,Polybench_GESUMMV,Polybench_HEAT_3D,Polybench_JACOBI_1D,Polybench_JACOBI_2D,Polybench_MVT,Stream_ADD,Stream_COPY,Stream_DOT,Stream_MUL,Stream_TRIAD,Apps_CONVECTION3DPA,Apps_DEL_DOT_VEC_2D,Apps_DIFFUSION3DPA,Apps_ENERGY,Apps_FIR,Apps_HALOEXCHANGE,Apps_HALOEXCHANGE_FUSED,Apps_LTIMES,Apps_LTIMES_NOVIEW,Apps_MASS3DPA,Apps_NODAL_ACCUMULATION_3D,Apps_PRESSURE,Apps_VOL3D,Algorithm_SCAN,Algorithm_SORT,Algorithm_SORTPAIRS,Algorithm_REDUCE_SUM,Algorithm_MEMSET,Algorithm_MEMCPY
boraxo,Base_Seq,default,0.177560,0.176508,0.276000,0.327392,0.127703,0.631382,0.476509,0.501967,0.361805,0.442450,0.192571,0.021868,0.021896,0.004527,0.017939,0.054645,0.813002,0.399498,0.714647,0.087478,0.717888,0.915181,0.548663,0.746384,1.118487,0.072192,0.768398,6.017205,9.423766,0.296045,0.153545,0.427456,2.971679,7.232432,0.036062,0.042967,0.409317,1.173255,1.770437,0.153258,0.545423,0.641831,0.699985,0.642912,0.537034,0.107702,0.578783,0.405165,1.262430,0.245203,0.021789,0.021745,0.739380,0.739233,0.080616,0.244651,0.887866,0.843414,0.087741,1.116675,1.354822,0.011294,0.019203,0.040157
boraxo,Base_Seq,default,0.176739,0.175841,0.276238,0.326992,0.127355,0.637977,0.473722,0.521443,0.362562,0.442459,0.192636,0.021861,0.021884,0.004527,0.017949,0.054655,0.810253,0.400002,0.713442,0.087480,0.715979,0.911194,0.548240,0.745419,1.125371,0.072474,0.770467,5.872958,9.339410,0.292591,0.155778,0.429836,2.954700,7.633884,0.035581,0.043000,0.412894,1.169152,1.768390,0.156157,0.548292,0.645547,0.699541,0.642615,0.538477,0.105874,0.578870,0.405274,1.265497,0.245220,0.021806,0.021742,0.738289,0.738278,0.080372,0.244860,0.893806,0.844244,0.087755,1.116638,1.354913,0.011315,0.019174,0.039807
boraxo,Base_Seq,default,0.181944,0.180699,0.276279,0.326986,0.128709,0.647244,0.481367,0.489129,0.364653,0.440720,0.193952,0.021861,0.021913,0.004525,0.019490,0.054675,0.791027,0.422765,0.758654,0.087512,0.763175,1.000153,0.595010,0.821120,1.120000,0.074563,0.809795,6.009490,9.432026,0.296106,0.153823,0.465850,3.202402,7.185689,0.035176,0.045787,0.439345,1.209869,1.836488,0.152777,0.588192,0.678026,0.706768,0.675020,0.576274,0.108844,0.613843,0.414981,1.258516,0.245634,0.021807,0.021736,0.746191,0.746220,0.082627,0.244941,0.918648,0.925632,0.088131,1.116498,1.357222,0.011458,0.019715,0.043326
boraxo,Base_Seq,default,0.176919,0.176144,0.275939,0.327050,0.127961,0.636648,0.473661,0.503915,0.362451,0.439165,0.192545,0.021873,0.021920,0.004598,0.018210,0.054671,0.811482,0.400055,0.712305,0.087474,0.714581,0.906227,0.547945,0.755555,1.123753,0.074323,0.769203,5.957675,9.041125,0.298288,0.156701,0.431114,2.945915,7.626298,0.035603,0.043593,0.440250,1.170463,1.794423,0.155981,0.547626,0.643652,0.699639,0.638088,0.538537,0.106554,0.613633,0.419793,1.266627,0.245257,0.021842,0.021791,0.740784,0.745528,0.082135,0.244562,0.894562,0.872080,0.087763,1.116300,1.355176,0.011238,0.019653,0.041982
boraxo,Base_Seq,default,0.179841,0.178405,0.275915,0.327059,0.127282,0.645259,0.477106,0.480330,0.363669,0.438457,0.193078,0.021868,0.021869,0.004626,0.018355,0.054619,0.804305,0.427818,0.736340,0.087487,0.739221,0.993033,0.588050,0.747895,1.119596,0.074833,0.796942,5.962283,9.268852,0.292663,0.154069,0.448338,3.064135,7.238505,0.035243,0.043489,0.417735,1.227498,1.844614,0.154276,0.568051,0.657636,0.700027,0.652874,0.557922,0.106620,0.578985,0.405118,1.257121,0.245595,0.021814,0.021615,0.738378,0.738392,0.080722,0.244803,0.921937,0.843784,0.088174,1.116296,1.357898,0.011499,0.019914,0.044581
boraxo,Base_Seq,default,0.181635,0.180673,0.276328,0.327091,0.129312,0.655920,0.493377,0.528153,0.367968,0.448271,0.199744,0.021870,0.021937,0.004585,0.019340,0.054700,0.804212,0.427934,0.744455,0.087512,0.750539,0.978245,0.586486,0.815710,1.153677,0.074300,0.820198,6.084323,9.237827,0.298447,0.156738,0.462653,3.147923,7.613853,0.035647,0.045589,0.442966,1.227316,1.863268,0.155074,0.584487,0.675767,0.711757,0.669154,0.575323,0.109966,0.613949,0.417360,1.295212,0.245447,0.022486,0.022389,0.745414,0.745445,0.082108,0.244805,0.942162,0.923172,0.087940,1.116519,1.357798,0.011322,0.020593,0.043418
boraxo,Base_Seq,default,0.184856,0.183128,0.276641,0.327115,0.127387,0.650454,0.491029,0.495001,0.365585,0.444482,0.201175,0.021862,0.021879,0.004615,0.019248,0.054621,0.805880,0.432296,0.803964,0.087661,0.805421,1.012715,0.593169,0.814345,1.128798,0.076638,0.822340,6.108295,9.513749,0.290142,0.156329,0.467748,3.182339,8.380218,0.036473,0.045725,0.434255,1.233212,1.861158,0.155718,0.590374,0.669534,0.710106,0.676534,0.573942,0.108821,0.613909,0.421425,1.273894,0.245934,0.021957,0.021777,0.745372,0.745323,0.082105,0.245012,0.941040,0.925378,0.088524,1.116330,1.359282,0.012236,0.021557,0.045909
boraxo,Base_Seq,default,0.177348,0.176372,0.276313,0.327185,0.127851,0.635482,0.473847,0.506070,0.361963,0.444987,0.192508,0.021863,0.021888,0.004529,0.017922,0.054647,0.807883,0.402075,0.715706,0.087478,0.718924,0.913521,0.549454,0.746530,1.120811,0.072022,0.769373,6.019020,9.413912,0.295876,0.152972,0.430650,2.967695,7.232893,0.035276,0.043036,0.408797,1.172917,1.778805,0.152994,0.546802,0.641919,0.699294,0.640791,0.538887,0.106382,0.578739,0.400299,1.265100,0.245248,0.021806,0.021775,0.737849,0.737755,0.080149,0.244643,0.892295,0.843586,0.087749,1.116482,1.354890,0.011179,0.019469,0.042548
boraxo,Base_Seq,default,0.177703,0.176859,0.276178,0.327178,0.127150,0.635801,0.472972,0.502043,0.363330,0.448527,0.192683,0.021863,0.021885,0.004536,0.018028,0.054645,0.808521,0.403252,0.714704,0.087465,0.716141,0.910236,0.551587,0.812025,1.123073,0.073831,0.773214,5.868321,9.348623,0.292617,0.156396,0.430730,2.963969,7.654508,0.035827,0.043036,0.412725,1.171636,1.776444,0.156057,0.548854,0.646274,0.700661,0.644010,0.539747,0.106424,0.576435,0.400324,1.263784,0.245154,0.021830,0.021796,0.738223,0.738290,0.080025,0.244397,0.893881,0.841196,0.087725,1.116655,1.354891,0.011275,0.019131,0.040729
boraxo,Base_Seq,default,0.177240,0.176384,0.275901,0.327049,0.127879,0.637034,0.475118,0.483123,0.361176,0.444849,0.193088,0.021877,0.021911,0.004539,0.018390,0.054670,0.807442,0.404524,0.713236,0.087470,0.715426,0.908505,0.550615,0.808094,1.123031,0.073977,0.773285,6.011578,9.420236,0.296336,0.154269,0.433228,2.966016,7.183155,0.035437,0.043540,0.431905,1.170281,1.789220,0.155808,0.546832,0.645877,0.701603,0.642930,0.541581,0.106690,0.613764,0.410996,1.270719,0.245264,0.021901,0.021818,0.745406,0.745403,0.082049,0.244501,0.899778,0.925296,0.087726,1.116604,1.354737,0.011240,0.019597,0.041886
boraxo,Base_Seq,default,0.176954,0.175917,0.275846,0.327167,0.127881,0.646005,0.474216,0.477644,0.361628,0.447729,0.192441,0.021866,0.021918,0.004581,0.018277,0.054686,0.808713,0.402465,0.717526,0.087464,0.719244,0.911345,0.551074,0.807402,1.122823,0.073930,0.771676,5.957375,9.045090,0.297305,0.157238,0.435777,2.973217,7.613574,0.036089,0.043570,0.436855,1.169434,1.780949,0.156545,0.548265,0.645686,0.701284,0.645053,0.541480,0.106823,0.613698,0.411180,1.270360,0.245255,0.021843,0.021794,0.740017,0.745328,0.082160,0.244424,0.896509,0.925279,0.087741,1.116567,1.355351,0.011176,0.019742,0.041381
