machine,core,Kernel,Kernel,Basic_DAXPY,Basic_DAXPY_ATOMIC,Basic_IF_QUAD,Basic_INDEXLIST,Basic_INDEXLIST_3LOOP,Basic_INIT3,Basic_INIT_VIEW1D,Basic_INIT_VIEW1D_OFFSET,Basic_MAT_MAT_SHARED,Basic_MULADDSUB,Basic_NESTED_INIT,Basic_PI_ATOMIC,Basic_PI_REDUCE,Basic_REDUCE3_INT,Basic_REDUCE_STRUCT,Basic_TRAP_INT,Lcals_DIFF_PREDICT,Lcals_EOS,Lcals_FIRST_DIFF,Lcals_FIRST_MIN,Lcals_FIRST_SUM,Lcals_GEN_LIN_RECUR,Lcals_HYDRO_1D,Lcals_HYDRO_2D,Lcals_INT_PREDICT,Lcals_PLANCKIAN,Lcals_TRIDIAG_ELIM,Polybench_2MM,Polybench_3MM,Polybench_ADI,Polybench_ATAX,Polybench_FDTD_2D,Polybench_FLOYD_WARSHALL,Polybench_GEMM,Polybench_GEMVER,Polybench_GESUMMV,Polybench_HEAT_3D,Polybench_JACOBI_1D,Polybench_JACOBI_2D,Polybench_MVT,Stream_ADD,Stream_COPY,Stream_DOT,Stream_MUL,Stream_TRIAD,Apps_CONVECTION3DPA,Apps_DEL_DOT_VEC_2D,Apps_DIFFUSION3DPA,Apps_ENERGY,Apps_FIR,Apps_HALOEXCHANGE,Apps_HALOEXCHANGE_FUSED,Apps_LTIMES,Apps_LTIMES_NOVIEW,Apps_MASS3DPA,Apps_NODAL_ACCUMULATION_3D,Apps_PRESSURE,Apps_VOL3D,Algorithm_SCAN,Algorithm_SORT,Algorithm_SORTPAIRS,Algorithm_REDUCE_SUM,Algorithm_MEMSET,Algorithm_MEMCPY
boraxo,72,Base_OpenMP,default,0.008424,0.078684,0.010177,0.007422,0.006755,0.018862,0.041442,0.037790,0.014514,0.013203,0.015973,5.674702,0.002076,0.003189,0.003260,0.002652,0.052693,0.013016,0.032451,0.007271,0.032439,0.180510,0.018195,0.025284,0.059357,0.002439,0.024315,0.332966,0.511444,0.007780,0.015785,0.021597,0.140036,0.409869,0.006707,0.004970,0.024887,0.055501,0.084318,0.009535,0.017577,0.029329,0.040009,0.027694,0.017183,0.003368,0.016109,0.010054,0.055151,0.010778,0.085655,0.214899,0.014904,0.016420,0.003210,0.102436,0.025730,0.023563,0.003241,Not run,Not run,0.001223,0.001670,0.001904
boraxo,36,Base_OpenMP,default,0.009393,0.137359,0.017043,0.012664,0.007816,0.030534,0.039934,0.031974,0.025667,0.021561,0.014146,4.851896,0.001924,0.001552,0.001807,0.003806,0.075825,0.023372,0.036183,0.005060,0.036309,0.173214,0.030399,0.045999,0.080513,0.003958,0.046141,0.639380,0.982957,0.012429,0.018870,0.026820,0.154378,0.786417,0.006842,0.003116,0.036283,0.064906,0.114013,0.016799,0.029918,0.031036,0.035511,0.029067,0.029914,0.005185,0.030663,0.018480,0.074037,0.018758,0.057217,0.078824,0.028923,0.031936,0.004850,0.202907,0.045486,0.045446,0.004316,Not run,Not run,0.000946,0.001442,0.002024
boraxo,32,Base_OpenMP,default,0.011145,0.153531,0.020101,0.013985,0.008372,0.036455,0.039923,0.031261,0.024853,0.025546,0.014604,4.169421,0.002177,0.001198,0.001629,0.004172,0.073319,0.025374,0.045871,0.004787,0.045898,0.120030,0.034658,0.052999,0.092183,0.004479,0.050283,0.719177,1.134793,0.013952,0.025671,0.029574,0.175032,0.903047,0.007789,0.006485,0.040195,0.076532,0.127313,0.018706,0.033897,0.039863,0.043457,0.038957,0.034838,0.005620,0.035035,0.021058,0.084732,0.020708,0.047086,0.070334,0.033080,0.036303,0.005198,0.227748,0.053123,0.050947,0.004571,Not run,Not run,0.000897,0.001399,0.002537
boraxo,18,Base_OpenMP,default,0.008114,0.131148,0.016572,0.018429,0.007795,0.032799,0.032363,0.027589,0.027362,0.023502,0.011742,2.306155,0.001677,0.001063,0.001358,0.003727,0.081788,0.022872,0.031798,0.006139,0.031708,0.173637,0.027907,0.043883,0.081928,0.004556,0.044877,0.322985,0.498353,0.019350,0.012947,0.022507,0.143047,0.427789,0.006405,0.005388,0.032268,0.060707,0.102075,0.009860,0.027294,0.026864,0.034788,0.026031,0.027348,0.005383,0.032788,0.019140,0.074273,0.018303,0.030366,0.035653,0.042814,0.042625,0.004849,0.178709,0.044098,0.047546,0.006366,Not run,Not run,0.000981,0.001241,0.001785
boraxo,16,Base_OpenMP,default,0.008329,0.147349,0.018554,0.020230,0.008642,0.033410,0.034591,0.026232,0.026999,0.023678,0.012848,2.215623,0.002022,0.001023,0.001395,0.004487,0.077336,0.025536,0.034515,0.006479,0.035918,0.159920,0.033283,0.050127,0.094367,0.004840,0.050031,0.383523,0.536534,0.021928,0.016522,0.025974,0.162092,0.456824,0.007379,0.005889,0.035302,0.067330,0.114432,0.010799,0.034871,0.028658,0.036529,0.028331,0.034840,0.006033,0.036924,0.021794,0.086587,0.020476,0.027575,0.023343,0.047155,0.047714,0.005382,0.200940,0.050518,0.053421,0.006850,Not run,Not run,0.000995,0.001088,0.001897
boraxo,8,Base_OpenMP,default,0.021923,0.286322,0.037575,0.041488,0.016692,0.098445,0.060278,0.056489,0.047776,0.069195,0.023704,1.887415,0.002944,0.000792,0.002398,0.007012,0.151698,0.062864,0.100786,0.011331,0.102307,0.140722,0.083876,0.110750,0.184601,0.010327,0.117472,0.751494,1.137020,0.039011,0.020591,0.065685,0.368298,1.049322,0.005481,0.005783,0.060525,0.161744,0.246815,0.019904,0.081992,0.080866,0.088280,0.081335,0.081094,0.013307,0.076921,0.049009,0.194389,0.040494,0.016948,0.006803,0.093197,0.093333,0.010384,0.400782,0.131759,0.118066,0.013657,Not run,Not run,0.001512,0.002373,0.005013
boraxo,4,Base_OpenMP,default,0.047141,0.567196,0.071925,0.082807,0.033778,0.177740,0.118557,0.118096,0.095045,0.120574,0.047283,1.947314,0.005652,0.001303,0.004792,0.013831,0.220568,0.117775,0.195020,0.022284,0.196038,0.255891,0.154897,0.193696,0.308265,0.019447,0.217006,1.533691,2.144860,0.077921,0.040535,0.122607,0.715616,1.823415,0.009769,0.011513,0.112645,0.327956,0.480679,0.040028,0.152478,0.171566,0.187568,0.170871,0.151434,0.025673,0.145141,0.091543,0.340873,0.079731,0.019172,0.009548,0.184716,0.184905,0.020113,0.800444,0.245463,0.212403,0.027219,Not run,Not run,0.002889,0.004728,0.010049
boraxo,72,Base_OpenMP,default,0.008246,0.072668,0.010154,0.007395,0.006831,0.018091,0.040113,0.036964,0.017011,0.012877,0.015486,5.395836,0.001947,0.003119,0.003300,0.002692,0.053684,0.012735,0.031731,0.007119,0.031832,0.180202,0.018429,0.025046,0.058852,0.002443,0.021073,0.331585,0.501876,0.007854,0.015115,0.022089,0.137393,0.409377,0.006396,0.002401,0.030732,0.055069,0.084504,0.009633,0.017108,0.028527,0.038374,0.027193,0.017248,0.003390,0.016101,0.009794,0.055576,0.010784,0.086671,0.223071,0.014925,0.016451,0.003263,0.107817,0.024674,0.023596,0.003250,Not run,Not run,0.001183,0.001611,0.001894
boraxo,36,Base_OpenMP,default,0.009699,0.137601,0.016994,0.012232,0.008180,0.030785,0.040303,0.032698,0.025495,0.021563,0.014288,4.869089,0.002262,0.001440,0.001820,0.004020,0.075962,0.023977,0.036982,0.005077,0.037178,0.173097,0.030996,0.046102,0.081451,0.003897,0.046827,0.639033,0.993948,0.012364,0.024486,0.027514,0.158577,0.788986,0.007463,0.006481,0.036388,0.065584,0.114562,0.016926,0.030526,0.031677,0.036472,0.029787,0.030209,0.005126,0.030452,0.018418,0.073993,0.018800,0.059004,0.076767,0.028938,0.031954,0.004837,0.202943,0.045680,0.045468,0.004349,Not run,Not run,0.000950,0.001460,0.002070
boraxo,32,Base_OpenMP,default,0.010066,0.153262,0.019016,0.013548,0.008550,0.033488,0.039664,0.030566,0.025011,0.023338,0.014534,4.515595,0.002014,0.001180,0.001470,0.004493,0.076422,0.025973,0.039493,0.004727,0.039394,0.115430,0.035022,0.052505,0.093371,0.004238,0.052171,0.719792,1.138302,0.013950,0.025193,0.029081,0.162025,0.903141,0.007122,0.005997,0.038709,0.068897,0.123401,0.018667,0.035544,0.033296,0.037279,0.031599,0.035590,0.005432,0.034826,0.020710,0.086054,0.020712,0.045496,0.067926,0.032932,0.036482,0.005152,0.227804,0.051899,0.050267,0.004493,Not run,Not run,0.000866,0.001367,0.002133
