machine,Basic_DAXPY,Basic_DAXPY_ATOMIC,Basic_IF_QUAD,Basic_INDEXLIST,Basic_INDEXLIST_3LOOP,Basic_INIT3,Basic_INIT_VIEW1D,Basic_INIT_VIEW1D_OFFSET,Basic_MAT_MAT_SHARED,Basic_MULADDSUB,Basic_NESTED_INIT,Basic_PI_ATOMIC,Basic_PI_REDUCE,Basic_REDUCE3_INT,Basic_REDUCE_STRUCT,Basic_TRAP_INT,Lcals_DIFF_PREDICT,Lcals_EOS,Lcals_FIRST_DIFF,Lcals_FIRST_MIN,Lcals_FIRST_SUM,Lcals_GEN_LIN_RECUR,Lcals_HYDRO_1D,Lcals_HYDRO_2D,Lcals_INT_PREDICT,Lcals_PLANCKIAN,Lcals_TRIDIAG_ELIM,Polybench_2MM,Polybench_3MM,Polybench_ADI,Polybench_ATAX,Polybench_FDTD_2D,Polybench_FLOYD_WARSHALL,Polybench_GEMM,Polybench_GEMVER,Polybench_GESUMMV,Polybench_HEAT_3D,Polybench_JACOBI_1D,Polybench_JACOBI_2D,Polybench_MVT,Stream_ADD,Stream_COPY,Stream_DOT,Stream_MUL,Stream_TRIAD,Apps_CONVECTION3DPA,Apps_DEL_DOT_VEC_2D,Apps_DIFFUSION3DPA,Apps_ENERGY,Apps_FIR,Apps_LTIMES,Apps_LTIMES_NOVIEW,Apps_MASS3DPA,Apps_NODAL_ACCUMULATION_3D,Apps_PRESSURE,Apps_VOL3D,Algorithm_SCAN,Algorithm_SORT,Algorithm_SORTPAIRS,Algorithm_REDUCE_SUM,Algorithm_MEMSET,Algorithm_MEMCPY,Basic_DAXPY,Basic_DAXPY_ATOMIC,Basic_IF_QUAD,Basic_INDEXLIST,Basic_INDEXLIST_3LOOP,Basic_INIT3,Basic_INIT_VIEW1D,Basic_INIT_VIEW1D_OFFSET,Basic_MAT_MAT_SHARED,Basic_MULADDSUB,Basic_NESTED_INIT,Basic_PI_ATOMIC,Basic_PI_REDUCE,Basic_REDUCE3_INT,Basic_REDUCE_STRUCT,Basic_TRAP_INT,Lcals_DIFF_PREDICT,Lcals_EOS,Lcals_FIRST_DIFF,Lcals_FIRST_MIN,Lcals_FIRST_SUM,Lcals_GEN_LIN_RECUR,Lcals_HYDRO_1D,Lcals_HYDRO_2D,Lcals_INT_PREDICT,Lcals_PLANCKIAN,Lcals_TRIDIAG_ELIM,Polybench_2MM,Polybench_3MM,Polybench_ADI,Polybench_ATAX,Polybench_FDTD_2D,Polybench_FLOYD_WARSHALL,Polybench_GEMM,Polybench_GEMVER,Polybench_GESUMMV,Polybench_HEAT_3D,Polybench_JACOBI_1D,Polybench_JACOBI_2D,Polybench_MVT,Stream_ADD,Stream_COPY,Stream_DOT,Stream_MUL,Stream_TRIAD,Apps_CONVECTION3DPA,Apps_DEL_DOT_VEC_2D,Apps_DIFFUSION3DPA,Apps_ENERGY,Apps_FIR,Apps_LTIMES,Apps_LTIMES_NOVIEW,Apps_MASS3DPA,Apps_NODAL_ACCUMULATION_3D,Apps_PRESSURE,Apps_VOL3D,Algorithm_SCAN,Algorithm_SORT,Algorithm_SORTPAIRS,Algorithm_REDUCE_SUM,Algorithm_MEMSET,Algorithm_MEMCPY,Basic_DAXPY,Basic_DAXPY_ATOMIC,Basic_IF_QUAD,Basic_INDEXLIST,Basic_INDEXLIST_3LOOP,Basic_INIT3,Basic_INIT_VIEW1D,Basic_INIT_VIEW1D_OFFSET,Basic_MAT_MAT_SHARED,Basic_MULADDSUB,Basic_NESTED_INIT,Basic_PI_ATOMIC,Basic_PI_REDUCE,Basic_REDUCE3_INT,Basic_REDUCE_STRUCT,Basic_TRAP_INT,Lcals_DIFF_PREDICT,Lcals_EOS,Lcals_FIRST_DIFF,Lcals_FIRST_MIN,Lcals_FIRST_SUM,Lcals_GEN_LIN_RECUR,Lcals_HYDRO_1D,Lcals_HYDRO_2D,Lcals_INT_PREDICT,Lcals_PLANCKIAN,Lcals_TRIDIAG_ELIM,Polybench_2MM,Polybench_3MM,Polybench_ADI,Polybench_ATAX,Polybench_FDTD_2D,Polybench_FLOYD_WARSHALL,Polybench_GEMM,Polybench_GEMVER,Polybench_GESUMMV,Polybench_HEAT_3D,Polybench_JACOBI_1D,Polybench_JACOBI_2D,Polybench_MVT,Stream_ADD,Stream_COPY,Stream_DOT,Stream_MUL,Stream_TRIAD,Apps_CONVECTION3DPA,Apps_DEL_DOT_VEC_2D,Apps_DIFFUSION3DPA,Apps_ENERGY,Apps_FIR,Apps_LTIMES,Apps_LTIMES_NOVIEW,Apps_MASS3DPA,Apps_NODAL_ACCUMULATION_3D,Apps_PRESSURE,Apps_VOL3D,Algorithm_SCAN,Algorithm_SORT,Algorithm_SORTPAIRS,Algorithm_REDUCE_SUM,Algorithm_MEMSET,Algorithm_MEMCPY
boraxo,0.087230,0.087135,0.137284,0.162941,0.063160,0.244118,0.230042,0.235607,0.153883,0.168284,0.097971,0.010935,0.010950,0.002228,0.008739,0.027348,0.381428,0.175148,0.350192,0.043737,0.351890,0.359231,0.262433,0.383920,0.475934,0.035599,0.350058,0.971960,1.607129,0.133424,0.037008,0.198248,0.998831,1.252499,0.009153,0.021070,0.213505,0.562171,0.794730,0.035416,0.261922,0.314864,0.348265,0.315207,0.261527,0.048075,0.297255,0.190582,0.560421,0.122551,0.370821,0.372112,0.041127,0.120560,0.371045,0.445606,0.043783,0.528243,0.641308,0.005489,0.009292,0.020251,0.178090,0.177087,0.276140,0.327134,0.127738,0.640420,0.477731,0.494350,0.363137,0.445195,0.194064,0.021867,0.021899,0.004566,0.018316,0.054654,0.809409,0.407575,0.723499,0.087489,0.726194,0.928753,0.557686,0.789508,1.125106,0.073641,0.779484,6.000636,9.320356,0.294544,0.155096,0.436917,2.999529,7.555854,0.035602,0.043678,0.428448,1.181757,1.795942,0.154593,0.554473,0.648918,0.701440,0.647020,0.545530,0.107289,0.599892,0.408146,1.268146,0.245332,0.741629,0.742700,0.081322,0.244637,0.901509,0.890222,0.087846,1.116515,1.355763,0.011326,0.019653,0.042193,0.428987,0.420312,0.559196,0.655448,0.278608,1.623717,1.045010,1.052016,1.265667,1.118899,0.437501,0.043785,0.043818,0.009234,0.047393,0.109378,1.657176,1.008816,1.860806,0.175592,1.863353,2.601325,1.412196,1.706718,2.470407,0.153632,1.943946,8.779241,11.350952,0.598613,0.283253,1.220838,10.926273,5.757841,0.067276,0.108332,0.977083,2.947127,4.300574,0.267602,1.395339,1.671335,1.618309,1.638730,1.380386,0.230291,1.187073,0.833038,2.765347,0.492824,1.483265,1.484006,0.168401,0.550881,2.238714,1.689615,0.178803,2.335763,2.846453,0.023514,0.042280,0.101839
catalyst,0.086231,0.086079,0.275760,0.116697,0.139602,0.282544,0.398123,0.404884,0.212738,0.200528,0.178246,0.055728,0.056464,0.002565,0.007855,0.113130,0.396507,0.224376,0.346781,0.030087,0.350878,0.419057,0.237110,0.475201,0.622008,0.268583,0.285194,7.450444,11.992558,0.142100,0.213486,0.213147,0.956562,9.886884,0.045764,0.020077,0.285837,0.615538,0.935923,0.210608,0.223975,0.291002,0.282937,0.288832,0.220610,0.062405,0.350871,0.212051,0.621422,0.175297,0.318557,0.306220,0.057320,0.121916,0.328787,0.457127,0.023950,0.368082,0.411156,0.003890,0.009887,0.016181,0.174276,0.174432,0.559918,0.232977,0.281821,0.809846,0.801834,0.799627,0.570520,0.571603,0.352944,0.110768,0.111060,0.005027,0.015458,0.222531,0.830509,0.475189,0.713301,0.060629,0.713631,0.928517,0.529620,1.006232,1.450811,0.546292,0.823855,17.973485,27.394243,0.294237,0.445418,0.446887,2.850476,20.325262,0.095473,0.042127,0.617600,1.248176,1.945332,0.438034,0.511915,0.587608,0.568032,0.586025,0.514082,0.137595,0.702288,0.464934,1.470174,0.347040,0.623970,0.615274,0.115638,0.248479,1.024215,0.929182,0.048027,0.773459,0.876824,0.007895,0.019865,0.032636,0.491893,0.499954,1.140569,0.469758,0.597571,1.790315,1.626551,1.614845,1.725353,1.275777,0.676327,0.221302,0.223707,0.010129,0.041956,0.444012,1.785152,1.135291,1.953553,0.121993,1.985349,2.250605,1.815856,1.980240,2.912710,1.116247,2.693323,45.563321,65.871194,0.616497,0.937618,1.353988,12.606881,42.633163,0.201588,0.105783,1.308933,3.283378,5.044753,0.916058,1.910554,1.800160,1.554902,1.833757,1.943741,0.303586,1.409762,0.940600,3.126006,0.699508,1.248974,1.245522,0.241351,0.528101,2.774681,1.763573,0.110497,1.628949,1.867714,0.016376,0.040740,0.100133
ec2-c5n,0.075318,0.075237,0.120887,0.106998,0.129234,0.202070,0.358107,0.366065,0.234924,0.142494,0.167598,0.016723,0.018280,0.003917,0.007659,0.036481,0.325850,0.178059,0.301283,0.028611,0.301199,0.301526,0.227320,0.248869,0.450480,0.048060,0.308739,0.705117,1.126927,0.098395,0.032662,0.172152,0.863961,0.931394,0.008565,0.019282,0.193582,0.481873,0.646010,0.031591,0.227134,0.270433,0.300427,0.270544,0.226895,0.065261,0.205739,0.177982,0.294934,0.109827,0.253834,0.254383,0.052729,0.082692,0.333833,0.321556,0.028622,0.351566,0.413857,0.007182,0.007679,0.015082,0.156574,0.155407,0.251639,0.214752,0.260811,0.556781,0.717027,0.730875,0.627581,0.392386,0.327938,0.033436,0.034150,0.007355,0.017152,0.072233,0.698307,0.422185,0.626978,0.057277,0.626136,0.820456,0.513920,0.527248,1.081244,0.098805,0.747776,3.737234,5.759156,0.217653,0.108524,0.400710,2.608451,5.038218,0.026065,0.040268,0.413825,1.041172,1.488898,0.107710,0.510085,0.561239,0.621011,0.559194,0.506112,0.140628,0.411650,0.375614,0.750068,0.220129,0.507951,0.507581,0.104994,0.169067,0.883550,0.638614,0.058023,0.742454,0.875554,0.014571,0.015674,0.031348,0.421757,0.411727,0.536755,0.431184,0.554394,1.379092,1.476068,1.493411,1.848256,0.969226,0.666784,0.067010,0.065960,0.014570,0.046879,0.143892,1.380087,1.000697,1.680444,0.115880,1.679077,2.269746,1.369651,1.172868,2.389814,0.201241,1.902476,5.790905,7.462829,0.438008,0.208651,1.252208,10.006689,4.353865,0.052793,0.108501,0.966949,2.860464,3.939963,0.192993,1.368684,1.518026,1.651275,1.494925,1.360682,0.298790,0.819926,0.764329,1.703931,0.445341,1.015871,1.016045,0.216554,0.333015,2.168485,1.231025,0.127406,1.552556,1.852844,0.030402,0.034198,0.085143
ec2-c6a,0.024967,0.034812,0.122335,0.109209,0.106892,0.063518,0.338543,0.340783,0.161928,0.048922,0.105873,0.015579,0.015691,0.003266,0.005190,0.046524,0.164846,0.122201,0.142186,0.013923,0.116312,0.115778,0.089880,0.159288,0.137752,0.036555,0.090175,0.586895,0.917748,0.092038,0.025809,0.087801,0.298739,0.778513,0.006877,0.012882,0.148635,0.244529,0.487481,0.024156,0.067286,0.079194,0.206311,0.088415,0.070228,0.045707,0.166026,0.126271,0.159932,0.080685,0.162699,0.197639,0.037850,0.057801,0.125331,0.251894,0.020706,0.367218,0.400419,0.005245,0.003433,0.005255,0.049320,0.069735,0.242399,0.215169,0.210895,0.170650,0.674450,0.677447,0.439192,0.155515,0.231783,0.031338,0.031253,0.006521,0.010406,0.093138,0.337718,0.251829,0.276823,0.027894,0.227076,0.293347,0.194681,0.334338,0.418491,0.072991,0.286212,1.384070,2.057291,0.186119,0.052213,0.182845,0.963941,1.608193,0.014882,0.025548,0.305053,0.484367,0.964367,0.049115,0.151063,0.159429,0.409317,0.174681,0.157156,0.100072,0.328615,0.306425,0.367616,0.159455,0.320796,0.392915,0.075978,0.116805,0.387371,0.496610,0.041534,0.771618,0.845543,0.010249,0.006804,0.009223,0.189927,0.213625,0.484394,0.428106,0.433123,0.516092,1.348183,1.351995,1.244167,0.381497,0.428879,0.063269,0.062311,0.013075,0.022738,0.184959,0.737909,0.522157,0.670182,0.056577,0.750799,0.848362,0.647114,0.692998,0.976256,0.145063,0.762069,3.424274,4.819329,0.375668,0.109489,0.699703,4.136650,3.265318,0.030262,0.064903,0.647048,1.241868,1.977398,0.104822,0.664593,0.545186,0.966257,0.624198,0.585629,0.223690,0.655927,0.655243,0.780573,0.316118,0.637977,0.782901,0.152388,0.229072,0.927767,0.946530,0.083823,1.601694,1.759791,0.020393,0.013626,0.033077
ec2-c6i,0.063453,0.063451,0.096082,0.110253,0.123896,0.168677,0.357363,0.358091,0.189204,0.118541,0.134004,0.014926,0.015181,0.003630,0.007259,0.035937,0.215862,0.146194,0.254803,0.028601,0.256387,0.253863,0.189539,0.202362,0.319863,0.036994,0.249895,0.650248,1.053264,0.093456,0.029859,0.143281,0.735409,0.884305,0.007755,0.016950,0.155042,0.413766,0.562735,0.029073,0.189257,0.230180,0.285899,0.229887,0.189190,0.054795,0.186142,0.137068,0.212731,0.093272,0.215474,0.215272,0.043015,0.064074,0.264781,0.299591,0.028590,0.356800,0.390317,0.007654,0.006867,0.012753,0.127455,0.127350,0.195066,0.222234,0.248896,0.367864,0.818621,0.721414,0.517092,0.254743,0.273571,0.029865,0.029912,0.007448,0.014547,0.071691,0.474522,0.311108,0.510776,0.057174,0.510788,0.532465,0.379672,0.442466,0.837731,0.074738,0.519711,1.605250,2.478553,0.188487,0.063282,0.292350,2.133435,2.127524,0.020321,0.042576,0.354672,0.854669,1.223060,0.058350,0.380305,0.460488,0.571892,0.459365,0.379746,0.109456,0.372463,0.323628,0.562161,0.186600,0.430921,0.430520,0.086257,0.130138,0.584094,0.592667,0.057196,0.754951,0.823452,0.014840,0.013762,0.025580,0.266425,0.262167,0.419823,0.445063,0.506472,1.026390,1.430043,1.434461,1.473268,0.725422,0.537381,0.059703,0.059360,0.014551,0.030396,0.143347,1.068582,0.761494,1.054808,0.114365,1.047553,1.527788,0.922416,0.951918,1.875616,0.157410,1.411399,3.676331,5.207304,0.385162,0.129139,0.723233,5.969920,3.428249,0.032839,0.070980,0.629874,1.774040,2.353252,0.119798,0.903319,0.951811,1.164629,0.943548,0.903372,0.238034,0.745026,0.671964,1.325969,0.374235,0.861671,0.860944,0.173057,0.271608,1.668557,1.143594,0.115726,1.578918,1.726564,0.028958,0.027587,0.052986
mammoth,0.027402,0.028316,0.090259,0.135990,0.132637,0.150112,0.264053,0.294302,0.074100,0.093849,0.083517,0.019465,0.019929,0.001424,0.003881,0.052964,0.214709,0.099711,0.117524,0.017949,0.115002,0.187388,0.105796,0.226830,0.301623,0.029948,0.178266,0.656684,1.062779,0.109899,0.023440,0.095625,0.356476,0.857022,0.005885,0.011361,0.115386,0.206944,0.431333,0.028623,0.117193,0.099661,0.123184,0.107436,0.117502,0.052063,0.197851,0.259329,0.485975,0.062908,0.229159,0.229257,0.032167,0.078904,0.265909,0.263549,0.024129,0.421157,0.466317,0.002906,0.003388,0.005727,0.117835,0.125224,0.158355,0.271518,0.279302,0.386395,0.526978,0.589569,0.205178,0.285609,0.212511,0.039162,0.039811,0.002115,0.015485,0.105637,0.429945,0.308392,0.471331,0.036016,0.514285,0.467711,0.448328,0.439118,0.594392,0.059032,0.611424,1.581458,2.388726,0.220818,0.048036,0.449501,2.210093,1.859421,0.012174,0.035636,0.278548,0.754765,1.140914,0.058085,0.488241,0.440342,0.528697,0.447293,0.491857,0.141032,0.395315,0.454869,0.910321,0.134862,0.457339,0.458743,0.065408,0.171111,0.642686,0.528798,0.055453,0.890464,0.986739,0.005838,0.006485,0.022750,0.343475,0.343222,0.312186,0.542221,0.607504,0.743831,1.282325,1.525581,1.186601,0.500830,0.538392,0.078017,0.079454,0.004186,0.034947,0.211054,0.871820,0.555453,1.401883,0.090397,1.423393,1.026055,0.886047,0.908623,1.169917,0.116772,1.110364,6.202818,9.325153,0.463483,0.203419,1.096273,9.942868,5.389608,0.046485,0.083919,0.704390,2.151657,2.797827,0.193319,0.937801,1.253119,1.327401,1.300993,0.972304,0.264385,0.759474,0.874048,1.782011,0.277082,0.912461,0.916076,0.132892,0.335481,1.303393,1.000441,0.109915,1.852553,2.059271,0.016362,0.030864,0.069206
poodle,0.075332,0.075250,0.104909,0.127455,0.033468,0.168399,0.170423,0.170192,0.062618,0.118356,0.079061,0.008373,0.008405,0.001056,0.006066,0.021201,0.253716,0.128868,0.268824,0.033482,0.269743,0.252618,0.194921,0.217890,0.338123,0.018017,0.257350,0.703488,1.126630,0.102834,0.022361,0.160397,0.794872,0.963008,0.006498,0.014611,0.132712,0.422001,0.578412,0.021965,0.187915,0.231766,0.234409,0.231391,0.187650,0.044282,0.135804,0.128672,0.393952,0.072155,0.198849,0.198489,0.028837,0.075390,0.267280,0.207177,0.016750,0.397192,0.438522,0.002872,0.006837,0.013439,0.150655,0.150474,0.209951,0.256957,0.066893,0.514150,0.346066,0.345447,0.142842,0.362068,0.153633,0.016740,0.016784,0.003309,0.012301,0.042020,0.618117,0.295942,0.520490,0.066967,0.548899,0.644409,0.409170,0.488717,0.813703,0.040234,0.586361,1.657370,2.540027,0.207083,0.049210,0.306359,2.271550,2.070263,0.014970,0.029446,0.261975,0.855975,1.160691,0.044506,0.404191,0.469968,0.469833,0.466778,0.402603,0.093519,0.272001,0.296045,0.902313,0.144369,0.397713,0.396916,0.058001,0.154419,0.667946,0.410536,0.033906,0.839658,0.926257,0.005859,0.013866,0.026874,0.311389,0.311639,0.420390,0.515852,0.138689,1.355667,0.707861,0.706667,0.482425,0.957877,0.346126,0.033457,0.033521,0.006203,0.030876,0.083797,1.327839,0.770481,1.349929,0.133970,1.413679,2.002009,1.085319,1.019181,1.803012,0.111503,1.501247,4.243762,5.648618,0.420381,0.103550,0.685750,8.225121,4.355000,0.031640,0.066046,0.558420,2.405492,2.831523,0.093902,1.133036,1.196187,1.031607,1.197163,1.115731,0.197393,0.544463,0.626211,2.002117,0.291330,0.795368,0.793783,0.119239,0.304069,1.717314,0.786819,0.080981,1.755632,1.950884,0.012028,0.028289,0.069957
quartz,0.084683,0.084304,0.227747,0.118576,0.137414,0.236163,0.360110,0.407107,0.126440,0.165074,0.173887,0.018432,0.019026,0.001927,0.006893,0.050607,0.340807,0.145391,0.343589,0.030096,0.342772,0.371592,0.227144,0.291126,0.376524,0.039894,0.281754,1.017876,1.643712,0.106905,0.037594,0.182805,0.968425,1.349567,0.009928,0.014537,0.218038,0.554057,0.747557,0.036204,0.224879,0.297235,0.230793,0.306472,0.224566,0.046388,0.236110,0.163976,0.509890,0.116566,0.363299,0.363219,0.039718,0.119558,0.316104,0.359199,0.024566,0.374279,0.431537,0.003337,0.010835,0.016544,0.168789,0.168170,0.455315,0.237211,0.273942,0.533966,0.719829,0.814738,0.331779,0.380730,0.340269,0.036372,0.037152,0.003892,0.014012,0.100205,0.992502,0.301969,0.683305,0.059934,0.685740,0.745278,0.454519,0.697588,1.480689,0.080292,0.579296,2.281203,3.479683,0.219075,0.075486,0.363170,2.778848,2.576610,0.019855,0.029982,0.443868,1.116955,1.595167,0.070901,0.452312,0.594786,0.470287,0.610385,0.450721,0.091775,0.473414,0.369797,1.492120,0.232224,0.719657,0.723871,0.079046,0.242807,0.720047,0.710679,0.049219,0.788342,0.907276,0.006662,0.021765,0.032973,0.346030,0.345529,0.920538,0.475888,0.555628,2.245596,1.447279,1.635724,1.080305,1.537314,0.646454,0.073369,0.073875,0.007783,0.028808,0.200690,2.007845,1.222614,1.395403,0.120171,1.401646,2.188445,1.295056,1.576100,3.032338,0.206229,2.441377,10.412638,13.742798,0.500692,0.288476,1.123367,8.317259,7.462155,0.068463,0.063355,0.954756,2.286430,3.465528,0.272925,1.286901,1.232310,0.968376,1.253137,1.279830,0.226707,0.952945,0.792499,3.336461,0.467996,1.431187,1.452036,0.159564,0.538354,2.666671,1.387882,0.099403,1.651874,1.921417,0.013302,0.043650,0.068495
ruby,0.074297,0.074169,0.081822,0.094268,0.133337,0.191738,0.187180,0.194718,0.106595,0.133100,0.076380,0.006646,0.007572,0.001842,0.007565,0.016848,0.220951,0.149633,0.298581,0.025190,0.298008,0.291616,0.222913,0.238651,0.367742,0.122460,0.297839,0.646536,1.032471,0.077404,0.024601,0.166543,0.851206,0.856665,0.006714,0.017763,0.138595,0.488423,0.596174,0.032620,0.222760,0.262316,0.290802,0.267644,0.222457,0.032545,0.173929,0.111262,0.440828,0.106263,0.214822,0.213707,0.027348,0.068181,0.313738,0.249249,0.025291,0.336232,0.344283,0.003674,0.007381,0.021296,0.149303,0.149015,0.176501,0.189016,0.265504,0.442435,0.385102,0.405252,0.249042,0.307949,0.154435,0.013353,0.014158,0.003787,0.015013,0.032821,0.684867,0.318956,0.598233,0.050334,0.597638,0.649355,0.455949,0.517851,0.969328,0.249573,0.624174,3.322462,5.108207,0.177016,0.086368,0.344809,2.429455,4.644602,0.021611,0.036058,0.281553,0.975993,1.250248,0.086240,0.452510,0.528536,0.584219,0.537566,0.451791,0.069314,0.350579,0.255359,1.072493,0.212592,0.429395,0.426399,0.054555,0.138066,0.692554,0.498750,0.050967,0.714210,0.728655,0.007576,0.015326,0.034232,0.320378,0.315267,0.407475,0.379011,0.535553,1.334957,0.774008,0.782189,0.847726,0.931150,0.315727,0.026816,0.027579,0.007776,0.033637,0.064533,1.353433,0.853542,1.313793,0.100972,1.311883,1.957471,1.097705,1.184961,2.254296,0.429210,1.596756,5.031454,6.473441,0.361763,0.150965,0.901387,7.489794,3.930130,0.039387,0.078155,0.623884,2.087074,2.760375,0.153825,1.072823,1.160189,1.214833,1.168698,1.059676,0.168952,0.708527,0.556429,2.464310,0.426309,0.854043,0.855510,0.112851,0.296646,1.891615,0.971668,0.105262,1.487352,1.518336,0.015589,0.030739,0.077259
corona,0.006025,0.010076,0.006297,0.003015,0.003847,0.010365,0.012773,0.012537,0.003894,0.009738,0.007708,122.191764,0.024850,0.001927,0.018410,0.023594,0.016047,0.008884,0.015796,0.004028,0.014624,0.018403,0.012795,0.012031,0.015479,0.003441,0.015589,0.009777,0.015046,0.028881,0.026486,0.014892,0.040155,0.011779,0.008377,0.020803,0.011091,0.022747,0.033909,0.023656,0.011856,0.013752,0.791670,0.014229,0.011956,,0.005008,,0.016502,0.004629,0.009156,0.009430,,0.010171,0.017748,0.005707,,,,0.021347,0.002141,0.003095,0.009418,0.012847,0.009210,0.003922,0.005407,0.017292,0.018965,0.019021,0.006718,0.013147,0.012158,181.411465,0.047555,0.001792,0.031979,0.046342,0.025611,0.014414,0.023975,0.004182,0.024637,0.030560,0.019088,0.018413,0.026393,0.004191,0.026083,0.014329,0.020317,0.033825,0.043251,0.021704,0.095396,0.015755,0.010078,0.038065,0.017309,0.037299,0.056187,0.042333,0.019183,0.022169,1.704963,0.022452,0.018125,,0.006285,,0.024137,0.007295,0.014433,0.014142,,0.015892,0.027322,0.007914,,,,0.044992,0.002159,0.003309,0.016645,0.019877,0.024527,0.006581,0.007968,0.030293,0.033368,0.033437,0.014671,0.023515,0.017908,299.154290,0.088591,0.002123,0.058249,0.087846,0.046660,0.024956,0.043512,0.005047,0.043723,0.057832,0.034122,0.030034,0.049325,0.005318,0.045278,0.029901,0.041785,0.048773,0.059747,0.039036,0.253334,0.028440,0.013882,0.054099,0.028138,0.067885,0.102102,0.059450,0.033790,0.039229,3.230910,0.039371,0.033750,,0.010384,,0.043776,0.012722,0.026978,0.026637,,0.028184,0.049327,0.013608,,,,0.085109,0.002950,0.003451
