machine,Kernel,Kernel,Basic_DAXPY,Basic_DAXPY_ATOMIC,Basic_IF_QUAD,Basic_INDEXLIST,Basic_INDEXLIST_3LOOP,Basic_INIT3,Basic_INIT_VIEW1D,Basic_INIT_VIEW1D_OFFSET,Basic_MAT_MAT_SHARED,Basic_MULADDSUB,Basic_NESTED_INIT,Basic_PI_ATOMIC,Basic_PI_REDUCE,Basic_REDUCE3_INT,Basic_REDUCE_STRUCT,Basic_TRAP_INT,Lcals_DIFF_PREDICT,Lcals_EOS,Lcals_FIRST_DIFF,Lcals_FIRST_MIN,Lcals_FIRST_SUM,Lcals_GEN_LIN_RECUR,Lcals_HYDRO_1D,Lcals_HYDRO_2D,Lcals_INT_PREDICT,Lcals_PLANCKIAN,Lcals_TRIDIAG_ELIM,Polybench_2MM,Polybench_3MM,Polybench_ADI,Polybench_ATAX,Polybench_FDTD_2D,Polybench_FLOYD_WARSHALL,Polybench_GEMM,Polybench_GEMVER,Polybench_GESUMMV,Polybench_HEAT_3D,Polybench_JACOBI_1D,Polybench_JACOBI_2D,Polybench_MVT,Stream_ADD,Stream_COPY,Stream_DOT,Stream_MUL,Stream_TRIAD,Apps_CONVECTION3DPA,Apps_DEL_DOT_VEC_2D,Apps_DIFFUSION3DPA,Apps_ENERGY,Apps_FIR,Apps_HALOEXCHANGE,Apps_HALOEXCHANGE_FUSED,Apps_LTIMES,Apps_LTIMES_NOVIEW,Apps_MASS3DPA,Apps_NODAL_ACCUMULATION_3D,Apps_PRESSURE,Apps_VOL3D,Algorithm_SCAN,Algorithm_SORT,Algorithm_SORTPAIRS,Algorithm_REDUCE_SUM,Algorithm_MEMSET,Algorithm_MEMCPY
boraxo,Base_Seq,default,0.433629,0.425452,0.560535,0.655333,0.280497,1.612151,1.030734,1.039159,1.402255,1.115063,0.435101,0.043722,0.043786,0.009495,0.048022,0.109276,1.656373,1.018865,1.860177,0.175514,1.872104,2.553529,1.422979,1.793725,2.473723,0.154428,1.948107,8.593150,11.315044,0.602206,0.287143,1.310736,10.970277,6.470996,0.069314,0.110290,1.005973,3.177521,4.559379,0.279626,1.399447,1.669211,1.623341,1.645641,1.381555,0.231767,1.156743,0.822111,2.750722,0.492487,0.036102,0.036269,1.477889,1.477945,0.168214,0.552896,2.231249,1.621640,0.178593,2.336007,2.846157,0.023582,0.041964,0.102531
boraxo,Base_Seq,default,0.440683,0.430159,0.560575,0.655481,0.277542,1.611156,1.047224,1.055692,1.259696,1.112766,0.429719,0.043754,0.043820,0.009425,0.048271,0.109832,1.654638,1.011823,1.890640,0.175770,1.888490,2.580128,1.423294,1.733895,2.473817,0.154855,1.950046,9.124889,11.764137,0.591834,0.287286,1.138508,11.092228,5.620227,0.066383,0.109121,0.955967,3.008801,4.383915,0.268170,1.394185,1.678511,1.636962,1.657118,1.382401,0.231563,1.156624,0.821678,2.764052,0.492850,0.036021,0.036120,1.476508,1.476815,0.168355,0.552785,2.240800,1.621954,0.178900,2.335369,2.847024,0.023612,0.042944,0.103098
boraxo,Base_Seq,default,0.431460,0.425955,0.558343,0.655876,0.282193,1.616266,1.111533,1.120315,1.253153,1.118210,0.440356,0.043728,0.043836,0.009420,0.048703,0.109481,1.658153,1.014594,1.886586,0.176157,1.898144,2.571677,1.422133,1.802928,2.474127,0.155748,1.950499,8.601153,11.191583,0.600331,0.287202,1.301969,11.065775,5.759331,0.070046,0.111574,1.015781,3.165927,4.515439,0.286311,1.398256,1.693624,1.663891,1.656538,1.384671,0.232799,1.225377,0.846318,2.771996,0.493076,0.036062,0.035979,1.492638,1.492570,0.170891,0.552519,2.248970,1.776526,0.178834,2.335942,2.847590,0.024081,0.044556,0.103461
boraxo,Base_Seq,default,0.435630,0.424976,0.558416,0.655503,0.282795,1.613658,1.050464,1.058297,1.281591,1.115002,0.448900,0.043861,0.043782,0.009105,0.048598,0.109395,1.657673,1.013266,1.884404,0.175650,1.883045,2.573882,1.423429,1.770160,2.474441,0.155552,1.950263,9.184549,11.874190,0.602838,0.288680,1.315896,11.024977,5.971868,0.070105,0.112238,1.062425,2.984543,4.349023,0.281310,1.396391,1.688231,1.659313,1.657485,1.386761,0.229281,1.225759,0.846337,2.781554,0.493100,0.036127,0.036028,1.481618,1.492222,0.172618,0.545582,2.250803,1.777075,0.178968,2.335731,2.846132,0.023747,0.042955,0.102365
boraxo,Base_Seq,default,0.456205,0.450329,0.559003,0.656592,0.276513,1.632005,1.173397,1.149973,1.255763,1.119774,0.443213,0.043794,0.043745,0.008874,0.051089,0.109808,1.653693,1.010639,1.983967,0.176486,1.967603,2.551519,1.440164,1.577098,2.469749,0.151321,1.945226,8.655752,11.214998,0.594863,0.293406,1.128580,11.678128,5.614663,0.067333,0.115626,0.923588,3.181353,4.542469,0.265076,1.421913,1.780748,1.736907,1.739690,1.403668,0.230533,1.156477,0.819454,2.767480,0.493656,0.036258,0.036146,1.478610,1.478681,0.164471,0.549719,2.246109,1.623522,0.179494,2.335846,2.849999,0.024659,0.046796,0.108488
boraxo,Base_Seq,default,0.444387,0.434514,0.560264,0.655691,0.285608,1.654931,1.090288,1.121709,1.318462,1.133070,0.485751,0.044678,0.044713,0.008958,0.049483,0.110150,1.669338,1.035325,1.908656,0.175723,1.918056,2.634235,1.457790,1.760493,2.530338,0.155749,1.994859,9.285921,11.753847,0.603935,0.287555,1.337633,11.178960,6.283483,0.069968,0.114455,1.022307,3.020929,4.335299,0.278173,1.432401,1.704139,1.691789,1.685036,1.416680,0.234183,1.226123,0.845484,2.841401,0.493135,0.037136,0.037141,1.491079,1.490927,0.168954,0.553348,2.301656,1.776843,0.179132,2.336052,2.848225,0.023711,0.043639,0.104729
boraxo,Base_Seq,default,0.453036,0.447458,0.558238,0.656612,0.276998,1.630520,1.167755,1.143921,1.249675,1.121784,0.436140,0.043743,0.043828,0.009617,0.050934,0.109229,1.653001,1.008756,1.986074,0.176383,1.982106,2.573715,1.437151,1.578869,2.470116,0.151866,1.946748,8.719338,11.302215,0.595480,0.275255,1.133326,11.702115,5.566294,0.064448,0.115687,0.938283,3.067265,4.437925,0.247746,1.424169,1.772513,1.735926,1.738462,1.404276,0.229385,1.156471,0.818928,2.763957,0.493665,0.036401,0.036227,1.478327,1.478585,0.164295,0.549673,2.243999,1.623388,0.179549,2.335442,2.850529,0.024483,0.045994,0.108736
boraxo,Base_Seq,default,0.427814,0.417643,0.560468,0.655204,0.282027,1.616868,1.029467,1.035281,1.260732,1.121100,0.449405,0.043736,0.043744,0.009443,0.046989,0.109257,1.650506,1.004400,1.841762,0.175372,1.851929,2.641628,1.402155,1.674009,2.456546,0.151204,1.930170,8.450110,11.119568,0.598633,0.284476,1.273484,10.818037,5.569248,0.065735,0.105512,0.952820,2.902826,4.252922,0.267949,1.382603,1.648222,1.592979,1.619227,1.370451,0.225906,1.156242,0.824199,2.753046,0.492288,0.035945,0.036060,1.478666,1.478616,0.168082,0.553285,2.230165,1.620472,0.178587,2.335643,2.844923,0.023282,0.041252,0.100867
boraxo,Base_Seq,default,0.430238,0.419687,0.560046,0.655373,0.274570,1.616288,1.041605,1.050434,1.223816,1.111518,0.419603,0.043726,0.043761,0.009380,0.047066,0.109259,1.654897,1.006532,1.839827,0.175497,1.841946,2.584946,1.409966,1.733291,2.459280,0.154082,1.937599,9.056810,11.597264,0.594991,0.283009,1.104487,10.796257,5.510368,0.065730,0.105188,0.953181,2.889134,4.251013,0.264388,1.386796,1.651527,1.592686,1.627003,1.370710,0.229015,1.156125,0.824498,2.749676,0.492402,0.036148,0.036052,1.476467,1.476453,0.167824,0.552485,2.225358,1.621175,0.178909,2.335356,2.845764,0.023484,0.042092,0.100392
boraxo,Base_Seq,default,0.426261,0.415196,0.558454,0.655123,0.282962,1.615784,1.013386,1.022851,1.264399,1.114113,0.434308,0.043741,0.043783,0.009433,0.047303,0.109278,1.655406,1.004056,1.836419,0.175372,1.841333,2.585821,1.403258,1.785453,2.460637,0.154460,1.938019,8.555206,11.012061,0.600735,0.283509,1.288819,10.843182,5.773805,0.068841,0.108754,0.985635,2.871425,4.215485,0.278049,1.384209,1.661671,1.609037,1.624637,1.374515,0.232705,1.225513,0.845651,2.761527,0.492712,0.035985,0.035947,1.492532,1.492519,0.170919,0.545805,2.240179,1.776416,0.178676,2.335593,2.846736,0.023319,0.041152,0.101316
