machine,Kernel,Kernel,Basic_DAXPY,Basic_DAXPY_ATOMIC,Basic_IF_QUAD,Basic_INDEXLIST,Basic_INDEXLIST_3LOOP,Basic_INIT3,Basic_INIT_VIEW1D,Basic_INIT_VIEW1D_OFFSET,Basic_MAT_MAT_SHARED,Basic_MULADDSUB,Basic_NESTED_INIT,Basic_PI_ATOMIC,Basic_PI_REDUCE,Basic_REDUCE3_INT,Basic_REDUCE_STRUCT,Basic_TRAP_INT,Lcals_DIFF_PREDICT,Lcals_EOS,Lcals_FIRST_DIFF,Lcals_FIRST_MIN,Lcals_FIRST_SUM,Lcals_GEN_LIN_RECUR,Lcals_HYDRO_1D,Lcals_HYDRO_2D,Lcals_INT_PREDICT,Lcals_PLANCKIAN,Lcals_TRIDIAG_ELIM,Polybench_2MM,Polybench_3MM,Polybench_ADI,Polybench_ATAX,Polybench_FDTD_2D,Polybench_FLOYD_WARSHALL,Polybench_GEMM,Polybench_GEMVER,Polybench_GESUMMV,Polybench_HEAT_3D,Polybench_JACOBI_1D,Polybench_JACOBI_2D,Polybench_MVT,Stream_ADD,Stream_COPY,Stream_DOT,Stream_MUL,Stream_TRIAD,Apps_CONVECTION3DPA,Apps_DEL_DOT_VEC_2D,Apps_DIFFUSION3DPA,Apps_ENERGY,Apps_FIR,Apps_HALOEXCHANGE,Apps_HALOEXCHANGE_FUSED,Apps_LTIMES,Apps_LTIMES_NOVIEW,Apps_MASS3DPA,Apps_NODAL_ACCUMULATION_3D,Apps_PRESSURE,Apps_VOL3D,Algorithm_SCAN,Algorithm_SORT,Algorithm_SORTPAIRS,Algorithm_REDUCE_SUM,Algorithm_MEMSET,Algorithm_MEMCPY
corona,Base_Seq,default,0.037352,0.032662,0.393622,0.127632,0.118068,0.127753,0.368929,0.350281,0.214380,0.099354,0.180279,0.018738,0.021051,0.004525,0.015354,0.051800,0.191401,0.175555,0.133880,0.015196,0.145308,0.164382,0.122849,0.174781,0.328283,0.170198,0.168234,0.833328,1.321964,0.095138,0.044391,0.117291,0.402306,1.099611,0.012653,0.027303,0.205943,0.271878,0.581653,0.045166,0.096424,0.104693,0.456039,0.105163,0.098922,0.090281,0.213576,0.312246,0.286130,0.240871,0.005800,0.004777,0.221237,0.221269,0.067505,0.164459,0.355391,0.165593,0.023863,0.427031,0.455655,0.012167,0.004064,0.006235
corona,Base_Seq,default,0.035595,0.033261,0.401985,0.129250,0.119014,0.137069,0.362991,0.354071,0.214712,0.096097,0.180694,0.019105,0.019056,0.003650,0.015374,0.051860,0.192908,0.189344,0.137494,0.015344,0.152369,0.166899,0.124401,0.176152,0.325666,0.168148,0.175438,0.838931,1.333420,0.094920,0.044597,0.120024,0.406190,1.113598,0.011109,0.027580,0.206628,0.278220,0.568252,0.044994,0.101545,0.116335,0.470174,0.115183,0.103702,0.091915,0.215791,0.325936,0.291234,0.246200,0.004695,0.004849,0.222254,0.222120,0.067539,0.166785,0.343896,0.167085,0.023733,0.433845,0.460851,0.011542,0.003973,0.006066
corona,Base_Seq,default,0.035045,0.034671,0.402662,0.128669,0.119504,0.134437,0.362240,0.353717,0.217464,0.099316,0.180616,0.019050,0.019001,0.003730,0.014835,0.052667,0.190554,0.191153,0.134273,0.015401,0.152278,0.161763,0.131186,0.174415,0.323498,0.171290,0.172206,0.825940,1.324496,0.094262,0.044779,0.119357,0.395694,1.101490,0.011055,0.027869,0.207393,0.273675,0.569137,0.044948,0.090728,0.106605,0.461923,0.106210,0.092674,0.089880,0.214231,0.321785,0.285815,0.241835,0.004991,0.004858,0.222084,0.221946,0.067539,0.166039,0.347691,0.165621,0.023988,0.431267,0.457439,0.011627,0.004111,0.006033
ec2-p3,Base_Seq,default,0.094296,0.094282,0.371171,0.134520,0.162555,0.266499,0.411404,0.465057,0.328474,0.189047,0.261459,0.020892,0.020896,0.004674,0.028031,0.057385,0.325817,0.220073,0.382838,0.032943,0.383465,0.426151,0.251046,0.313216,0.381490,0.236753,0.310663,1.208877,1.971257,0.104532,0.060201,0.208810,1.076595,1.629587,0.015125,0.033583,0.361774,0.629397,0.945136,0.058970,0.247939,0.336069,0.558665,0.335273,0.247656,0.091509,0.317258,0.255593,0.335190,0.283877,0.011976,0.012001,0.303387,0.301311,0.075428,0.112876,0.352221,0.495109,0.027921,0.429696,0.493206,0.013953,0.012142,0.018635
ec2-p3,Base_Seq,default,0.087040,0.087040,0.370242,0.134474,0.156946,0.255068,0.412680,0.469772,0.332300,0.177085,0.261408,0.020915,0.020894,0.004654,0.028058,0.056788,0.327268,0.226561,0.350423,0.032894,0.351141,0.404400,0.234727,0.309123,0.340844,0.237232,0.289058,1.182503,1.921076,0.104193,0.059533,0.198872,1.005378,1.570223,0.014858,0.033664,0.364040,0.589928,0.893696,0.058349,0.230460,0.311484,0.558135,0.311461,0.229898,0.090912,0.316546,0.254186,0.316837,0.306758,0.010930,0.010976,0.302813,0.286957,0.075506,0.112886,0.326945,0.494532,0.028036,0.428877,0.491055,0.013943,0.011162,0.017345
ec2-p3,Base_Seq,default,0.086828,0.086808,0.370052,0.134413,0.160710,0.251188,0.463275,0.466488,0.330759,0.176890,0.274387,0.020969,0.020898,0.004907,0.027971,0.057027,0.356258,0.226374,0.350428,0.032917,0.351133,0.400704,0.231265,0.316648,0.396319,0.254943,0.286011,1.179296,1.928688,0.103994,0.059505,0.197478,1.009704,1.591772,0.014926,0.033676,0.362746,0.585855,0.894981,0.058192,0.228801,0.310494,0.558119,0.310677,0.229393,0.091835,0.317279,0.254946,0.325866,0.306680,0.010980,0.011019,0.298985,0.298864,0.076292,0.107765,0.325356,0.494543,0.027905,0.429315,0.491090,0.013937,0.011115,0.017265
ec2-p4d,Base_Seq,default,0.075478,0.075431,0.337172,0.104404,0.124399,0.193293,0.348744,0.348775,0.280038,0.135341,0.173188,0.016259,0.015530,0.003529,0.019427,0.035570,0.238271,0.171401,0.301726,0.027910,0.301883,0.295301,0.226329,0.244905,0.396576,0.180043,0.302570,1.065979,1.695226,0.092517,0.055591,0.169753,0.869800,1.428418,0.013624,0.033118,0.214759,0.483540,0.625547,0.055189,0.226243,0.271279,0.558297,0.271494,0.226294,0.066792,0.223992,0.199576,0.300135,0.236312,0.010570,0.010522,0.247287,0.252951,0.055964,0.080638,0.321470,0.321912,0.027988,0.341824,0.408238,0.014017,0.007637,0.015093
ec2-p4d,Base_Seq,default,0.074724,0.074597,0.333853,0.104480,0.125156,0.192869,0.348805,0.365859,0.278172,0.133688,0.176421,0.016263,0.015534,0.003531,0.019178,0.035311,0.241869,0.175032,0.300517,0.028076,0.301118,0.294002,0.223575,0.233213,0.398678,0.181408,0.299976,1.070576,1.703330,0.089717,0.055635,0.167684,0.853240,1.434383,0.013667,0.033108,0.211838,0.488134,0.691955,0.055346,0.222957,0.268036,0.558389,0.268579,0.222931,0.068608,0.219133,0.199418,0.302099,0.235859,0.010613,0.010602,0.247349,0.253492,0.055980,0.080621,0.318025,0.322118,0.027920,0.341754,0.409893,0.014023,0.007514,0.015045
ec2-p4d,Base_Seq,default,0.075239,0.075322,0.331215,0.104396,0.124167,0.189057,0.358553,0.350519,0.276936,0.134942,0.173230,0.016220,0.015544,0.003541,0.019190,0.035043,0.239504,0.171182,0.299524,0.027924,0.298842,0.292350,0.223593,0.236827,0.394829,0.180177,0.298467,1.068240,1.700154,0.089105,0.055746,0.168538,0.852576,1.431215,0.013680,0.033114,0.211369,0.515273,0.697979,0.055305,0.224837,0.268238,0.558283,0.269843,0.225152,0.067706,0.219051,0.203663,0.303073,0.235929,0.010285,0.010227,0.247448,0.253337,0.056327,0.080638,0.317544,0.321915,0.028013,0.341742,0.408009,0.014041,0.007782,0.014905
lassen,Base_Seq,default,0.072940,0.072937,0.495646,0.140915,0.161561,0.114692,0.479691,0.439688,0.295975,0.104776,0.242141,0.028236,0.028232,0.004967,0.028236,0.071237,0.249640,0.236379,0.300561,0.019865,0.299617,0.327117,0.230810,0.339290,0.295606,0.353673,0.199136,1.764489,2.830807,0.147234,0.096607,0.261565,1.163567,2.360890,0.023561,0.059532,0.465341,0.736856,1.428107,0.092765,0.161261,0.313613,0.973912,0.256519,0.150467,0.085343,0.334254,0.238017,0.342144,0.491123,0.011100,0.011953,0.472534,0.473257,0.066182,0.103832,0.467425,0.405425,0.048037,0.474589,0.508616,0.023818,0.011431,0.019857
lassen,Base_Seq,default,0.072911,0.072919,0.495087,0.140780,0.160044,0.112621,0.479672,0.437732,0.295849,0.104811,0.242138,0.028232,0.028236,0.004965,0.028824,0.071217,0.248884,0.236318,0.299317,0.019954,0.297418,0.327124,0.230924,0.337801,0.289187,0.352787,0.206281,1.762982,2.831806,0.147194,0.096580,0.261397,1.168946,2.361532,0.023561,0.059490,0.465475,0.736839,1.428339,0.092747,0.157793,0.313598,0.972104,0.256497,0.148741,0.085628,0.334296,0.237853,0.340569,0.490276,0.006890,0.007292,0.472785,0.473557,0.066169,0.103030,0.460034,0.405398,0.047960,0.474646,0.509598,0.023823,0.011357,0.017462
lassen,Base_Seq,default,0.073217,0.073349,0.494623,0.140698,0.162669,0.112528,0.482339,0.437717,0.295994,0.104787,0.242146,0.028235,0.028239,0.004964,0.025679,0.071214,0.249236,0.236353,0.299251,0.019956,0.297349,0.326998,0.230786,0.337392,0.289193,0.353648,0.196552,1.764946,2.832262,0.147265,0.096572,0.261596,1.172269,2.361462,0.023571,0.059491,0.465328,0.736978,1.428104,0.092757,0.156415,0.314068,0.972186,0.257430,0.148333,0.085110,0.334277,0.238247,0.340346,0.490946,0.007007,0.007249,0.472776,0.473487,0.066136,0.103030,0.459208,0.405430,0.048070,0.474516,0.508482,0.023824,0.011412,0.017469
pascal,Base_Seq,default,0.073487,0.073520,0.310963,0.109741,0.129006,0.209440,0.335879,0.380224,0.266159,0.159981,0.198474,0.017101,0.017076,0.003817,0.022965,0.046804,0.306881,0.183461,0.299105,0.027136,0.310322,0.362723,0.197893,0.261397,0.358690,0.177678,0.246617,0.971755,1.574097,0.084799,0.048910,0.165806,0.861016,1.286696,0.012225,0.027500,0.297511,0.494668,0.728041,0.047898,0.194725,0.263406,0.457959,0.263420,0.193701,0.074104,0.258883,0.207791,0.268611,0.248918,0.009003,0.009034,0.244119,0.248339,0.061758,0.091999,0.276094,0.404215,0.024664,0.349409,0.401623,0.011423,0.009438,0.014638
pascal,Base_Seq,default,0.074232,0.074279,0.310848,0.109827,0.129226,0.210002,0.335676,0.379865,0.269392,0.147704,0.198566,0.017121,0.017078,0.003822,0.022903,0.046749,0.298484,0.183875,0.299590,0.027345,0.300168,0.337057,0.197417,0.258533,0.379699,0.184408,0.245243,0.973962,1.578190,0.084775,0.048994,0.167399,0.869224,1.288009,0.012277,0.027547,0.297288,0.498009,0.731030,0.048009,0.196059,0.268608,0.456562,0.265318,0.195751,0.074948,0.258938,0.207990,0.264650,0.248871,0.009119,0.009591,0.247849,0.248258,0.061683,0.091946,0.279445,0.404251,0.022862,0.349688,0.401839,0.011429,0.009542,0.014925
pascal,Base_Seq,default,0.073480,0.073486,0.310734,0.109796,0.129575,0.208514,0.335578,0.380055,0.270546,0.146242,0.198633,0.017116,0.017075,0.003853,0.022910,0.046661,0.323747,0.183176,0.296444,0.027448,0.296929,0.334937,0.195206,0.257600,0.358377,0.184407,0.242413,0.970419,1.572582,0.084804,0.049343,0.165700,0.861106,1.284805,0.012229,0.027494,0.297578,0.493119,0.729596,0.047902,0.194074,0.261943,0.456684,0.262747,0.193658,0.074780,0.258741,0.207925,0.264341,0.250072,0.008957,0.008971,0.244208,0.248218,0.061679,0.091937,0.275452,0.404146,0.022817,0.349525,0.401991,0.011432,0.009423,0.014555
tioga,Base_Seq,default,0.033136,0.032980,0.433603,0.130952,0.110439,0.075861,0.430793,0.426905,0.214485,0.061773,0.195989,0.018288,0.018270,0.002441,0.012428,0.052010,0.116646,0.160931,0.135602,0.012374,0.141782,0.121444,0.109819,0.138742,0.174786,0.156697,0.117079,0.893320,1.419212,0.102899,0.047832,0.107721,0.396312,1.181394,0.011545,0.029490,0.205256,0.268713,0.605036,0.047895,0.087609,0.105262,0.490781,0.105701,0.088118,0.075160,0.212132,0.208065,0.213200,0.262330,0.005282,0.005979,0.193072,0.192974,0.063311,0.193086,0.231356,0.166269,0.024585,0.446388,0.495958,0.012324,0.004214,0.006085
tioga,Base_Seq,default,0.031881,0.031171,0.433238,0.130924,0.110169,0.074697,0.428446,0.424492,0.212788,0.060870,0.195878,0.018284,0.018245,0.002447,0.012423,0.051936,0.116023,0.160889,0.135265,0.012357,0.146583,0.122627,0.109787,0.137860,0.171196,0.161818,0.117872,0.891507,1.420088,0.102846,0.047877,0.108262,0.403593,1.184860,0.011549,0.029505,0.204493,0.270588,0.606799,0.047788,0.087986,0.105669,0.491063,0.105265,0.088828,0.074812,0.212231,0.214224,0.213239,0.262370,0.005230,0.005479,0.193100,0.192996,0.063279,0.193339,0.231988,0.166604,0.024598,0.446977,0.497081,0.012321,0.004218,0.006153
tioga,Base_Seq,default,0.033022,0.032682,0.433336,0.130822,0.110471,0.075079,0.428758,0.424926,0.211983,0.060485,0.195961,0.018275,0.018241,0.002458,0.012426,0.051887,0.114104,0.160713,0.135710,0.012341,0.141190,0.120993,0.110540,0.139125,0.174869,0.157525,0.117448,0.891554,1.418504,0.102731,0.047814,0.109059,0.410229,1.180651,0.011591,0.029458,0.203929,0.263996,0.601947,0.047772,0.086703,0.104802,0.490128,0.105576,0.087991,0.073609,0.212193,0.215271,0.213073,0.262366,0.005105,0.005327,0.193302,0.193153,0.063350,0.193253,0.232699,0.166984,0.024588,0.446817,0.496133,0.012327,0.004225,0.006082
AVERAGE
corona,,,0.035997,0.033531,0.399423,0.128517,0.118862,0.133086,0.364720,0.352690,0.215519,0.098256,0.180530,0.018964,0.019703,0.003968,0.015188,0.052109,0.191621,0.185351,0.135216,0.015314,0.149985,0.164348,0.126145,0.175116,0.325816,0.169879,0.171959,0.832733,1.326627,0.094773,0.044589,0.118891,0.401397,1.104900,0.011606,0.027584,0.206655,0.274591,0.573014,0.045036,0.096232,0.109211,0.462712,0.108852,0.098433,0.090692,0.214533,0.319989,0.287726,0.242969,0.005162,0.004828,0.221858,0.221778,0.067528,0.165761,0.348993,0.166100,0.023861,0.430714,0.457982,0.011779,0.004049,0.006111
