machine,Kernel,Kernel,Basic_DAXPY,Basic_DAXPY_ATOMIC,Basic_IF_QUAD,Basic_INDEXLIST,Basic_INDEXLIST_3LOOP,Basic_INIT3,Basic_INIT_VIEW1D,Basic_INIT_VIEW1D_OFFSET,Basic_MAT_MAT_SHARED,Basic_MULADDSUB,Basic_NESTED_INIT,Basic_PI_ATOMIC,Basic_PI_REDUCE,Basic_REDUCE3_INT,Basic_REDUCE_STRUCT,Basic_TRAP_INT,Lcals_DIFF_PREDICT,Lcals_EOS,Lcals_FIRST_DIFF,Lcals_FIRST_MIN,Lcals_FIRST_SUM,Lcals_GEN_LIN_RECUR,Lcals_HYDRO_1D,Lcals_HYDRO_2D,Lcals_INT_PREDICT,Lcals_PLANCKIAN,Lcals_TRIDIAG_ELIM,Polybench_2MM,Polybench_3MM,Polybench_ADI,Polybench_ATAX,Polybench_FDTD_2D,Polybench_FLOYD_WARSHALL,Polybench_GEMM,Polybench_GEMVER,Polybench_GESUMMV,Polybench_HEAT_3D,Polybench_JACOBI_1D,Polybench_JACOBI_2D,Polybench_MVT,Stream_ADD,Stream_COPY,Stream_DOT,Stream_MUL,Stream_TRIAD,Apps_CONVECTION3DPA,Apps_DEL_DOT_VEC_2D,Apps_DIFFUSION3DPA,Apps_ENERGY,Apps_FIR,Apps_HALOEXCHANGE,Apps_HALOEXCHANGE_FUSED,Apps_LTIMES,Apps_LTIMES_NOVIEW,Apps_MASS3DPA,Apps_NODAL_ACCUMULATION_3D,Apps_PRESSURE,Apps_VOL3D,Algorithm_SCAN,Algorithm_SORT,Algorithm_SORTPAIRS,Algorithm_REDUCE_SUM,Algorithm_MEMSET,Algorithm_MEMCPY
boraxo,Base_Seq,default,0.087311,0.087173,0.137302,0.162914,0.063283,0.252803,0.229094,0.245949,0.152202,0.172159,0.097579,0.010934,0.010948,0.002119,0.008747,0.027340,0.377535,0.175676,0.350389,0.043733,0.352046,0.365421,0.262991,0.403764,0.481130,0.036903,0.351603,0.970938,1.603570,0.133790,0.036934,0.197525,0.996794,1.251699,0.009134,0.021026,0.214324,0.560927,0.794352,0.035479,0.262362,0.315085,0.348580,0.315249,0.261831,0.048280,0.306287,0.198462,0.564719,0.122567,0.011868,0.011864,0.373303,0.373354,0.041189,0.120290,0.377427,0.467807,0.043777,0.527995,0.641367,0.005486,0.009149,0.017858
boraxo,Base_Seq,default,0.087216,0.087153,0.137385,0.162859,0.063339,0.254448,0.228572,0.233092,0.152234,0.174591,0.096788,0.010939,0.010944,0.002083,0.008740,0.027343,0.376459,0.175931,0.351031,0.043742,0.352742,0.369381,0.263535,0.365355,0.478750,0.035982,0.350184,0.969337,1.606016,0.133784,0.036750,0.197936,0.998679,1.248599,0.009042,0.021049,0.210883,0.563135,0.794588,0.035043,0.262268,0.315000,0.348530,0.315444,0.261501,0.049639,0.289273,0.191055,0.558926,0.122540,0.012343,0.012320,0.369770,0.369736,0.040550,0.120291,0.375639,0.426707,0.043776,0.528073,0.641009,0.005502,0.009223,0.018681
boraxo,Base_Seq,default,0.087224,0.087147,0.137317,0.162929,0.063190,0.244304,0.229414,0.234716,0.152109,0.167613,0.097627,0.010934,0.010972,0.002295,0.008747,0.027359,0.377583,0.175144,0.350029,0.043738,0.351558,0.358505,0.262693,0.403281,0.477334,0.036731,0.350552,0.970920,1.603679,0.133293,0.037045,0.197465,0.999345,1.249656,0.009135,0.021102,0.211067,0.561103,0.794166,0.035621,0.261780,0.315157,0.348365,0.315018,0.261539,0.047995,0.306315,0.196452,0.564279,0.122564,0.012380,0.012350,0.373181,0.375642,0.042672,0.121306,0.370605,0.466425,0.043775,0.528203,0.641337,0.005493,0.009103,0.017720
boraxo,Base_Seq,default,0.087222,0.087152,0.137283,0.162915,0.063210,0.241362,0.228897,0.236051,0.153457,0.166351,0.097722,0.010931,0.010958,0.002231,0.008742,0.027373,0.379061,0.174952,0.349970,0.043732,0.351490,0.356048,0.262364,0.403581,0.478324,0.035782,0.350136,0.971323,1.604644,0.133736,0.037029,0.198947,0.997988,1.254432,0.009131,0.021090,0.222308,0.560533,0.793601,0.035537,0.261980,0.314885,0.348368,0.314969,0.261509,0.048525,0.306378,0.196253,0.561867,0.122574,0.011875,0.011822,0.372648,0.375497,0.042213,0.121173,0.370890,0.466509,0.043778,0.528252,0.641513,0.005507,0.009172,0.020631
boraxo,Base_Seq,default,0.087246,0.087137,0.137230,0.162928,0.063037,0.241249,0.229127,0.228949,0.150266,0.167237,0.097465,0.010934,0.010933,0.002162,0.008734,0.027313,0.380413,0.174910,0.349785,0.043729,0.351470,0.358991,0.262370,0.358378,0.474248,0.034779,0.349705,0.969428,1.604326,0.133411,0.036912,0.195660,0.998069,1.246358,0.009124,0.021007,0.212701,0.562946,0.793944,0.035201,0.262277,0.314662,0.348313,0.314991,0.261383,0.047374,0.287811,0.187961,0.558564,0.122605,0.012416,0.012366,0.369001,0.369070,0.040216,0.120207,0.370113,0.426497,0.043797,0.528484,0.640996,0.005487,0.009188,0.017791
boraxo,Base_Seq,default,0.087085,0.087006,0.137381,0.163092,0.063220,0.246730,0.235813,0.235639,0.161896,0.169019,0.100306,0.010941,0.010969,0.002311,0.008743,0.027397,0.386847,0.175520,0.350797,0.043735,0.353143,0.359295,0.261931,0.405740,0.487715,0.037086,0.350298,0.983656,1.622760,0.133231,0.037521,0.198567,1.002297,1.270991,0.009304,0.021212,0.222247,0.563308,0.801411,0.036092,0.261633,0.315307,0.347645,0.316342,0.261342,0.048138,0.306439,0.195414,0.570668,0.122599,0.012718,0.012688,0.372398,0.375182,0.042500,0.121311,0.373222,0.466605,0.043791,0.528269,0.641647,0.005492,0.009788,0.017704
boraxo,Base_Seq,default,0.087229,0.087100,0.137285,0.162950,0.062957,0.243839,0.229067,0.229140,0.151224,0.168822,0.097666,0.010936,0.010934,0.002231,0.008736,0.027316,0.379821,0.174951,0.349808,0.043736,0.352070,0.358316,0.262731,0.358432,0.470988,0.034789,0.349718,0.969030,1.603230,0.133425,0.036826,0.203704,0.996910,1.244617,0.009072,0.020992,0.201815,0.563047,0.793701,0.035044,0.262002,0.314618,0.348227,0.314862,0.261777,0.047366,0.289085,0.188389,0.557525,0.122539,0.011819,0.011776,0.369467,0.369383,0.040167,0.120145,0.369859,0.425483,0.043791,0.528457,0.641337,0.005492,0.009124,0.017702
boraxo,Base_Seq,default,0.087215,0.087148,0.137267,0.162875,0.063254,0.242522,0.228967,0.234006,0.153419,0.166130,0.097556,0.010935,0.010948,0.002216,0.008733,0.027337,0.383657,0.175096,0.349876,0.043737,0.351500,0.357523,0.262377,0.403959,0.473651,0.035833,0.350244,0.970571,1.604988,0.133276,0.036953,0.197829,0.998976,1.251184,0.009139,0.021010,0.212662,0.561223,0.793249,0.035495,0.261975,0.314717,0.348346,0.315035,0.261635,0.047223,0.289157,0.186771,0.557483,0.122518,0.011879,0.011794,0.369116,0.369072,0.039884,0.120250,0.370010,0.426667,0.043772,0.528143,0.641466,0.005484,0.009378,0.018619
boraxo,Base_Seq,default,0.087202,0.087143,0.137237,0.162891,0.063277,0.244316,0.228923,0.235970,0.153583,0.168309,0.097295,0.010943,0.010944,0.002219,0.008730,0.027338,0.382485,0.175148,0.350416,0.043736,0.351653,0.360380,0.262227,0.363111,0.473829,0.034883,0.349501,0.968805,1.606017,0.133546,0.036852,0.195971,0.997968,1.248460,0.009095,0.021006,0.213228,0.563035,0.792904,0.035060,0.261600,0.314622,0.348306,0.314918,0.261551,0.048904,0.289106,0.186170,0.557760,0.122519,0.012455,0.012417,0.369750,0.369610,0.039970,0.120207,0.370305,0.426658,0.043770,0.528179,0.640897,0.005483,0.009333,0.024005
boraxo,Base_Seq,default,0.087253,0.087171,0.137214,0.162945,0.063228,0.242519,0.229225,0.236789,0.155470,0.167320,0.097300,0.010932,0.010960,0.002321,0.008744,0.027364,0.382121,0.174880,0.349866,0.043735,0.351358,0.358060,0.262358,0.400736,0.472783,0.035760,0.349646,0.970728,1.603292,0.133230,0.037011,0.198033,0.997954,1.251976,0.009217,0.021084,0.216205,0.560565,0.794475,0.035636,0.262002,0.315278,0.348376,0.314999,0.261529,0.048200,0.306265,0.191840,0.560932,0.122549,0.012028,0.011977,0.370032,0.375441,0.042976,0.121335,0.370264,0.466483,0.043783,0.528280,0.641645,0.005485,0.009125,0.017702
