no,corona,quartz,lassen,ruby
64,1891.9018,2981.5575,844.3083,1218.7137
65,1607.8296,6813.787,1446.5826,2667.2687
66,1645.9044,2435.3949,607.2896,971.0686
67,1651.6075,4956.5741,1353.7937,1892.9117
68,828.2425,2728.5114,683.1777,1145.0184
69,219.0826,529.2321,142.1389,200.2937
70,841.168,3258.3621,799.157,1300.1633
71,1499.452,4161.8397,881.0038,1728.2108
72,2154.6356,4339.6494,1433.4977,1835.2191
73,916.939,2802.5093,598.988,1159.5995
74,1954.3996,2359.2307,554.0319,843.8564
75,1429.6863,2296.3168,551.3223,951.7188
76,837.3756,2383.1433,598.9837,3041.1728
77,1477.8548,4585.8866,1005.1187,1776.0056
78,682.6937,2074.4194,640.7682,842.2478
79,1596.921,2261.2868,611.0428,858.9397
80,46.6007,115.7682,25.6378,46.2336
81,701.9036,2915.9901,877.5891,1191.2211
82,1545.1635,5333.1817,1173.2026,2088.1776
83,2172.7936,6781.5899,1771.7781,2887.1877
84,591.8627,2267.9797,583.0302,925.0021
85,426.4549,1119.496,259.8073,464.9984
86,1477.7302,2361.0007,608.9429,911.3637
87,2265.1416,4850.7969,1205.1963,1884.9103
88,1783.5357,4941.5935,1236.8137,1906.5845
89,1772.3167,4236.4535,1189.6392,1763.342
90,678.3414,2146.7097,3043.5396,860.7668
91,61.0639,81.0265,19.5437,31.7756
92,580.4606,1153.3196,280.3871,448.2786
93,178.7494,712.8129,228.8524,292.5183
94,866.1212,1952.3086,458.1434,813.4851
95,1073.3384,2198.8488,498.2257,903.172
96,1161.6516,1343.5106,333.5229,575.5074
97,353.8659,760.8416,183.1363,293.5077
98,1287.8039,1691.6026,391.018,726.9517
99,517.09,785.0183,231.3425,308.3794
100,1821.5661,5483.6717,1155.1536,2140.6379
101,1990.0158,3142.8147,765.6687,1276.2143
102,178.8226,581.8506,148.8293,752.51
103,1485.0033,2427.5385,740.9788,933.1506
104,261.5662,938.5259,238.3494,377.3481
105,1952.0726,4313.4514,1022.4571,1741.8658
106,300.5313,779.9105,185.5258,304.4968
107,1849.7255,6411.9538,2079.9705,2796.1109
108,165.6587,308.474,66.7547,121.9102
109,1680.7399,3164.9541,703.1959,1261.6768
110,1342.3985,2237.1604,567.7111,853.447
111,1660.8151,6168.6604,1592.8463,2454.3941
112,722.2337,945.8825,210.3237,371.0923
113,1193.2288,4503.7344,1145.2319,1742.9343
114,23.6832,54.9261,13.5691,20.7804
115,1605.6695,4355.2028,1028.9455,1701.8251
116,690.5293,990.7709,289.904,377.2241
117,534.316,2184.9694,530.0343,908.9848
118,1553.6775,5976.4653,1618.8245,2295.84
119,996.2001,3645.0669,915.7614,1487.409
120,1460.3988,5189.6924,1602.3473,2011.3167
121,1374.2726,4460.841,1188.5384,1736.0442
122,1986.4965,5470.2196,1222.9371,2198.6003
123,1655.1386,2667.4625,674.4331,1139.1575
124,587.1251,1189.8208,266.2069,433.4217
