machine,app,args,ranks,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec),PM_MATH_FLOP_CMPL,L1-DCACHE-LOAD-MISSES,L1-ICACHE-LOAD-MISSES,Overhead
lassen,kripke.exe,--niter 10 --pmethod bj --groups 16 --legendre 0,1,0.1166,17378135.421328228,61577638.44858015,53133214.83166587,165067860.42584893,4213438.250826772,31967029.7844324,3404025.3014549217,11918925.737819145,-1.0,666666.6666666665,46000000.0,731148.0,6.14891469123689e+18,67323923.1788365,0.06709466666666666,,,,6.928905333333333
lassen,kripke.exe,--niter 10 --pmethod bj --groups 16 --legendre 1,1,0.0333,19958811.549385834,58311404.27706461,51114796.01728689,172835207.15104106,5011804.738179332,50649647.14765465,4804371.823220124,11250595.18402624,-1.0,666666.6666666665,44000000.0,731148.0,6.14891469123689e+18,71116546.88504758,0.06566033333333332,,,,1.932339666666667
lassen,kripke.exe,--niter 10 --pmethod bj --groups 16 --legendre 2,1,0.05,17957227.25066077,51794117.67124482,54208010.19174746,132909898.87573622,5208418.935228172,62720394.41137865,3353490.512462027,12188866.21873694,-1.0,666666.6666666665,50000000.0,731148.0,6.14891469123689e+18,75774402.16724221,0.07221266666666667,,,,2.9277873333333333
lassen,kripke.exe,--niter 10 --pmethod bj --groups 16 --legendre 3,1,0.0333,19775911.873291247,52104200.30484123,65022168.63535706,165450633.9482315,7651154.13628304,49407151.57268449,4801431.2424988635,9297040.580168307,-1.0,666666.6666666665,46000000.0,731129.3333333335,6.14891469123689e+18,92009692.26988824,0.07716933333333333,,,,1.9208306666666668
lassen,kripke.exe,--niter 10 --pmethod bj --groups 16 --legendre 4,1,0.0333,22215527.22684862,37956117.44811056,73654268.8056106,228460913.9752436,5364282.168499977,71349025.78000124,4136185.995795295,14518242.60593794,-1.0,666666.6666666665,46000000.0,731120.0,6.14891469123689e+18,85780446.41748086,0.07042466666666668,,,,1.9275753333333336
lassen,kripke.exe,--niter 10 --pmethod bj --groups 32 --legendre 0,1,0.0333,22113433.68563057,88997617.04852335,129815930.28710216,253274002.79858008,7998201.438819635,93958355.92604458,8997777.09557272,19688133.252197966,-1.0,666666.6666666665,54666666.66666666,731120.0,6.14891469123689e+18,112204882.03253339,0.11409666666666668,,,,1.8839033333333335
lassen,kripke.exe,--niter 10 --pmethod bj --groups 32 --legendre 1,1,0.05,25234642.375946946,98899931.91648118,118600673.65180516,267049213.53487012,10217244.447876867,125996256.36112528,3457000.999365556,23406267.56467057,-1.0,666666.6666666665,54000000.0,731148.0,6.14891469123689e+18,132173832.44782232,0.126023,,,,2.873977
lassen,kripke.exe,--niter 10 --pmethod bj --groups 32 --legendre 2,1,0.0333,26422465.50863826,85895475.92827716,104701621.42843996,271286165.5768934,12385688.631048327,92046960.44290891,5467384.509713922,21975194.310769554,-1.0,666666.6666666665,55333333.33333334,731148.0,6.14891469123689e+18,146322957.7003675,0.12377133333333334,,,,1.8742286666666668
lassen,kripke.exe,--niter 10 --pmethod bj --groups 32 --legendre 3,1,0.05,29549423.77080548,69214424.99864054,107670716.87901504,278389594.63332254,9847943.875139832,138003423.23468873,2904370.908675313,27405626.358594466,-1.0,666666.6666666665,64000000.0,731129.3333333335,6.14891469123689e+18,165306286.59056023,0.1070903333333333,,,,2.8929096666666667
lassen,kripke.exe,--niter 10 --pmethod bj --groups 32 --legendre 4,1,0.05,28951436.8468086,81992521.98000485,103825647.45016736,307702604.3966162,9713078.574730946,151318809.5795528,2690262.656709776,29791667.19802095,-1.0,1333333.333333333,60666666.66666666,731138.6666666665,6.14891469123689e+18,153473752.67122766,0.11716,,,,2.88284
