machine,app,ranks,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,rp
corona,miniVite,1,,2,2,2000000,31293,-1,-1,-1,-1,-1,-1,293744,206605,953,3.003003003
corona,miniVite,1,2000000,8309,3,12000000,51024,-1,-1,-1,-1,-1,-1,293744,206610,5,1
corona,miniVite,1,,2,55,2000000,37956,-1,-1,-1,-1,-1,-1,293744,206606,19,2.006024096
corona,miniVite,1,,92,,4000000,43295,-1,-1,-1,-1,-1,-1,293744,206608,3,3.003003003
corona,miniVite,1,,2,3,4000000,90395,-1,-1,-1,-1,-1,-1,293744,206607,5,2.006024096
corona,miniVite,1,,2,1,2000000,58894,-1,-1,-1,-1,-1,-1,293744,206606,2,1
corona,miniVite,1,2000000,8676,2,14000000,91896,-1,-1,-1,-1,-1,-1,293744,206609,425829,2.501501502
corona,miniVite,1,,2,1,2000000,62063,-1,-1,-1,-1,-1,-1,293744,206606,15,1
corona,miniVite,1,,3,2,4000000,54532,-1,-1,-1,-1,-1,-1,293744,206608,3,3.003003003
corona,miniVite,1,2000000,6195,3,6000000,90544,-1,-1,-1,-1,-1,-1,293744,206608,4,1
corona,miniVite,1,,2,1,2000000,31311,-1,-1,-1,-1,-1,-1,293744,206606,3,1
corona,miniVite,1,2000000,8185,3,16000000,212202,-1,-1,-1,-1,-1,-1,293744,206609,4,3.003003003
corona,miniVite,1,,2,1,2000000,12748,-1,-1,-1,-1,-1,-1,293744,206606,5,2.006024096
corona,miniVite,1,,3,2,4000000,43433,-1,-1,-1,-1,-1,-1,293744,206608,3,3.012048193
corona,miniVite,1,2000000,46,14,6000000,101799,-1,-1,-1,-1,-1,-1,293744,206609,16,6.024096386
corona,miniVite,1,,2,2,2000000,25791,-1,-1,-1,-1,-1,-1,293744,206605,3,3.012048193
corona,miniVite,1,2000000,8796,3,14000000,45411,-1,-1,-1,-1,-1,-1,293744,206609,4,7.024096386
corona,miniVite,1,,2,1,2000000,64572,-1,-1,-1,-1,-1,-1,293744,206605,2,1.501501502
corona,miniVite,1,,1426931,27,4000000,58422,-1,-1,-1,-1,-1,-1,293744,206608,16,1
corona,miniVite,1,2000000,3,3,4000000,85603,-1,-1,-1,-1,-1,-1,293744,206609,64523,12.04819277
corona,miniVite,1,,2,1,2000000,67885,-1,-1,-1,-1,-1,-1,293744,206606,3,2.006024096
corona,miniVite,1,2000000,,,16000000,,-1,-1,-1,-1,-1,-1,293746,206610,,1.501501502
corona,miniVite,1,,3,1,2000000,50948,-1,-1,-1,-1,-1,-1,293744,206605,118269,7.024096386
corona,miniVite,1,,2,2,4000000,19039,-1,-1,-1,-1,-1,-1,293744,206609,1311,1
corona,miniVite,1,2000000,,,6000000,20334,-1,-1,-1,-1,-1,-1,293744,206609,1217,2
corona,miniVite,1,,2,1,2000000,34539,-1,-1,-1,-1,-1,-1,293744,206605,4,1
corona,miniVite,1,4000000,54,33971,16000000,140808,-1,-1,-1,-1,-1,-1,293744,206610,289409,1
corona,miniVite,1,,3,1,2000000,38302,-1,-1,-1,-1,-1,-1,293744,206607,3,3.003003003
corona,miniVite,1,,7164,2,4000000,60005,-1,-1,-1,-1,-1,-1,293744,206607,18,3.012048193
corona,miniVite,1,,9233,3,4000000,104115,-1,-1,-1,-1,-1,-1,293744,206609,3,1
corona,miniVite,1,,3,1,2000000,55432,-1,-1,-1,-1,-1,-1,293744,206606,17,3.501501502
corona,miniVite,1,2000000,3,14,14000000,176088,-1,-1,-1,-1,-1,-1,293744,206610,4,3.012048193
corona,miniVite,1,,2,1,2000000,69047,-1,-1,-1,-1,-1,-1,293744,206607,16,3.003003003
corona,miniVite,1,,3,2,4000000,72746,-1,-1,-1,-1,-1,-1,293744,206607,4,2.006024096
corona,miniVite,1,,3,3,4000000,81992,-1,-1,-1,-1,-1,-1,293744,206607,90940,3.012048193
corona,miniVite,1,,1,3,2000000,26966,-1,-1,-1,-1,-1,-1,293744,206605,3,3.003003003
corona,miniVite,1,2000000,7614,3,12000000,35230,-1,-1,-1,-1,-1,-1,293744,206609,4,1.501501502
corona,miniVite,1,,3,,2000000,38528,-1,-1,-1,-1,-1,-1,293744,206606,1122,1.501501502
corona,miniVite,1,,3,1,4000000,89529,-1,-1,-1,-1,-1,-1,293744,206607,1044,6.024096386
corona,miniVite,1,,81,3,6000000,81066,-1,-1,-1,-1,-1,-1,293744,206608,1264,1
corona,miniVite,1,,2,,2000000,46282,-1,-1,-1,-1,-1,-1,293744,206605,3,6.024096386
corona,miniVite,1,2000000,4384,123542,14000000,162184,-1,-1,-1,-1,-1,-1,293744,206609,5,1
corona,miniVite,1,,3,,2000000,74799,-1,-1,-1,-1,-1,-1,293744,206605,3,3.012048193
corona,miniVite,1,,3,7,4000000,85772,-1,-1,-1,-1,-1,-1,293744,206607,4,6.024096386
corona,miniVite,1,,257706,14,6000000,75886,-1,-1,-1,-1,-1,-1,293744,206609,3,1.501501502
corona,miniVite,1,,3,1,2000000,11897,-1,-1,-1,-1,-1,-1,293744,206604,4,2.006024096
corona,miniVite,1,2000000,530888,2,12000000,186566,-1,-1,-1,-1,-1,-1,293744,206610,4,3.501501502
