machine,app,ranks,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,rp
quartz,miniVite,1,8876712.329,11150684.93,1589041.096,30821917.81,0,0,0,0,0.01369863,3622.712329,13368.06849,679.1643836,29.57534247,27397.26027,0.332
quartz,miniVite,1,15781250,25093750,7468750,69437500,0,0,0,0,0.984375,1975172.781,3831526.828,116859.9219,10521.07813,593750,0.285591767
quartz,miniVite,1,9287671.233,11643835.62,1726027.397,32273972.6,0,0,0,0,0.01369863,7577.205479,16587.67123,679.1643836,29.57534247,0,0.498498498
quartz,miniVite,1,3863013.699,4876712.329,739726.0274,13479452.05,0,0,0,0,0.01369863,281.6575342,4973.356164,679.1643836,29.56164384,0,1
quartz,miniVite,1,7156250,13937500,6093750,36375000,0,0,0,0,0.953125,178477.7344,766958.625,116859.9219,10521.03125,531250,0.166
quartz,miniVite,1,7671232.877,9753424.658,1397260.274,26904109.59,0,0,0,0,0.01369863,37234.23288,75047.69863,679.1643836,29.61643836,0,1
quartz,miniVite,1,2958904.11,3643835.616,493150.6849,10191780.82,0,0,0,0,0.01369863,718.3561644,4607.09589,679.1643836,29.5890411,27397.26027,1
quartz,miniVite,1,9843750,18375000,7218750,50250000,0,0,0,0,0.859375,654315.5938,1302132.891,120629.5938,10860.26563,593750,0.333
quartz,miniVite,1,7342465.753,9232876.712,1369863.014,25616438.36,0,0,0,0,0.02739726,1034.561644,16204.42466,679.1643836,29.56164384,0,1
quartz,miniVite,1,19437500,30093750,8812500,84250000,0,0,0,0,0.8125,2317257.563,4088858.422,109320.5469,9842.6875,562500,0.166
quartz,miniVite,1,15369863.01,19479452.05,2821917.808,53890410.96,0,0,0,0,0.01369863,4157.383562,34513.0411,679.1643836,29.60273973,0,0.498498498
quartz,miniVite,1,5726027.397,7260273.973,1041095.89,19890410.96,0,0,0,0,0.02739726,381.8082192,3988.356164,679.1643836,29.56164384,0,0.498498498
quartz,miniVite,1,12187500,20812500,6750000,55375000,0,0,0,0,0.484375,272115.2188,867816.0313,113090.3125,10181.82813,500000,0.166
