"tf.Tensor(-1.3331456011876158e-06, shape=(), dtype=float64)"
"tf.Tensor(0.024063732075544072, shape=(), dtype=float64)"
"tf.Tensor(0.007479468280920442, shape=(), dtype=float64)"
"tf.Tensor(-9.08996155108733e-07, shape=(), dtype=float64)"
"tf.Tensor(0.006004346992829859, shape=(), dtype=float64)"
"tf.Tensor(0.007498153376320602, shape=(), dtype=float64)"
"tf.Tensor(0.0075380089245449, shape=(), dtype=float64)"
