"tf.Tensor(0.0059563932644290775, shape=(), dtype=float64)"
"tf.Tensor(0.006004346992829859, shape=(), dtype=float64)"
"tf.Tensor(0.025374533100325565, shape=(), dtype=float64)"
"tf.Tensor(0.03229955340405673, shape=(), dtype=float64)"
"tf.Tensor(0.005062861594576391, shape=(), dtype=float64)"
"tf.Tensor(0.0009820491762466703, shape=(), dtype=float64)"
"tf.Tensor(0.025484178415097265, shape=(), dtype=float64)"
"tf.Tensor(0.007558513495004651, shape=(), dtype=float64)"
"tf.Tensor(0.0011297879343474724, shape=(), dtype=float64)"
"tf.Tensor(0.006060663552592483, shape=(), dtype=float64)"
"tf.Tensor(0.025587010000612087, shape=(), dtype=float64)"
"tf.Tensor(0.006085367222953841, shape=(), dtype=float64)"
"tf.Tensor(-1.0314786905832514e-06, shape=(), dtype=float64)"
"tf.Tensor(0.02789290940019312, shape=(), dtype=float64)"
"tf.Tensor(0.0076530544077662455, shape=(), dtype=float64)"
"tf.Tensor(-1.3393943194506906e-06, shape=(), dtype=float64)"
"tf.Tensor(0.005870827686500901, shape=(), dtype=float64)"
