"tf.Tensor(-9.610740224089551e-07, shape=(), dtype=float64)"
"tf.Tensor(0.02500662714017117, shape=(), dtype=float64)"
"tf.Tensor(0.008948897684612349, shape=(), dtype=float64)"
"tf.Tensor(0.00750465501292535, shape=(), dtype=float64)"
"tf.Tensor(0.02534886015773875, shape=(), dtype=float64)"
"tf.Tensor(0.025246637546586487, shape=(), dtype=float64)"
"tf.Tensor(-1.0314786905832514e-06, shape=(), dtype=float64)"
