machine,app,ranks,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_INS,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,FP_ARITH:SCALAR_SINGLE,FP_ARITH:SCALAR_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,PAPI_MEM_WCY,rp
quartz,laghos,1,2426000000,3356000000,968000000,11516000000,32000000,12000000,0,0,1556948,1461157318,1076277724,37771,2190229,116000000,16.332
quartz,laghos,1,2426000000,3356000000,968000000,11516000000,32000000,12000000,0,0,1556449,1460442876,1077872352,37771,2190229,116000000,13.332
quartz,laghos,1,2792000000,3862000000,1114000000,13250000000,26000000,16000000,0,0,1789740,1680159170,1238203078,37771,2193037,140000000,10.25975976
quartz,laghos,1,2792000000,3862000000,1108000000,13250000000,38000000,14000000,0,0,1790082,1681196754,1238368945,37771,2193037,136000000,10.25975976
quartz,laghos,1,3154000000,4360000000,1258000000,14964000000,30000000,16000000,0,0,2021762,1896564610,1396403653,37771,2195719,150000000,10.51051051
quartz,laghos,1,3152000000,4358000000,1258000000,14960000000,30000000,18000000,0,0,2022435,1897379725,1397572057,37771,2195719,142000000,10.25975976
quartz,laghos,1,3434000000,4746000000,1368000000,16294000000,36000000,18000000,0,0,2202499,2065152466,1520600593,37771,2197853,170000000,10.75975976
quartz,laghos,1,3434000000,4746000000,1368000000,16292000000,32000000,20000000,0,0,2202362,2065421903,1520505953,37771,2197855,172000000,10.75975976
quartz,laghos,1,3640000000,5040000000,1452000000,17290000000,42000000,18000000,2000000,0,2337750,2193317921,1615712489,37771,2199440,180000000,11.01051051
quartz,laghos,1,3644000000,5036000000,1450000000,17290000000,34000000,18000000,0,0,2338564,2191995118,1614181110,37771,2199439,178000000,8.803121248
quartz,laghos,1,3788000000,5244000000,1512000000,17994000000,50000000,20000000,0,0,2430175,2282039382,1680659639,37771,2200601,186000000,13.51351351
quartz,laghos,1,3792000000,5244000000,1514000000,17998000000,44000000,20000000,2000000,0,2431784,2282041862,1681138751,37771,2200600,186000000,11.26126126
quartz,laghos,1,8200000000,19434000000,6256000000,59954000000,202000000,160000000,6000000,4000000,3259234,11407387387,8376314544,37771,2205834,912000000,4.273322422
quartz,laghos,1,8204000000,19430000000,6256000000,59958000000,202000000,164000000,6000000,4000000,3259806,11407505373,8373560008,37771,2205834,916000000,4.182214948
quartz,laghos,1,9346000000,22146000000,7130000000,68328000000,176000000,186000000,8000000,6000000,3713148,13003334800,9548958313,37771,2210655,1052000000,3.35747964
quartz,laghos,1,9346000000,22142000000,7130000000,68326000000,232000000,186000000,8000000,6000000,3713446,13005317291,9545360358,37771,2210655,1064000000,3.61634349
quartz,laghos,1,10432000000,24720000000,7958000000,76272000000,208000000,204000000,10000000,6000000,4145484,14515349497,10651864773,37771,2215167,1178000000,3.429061294
quartz,laghos,1,10434000000,24722000000,7956000000,76272000000,194000000,208000000,8000000,6000000,4145256,14515482284,10663130064,37771,2215168,1158000000,3.429061294
quartz,laghos,1,12200000000,28910000000,9304000000,89206000000,228000000,238000000,12000000,8000000,4848386,16975164540,12467356577,37771,2222505,1360000000,3.125656414
quartz,laghos,1,12208000000,28916000000,9308000000,89202000000,224000000,244000000,10000000,8000000,4849573,16976720607,12466432240,37771,2222504,1358000000,3.063015754
quartz,laghos,1,13414000000,31788000000,10234000000,98084000000,260000000,268000000,12000000,8000000,5327972,18669205808,13707819626,37771,2227626,1476000000,2.941404871
