machine,app,ranks,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,rp
corona,laghos,1,25730000000,7925490,12186376639,6000000,299630,-1,-1,-1,-1,-1,-1,547464,3094742,74191377869,0.061229488
corona,laghos,1,25814000000,3909139,12178975013,6000000,578134118,-1,-1,-1,-1,-1,-1,538284,3094742,73519063539,0.075007501
corona,laghos,1,2000000,3195266,926864,4000000,582931856,-1,-1,-1,-1,-1,-1,541372,3095720,75912082730,0.097468169
corona,laghos,1,2000000,43693204987,12489619546,4000000,551831218,-1,-1,-1,-1,-1,-1,538308,3095720,74892719265,0.097468169
corona,laghos,1,2000000,44250330283,12735248866,12000000,600341430,-1,-1,-1,-1,-1,-1,538332,3096696,75900333045,0.095142857
corona,laghos,1,6000000,7789445,12793974170,6000000,557509478,-1,-1,-1,-1,-1,-1,538308,3096696,76752211339,0.097468169
corona,laghos,1,4000000,45647865839,13128905319,2000000,592517224,-1,-1,-1,-1,-1,-1,541336,3097672,79179253527,0.092938878
corona,laghos,1,4000000,3850509,13116077667,6000000,625817932,-1,-1,-1,-1,-1,-1,544448,3097672,80490310088,0.092938878
corona,laghos,1,12000000,47262119696,13548163888,4000000,598614437,-1,-1,-1,-1,-1,-1,547476,3098587,82426193601,0.09082231
corona,laghos,1,28528000000,46518228882,13461716622,8000000,2115785649,-1,-1,-1,-1,-1,-1,542880,3098587,82500910093,0.113596073
corona,laghos,1,29214000000,3802931,13741751377,8000000,581486150,-1,-1,-1,-1,-1,-1,538296,3099563,11183934895,0.074
corona,laghos,1,4000000,47585159430,13720946086,6000000,615696675,-1,-1,-1,-1,-1,-1,539433,3099563,83752145945,0.0888
corona,laghos,1,4000000,49880585296,14251742348,6000000,613335769,-1,-1,-1,-1,-1,-1,547488,3100539,85583158696,0.234009958
corona,laghos,1,2000000,48719369879,14112124188,8000000,617956983,-1,-1,-1,-1,-1,-1,544424,3100539,87040231213,0.239107748
corona,laghos,1,4000000,1,14547733146,2000000,636912892,-1,-1,-1,-1,-1,-1,547464,3101454,88371256513,0.297842461
corona,laghos,1,30818000000,3961979,14455464855,6000000,687028018,-1,-1,-1,-1,-1,-1,541360,3101454,85981559549,0.276522405
corona,laghos,1,31414000000,3919770,14720858503,1.15328E+11,692170533,-1,-1,-1,-1,-1,-1,539828,3102308,88124894013,0.291625
corona,laghos,1,6000000,3954146,14769556293,4000000,726823073,-1,-1,-1,-1,-1,-1,539481,3102308,90201493391,0.291625
corona,laghos,1,2000000,52330628493,15092492048,8000000,306720,-1,-1,-1,-1,-1,-1,544448,3103223,90751299423,0.319932797
corona,laghos,1,32022000000,52133541207,15311008623,8000000,710801261,-1,-1,-1,-1,-1,-1,539872,3103223,92507029958,0.326475631
corona,laghos,1,2000000,3989064,15453925687,6000000,700138918,-1,-1,-1,-1,-1,-1,538320,3104075,93053153421,0.339973599
corona,laghos,1,32878000000,53720524163,15368829448,1.20552E+11,688610478,-1,-1,-1,-1,-1,-1,547464,3104075,94250561497,0.339973599
corona,laghos,1,8000000,55300529764,15800152777,8000000,176818,-1,-1,-1,-1,-1,-1,541372,3105312,5715429567,0.372470588
