machine,app,ranks,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_INS,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,FP_ARITH:SCALAR_SINGLE,FP_ARITH:SCALAR_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,PAPI_MEM_WCY,rp_Ruby_Quartz
ruby,laghos,1,8200000000,19396000000,6214000000,59934000000,148000000,116000000,0,0,3259321,11408071539,5963227690,105104,2240753,260000000,0.333333333
ruby,laghos,1,8196000000,19392000000,6210000000,59936000000,150000000,116000000,0,0,3260591,11411835794,5947028764,105104,2240753,256000000,0.375093773
ruby,laghos,1,9344000000,22108000000,7084000000,68308000000,170000000,132000000,0,0,3713080,13007135350,6786328251,105104,2245574,292000000,0.444
ruby,laghos,1,9334000000,22106000000,7082000000,68304000000,170000000,132000000,0,0,3713147,13007105914,6782195441,105104,2245574,290000000,0.444
ruby,laghos,1,10430000000,24678000000,7906000000,76240000000,190000000,148000000,0,0,4146026,14517560928,7571605811,105104,2250086,328000000,0.399759904
ruby,laghos,1,10428000000,24672000000,7906000000,76248000000,190000000,148000000,0,0,4146039,14517576716,7574279006,105104,2250086,324000000,0.399759904
ruby,laghos,1,12196000000,28858000000,9246000000,89178000000,224000000,172000000,0,0,4848539,16978740610,8851567165,105104,2257423,386000000,0.363338789
ruby,laghos,1,12200000000,28860000000,9246000000,89172000000,224000000,172000000,0,0,4848952,16976266120,8859637510,105104,2257423,386000000,0.333
ruby,laghos,1,13410000000,31734000000,10168000000,98050000000,244000000,190000000,0,0,5328932,18665444081,9738774415,105104,2262546,418000000,0.307479224
ruby,laghos,1,13408000000,31734000000,10168000000,98044000000,246000000,190000000,0,0,5329061,18670365360,9735260383,105104,2262546,422000000,0.384579871
ruby,laghos,1,14324000000,33896000000,10860000000,1.05E+11,262000000,204000000,0,0,5694009,19941754149,10463359718,105104,2266269,442000000,0.307479224
ruby,laghos,1,14324000000,33896000000,10860000000,1.05E+11,262000000,204000000,0,0,5693743,19941070234,10406889017,105104,2266270,444000000,0.307479224
ruby,laghos,1,43946000000,1.46E+11,48612000000,4.31E+11,1176000000,1078000000,14000000,28000000,7003484,95302695137,49618616516,105104,2275702,2166000000,0.207517265
ruby,laghos,1,43936000000,1.46E+11,48608000000,4.31E+11,1180000000,1078000000,18000000,30000000,6998460,95306271654,49584732518,105104,2275702,2218000000,0.207517265
ruby,laghos,1,49326000000,1.64E+11,54530000000,4.84E+11,1322000000,1206000000,18000000,32000000,7846156,1.07E+11,55559561627,105104,2284062,2518000000,0.23726228
ruby,laghos,1,49320000000,1.64E+11,54528000000,4.84E+11,1316000000,1210000000,20000000,32000000,7845880,1.07E+11,55651301809,105104,2284062,2488000000,0.220278654
ruby,laghos,1,55026000000,1.83E+11,60840000000,5.39E+11,1468000000,1346000000,20000000,34000000,8738068,1.19E+11,61959228187,105104,2293099,2826000000,0.208937847
ruby,laghos,1,54976000000,1.83E+11,60820000000,5.39E+11,1474000000,1346000000,22000000,34000000,8738390,1.19E+11,61992888106,105105,2293098,2760000000,0.212090909
ruby,laghos,1,72284000000,2.40E+11,79944000000,7.09E+11,1944000000,1770000000,28000000,48000000,11490692,1.57E+11,81437244503,105104,2320162,3596000000,0.183862069
ruby,laghos,1,72252000000,2.40E+11,79930000000,7.09E+11,1946000000,1770000000,28000000,44000000,11490923,1.57E+11,81460981154,105104,2320161,3696000000,0.186004326
ruby,laghos,1,83378000000,2.77E+11,92236000000,8.18E+11,2244000000,2046000000,30000000,50000000,13262163,1.81E+11,93974343287,105104,2337457,4208000000,0.17169697
ruby,laghos,1,83426000000,2.77E+11,92260000000,8.18E+11,2238000000,2048000000,20000000,50000000,13262873,1.81E+11,93965061815,105104,2337457,4140000000,0.168300362
ruby,laghos,1,93446000000,3.11E+11,1.03E+11,9.17E+11,2494000000,2292000000,34000000,56000000,14848316,2.03E+11,1.05E+11,105105,2353136,4728000000,0.1696132
ruby,laghos,1,93462000000,3.11E+11,1.03E+11,9.17E+11,2502000000,2296000000,36000000,56000000,14848318,2.03E+11,1.05E+11,105104,2353136,4778000000,0.162162162
ruby,laghos,1,18720000000,77366000000,27042000000,2.21E+11,672000000,502000000,14000000,10000000,30893165,77798859731,25750544940,105104,2224469,1712000000,2.242363636
ruby,laghos,1,18720000000,77366000000,27040000000,2.21E+11,674000000,504000000,16000000,10000000,30885813,77791779538,25745009552,105104,2224469,1834000000,2.181818182
ruby,laghos,1,23424000000,96700000000,33796000000,2.76E+11,844000000,628000000,18000000,14000000,37522067,97272561689,32182235696,105104,2228799,2254000000,2.024440217
ruby,laghos,1,23434000000,96706000000,33800000000,2.76E+11,842000000,630000000,20000000,14000000,37511430,97268708641,32204816500,105104,2228797,2336000000,1.883896176
ruby,laghos,1,28908000000,1.19E+11,41704000000,3.41E+11,1038000000,776000000,22000000,16000000,45815995,1.20E+11,39643887017,105104,2233981,2848000000,1.800072003
ruby,laghos,1,28918000000,1.19E+11,41716000000,3.41E+11,1042000000,778000000,24000000,18000000,45822705,1.20E+11,39629497166,105104,2233981,2810000000,1.800072003
ruby,laghos,1,33668000000,1.39E+11,48566000000,3.96E+11,1212000000,904000000,28000000,20000000,52841983,1.40E+11,45996438218,105104,2238376,3304000000,2.034554107
ruby,laghos,1,33664000000,1.39E+11,48562000000,3.96E+11,1212000000,904000000,26000000,20000000,52846566,1.40E+11,46014530258,105104,2238374,3294000000,2.069108214
ruby,laghos,1,37624000000,1.55E+11,54304000000,4.43E+11,1350000000,1014000000,30000000,22000000,57820257,1.56E+11,51366048170,105104,2242216,3704000000,2.106
ruby,laghos,1,37640000000,1.55E+11,54308000000,4.43E+11,1356000000,1016000000,32000000,24000000,57821633,1.56E+11,51338682554,105104,2242217,3954000000,2.184621065
ruby,laghos,1,40964000000,1.69E+11,59164000000,4.83E+11,1472000000,1104000000,32000000,26000000,61888290,1.70E+11,55923763028,105105,2245512,4000000000,2.214383679
ruby,laghos,1,40958000000,1.69E+11,59162000000,4.83E+11,1478000000,1108000000,34000000,24000000,61886044,1.70E+11,55985694975,105104,2245513,4092000000,2.185839191
ruby,laghos,1,3.23E+11,1.58E+12,5.54E+11,4.43E+12,22588000000,11134000000,636000000,592000000,610056523,1.66E+12,5.32E+11,105104,2250491,39346000000,0.068003301
ruby,laghos,1,3.23E+11,1.58E+12,5.53E+11,4.43E+12,22562000000,11138000000,590000000,440000000,609509724,1.66E+12,5.32E+11,105104,2250491,39266000000,0.06933787
ruby,laghos,1,4.31E+11,2.12E+12,7.39E+11,5.92E+12,30334000000,14894000000,720000000,504000000,785532147,2.21E+12,7.07E+11,105104,2265126,52410000000,0.067924528
ruby,laghos,1,4.31E+11,2.12E+12,7.39E+11,5.92E+12,30232000000,14880000000,808000000,754000000,786282460,2.21E+12,7.07E+11,105104,2265126,52480000000,0.069997675
ruby,laghos,1,5.37E+11,2.64E+12,9.21E+11,7.37E+12,37642000000,18586000000,966000000,618000000,914495565,2.75E+12,8.78E+11,105104,2279520,64660000000,0.062554622
ruby,laghos,1,5.37E+11,2.64E+12,9.21E+11,7.37E+12,37690000000,18608000000,890000000,716000000,916677196,2.75E+12,8.78E+11,105104,2279520,65608000000,0.063431207
ruby,laghos,1,5.81E+11,2.85E+12,9.96E+11,7.97E+12,40778000000,20076000000,1114000000,938000000,961609827,2.98E+12,9.48E+11,105104,2285379,71098000000,0.068335877
ruby,laghos,1,5.81E+11,2.85E+12,9.96E+11,7.97E+12,40854000000,20118000000,1000000000,698000000,961308295,2.98E+12,9.48E+11,105104,2285379,70558000000,0.068158993
ruby,laghos,1,6.35E+11,3.13E+12,1.09E+12,8.73E+12,44566000000,21982000000,1272000000,1058000000,1006544981,3.26E+12,1.04E+12,105104,2293033,77458000000,0.069562165
ruby,laghos,1,6.36E+11,3.13E+12,1.09E+12,8.73E+12,44676000000,22056000000,1200000000,1084000000,1005030067,3.26E+12,1.04E+12,105104,2293033,77230000000,0.069288407
