"machine","app","exec","args","ranks","spack_env","exec_path","events","path","duration","IO Bytes Written","IO Bytes Read","REALTIME (sec)","PAPI_TOT_INS","PAPI_VEC_DP (proxy)","PAPI_REF_CYC","PAPI_DP_OPS (proxy)","perf::L1-DCACHE-LOADS","perf::LLC-STORE-MISSES","perf::L1-DCACHE-LOAD-MISSES","perf::LLC-STORES","perf::DTLB-LOAD-MISSES","perf::DTLB-STORES","perf::DTLB-STORE-MISSES"
"ec2-c6i.metal","laghos","laghos","-p 1 -dim 2 -rs 2 -tf 3 ","1","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/laghos","-e PAPI_BR_PRC -e PAPI_L2_TCM -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC -e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES -e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES -e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS -e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e REALTIME -e IO -e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS -e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES","['/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/0d0e471d41935a0efaeb50d68c4727fc', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/d9589f7ae52dc261cc81e758334ed84f', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/fb8b9c98eb95431634415caca32f1718', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/2bc38c6142a2574733d9fd769554ff16', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/8b4842e7fdf1a7a736364db47903956e', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/e49fd60d4dfb4b4432bc5ef03b334056', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/fedad91e43bfc8e9358cf948ddcdc20d', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/7f8aaf06ba46f2e01e47c5d997d583c9', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/2c4c299146a0537812772e4062de5256', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/724057b2d4d76b075eecfe1afc6c6a4a', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/a26b6c3698973b59d5ff4fb0d6b3d31f']",0.05,3139.0,11576.0,0.045092,2000000.0,"","","","",138.0,1.0,671.0,1353.0,219.0,""
"ec2-c6i.metal","laghos","laghos","-p 1 -dim 2 -rs 2 -tf 3 ","32","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/laghos","-e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS -e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES -e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC -e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e REALTIME -e IO -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS -e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES -e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES","['/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/6097051c54c75c0377e50e3933659c7e', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/ea1664afb59b6cff7f9da49e9ffa5bfa', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/866b4b875be38b561d4e276c6bc6c3b1', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/08a900bdd8cdb2d20121e7db5b7b0d42', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/c4ec192bb96f9b6cfd855baddd119288', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/6aeaaac44a4f9390f1b3d1d2f8987590', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/d7df2a13edf55c2e2bda15b3c2758487', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/f10d3e16429910da270d208d80b78e7c', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/565bb2f2b95d24cbc8dac0fe0f785223', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/3f46581c3d84eab5a2d3f54d19162513', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/4ae5ad565dc96d6c85d5ccaba14cfa5f']",0.0333,4683.0,11576.0,0.040061000000000006,2000000.0,9.0,2000000.0,9.0,"","",1.0,882.0,2770.0,218.0,""
"ec2-c6i.metal","laghos","laghos","-p 1 -dim 2 -rs 2 -tf 3 -pa","1","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/laghos","-e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS -e PAPI_BR_PRC -e PAPI_L2_TCM -e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES -e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC -e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES -e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES -e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS -e REALTIME -e IO","['/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/ed05d732495a7d961fe8289c386b45df', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/6c661691faeb2f3cb133067b760886c4', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/6b4856cd24c23e4c933aa3ae0d9a8e11', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/d129d247796adef4ae4da22929fdf933', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/f81216da1efeb6f0966bf942fd75a90d', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/ff65b263c0632c25a6e25832dad7777e', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/2fc0065bd719c2874763b0f7b4404207', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/d82552ff6e2151626d2a66f4d8b47896', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/f70a9f34e38ef08832de60349cd5fbd8', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/1ee85bc8ced91fdf2e37c8fb404cc6a3', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/b22e89df827a1c2571658b9f78323233']",0.0333,3139.0,11576.0,0.045088,2000000.0,9.0,2000000.0,9.0,"",215.0,1.0,810.0,1383.0,205.0,""
"ec2-c6i.metal","laghos","laghos","-p 1 -dim 2 -rs 2 -tf 3 -pa","32","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/laghos","-e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS -e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC -e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS -e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES -e REALTIME -e IO -e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES -e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES","['/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/4300bd973c9280bbbe6c5f8c4cfd61ce', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/2facc5b22b31e9cdbd8f9013c3013fb7', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/15300237bf15f2284785edd175123af1', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/0b3034d336a3b5056b63735ac951b61e', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/c443fe313872c95aca13418aebfee86f', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/af54e978e24e7bdd72d0f82e15bc5318', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/99758bd9e4e7e02f6e1dd250b5fe48fa', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/94d99b55fd65454ee409eac062dc7a3d', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/8d26cc9711ffd8b3032745109e510ec9', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/270d05377acb3fab642c88c9940d67a7', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/f544854c70b0f999e0aa9e0798f9b1a2']",0.0333,4675.0,11576.0,0.045059,2000000.0,9.0,2000000.0,9.0,1.0,318.0,1.0,786.0,2512.0,222.0,""
"ec2-c6i.metal","laghos","laghos","-p 1 -dim 2 -rs 2 -tf 3.5 ","1","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/laghos","-e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS -e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS -e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES -e REALTIME -e IO -e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES -e PAPI_BR_PRC -e PAPI_L2_TCM -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES -e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS","['/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/5d527ad4cf382f555f423ca57adb8b56', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/07876d0c8896c09f75cae4c0b6771ac9', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/d136841fe5462787e736370f057a1df6', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/ee6daea9cb11b3342ebc97be135c67d4', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/ca3040361a7f6fb3e458e30291d3e3a0', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/536090ec298224027f713536b02bed66', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/a9bf7c417fd8933c51ba78a6f3a17fbb', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/bd95de7153a57bab92816e21a42051f4', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/1b4210d5bc2f0a0282e1d41816d8ab95', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/5adc3d6e2cafb4851d1a90de13bd402d', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/322de595d4bbba0097a7ff390dfd8432']",0.0333,3155.0,11576.0,0.040082000000000007,2000000.0,9.0,2000000.0,9.0,"",385.0,1.0,640.0,1378.0,209.0,""
"ec2-c6i.metal","laghos","laghos","-p 1 -dim 2 -rs 2 -tf 3.5 ","32","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/laghos","-e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS -e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES -e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES -e PAPI_BR_PRC -e PAPI_L2_TCM -e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS -e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES -e REALTIME -e IO -e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC","['/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/a5e7a0680cfe7fa8db1beb5014b2770c', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/6cd9cd1447ab4fe054918b99f20931ca', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/667371b45eff02f20c6a5567bd284a3b', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/fd9a842490e4197650f25ea513696b5c', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/f331cbb8a3a1791ae38627be31474f4b', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/ed1afbb34b6069e907eb5f0dfed3259b', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/54bae16e485d14ed7778dddbfa3043ac', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/8dc84f30d1e6edd18e7650dca0f0a6a5', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/902a150f1b49c6fd1bb14cfed3f1b80f', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/d5efeee9f68b0eaa601326525e92381c', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/362b0d407567870f6097730f49448560']",0.0333,4675.0,11576.0,0.040064,2000000.0,9.0,2000000.0,9.0,1.0,763.0,1.0,963.0,2481.0,35715.0,144.0
"ec2-c6i.metal","laghos","laghos","-p 1 -dim 2 -rs 2 -tf 3.5 -pa","1","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/laghos","-e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS -e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC -e PAPI_BR_PRC -e PAPI_L2_TCM -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS -e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES -e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES -e REALTIME -e IO -e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES -e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS","['/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/0b776db62032d2ae849f6def93381f04', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/3de0b2ea7e90bf4537df4e3455f91bef', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/28c99e9ca07878b1002e8a3b4570e9a3', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/de7fd1c72a14cfbfdd0095ca921110c0', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/7803366d323a9a13e5a9e0821f7b03be', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/118de1bcd946a4525b9e44e2d5619923', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/60f224c8b9563ecf6bf34f323a84405a', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/2eea01845c531e37c48d04e76e6bda8e', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/1ac72ab9612ffda601d89327c910b7e6', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/4f69c8fbed8f94957e005f5bf18cc08d', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/016b737e626a8260b6fa6e7b2f274d09']",0.0333,3139.0,11576.0,0.045068,2000000.0,9.0,2000000.0,9.0,1.0,183.0,1.0,842.0,1433.0,1.0,""
"ec2-c6i.metal","laghos","laghos","-p 1 -dim 2 -rs 2 -tf 3.5 -pa","32","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/laghos","-e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC -e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS -e PAPI_BR_PRC -e PAPI_L2_TCM -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES -e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS -e REALTIME -e IO -e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS -e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES","['/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/6a6c31fa1a3aec06b8fbed49caa205d5', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/68d173028e49be316fd057c470eb4022', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/f5c36077f45c1ff7d0641b68aaa3592b', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/e15c6f58348029e6ad5a65edea28939c', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/8e186f0ffd814310d39f4d7a6da71b58', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/86dda37f061147bb057ef7b2ccb570c9', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/67d89513bd80f0d97f731fd8b3c52db6', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/c81270922e5235069417deb63bf45d61', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/ec9d9569008be4af9afb677f0bdcb7b6', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/23f71e36bd840e731723c29316268a47', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/65d5f42e5199cb9478d79b28bb02f9ee']",0.0333,4675.0,11576.0,0.040088,2000000.0,9.0,2000000.0,9.0,"",331.0,1.0,816.0,1639.0,183.0,""
"ec2-c6i.metal","laghos","laghos","-p 1 -dim 2 -rs 2 -tf 4 ","1","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/laghos","-e REALTIME -e IO -e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES -e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS -e PAPI_BR_PRC -e PAPI_L2_TCM -e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES -e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS -e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES -e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS","['/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/68110c62d05296c41a92ec97d7685b60', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/70638cae7832942d6abadbe40120d961', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/fdae7dbea4c6614058ae68f74f2b61a6', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/2e0d3d165cee049b1e8ee320a5f87511', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/fafbfd26d3be9771b86f1f6ee0107ba6', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/d72156b202e0fe0d4a06583b17762fca', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/b55a228f81cf5f5193d3bd89f16c8a25', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/98091c77ff0fe88a5b23d76c83949d94', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/2198a9c2a1edaaf4a9bef42fe831f7ee', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/5b38552786c3ab03f3dbd48ad0f7130f', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/f5a9d6cc3fa8a68de9086230b7ad72df']",0.0333,3139.0,11576.0,0.04508,2000000.0,9.0,2000000.0,9.0,"",202.0,1.0,795.0,1509.0,204.0,""
"ec2-c6i.metal","laghos","laghos","-p 1 -dim 2 -rs 2 -tf 4 ","32","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/laghos","-e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS -e REALTIME -e IO -e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES -e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS -e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS -e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES -e PAPI_BR_PRC -e PAPI_L2_TCM","['/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/0827f8c14d69e2debea85948fc1c5668', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/2e257286545137f50e5e4e6f127fcec2', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/344ec9a3f8129756047edcac29c1af98', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/0740e2b67fac0ad5f7810d6c5f3484b1', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/03577d276fcc9d42da8a1c0a11defe6e', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/a762bfb0a0299852c5f6467518d93a76', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/7a41b3613f46fb4e77df81ea0542d045', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/95d35d9943f939e91d0c0d5c78bf7b05', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/9b88ee6acfeb718f74776f24a6c0d53b', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/2a0770a628366ad85ffb7df0a92f19fe', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/laghos/88f6a23828235f76dcf922bb00631f47']",0.0333,4675.0,11576.0,0.045101999999999996,2000000.0,9.0,2000000.0,9.0,1.0,334.0,1.0,814.0,2642.0,216.0,""
