machine,app,ranks,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_INS,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,FP_ARITH:SCALAR_SINGLE,FP_ARITH:SCALAR_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,PAPI_MEM_WCY,rp
quartz,sw4lite,1,435555555.6,1235527778,192194444.4,2783416667,42416666.67,6916666.667,11527777.78,2027777.778,2.958333333,138755578.6,38105685.5,550.1388889,30160.16667,250500000,38.21488595
quartz,sw4lite,1,568111111.1,1896916667,311472222.2,4213527778,82638888.89,16750000,17138888.89,4027777.778,3.972222222,236867340.9,67471186.18,548.4166667,30160.22222,451000000,55
quartz,sw4lite,1,443194444.4,1263472222,202277777.8,2859166667,44000000,7027777.778,12194444.44,2027777.778,0.638888889,183353260.3,80617505.57,551.8333333,30161.30556,268861111.1,47.166
quartz,sw4lite,1,492194444.4,1073388889,151277777.8,2471888889,45805555.56,6111111.111,12277777.78,2027777.778,2.472222222,85518248.64,90554484.71,551.8611111,30161.30556,360138888.9,56.02160864
quartz,sw4lite,1,46195611111,1.02E+11,13663111111,2.31E+11,4973333333,758944444.4,2230472222,272361111.1,2.902777778,3921400493,4651602624,575.9722222,30158.45833,56353027778,1.184210526
quartz,sw4lite,1,3.92E+11,1.14E+12,1.67E+11,2.48E+12,80134472222,11311750000,43777694444,4207916667,1.111111111,68821010797,72602858005,575.9166667,30161.08333,8.83E+11,1.976375546
quartz,sw4lite,1,50719250000,1.08E+11,14418416667,2.47E+11,4954416667,747250000,2238777778,271777777.8,500.6805556,4095509691,4707151019,10093.69444,31333.38889,56674361111,5.458768215
quartz,sw4lite,1,3.9E+11,1.13E+12,1.68E+11,2.48E+12,80271305556,11303916667,43921194444,4201250000,2186.597222,69191714604,72714736778,10097.54167,35295.375,8.6E+11,1.937363721
quartz,sw4lite,1,166666.6667,222222.2222,27777.77778,555555.5556,0,0,0,0,2.680555556,3861.291667,984.6388889,533.0416667,30152.01389,0,271.8855422
quartz,sw4lite,1,972083333.3,1789750000,223166666.7,4204000000,58722222.22,8388888.889,17888888.89,2194444.444,1,70842519.5,64158708.14,533.0555556,30160.66667,535861111.1,45.133
quartz,sw4lite,1,16184972222,42137805556,6332611111,95481444444,1551888889,287805555.6,868388888.9,84972222.22,4.111111111,4194503850,955663130.6,532.9166667,30161.20833,8372805556,3.471769231
quartz,sw4lite,1,6450944444,24375888889,4112583333,52157861111,2346500000,425527777.8,570888888.9,104611111.1,4.222222222,1378701854,1919241666,547.2222222,30159.81944,15286694444,4.042002508
quartz,sw4lite,1,16310194444,38519722222,6327666667,87694111111,1539972222,812305555.6,275000000,45916666.67,4.180555556,2164421542,855344292.5,545.7777778,30161.875,5508472222,4.589952202
quartz,sw4lite,1,12698444444,58417111111,10598888889,1.23E+11,5530472222,1161000000,1558083333,271833333.3,3.305555556,3427822140,4925206347,545.7777778,30160.38889,42989000000,1.747106414
quartz,sw4lite,1,11347666667,83199166667,16324833333,1.75E+11,5148638889,1587694444,1484166667,267916666.7,5.236111111,13518900870,3980255700,545.75,30160.38889,26563888889,1.793411746
